Plate, 1
Well, 2
Count, 199

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
1150.430, 1039466.047, 0.211, 219685.575, 797221976.662, 1023.031, 5842.000, 16510.000
1011.182, 803060.514, 0.212, 170537.468, 541360056.839, 2222.399, 28194.000, 15070.667
1163.095, 1062478.164, 0.228, 242287.485, 823841793.930, 965.349, 31834.667, 14308.667
854.953, 574082.263, 0.235, 134877.213, 327208814.165, 2222.399, 26077.333, 15748.000
847.046, 563513.355, 0.220, 123934.590, 318214613.318, 728.330, 20489.333, 31242.000
1172.904, 1080475.674, 0.199, 214999.408, 844862999.192, 850.889, 31580.667, 12276.667
812.974, 519090.028, 0.216, 112325.518, 281337632.570, 1295.151, 6011.333, 22098.000
958.940, 722225.018, 0.228, 164715.589, 461713521.186, 780.588, 2963.333, 14478.000
1213.603, 1156759.004, 0.215, 248456.979, 935897167.681, 990.998, 34290.000, 18711.333
949.445, 707994.612, 0.216, 153074.441, 448134860.891, 1786.045, 29633.333, 21928.667
734.438, 423643.430, 0.231, 97806.022, 207426630.887, 846.667, 31072.667, 24130.000
581.121, 265230.376, 0.297, 78812.984, 102753989.165, 1176.227, 4572.000, 11260.667
777.812, 475159.688, 0.193, 91907.995, 246390059.950, 1023.031, 14478.000, 23791.333
998.299, 782728.941, 0.210, 164052.978, 520931822.482, 1409.134, 2116.667, 20912.667
963.526, 729150.183, 0.199, 145032.234, 468370230.650, 1295.151, 29633.333, 17949.333
568.427, 253769.798, 0.249, 63133.176, 96166475.916, 863.434, 21674.667, 33866.667
1479.396, 1718932.838, 0.177, 303412.662, 1695321863.265, 1060.870, 33782.000, 19642.667
721.826, 409218.167, 0.205, 84013.071, 196922870.682, 1449.260, 14224.000, 4741.333
726.703, 414766.194, 0.198, 82300.450, 200941123.754, 1669.888, 26246.667, 23791.333
877.139, 604263.503, 0.195, 118110.510, 353348576.684, 1556.578, 17949.333, 10329.333
573.978, 258750.289, 0.236, 60964.696, 99011369.277, 833.870, 32004.000, 18626.667
1046.617, 860330.342, 0.176, 151735.276, 600290761.519, 1185.333, 20320.000, 7112.000
1042.287, 853226.308, 0.209, 177989.970, 592870931.179, 535.479, 25230.667, 26331.333
1130.967, 1004591.288, 0.222, 223016.547, 757439434.281, 254.000, 10075.333, 24976.667
757.696, 450899.910, 0.190, 85744.242, 227763445.362, 946.602, 19134.667, 34374.667
661.975, 344169.945, 0.218, 75183.116, 151887912.512, 1023.031, 24976.667, 32935.333
1082.037, 919546.741, 0.210, 192992.724, 663322172.123, 1378.273, 17780.000, 34628.667
627.990, 309738.821, 0.251, 77666.638, 129675299.870, 254.000, 10075.333, 24722.667
1102.203, 954141.387, 0.190, 181257.250, 701104737.987, 1314.380, 6180.667, 17780.000
820.180, 528334.154, 0.176, 93160.279, 288886222.414, 1023.031, 4910.667, 16933.333
932.958, 683618.839, 0.189, 129051.374, 425191754.662, 1113.616, 19050.000, 20574.000
755.885, 448746.494, 0.197, 88594.899, 226133759.356, 508.000, 34374.667, 14901.333
540.118, 229122.048, 0.219, 50211.563, 82501932.920, 431.717, 15155.333, 30310.667
794.326, 495549.361, 0.169, 83822.523, 262418338.517, 2061.768, 12530.667, 23114.000
1574.598, 1947283.922, 0.197, 383816.015, 2044126259.378, 780.588, 31496.000, 27601.333
1205.882, 1142087.976, 0.172, 196652.790, 918148944.149, 1047.269, 3979.333, 10244.667
727.382, 415541.938, 0.192, 79690.241, 201505122.650, 1258.660, 13208.000, 30988.000
895.023, 629155.582, 0.204, 128611.331, 375405716.321, 850.889, 27178.000, 26077.333
946.346, 703380.254, 0.160, 112590.141, 443760925.295, 1188.353, 15240.000, 31496.000
859.106, 579673.609, 0.198, 114599.067, 332000771.456, 535.479, 24722.667, 26500.667
992.813, 774149.722, 0.138, 106977.577, 512390706.169, 863.434, 22521.333, 33697.333
876.247, 603034.946, 0.226, 136397.397, 352271509.404, 478.947, 6265.333, 13631.333
674.472, 357287.901, 0.167, 59617.042, 160653897.093, 900.019, 6858.000, 12954.000
1040.610, 850483.438, 0.184, 156870.874, 590014373.477, 1197.367, 1270.000, 15240.000
568.427, 253769.798, 0.219, 55628.244, 96166475.916, 610.540, 12192.000, 16933.333
834.457, 546886.733, 0.149, 81280.565, 304235495.091, 780.588, 25400.000, 25569.333
566.068, 251667.528, 0.203, 51033.709, 94973966.333, 3069.094, 28871.333, 30734.000
633.287, 314985.428, 0.166, 52207.419, 132984031.311, 1526.350, 3979.333, 19558.000
931.650, 681703.372, 0.264, 179760.270, 423405956.285, 1325.243, 15578.667, 931.333
952.364, 712354.039, 0.333, 237551.220, 452280263.628, 1409.134, 1354.667, 22098.000
550.416, 237942.188, 0.184, 43849.482, 87311404.835, 1556.578, 16510.000, 9736.667
965.634, 732343.887, 0.155, 113581.418, 471450816.105, 644.802, 18203.333, 15748.000
460.098, 166261.382, 0.221, 36808.386, 50997733.871, 2455.333, 15240.000, 33951.333
1351.644, 1434877.421, 0.295, 423037.607, 1292962719.010, 1295.151, 34713.333, 22436.667
1186.528, 1105721.636, 0.170, 187925.518, 874646397.642, 1456.660, 32173.333, 8974.667
876.219, 602997.521, 0.156, 94344.088, 352238716.983, 592.667, 17610.667, 7196.667
586.691, 270339.120, 0.194, 52497.018, 105737038.563, 850.889, 25315.333, 8466.667
903.589, 641255.794, 0.153, 97962.747, 386287587.538, 1325.243, 16764.000, 1524.000
978.457, 751922.974, 0.175, 131487.587, 490482855.905, 542.131, 3217.333, 17780.000
843.651, 559005.294, 0.164, 91842.901, 314403724.413, 431.717, 3640.667, 24214.667
869.408, 593658.938, 0.129, 76776.861, 344087833.484, 911.888, 31750.000, 23114.000
1392.487, 1522901.815, 0.217, 330397.385, 1413746871.212, 682.604, 3894.667, 27178.000
538.221, 227515.571, 0.172, 39163.481, 81635768.817, 1185.333, 19134.667, 7112.000
597.840, 280711.086, 0.190, 53363.524, 111880177.631, 682.604, 2624.667, 23452.667
711.801, 397929.913, 0.154, 61156.714, 188831168.308, 990.998, 33358.667, 18372.667
1151.475, 1041354.669, 0.169, 175948.727, 799395691.271, 431.717, 3556.000, 24638.000
597.981, 280843.679, 0.145, 40811.361, 111959456.400, 1514.563, 25400.000, 27855.333
670.980, 353597.167, 0.169, 59810.776, 158171038.157, 850.889, 27093.333, 25230.667
718.066, 404966.164, 0.174, 70607.719, 193861651.183, 1100.667, 23622.000, 33697.333
641.789, 323500.071, 0.165, 53526.103, 138412518.291, 1151.591, 11853.333, 33020.000
547.231, 235196.640, 0.189, 44520.430, 85804579.975, 1561.176, 29040.667, 11684.000
661.138, 343300.129, 0.173, 59334.278, 151312480.345, 911.888, 6265.333, 10752.667
617.878, 299843.985, 0.147, 44070.362, 123511333.616, 1023.031, 15409.333, 24214.667
742.515, 433012.687, 0.176, 76410.138, 214345678.407, 682.604, 6519.333, 29464.000
502.335, 198187.781, 0.162, 32087.746, 66371115.012, 1626.394, 8466.667, 15663.333
820.067, 528188.626, 0.171, 90463.979, 288766871.249, 542.131, 3640.667, 17441.333
376.574, 111375.729, 0.224, 24987.577, 27960803.090, 850.889, 24468.667, 8382.000
487.069, 186324.849, 0.188, 34974.424, 60502032.695, 1932.553, 7620.000, 24976.667
989.571, 769101.132, 0.276, 212389.742, 507386579.425, 1295.151, 34967.333, 21166.667
869.891, 594319.263, 0.145, 86219.700, 344662084.578, 1047.269, 2963.333, 10498.667
894.102, 627861.221, 0.160, 100391.196, 374247829.647, 780.588, 30734.000, 27770.667
1122.173, 989029.773, 0.150, 148162.358, 739908213.618, 2278.147, 6180.667, 6519.333
638.659, 320351.887, 0.155, 49808.529, 136396972.468, 2039.043, 8720.667, 21251.333
883.115, 612525.227, 0.156, 95851.827, 360619967.441, 1113.616, 17949.333, 20404.667
409.424, 131654.714, 0.212, 27965.372, 35935063.769, 987.375, 10244.667, 6096.000
889.007, 620726.606, 0.176, 109163.258, 367886915.587, 1176.227, 4995.333, 9652.000
466.805, 171143.456, 0.171, 29279.224, 53260378.527, 1761.799, 21420.667, 20743.333
652.474, 334361.224, 0.149, 49931.454, 145441270.609, 2347.879, 22606.000, 11260.667
539.552, 228642.457, 0.152, 34684.335, 82243033.127, 1135.923, 23452.667, 31580.667
915.906, 658858.171, 0.152, 100131.015, 402301548.754, 478.947, 5588.000, 13631.333
782.747, 481208.237, 0.139, 67103.345, 251109636.837, 1100.667, 34628.667, 16848.667
421.125, 139287.454, 0.191, 26561.143, 39104956.006, 1258.660, 14647.333, 15917.333
533.670, 223683.862, 0.156, 34982.225, 79582170.111, 1019.522, 13038.667, 32512.000
424.895, 141792.387, 0.177, 25046.068, 40164574.561, 883.946, 10752.667, 5249.333
1774.646, 2473507.253, 0.208, 514165.793, 2926399287.526, 423.333, 30988.000, 7027.333
1166.508, 1068722.569, 0.152, 161931.515, 831115288.958, 682.604, 6434.667, 30141.333
986.496, 764328.657, 0.144, 110056.478, 502671212.672, 1084.262, 4487.333, 18118.667
998.028, 782304.213, 0.153, 120038.865, 520507874.607, 1135.923, 9906.000, 4064.000
542.094, 230801.632, 0.158, 36509.454, 83410766.773, 1258.660, 15748.000, 19134.667
1271.290, 1269342.549, 0.191, 242484.096, 1075801281.100, 478.947, 5926.667, 13292.667
1446.121, 1642477.066, 0.149, 244011.183, 1583480690.081, 431.717, 32766.000, 26331.333
611.718, 293894.954, 0.145, 42518.687, 119853851.598, 2222.399, 13631.333, 19812.000
1000.750, 786576.987, 0.145, 113684.640, 524778041.653, 610.540, 11684.000, 17272.000
639.473, 321169.461, 0.142, 45504.459, 136919455.810, 1561.176, 27855.333, 12700.000
1195.874, 1123210.021, 0.125, 140584.118, 895478688.036, 431.717, 32342.667, 26416.000
549.874, 237474.476, 0.151, 35934.942, 87054095.373, 883.946, 11599.333, 4995.333
693.158, 377358.389, 0.137, 51657.309, 174379253.183, 1419.272, 12361.333, 3217.333
1914.777, 2879561.035, 0.179, 514594.674, 3675811503.277, 423.333, 30988.000, 7450.667
542.639, 231265.688, 0.155, 35929.847, 83662455.246, 965.349, 32766.000, 14054.667
574.428, 259156.092, 0.158, 40839.522, 99244382.566, 592.667, 17018.000, 7196.667
502.618, 198411.020, 0.133, 26449.644, 66483287.116, 833.870, 32342.667, 17864.667
1242.271, 1212055.773, 0.229, 277461.280, 1003801191.455, 1100.667, 8466.667, 32258.000
369.431, 107190.654, 0.185, 19849.364, 26399711.606, 1365.209, 5926.667, 19642.667
820.792, 529122.750, 0.153, 80816.994, 289533254.715, 1338.698, 10837.333, 26077.333
686.424, 370062.531, 0.141, 52344.901, 169346596.127, 661.268, 13800.667, 16848.667
1443.348, 1636182.587, 0.142, 232312.893, 1574386835.573, 682.604, 2540.000, 24130.000
692.424, 376560.235, 0.134, 50439.431, 173826299.275, 644.802, 17610.667, 15494.000
597.761, 280637.042, 0.130, 36451.963, 111835913.782, 1879.905, 18034.000, 18203.333
541.617, 230395.747, 0.145, 33465.184, 83190835.568, 946.602, 19981.333, 33951.333
954.951, 716229.309, 0.126, 90417.004, 455975946.397, 757.282, 8466.667, 31157.333
647.541, 329324.505, 0.151, 49816.152, 142167351.257, 1932.553, 8551.333, 23283.333
931.395, 681330.372, 0.142, 96816.013, 423058498.356, 728.330, 20912.667, 31834.667
263.459, 54515.026, 0.168, 9185.459, 9574985.816, 757.282, 25400.000, 10583.333
400.292, 125847.402, 0.175, 22057.842, 33583826.968, 850.889, 30734.000, 12192.000
1466.623, 1689377.201, 0.150, 253183.264, 1651785857.697, 455.944, 30564.667, 6858.000
917.320, 660893.365, 0.214, 141321.862, 404167034.669, 2794.000, 23706.667, 1693.333
1052.278, 869662.945, 0.117, 101856.658, 610084862.026, 1998.205, 33189.333, 11091.333
506.959, 201852.998, 0.156, 31524.268, 68220768.475, 780.588, 11684.000, 29718.000
489.407, 188117.822, 0.144, 27057.469, 61377431.912, 1258.660, 12784.667, 4572.000
575.666, 260274.553, 0.137, 35772.795, 99887550.910, 757.282, 24722.667, 10244.667
1012.442, 805063.655, 0.151, 121749.996, 543386858.476, 3319.322, 27940.000, 4826.000
519.296, 211797.092, 0.138, 29253.044, 73323601.718, 1365.209, 32173.333, 25061.333
507.886, 202591.993, 0.133, 26902.841, 68595751.167, 946.602, 22606.000, 25400.000
749.693, 441425.317, 0.156, 69024.700, 220622426.717, 1103.918, 9567.333, 32342.667
838.559, 552277.018, 0.129, 70998.913, 308744519.736, 718.420, 5164.667, 28448.000
490.803, 189192.625, 0.147, 27784.054, 61904198.331, 780.588, 12192.000, 29125.333
854.953, 574082.263, 0.129, 74023.606, 327208814.165, 780.588, 2455.333, 15070.667
1016.070, 810844.363, 0.139, 112725.865, 549249984.237, 1135.923, 10414.000, 3048.000
594.757, 277823.315, 0.135, 37408.060, 110158200.563, 1250.088, 23368.000, 7789.333
1514.353, 1801125.792, 0.174, 313095.858, 1818359995.403, 478.947, 31326.667, 7789.333
356.171, 99633.674, 0.160, 15984.796, 23657726.974, 1693.333, 8551.333, 10329.333
691.950, 376044.812, 0.147, 55356.181, 173469530.385, 431.717, 15578.667, 30226.000
