Plate, 2
Well, 1
Count, 130
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
20840.502, 0.000 to 41681.004, 2
62521.506, 41681.004 to 83362.007, 9
104202.509, 83362.007 to 125043.011, 12
145883.513, 125043.011 to 166724.015, 13
187564.517, 166724.015 to 208405.018, 13
229245.520, 208405.018 to 250086.022, 11
270926.524, 250086.022 to 291767.026, 11
312607.528, 291767.026 to 333448.029, 3
354288.531, 333448.029 to 375129.033, 10
395969.535, 375129.033 to 416810.037, 2
437650.539, 416810.037 to 458491.040, 5
479331.542, 458491.040 to 500172.044, 4
521012.546, 500172.044 to 541853.048, 1
562693.550, 541853.048 to 583534.052, 6
604374.553, 583534.052 to 625215.055, 5
646055.557, 625215.055 to 666896.059, 4
687736.561, 666896.059 to 708577.063, 3
729417.564, 708577.063 to 750258.066, 0
771098.568, 750258.066 to 791939.070, 1
812779.572, 791939.070 to 833620.074, 1
854460.575, 833620.074 to 875301.077, 2
896141.579, 875301.077 to 916982.081, 0
937822.583, 916982.081 to 958663.085, 1
979503.587, 958663.085 to 1000344.088, 2
1021184.590, 1000344.088 to 1042025.092, 0
1062865.594, 1042025.092 to 1083706.096, 0
1104546.598, 1083706.096 to 1125387.099, 1
1146227.601, 1125387.099 to 1167068.103, 1
1187908.605, 1167068.103 to 1208749.107, 0
1229589.609, 1208749.107 to 1250430.110, 0
1271270.612, 1250430.110 to 1292111.114, 0
1312951.616, 1292111.114 to 1333792.118, 1
1354632.620, 1333792.118 to 1375473.121, 1
1396313.623, 1375473.121 to 1417154.125, 0
1437994.627, 1417154.125 to 1458835.129, 0
1479675.631, 1458835.129 to 1500516.133, 0
1521356.634, 1500516.133 to 1542197.136, 0
1563037.638, 1542197.136 to 1583878.140, 1
1604718.642, 1583878.140 to 1625559.144, 0
1646399.645, 1625559.144 to 1667240.147, 0
1688080.649, 1667240.147 to 1708921.151, 0
1729761.653, 1708921.151 to 1750602.155, 0
1771442.656, 1750602.155 to 1792283.158, 1
1813123.660, 1792283.158 to 1833964.162, 0
1854804.664, 1833964.162 to 1875645.166, 0
1896485.667, 1875645.166 to 1917326.169, 1
1938166.671, 1917326.169 to 1959007.173, 1
1979847.675, 1959007.173 to 2000688.177, 0
2021528.679, 2000688.177 to 2042369.180, 0
2063209.682, 2042369.180 to 2084050.184, 1


Plate, 2
Well, 2
Count, 91
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
15314.869, 0.000 to 30629.737, 0
45944.606, 30629.737 to 61259.474, 1
76574.343, 61259.474 to 91889.211, 7
107204.080, 91889.211 to 122518.948, 10
137833.817, 122518.948 to 153148.685, 10
168463.554, 153148.685 to 183778.422, 7
199093.291, 183778.422 to 214408.159, 5
229723.028, 214408.159 to 245037.896, 5
260352.765, 245037.896 to 275667.633, 7
