Plate, 2
Well, 1
Count, 130
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.020, 0.016 to 0.024, 0
0.029, 0.024 to 0.033, 0
0.037, 0.033 to 0.041, 0
0.045, 0.041 to 0.049, 0
0.053, 0.049 to 0.057, 0
0.061, 0.057 to 0.065, 0
0.069, 0.065 to 0.073, 0
0.077, 0.073 to 0.081, 0
0.086, 0.081 to 0.090, 0
0.094, 0.090 to 0.098, 0
0.102, 0.098 to 0.106, 1
0.110, 0.106 to 0.114, 0
0.118, 0.114 to 0.122, 2
0.126, 0.122 to 0.130, 7
0.134, 0.130 to 0.139, 19
0.143, 0.139 to 0.147, 18
0.151, 0.147 to 0.155, 9
0.159, 0.155 to 0.163, 10
0.167, 0.163 to 0.171, 8
0.175, 0.171 to 0.179, 7
0.183, 0.179 to 0.187, 9
0.191, 0.187 to 0.196, 5
0.200, 0.196 to 0.204, 6
0.208, 0.204 to 0.212, 5
0.216, 0.212 to 0.220, 7
0.224, 0.220 to 0.228, 2
0.232, 0.228 to 0.236, 2
0.240, 0.236 to 0.244, 1
0.249, 0.244 to 0.253, 2
0.257, 0.253 to 0.261, 1
0.265, 0.261 to 0.269, 3
0.273, 0.269 to 0.277, 1
0.281, 0.277 to 0.285, 0
0.289, 0.285 to 0.293, 0
0.297, 0.293 to 0.301, 0
0.306, 0.301 to 0.310, 1
0.314, 0.310 to 0.318, 0
0.322, 0.318 to 0.326, 0
0.330, 0.326 to 0.334, 0
0.338, 0.334 to 0.342, 0
0.346, 0.342 to 0.350, 0
0.354, 0.350 to 0.359, 0
0.363, 0.359 to 0.367, 0
0.371, 0.367 to 0.375, 1
0.379, 0.375 to 0.383, 0
0.387, 0.383 to 0.391, 0
0.395, 0.391 to 0.399, 2
0.403, 0.399 to 0.407, 1


Plate, 2
Well, 2
Count, 91
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.021, 0
0.024, 0.021 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.035, 0.032 to 0.037, 0
0.040, 0.037 to 0.043, 0
0.045, 0.043 to 0.048, 0
0.051, 0.048 to 0.053, 0
0.056, 0.053 to 0.059, 0
0.062, 0.059 to 0.064, 0
0.067, 0.064 to 0.070, 0
0.072, 0.070 to 0.075, 0
0.078, 0.075 to 0.080, 0
0.083, 0.080 to 0.086, 0
0.088, 0.086 to 0.091, 0
0.094, 0.091 to 0.096, 0
0.099, 0.096 to 0.102, 0
0.104, 0.102 to 0.107, 0
0.110, 0.107 to 0.112, 0
0.115, 0.112 to 0.118, 0
0.120, 0.118 to 0.123, 1
0.126, 0.123 to 0.128, 0
0.131, 0.128 to 0.134, 2
0.136, 0.134 to 0.139, 6
0.142, 0.139 to 0.144, 7
0.147, 0.144 to 0.150, 4
0.152, 0.150 to 0.155, 10
0.158, 0.155 to 0.160, 7
0.163, 0.160 to 0.166, 11
0.169, 0.166 to 0.171, 5
0.174, 0.171 to 0.177, 9
0.179, 0.177 to 0.182, 8
0.185, 0.182 to 0.187, 5
0.190, 0.187 to 0.193, 1
0.195, 0.193 to 0.198, 3
0.201, 0.198 to 0.203, 2
0.206, 0.203 to 0.209, 2
0.211, 0.209 to 0.214, 0
0.217, 0.214 to 0.219, 2
0.222, 0.219 to 0.225, 1
0.227, 0.225 to 0.230, 1
0.233, 0.230 to 0.235, 0
0.238, 0.235 to 0.241, 0
0.243, 0.241 to 0.246, 1
0.249, 0.246 to 0.251, 0
0.254, 0.251 to 0.257, 2
0.259, 0.257 to 0.262, 0
0.265, 0.262 to 0.267, 1


Plate, 2
Well, 3
Count, 19
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.008, 0
0.010, 0.008 to 0.012, 0
0.014, 0.012 to 0.016, 0
0.017, 0.016 to 0.019, 0
0.021, 0.019 to 0.023, 0
0.025, 0.023 to 0.027, 0
0.029, 0.027 to 0.031, 0
0.033, 0.031 to 0.035, 0
0.037, 0.035 to 0.039, 0
0.041, 0.039 to 0.043, 0
0.045, 0.043 to 0.047, 0
0.048, 0.047 to 0.050, 0
0.052, 0.050 to 0.054, 0
0.056, 0.054 to 0.058, 0
0.060, 0.058 to 0.062, 0
0.064, 0.062 to 0.066, 0
0.068, 0.066 to 0.070, 0
0.072, 0.070 to 0.074, 0
0.076, 0.074 to 0.078, 0
0.080, 0.078 to 0.081, 0
0.083, 0.081 to 0.085, 0
0.087, 0.085 to 0.089, 0
0.091, 0.089 to 0.093, 0
0.095, 0.093 to 0.097, 0
0.099, 0.097 to 0.101, 0
0.103, 0.101 to 0.105, 0
0.107, 0.105 to 0.109, 0
0.111, 0.109 to 0.113, 0
0.114, 0.113 to 0.116, 0
0.118, 0.116 to 0.120, 0
0.122, 0.120 to 0.124, 0
0.126, 0.124 to 0.128, 1
0.130, 0.128 to 0.132, 2
0.134, 0.132 to 0.136, 3
0.138, 0.136 to 0.140, 1
0.142, 0.140 to 0.144, 1
0.145, 0.144 to 0.147, 4
0.149, 0.147 to 0.151, 2
0.153, 0.151 to 0.155, 1
0.157, 0.155 to 0.159, 0
0.161, 0.159 to 0.163, 1
0.165, 0.163 to 0.167, 1
0.169, 0.167 to 0.171, 1
0.173, 0.171 to 0.175, 0
0.177, 0.175 to 0.178, 0
0.180, 0.178 to 0.182, 0
0.184, 0.182 to 0.186, 0
0.188, 0.186 to 0.190, 0
0.192, 0.190 to 0.194, 1


Plate, 2
Well, 4
Count, 2
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.003, 0
0.004, 0.003 to 0.006, 0
0.007, 0.006 to 0.009, 0
0.010, 0.009 to 0.011, 0
0.013, 0.011 to 0.014, 0
0.016, 0.014 to 0.017, 0
0.018, 0.017 to 0.020, 0
0.021, 0.020 to 0.023, 0
0.024, 0.023 to 0.026, 0
0.027, 0.026 to 0.028, 0
0.030, 0.028 to 0.031, 0
0.033, 0.031 to 0.034, 0
0.036, 0.034 to 0.037, 0
0.038, 0.037 to 0.040, 0
0.041, 0.040 to 0.043, 0
0.044, 0.043 to 0.045, 0
0.047, 0.045 to 0.048, 0
0.050, 0.048 to 0.051, 0
0.053, 0.051 to 0.054, 0
0.055, 0.054 to 0.057, 0
0.058, 0.057 to 0.060, 0
0.061, 0.060 to 0.063, 0
0.064, 0.063 to 0.065, 0
0.067, 0.065 to 0.068, 0
0.070, 0.068 to 0.071, 0
0.072, 0.071 to 0.074, 0
0.075, 0.074 to 0.077, 0
0.078, 0.077 to 0.080, 0
0.081, 0.080 to 0.082, 0
0.084, 0.082 to 0.085, 0
0.087, 0.085 to 0.088, 0
0.089, 0.088 to 0.091, 0
0.092, 0.091 to 0.094, 0
0.095, 0.094 to 0.097, 0
0.098, 0.097 to 0.099, 0
0.101, 0.099 to 0.102, 0
0.104, 0.102 to 0.105, 0
0.107, 0.105 to 0.108, 0
0.109, 0.108 to 0.111, 0
0.112, 0.111 to 0.114, 0
0.115, 0.114 to 0.116, 0
0.118, 0.116 to 0.119, 0
0.121, 0.119 to 0.122, 0
0.124, 0.122 to 0.125, 0
0.126, 0.125 to 0.128, 0
0.129, 0.128 to 0.131, 0
0.132, 0.131 to 0.134, 0
0.135, 0.134 to 0.136, 0
0.138, 0.136 to 0.139, 0
0.141, 0.139 to 0.142, 2


Plate, 2
Well, 5
Count, 0
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm



Plate, 2
Well, 6
Count, 183
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.020, 0.016 to 0.024, 0
0.028, 0.024 to 0.032, 0
0.036, 0.032 to 0.040, 0
0.044, 0.040 to 0.048, 0
0.052, 0.048 to 0.056, 0
0.060, 0.056 to 0.064, 0
0.068, 0.064 to 0.072, 0
0.076, 0.072 to 0.080, 0
0.084, 0.080 to 0.088, 0
0.092, 0.088 to 0.096, 0
0.100, 0.096 to 0.104, 0
0.108, 0.104 to 0.112, 0
0.116, 0.112 to 0.120, 0
0.124, 0.120 to 0.128, 2
0.132, 0.128 to 0.136, 6
0.140, 0.136 to 0.144, 12
0.148, 0.144 to 0.152, 22
0.156, 0.152 to 0.160, 17
0.164, 0.160 to 0.168, 17
0.172, 0.168 to 0.176, 18
0.180, 0.176 to 0.184, 10
0.188, 0.184 to 0.192, 12
0.196, 0.192 to 0.200, 11
0.204, 0.200 to 0.208, 10
0.212, 0.208 to 0.216, 6
0.220, 0.216 to 0.224, 14
0.228, 0.224 to 0.232, 2
0.236, 0.232 to 0.240, 5
0.244, 0.240 to 0.248, 3
0.252, 0.248 to 0.256, 3
0.260, 0.256 to 0.264, 4
0.268, 0.264 to 0.272, 2
0.276, 0.272 to 0.280, 1
0.284, 0.280 to 0.288, 3
0.292, 0.288 to 0.296, 1
0.300, 0.296 to 0.304, 0
0.308, 0.304 to 0.312, 1
0.316, 0.312 to 0.320, 0
0.324, 0.320 to 0.328, 0
0.332, 0.328 to 0.336, 0
0.340, 0.336 to 0.344, 0
0.348, 0.344 to 0.352, 0
0.356, 0.352 to 0.360, 0
0.364, 0.360 to 0.368, 0
0.372, 0.368 to 0.376, 0
0.380, 0.376 to 0.384, 0
0.388, 0.384 to 0.392, 0
0.396, 0.392 to 0.400, 1




ADDITIONAL INFO
Read-date:	01-03-2020
Read-time:	17:07:16
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Falcon 6 wells_mask.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate2\Plate2.ics


