Plate, 2
Well, 1
Count, 130
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
16.290, 0.000 to 32.579, 0
48.869, 32.579 to 65.158, 0
81.448, 65.158 to 97.737, 0
114.027, 97.737 to 130.316, 0
146.606, 130.316 to 162.896, 0
179.185, 162.896 to 195.475, 0
211.764, 195.475 to 228.054, 1
244.343, 228.054 to 260.633, 4
276.922, 260.633 to 293.212, 2
309.501, 293.212 to 325.791, 4
342.081, 325.791 to 358.370, 5
374.660, 358.370 to 390.949, 6
407.239, 390.949 to 423.528, 2
439.818, 423.528 to 456.107, 10
472.397, 456.107 to 488.687, 8
504.976, 488.687 to 521.266, 9
537.555, 521.266 to 553.845, 5
570.134, 553.845 to 586.424, 9
602.713, 586.424 to 619.003, 8
635.293, 619.003 to 651.582, 1
667.872, 651.582 to 684.161, 9
700.451, 684.161 to 716.740, 2
733.030, 716.740 to 749.319, 3
765.609, 749.319 to 781.899, 3
798.188, 781.899 to 814.478, 4
830.767, 814.478 to 847.057, 3
863.346, 847.057 to 879.636, 7
895.925, 879.636 to 912.215, 5
928.504, 912.215 to 944.794, 4
961.084, 944.794 to 977.373, 0
993.663, 977.373 to 1009.952, 1
1026.242, 1009.952 to 1042.531, 2
1058.821, 1042.531 to 1075.110, 1
1091.400, 1075.110 to 1107.690, 1
1123.979, 1107.690 to 1140.269, 2
1156.558, 1140.269 to 1172.848, 0
1189.137, 1172.848 to 1205.427, 1
1221.716, 1205.427 to 1238.006, 1
1254.296, 1238.006 to 1270.585, 0
1286.875, 1270.585 to 1303.164, 1
1319.454, 1303.164 to 1335.743, 1
1352.033, 1335.743 to 1368.322, 0
1384.612, 1368.322 to 1400.901, 0
1417.191, 1400.901 to 1433.481, 1
1449.770, 1433.481 to 1466.060, 0
1482.349, 1466.060 to 1498.639, 0
1514.928, 1498.639 to 1531.218, 1
1547.507, 1531.218 to 1563.797, 1
1580.087, 1563.797 to 1596.376, 1
1612.666, 1596.376 to 1628.955, 1


Plate, 2
Well, 2
Count, 91
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
13.964, 0.000 to 27.928, 0
41.892, 27.928 to 55.856, 0
69.820, 55.856 to 83.784, 0
97.748, 83.784 to 111.712, 0
125.677, 111.712 to 139.641, 0
153.605, 139.641 to 167.569, 0
181.533, 167.569 to 195.497, 0
209.461, 195.497 to 223.425, 0
237.389, 223.425 to 251.353, 1
265.317, 251.353 to 279.281, 0
293.245, 279.281 to 307.209, 1
321.173, 307.209 to 335.137, 2
349.101, 335.137 to 363.066, 8
377.030, 363.066 to 390.994, 6
404.958, 390.994 to 418.922, 5
432.886, 418.922 to 446.850, 6
460.814, 446.850 to 474.778, 3
488.742, 474.778 to 502.706, 4
516.670, 502.706 to 530.634, 6
544.598, 530.634 to 558.562, 3
572.526, 558.562 to 586.491, 6
600.455, 586.491 to 614.419, 3
628.383, 614.419 to 642.347, 2
656.311, 642.347 to 670.275, 8
684.239, 670.275 to 698.203, 3
712.167, 698.203 to 726.131, 4
740.095, 726.131 to 754.059, 2
768.023, 754.059 to 781.987, 4
795.951, 781.987 to 809.915, 1
823.880, 809.915 to 837.844, 2
851.808, 837.844 to 865.772, 2
879.736, 865.772 to 893.700, 1
907.664, 893.700 to 921.628, 2
935.592, 921.628 to 949.556, 2
963.520, 949.556 to 977.484, 0
991.448, 977.484 to 1005.412, 0
1019.376, 1005.412 to 1033.340, 1
1047.304, 1033.340 to 1061.269, 1
1075.233, 1061.269 to 1089.197, 0
1103.161, 1089.197 to 1117.125, 0
1131.089, 1117.125 to 1145.053, 0
1159.017, 1145.053 to 1172.981, 0
1186.945, 1172.981 to 1200.909, 0
1214.873, 1200.909 to 1228.837, 0
1242.801, 1228.837 to 1256.765, 0
1270.729, 1256.765 to 1284.693, 1
1298.658, 1284.693 to 1312.622, 0
1326.586, 1312.622 to 1340.550, 0
1354.514, 1340.550 to 1368.478, 0
1382.442, 1368.478 to 1396.406, 1


Plate, 2
Well, 3
Count, 19
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
7.396, 0.000 to 14.792, 0
22.188, 14.792 to 29.584, 0
36.980, 29.584 to 44.377, 0
51.773, 44.377 to 59.169, 0
66.565, 59.169 to 73.961, 0
81.357, 73.961 to 88.753, 0
96.149, 88.753 to 103.545, 0
110.941, 103.545 to 118.338, 0
125.734, 118.338 to 133.130, 0
140.526, 133.130 to 147.922, 0
155.318, 147.922 to 162.714, 0
170.110, 162.714 to 177.506, 0
184.902, 177.506 to 192.299, 0
199.695, 192.299 to 207.091, 0
214.487, 207.091 to 221.883, 1
