Plate, 4
Well, 1
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
31.498, 0.000 to 62.996, 0
94.493, 62.996 to 125.991, 0
157.489, 125.991 to 188.987, 0
220.485, 188.987 to 251.983, 0
283.480, 251.983 to 314.978, 0
346.476, 314.978 to 377.974, 10
409.472, 377.974 to 440.969, 2
472.467, 440.969 to 503.965, 4
535.463, 503.965 to 566.961, 6
598.459, 566.961 to 629.956, 11
661.454, 629.956 to 692.952, 13
724.450, 692.952 to 755.948, 5
787.446, 755.948 to 818.943, 24
850.441, 818.943 to 881.939, 11
913.437, 881.939 to 944.935, 8
976.432, 944.935 to 1007.930, 7
1039.428, 1007.930 to 1070.926, 17
1102.424, 1070.926 to 1133.922, 11
1165.419, 1133.922 to 1196.917, 1
1228.415, 1196.917 to 1259.913, 7
1291.411, 1259.913 to 1322.908, 8
1354.406, 1322.908 to 1385.904, 3
1417.402, 1385.904 to 1448.900, 3
1480.398, 1448.900 to 1511.895, 8
1543.393, 1511.895 to 1574.891, 7
1606.389, 1574.891 to 1637.887, 4
1669.384, 1637.887 to 1700.882, 3
1732.380, 1700.882 to 1763.878, 2
1795.376, 1763.878 to 1826.874, 4
1858.371, 1826.874 to 1889.869, 3
1921.367, 1889.869 to 1952.865, 2
1984.363, 1952.865 to 2015.861, 3
2047.358, 2015.861 to 2078.856, 0
2110.354, 2078.856 to 2141.852, 4
2173.350, 2141.852 to 2204.847, 0
2236.345, 2204.847 to 2267.843, 1
2299.341, 2267.843 to 2330.839, 0
2362.337, 2330.839 to 2393.834, 0
2425.332, 2393.834 to 2456.830, 0
2488.328, 2456.830 to 2519.826, 2
2551.323, 2519.826 to 2582.821, 3
2614.319, 2582.821 to 2645.817, 0
2677.315, 2645.817 to 2708.813, 0
2740.310, 2708.813 to 2771.808, 3
2803.306, 2771.808 to 2834.804, 0
2866.302, 2834.804 to 2897.800, 1
2929.297, 2897.800 to 2960.795, 0
2992.293, 2960.795 to 3023.791, 0
3055.289, 3023.791 to 3086.786, 0
3118.284, 3086.786 to 3149.782, 1


Plate, 4
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.020, 0.000 to 66.040, 0
99.060, 66.040 to 132.080, 0
165.100, 132.080 to 198.120, 0
231.140, 198.120 to 264.160, 2
297.180, 264.160 to 330.200, 0
363.220, 330.200 to 396.240, 0
429.260, 396.240 to 462.280, 2
495.300, 462.280 to 528.320, 2
561.340, 528.320 to 594.360, 2
627.380, 594.360 to 660.400, 6
693.420, 660.400 to 726.440, 18
759.460, 726.440 to 792.480, 13
825.500, 792.480 to 858.520, 10
891.540, 858.520 to 924.560, 17
957.580, 924.560 to 990.600, 5
1023.620, 990.600 to 1056.640, 4
1089.660, 1056.640 to 1122.680, 11
1155.700, 1122.680 to 1188.720, 8
1221.740, 1188.720 to 1254.760, 6
1287.780, 1254.760 to 1320.800, 4
1353.820, 1320.800 to 1386.840, 12
1419.860, 1386.840 to 1452.880, 11
1485.900, 1452.880 to 1518.920, 3
1551.940, 1518.920 to 1584.960, 5
1617.980, 1584.960 to 1651.000, 3
1684.020, 1651.000 to 1717.040, 2
1750.060, 1717.040 to 1783.080, 6
1816.100, 1783.080 to 1849.120, 5
1882.140, 1849.120 to 1915.160, 4
1948.180, 1915.160 to 1981.200, 3
2014.220, 1981.200 to 2047.240, 2
2080.260, 2047.240 to 2113.280, 0
2146.300, 2113.280 to 2179.320, 2
2212.340, 2179.320 to 2245.360, 2
2278.380, 2245.360 to 2311.400, 0
2344.420, 2311.400 to 2377.440, 2
2410.460, 2377.440 to 2443.480, 2
2476.500, 2443.480 to 2509.520, 1
2542.540, 2509.520 to 2575.560, 1
2608.580, 2575.560 to 2641.600, 1
2674.620, 2641.600 to 2707.640, 0
2740.660, 2707.640 to 2773.680, 2
2806.700, 2773.680 to 2839.720, 0
2872.740, 2839.720 to 2905.760, 0
2938.780, 2905.760 to 2971.800, 2
3004.820, 2971.800 to 3037.840, 1
3070.860, 3037.840 to 3103.880, 0
3136.900, 3103.880 to 3169.920, 0
3202.940, 3169.920 to 3235.960, 0
3268.980, 3235.960 to 3302.000, 1


Plate, 4
Well, 3
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
38.400, 0.000 to 76.800, 0
115.200, 76.800 to 153.599, 0
191.999, 153.599 to 230.399, 2
268.799, 230.399 to 307.199, 2
345.599, 307.199 to 383.999, 0
422.398, 383.999 to 460.798, 4
499.198, 460.798 to 537.598, 2
575.998, 537.598 to 614.398, 6
652.798, 614.398 to 691.197, 10
729.597, 691.197 to 767.997, 14
806.397, 767.997 to 844.797, 6
883.197, 844.797 to 921.597, 13
959.996, 921.597 to 998.396, 12
1036.796, 998.396 to 1075.196, 10
1113.596, 1075.196 to 1151.996, 7
1190.396, 1151.996 to 1228.795, 6
1267.195, 1228.795 to 1305.595, 9
1343.995, 1305.595 to 1382.395, 3
1420.795, 1382.395 to 1459.195, 0
1497.594, 1459.195 to 1535.994, 0
1574.394, 1535.994 to 1612.794, 6
1651.194, 1612.794 to 1689.594, 4
1727.994, 1689.594 to 1766.393, 2
1804.793, 1766.393 to 1843.193, 4
1881.593, 1843.193 to 1919.993, 8
1958.393, 1919.993 to 1996.793, 2
2035.192, 1996.793 to 2073.592, 2
2111.992, 2073.592 to 2150.392, 5
2188.792, 2150.392 to 2227.192, 1
2265.592, 2227.192 to 2303.991, 3
2342.391, 2303.991 to 2380.791, 0
2419.191, 2380.791 to 2457.591, 2
2495.991, 2457.591 to 2534.391, 3
2572.790, 2534.391 to 2611.190, 0
2649.590, 2611.190 to 2687.990, 0
2726.390, 2687.990 to 2764.790, 0
2803.190, 2764.790 to 2841.589, 0
2879.989, 2841.589 to 2918.389, 1
2956.789, 2918.389 to 2995.189, 0
3033.589, 2995.189 to 3071.989, 0
3110.388, 3071.989 to 3148.788, 0
3187.188, 3148.788 to 3225.588, 0
3263.988, 3225.588 to 3302.388, 0
3340.788, 3302.388 to 3379.187, 0
3417.587, 3379.187 to 3455.987, 0
3494.387, 3455.987 to 3532.787, 0
3571.187, 3532.787 to 3609.587, 0
3647.986, 3609.587 to 3686.386, 0
3724.786, 3686.386 to 3763.186, 1
3801.586, 3763.186 to 3839.986, 1


Plate, 4
Well, 4
Count, 113
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
57.180, 0.000 to 114.360, 0
171.539, 114.360 to 228.719, 0
285.899, 228.719 to 343.079, 0
400.258, 343.079 to 457.438, 2
514.618, 457.438 to 571.798, 2
628.978, 571.798 to 686.157, 15
743.337, 686.157 to 800.517, 8
857.697, 800.517 to 914.877, 9
972.056, 914.877 to 1029.236, 16
1086.416, 1029.236 to 1143.596, 11
1200.775, 1143.596 to 1257.955, 7
1315.135, 1257.955 to 1372.315, 3
1429.495, 1372.315 to 1486.674, 2
1543.854, 1486.674 to 1601.034, 5
1658.214, 1601.034 to 1715.393, 4
1772.573, 1715.393 to 1829.753, 7
1886.933, 1829.753 to 1944.113, 3
2001.292, 1944.113 to 2058.472, 3
2115.652, 2058.472 to 2172.832, 1
2230.012, 2172.832 to 2287.191, 1
2344.371, 2287.191 to 2401.551, 3
2458.731, 2401.551 to 2515.910, 0
2573.090, 2515.910 to 2630.270, 0
2687.450, 2630.270 to 2744.630, 1
2801.809, 2744.630 to 2858.989, 1
2916.169, 2858.989 to 2973.349, 1
3030.528, 2973.349 to 3087.708, 2
3144.888, 3087.708 to 3202.068, 0
3259.248, 3202.068 to 3316.427, 0
3373.607, 3316.427 to 3430.787, 0
3487.967, 3430.787 to 3545.147, 0
3602.326, 3545.147 to 3659.506, 1
3716.686, 3659.506 to 3773.866, 1
3831.045, 3773.866 to 3888.225, 0
3945.405, 3888.225 to 4002.585, 0
4059.765, 4002.585 to 4116.944, 1
4174.124, 4116.944 to 4231.304, 0
4288.484, 4231.304 to 4345.663, 0
4402.843, 4345.663 to 4460.023, 0
4517.203, 4460.023 to 4574.383, 2
4631.562, 4574.383 to 4688.742, 0
4745.922, 4688.742 to 4803.102, 0
4860.282, 4803.102 to 4917.461, 0
4974.641, 4917.461 to 5031.821, 0
5089.001, 5031.821 to 5146.180, 0
5203.360, 5146.180 to 5260.540, 0
5317.720, 5260.540 to 5374.900, 0
5432.079, 5374.900 to 5489.259, 0
5546.439, 5489.259 to 5603.619, 0
5660.798, 5603.619 to 5717.978, 1


Plate, 4
Well, 5
Count, 33
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
66.951, 0.000 to 133.902, 0
200.853, 133.902 to 267.804, 0
334.755, 267.804 to 401.706, 0
468.657, 401.706 to 535.608, 0
602.558, 535.608 to 669.509, 0
736.460, 669.509 to 803.411, 0
870.362, 803.411 to 937.313, 4
1004.264, 937.313 to 1071.215, 0
1138.166, 1071.215 to 1205.117, 2
1272.068, 1205.117 to 1339.019, 5
1405.970, 1339.019 to 1472.921, 0
1539.872, 1472.921 to 1606.823, 0
1673.773, 1606.823 to 1740.724, 0
1807.675, 1740.724 to 1874.626, 4
1941.577, 1874.626 to 2008.528, 2
2075.479, 2008.528 to 2142.430, 3
2209.381, 2142.430 to 2276.332, 0
2343.283, 2276.332 to 2410.234, 2
2477.185, 2410.234 to 2544.136, 1
2611.087, 2544.136 to 2678.038, 1
2744.989, 2678.038 to 2811.939, 0
2878.890, 2811.939 to 2945.841, 1
3012.792, 2945.841 to 3079.743, 0
3146.694, 3079.743 to 3213.645, 0
3280.596, 3213.645 to 3347.547, 0
3414.498, 3347.547 to 3481.449, 0
3548.400, 3481.449 to 3615.351, 3
3682.302, 3615.351 to 3749.253, 0
3816.204, 3749.253 to 3883.154, 0
3950.105, 3883.154 to 4017.056, 0
4084.007, 4017.056 to 4150.958, 0
4217.909, 4150.958 to 4284.860, 0
4351.811, 4284.860 to 4418.762, 1
4485.713, 4418.762 to 4552.664, 0
4619.615, 4552.664 to 4686.566, 0
4753.517, 4686.566 to 4820.468, 2
4887.419, 4820.468 to 4954.370, 0
5021.320, 4954.370 to 5088.271, 0
5155.222, 5088.271 to 5222.173, 0
5289.124, 5222.173 to 5356.075, 0
5423.026, 5356.075 to 5489.977, 0
5556.928, 5489.977 to 5623.879, 1
5690.830, 5623.879 to 5757.781, 0
5824.732, 5757.781 to 5891.683, 0
5958.634, 5891.683 to 6025.585, 0
6092.536, 6025.585 to 6159.486, 0
6226.437, 6159.486 to 6293.388, 0
6360.339, 6293.388 to 6427.290, 0
6494.241, 6427.290 to 6561.192, 0
6628.143, 6561.192 to 6695.094, 1


Plate, 4
Well, 6
Count, 213
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
36.417, 0.000 to 72.833, 0
109.250, 72.833 to 145.666, 0
182.083, 145.666 to 218.499, 0
254.916, 218.499 to 291.332, 0
327.749, 291.332 to 364.165, 4
400.582, 364.165 to 436.998, 8
473.415, 436.998 to 509.831, 6
546.248, 509.831 to 582.664, 4
619.081, 582.664 to 655.497, 12
691.914, 655.497 to 728.330, 15
764.747, 728.330 to 801.163, 13
837.580, 801.163 to 873.996, 15
910.413, 873.996 to 946.829, 16
983.246, 946.829 to 1019.662, 13
1056.079, 1019.662 to 1092.495, 3
1128.912, 1092.495 to 1165.328, 23
1201.745, 1165.328 to 1238.161, 11
1274.578, 1238.161 to 1310.994, 8
1347.411, 1310.994 to 1383.827, 6
1420.244, 1383.827 to 1456.660, 5
1493.077, 1456.660 to 1529.493, 14
1565.910, 1529.493 to 1602.326, 11
1638.743, 1602.326 to 1675.159, 4
1711.576, 1675.159 to 1747.992, 6
1784.409, 1747.992 to 1820.826, 5
1857.242, 1820.826 to 1893.659, 1
1930.075, 1893.659 to 1966.492, 2
2002.908, 1966.492 to 2039.325, 0
2075.741, 2039.325 to 2112.158, 0
2148.574, 2112.158 to 2184.991, 1
2221.407, 2184.991 to 2257.824, 0
2294.240, 2257.824 to 2330.657, 0
2367.073, 2330.657 to 2403.490, 0
2439.906, 2403.490 to 2476.323, 0
2512.739, 2476.323 to 2549.156, 1
2585.572, 2549.156 to 2621.989, 1
2658.405, 2621.989 to 2694.822, 0
2731.238, 2694.822 to 2767.655, 0
2804.071, 2767.655 to 2840.488, 0
2876.904, 2840.488 to 2913.321, 0
2949.737, 2913.321 to 2986.154, 1
3022.570, 2986.154 to 3058.987, 1
3095.403, 3058.987 to 3131.820, 0
3168.236, 3131.820 to 3204.653, 0
3241.069, 3204.653 to 3277.486, 1
3313.902, 3277.486 to 3350.319, 1
3386.735, 3350.319 to 3423.152, 0
3459.568, 3423.152 to 3495.985, 0
3532.401, 3495.985 to 3568.818, 0
3605.235, 3568.818 to 3641.651, 1




ADDITIONAL INFO
Read-date:	01-03-2020
Read-time:	17:07:16
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Falcon 6 wells_mask.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate4\Plate4.ics


