,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,UWB1 TX,0.0,1,A01,2000,937.2061533387316,13898.223112479993,188,762.6295776367188,343.2419128417969,549322.3125,505151.875,103272596.8970106,0.18122974038124084,0.048012569546699524,34.07119091210746,111340.4921875,133132.453125,20932011.819691606,391983232,552269632.0,73692847199.52614,1121.3104248046875,667.6665649414062,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,1.013477088948787
1,1,UWB1 TX,5.0805263425290864e-05,2,A02,2000,937.2061533387316,12646.080310408255,199,759.7847900390625,313.2477111816406,530455.625,454688.75,105560665.77938315,0.16774329543113708,0.04210340231657028,33.38091485765836,94048.609375,90739.40625,18715673.552712277,360742496,499899168.0,71787758432.76126,1127.046630859375,510.1791687011719,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,1.0727762803234502
2,1,UWB1 TX,0.00015241579027587258,3,A03,2000,937.2061533387316,11086.350880740109,202,750.794677734375,303.4523620605469,515045.21875,429810.0,104039134.79053502,0.15825609862804413,0.0441475473344326,31.967732883406168,87496.5234375,84165.203125,17674297.660625268,342189088,461718208.0,69122197375.07469,1101.499755859375,575.4812622070312,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,1.0889487870619947
3,1,UWB1 TX,0.0004572473708276177,4,B01,2000,937.2061533387316,14739.149529194594,203,743.5071411132812,315.216064453125,512208.4375,439653.84375,103978314.2500845,0.18088679015636444,0.03954369202256203,36.72001971895725,98980.03125,98832.7578125,20092946.128497805,344186560,449317248.0,69869872568.24406,1185.446533203125,605.7903442382812,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,1.0943396226415094
4,1,UWB1 TX,0.0013717421124828531,5,B02,2000,937.2061533387316,13137.834146275514,232,742.617919921875,296.78973388671875,502313.59375,420854.0,116536755.94327207,0.16763299703598022,0.04357219114899635,38.890854036394096,87246.6640625,84194.8515625,20241225.347999357,329175520,462699520.0,76368722162.6281,1130.755615234375,547.74560546875,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,1.2506738544474394
5,1,UWB1 TX,0.004115226337448559,6,B03,2000,937.2061533387316,10626.473975027704,185,683.510498046875,288.34515380859375,432227.8125,381031.40625,79962147.09006187,0.15193825960159302,0.04102037474513054,28.108578605224324,69352.1484375,71489.7421875,12830147.3705969,268597984,367292960.0,49690624277.52842,1223.299072265625,591.980224609375,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate1\Plate1.ics,Niraparib,UWB1,TX,0.09275,0.9973045822102425
6,2,UWB1 TX,0.012345679012345678,1,A01,2000,937.2061533387316,12913.277409938675,130,657.69189453125,296.4656677246094,408760.90625,395295.6875,53138916.90089778,0.17735162377357483,0.0541192926466465,23.055711736240866,77273.96875,84912.2421875,10045615.920375083,254983024,398443296.0,33147792522.281525,1359.781005859375,737.4056396484375,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate2\Plate2.ics,Niraparib,UWB1,TX,0.09275,0.7008086253369272
7,2,UWB1 TX,0.037037037037037035,2,A02,2000,937.2061533387316,13281.810566264934,91,588.5995483398438,215.25323486328125,308491.34375,245187.59375,28072711.230805095,0.16997572779655457,0.028214940801262856,15.467791257707372,54731.265625,50156.625,4980545.254949534,155268720,208527984.0,14129454195.134956,1704.272705078125,846.7213745117188,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate2\Plate2.ics,Niraparib,UWB1,TX,0.09275,0.49056603773584906
8,2,UWB1 TX,0.1111111111111111,3,A03,2000,937.2061533387316,12755.868671514765,19,484.1671142578125,144.78765869140625,200575.96875,115058.8359375,3810943.2716834196,0.14656247198581696,0.01610955223441124,2.784687041108543,29440.900390625,16876.83984375,559377.1025678384,75722176,62522696.0,1438721353.6792889,3395.5166015625,1756.53515625,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate2\Plate2.ics,Niraparib,UWB1,TX,0.09275,0.10242587601078167
9,2,UWB1 TX,0.3333333333333333,4,B01,2000,937.2061533387316,11969.77698773707,2,287.28692626953125,4.20437479019165,64835.765625,1897.3050537109375,129671.52927687162,0.1415540724992752,0.0005055482615716755,0.2831081578997189,9178.7265625,301.348876953125,18357.45225128566,12422963,545109.875,24845926.725894608,24780.58984375,0.0,2020-01-03,17:07:16,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-51\Plate2\Plate2.ics,Niraparib,UWB1,TX,0.09275,0.01078167115902965
