Plate, 3
Well, 1
Count, 211
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
24325.594, 0.000 to 48651.189, 2
72976.783, 48651.189 to 97302.378, 7
121627.972, 97302.378 to 145953.567, 16
170279.161, 145953.567 to 194604.756, 22
218930.350, 194604.756 to 243255.945, 26
267581.539, 243255.945 to 291907.134, 11
316232.728, 291907.134 to 340558.323, 12
364883.917, 340558.323 to 389209.512, 16
413535.106, 389209.512 to 437860.701, 14
462186.295, 437860.701 to 486511.890, 7
510837.484, 486511.890 to 535163.079, 7
559488.673, 535163.079 to 583814.268, 6
608139.862, 583814.268 to 632465.456, 11
656791.051, 632465.456 to 681116.645, 4
705442.240, 681116.645 to 729767.834, 7
754093.429, 729767.834 to 778419.023, 5
802744.618, 778419.023 to 827070.212, 3
851395.807, 827070.212 to 875721.401, 6
900046.996, 875721.401 to 924372.590, 4
948698.185, 924372.590 to 973023.779, 2
997349.374, 973023.779 to 1021674.968, 0
1046000.563, 1021674.968 to 1070326.157, 1
1094651.752, 1070326.157 to 1118977.346, 0
1143302.941, 1118977.346 to 1167628.535, 1
1191954.130, 1167628.535 to 1216279.724, 1
1240605.318, 1216279.724 to 1264930.913, 3
1289256.507, 1264930.913 to 1313582.102, 3
1337907.696, 1313582.102 to 1362233.291, 2
1386558.885, 1362233.291 to 1410884.480, 0
1435210.074, 1410884.480 to 1459535.669, 1
1483861.263, 1459535.669 to 1508186.858, 1
1532512.452, 1508186.858 to 1556838.047, 0
1581163.641, 1556838.047 to 1605489.236, 0
1629814.830, 1605489.236 to 1654140.425, 3
1678466.019, 1654140.425 to 1702791.614, 0
1727117.208, 1702791.614 to 1751442.803, 2
1775768.397, 1751442.803 to 1800093.992, 0
1824419.586, 1800093.992 to 1848745.180, 1
1873070.775, 1848745.180 to 1897396.369, 1
1921721.964, 1897396.369 to 1946047.558, 0
1970373.153, 1946047.558 to 1994698.747, 0
2019024.342, 1994698.747 to 2043349.936, 0
2067675.531, 2043349.936 to 2092001.125, 1
2116326.720, 2092001.125 to 2140652.314, 1
2164977.909, 2140652.314 to 2189303.503, 0
2213629.098, 2189303.503 to 2237954.692, 0
2262280.287, 2237954.692 to 2286605.881, 0
2310931.476, 2286605.881 to 2335257.070, 0
2359582.665, 2335257.070 to 2383908.259, 0
2408233.854, 2383908.259 to 2432559.448, 1


Plate, 3
Well, 2
Count, 196
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
22460.966, 0.000 to 44921.932, 2
67382.898, 44921.932 to 89843.864, 8
112304.830, 89843.864 to 134765.796, 20
157226.762, 134765.796 to 179687.728, 25
202148.694, 179687.728 to 224609.660, 24
247070.626, 224609.660 to 269531.592, 14
291992.558, 269531.592 to 314453.524, 9
336914.490, 314453.524 to 359375.456, 18
381836.422, 359375.456 to 404297.388, 15
426758.354, 404297.388 to 449219.320, 10
471680.286, 449219.320 to 494141.252, 8
516602.218, 494141.252 to 539063.184, 3
561524.150, 539063.184 to 583985.116, 5
606446.082, 583985.116 to 628907.048, 4
651368.014, 628907.048 to 673828.980, 1
696289.946, 673828.980 to 718750.912, 2
741211.878, 718750.912 to 763672.845, 2
786133.811, 763672.845 to 808594.777, 1
831055.743, 808594.777 to 853516.709, 4
875977.675, 853516.709 to 898438.641, 5
920899.607, 898438.641 to 943360.573, 2
965821.539, 943360.573 to 988282.505, 1
1010743.471, 988282.505 to 1033204.437, 1
1055665.403, 1033204.437 to 1078126.369, 1
1100587.335, 1078126.369 to 1123048.301, 1
1145509.267, 1123048.301 to 1167970.233, 1
1190431.199, 1167970.233 to 1212892.165, 2
1235353.131, 1212892.165 to 1257814.097, 2
1280275.063, 1257814.097 to 1302736.029, 0
1325196.995, 1302736.029 to 1347657.961, 0
1370118.927, 1347657.961 to 1392579.893, 1
1415040.859, 1392579.893 to 1437501.825, 1
1459962.791, 1437501.825 to 1482423.757, 0
1504884.723, 1482423.757 to 1527345.689, 1
1549806.655, 1527345.689 to 1572267.621, 0
1594728.587, 1572267.621 to 1617189.553, 0
1639650.519, 1617189.553 to 1662111.485, 0
1684572.451, 1662111.485 to 1707033.417, 1
1729494.383, 1707033.417 to 1751955.349, 0
1774416.315, 1751955.349 to 1796877.281, 0
1819338.247, 1796877.281 to 1841799.213, 0
1864260.179, 1841799.213 to 1886721.145, 0
1909182.111, 1886721.145 to 1931643.077, 0
1954104.043, 1931643.077 to 1976565.009, 0
1999025.975, 1976565.009 to 2021486.941, 0
2043947.907, 2021486.941 to 2066408.873, 0
2088869.839, 2066408.873 to 2111330.805, 0
2133791.771, 2111330.805 to 2156252.737, 0
2178713.703, 2156252.737 to 2201174.669, 0
2223635.635, 2201174.669 to 2246096.602, 1


Plate, 3
Well, 3
Count, 184
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
23262.841, 0.000 to 46525.681, 4
69788.522, 46525.681 to 93051.362, 11
116314.203, 93051.362 to 139577.043, 18
162839.884, 139577.043 to 186102.725, 21
209365.565, 186102.725 to 232628.406, 16
255891.246, 232628.406 to 279154.087, 13
302416.928, 279154.087 to 325679.768, 8
348942.609, 325679.768 to 372205.449, 9
395468.290, 372205.449 to 418731.130, 9
441993.971, 418731.130 to 465256.812, 8
488519.652, 465256.812 to 511782.493, 5
535045.333, 511782.493 to 558308.174, 3
581571.015, 558308.174 to 604833.855, 10
628096.696, 604833.855 to 651359.536, 4
674622.377, 651359.536 to 697885.217, 2
721148.058, 697885.217 to 744410.899, 3
767673.739, 744410.899 to 790936.580, 5
814199.420, 790936.580 to 837462.261, 3
860725.101, 837462.261 to 883987.942, 4
907250.783, 883987.942 to 930513.623, 0
953776.464, 930513.623 to 977039.304, 1
1000302.145, 977039.304 to 1023564.986, 4
1046827.826, 1023564.986 to 1070090.667, 2
1093353.507, 1070090.667 to 1116616.348, 3
1139879.188, 1116616.348 to 1163142.029, 1
1186404.870, 1163142.029 to 1209667.710, 4
1232930.551, 1209667.710 to 1256193.391, 2
1279456.232, 1256193.391 to 1302719.072, 0
1325981.913, 1302719.072 to 1349244.754, 0
1372507.594, 1349244.754 to 1395770.435, 1
1419033.275, 1395770.435 to 1442296.116, 2
1465558.957, 1442296.116 to 1488821.797, 0
1512084.638, 1488821.797 to 1535347.478, 1
1558610.319, 1535347.478 to 1581873.159, 0
1605136.000, 1581873.159 to 1628398.841, 0
1651661.681, 1628398.841 to 1674924.522, 1
1698187.362, 1674924.522 to 1721450.203, 0
1744713.044, 1721450.203 to 1767975.884, 0
1791238.725, 1767975.884 to 1814501.565, 1
1837764.406, 1814501.565 to 1861027.246, 1
1884290.087, 1861027.246 to 1907552.928, 0
1930815.768, 1907552.928 to 1954078.609, 0
1977341.449, 1954078.609 to 2000604.290, 0
2023867.130, 2000604.290 to 2047129.971, 0
2070392.812, 2047129.971 to 2093655.652, 0
2116918.493, 2093655.652 to 2140181.333, 2
2163444.174, 2140181.333 to 2186707.015, 0
2209969.855, 2186707.015 to 2233232.696, 1
2256495.536, 2233232.696 to 2279758.377, 0
2303021.217, 2279758.377 to 2326284.058, 1


Plate, 3
Well, 4
Count, 205
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
20491.269, 0.000 to 40982.538, 4
61473.806, 40982.538 to 81965.075, 7
102456.344, 81965.075 to 122947.613, 21
143438.882, 122947.613 to 163930.151, 12
184421.419, 163930.151 to 204912.688, 23
225403.957, 204912.688 to 245895.226, 25
266386.495, 245895.226 to 286877.764, 21
307369.032, 286877.764 to 327860.301, 11
348351.570, 327860.301 to 368842.839, 7
389334.108, 368842.839 to 409825.377, 3
430316.645, 409825.377 to 450807.914, 8
471299.183, 450807.914 to 491790.452, 4
512281.721, 491790.452 to 532772.989, 8
553264.258, 532772.989 to 573755.527, 5
594246.796, 573755.527 to 614738.065, 9
635229.334, 614738.065 to 655720.602, 10
676211.871, 655720.602 to 696703.140, 5
717194.409, 696703.140 to 737685.678, 3
758176.947, 737685.678 to 778668.215, 3
799159.484, 778668.215 to 819650.753, 3
840142.022, 819650.753 to 860633.291, 3
881124.560, 860633.291 to 901615.828, 0
922107.097, 901615.828 to 942598.366, 0
963089.635, 942598.366 to 983580.904, 2
1004072.172, 983580.904 to 1024563.441, 2
1045054.710, 1024563.441 to 1065545.979, 0
1086037.248, 1065545.979 to 1106528.517, 0
1127019.785, 1106528.517 to 1147511.054, 1
1168002.323, 1147511.054 to 1188493.592, 1
1208984.861, 1188493.592 to 1229476.130, 0
1249967.398, 1229476.130 to 1270458.667, 0
1290949.936, 1270458.667 to 1311441.205, 0
1331932.474, 1311441.205 to 1352423.743, 1
1372915.011, 1352423.743 to 1393406.280, 0
1413897.549, 1393406.280 to 1434388.818, 0
1454880.087, 1434388.818 to 1475371.355, 0
1495862.624, 1475371.355 to 1516353.893, 1
1536845.162, 1516353.893 to 1557336.431, 0
1577827.700, 1557336.431 to 1598318.968, 0
1618810.237, 1598318.968 to 1639301.506, 0
1659792.775, 1639301.506 to 1680284.044, 0
1700775.313, 1680284.044 to 1721266.581, 0
1741757.850, 1721266.581 to 1762249.119, 1
1782740.388, 1762249.119 to 1803231.657, 0
1823722.926, 1803231.657 to 1844214.194, 0
1864705.463, 1844214.194 to 1885196.732, 0
1905688.001, 1885196.732 to 1926179.270, 0
1946670.538, 1926179.270 to 1967161.807, 0
1987653.076, 1967161.807 to 2008144.345, 0
2028635.614, 2008144.345 to 2049126.883, 1


Plate, 3
Well, 5
Count, 154
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
22637.628, 0.000 to 45275.257, 0
67912.885, 45275.257 to 90550.513, 8
113188.141, 90550.513 to 135825.770, 27
158463.398, 135825.770 to 181101.026, 18
203738.655, 181101.026 to 226376.283, 21
249013.911, 226376.283 to 271651.539, 14
294289.168, 271651.539 to 316926.796, 11
