Plate, 3
Well, 1
Count, 211
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.008, 0.006 to 0.011, 0
0.014, 0.011 to 0.017, 0
0.020, 0.017 to 0.022, 0
0.025, 0.022 to 0.028, 0
0.031, 0.028 to 0.034, 0
0.036, 0.034 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.048, 0.045 to 0.050, 0
0.053, 0.050 to 0.056, 0
0.059, 0.056 to 0.062, 0
0.064, 0.062 to 0.067, 0
0.070, 0.067 to 0.073, 0
0.076, 0.073 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.087, 0.084 to 0.090, 0
0.092, 0.090 to 0.095, 0
0.098, 0.095 to 0.101, 0
0.104, 0.101 to 0.106, 0
0.109, 0.106 to 0.112, 6
0.115, 0.112 to 0.118, 4
0.120, 0.118 to 0.123, 7
0.126, 0.123 to 0.129, 24
0.132, 0.129 to 0.134, 17
0.137, 0.134 to 0.140, 19
0.143, 0.140 to 0.146, 20
0.148, 0.146 to 0.151, 18
0.154, 0.151 to 0.157, 20
0.160, 0.157 to 0.162, 11
0.165, 0.162 to 0.168, 9
0.171, 0.168 to 0.174, 7
0.176, 0.174 to 0.179, 5
0.182, 0.179 to 0.185, 8
0.188, 0.185 to 0.190, 4
0.193, 0.190 to 0.196, 4
0.199, 0.196 to 0.202, 4
0.204, 0.202 to 0.207, 3
0.210, 0.207 to 0.213, 2
0.216, 0.213 to 0.218, 4
0.221, 0.218 to 0.224, 3
0.227, 0.224 to 0.230, 1
0.232, 0.230 to 0.235, 0
0.238, 0.235 to 0.241, 3
0.244, 0.241 to 0.246, 2
0.249, 0.246 to 0.252, 1
0.255, 0.252 to 0.258, 1
0.260, 0.258 to 0.263, 1
0.266, 0.263 to 0.269, 1
0.272, 0.269 to 0.274, 0
0.277, 0.274 to 0.280, 2


Plate, 3
Well, 2
Count, 196
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.020, 0.016 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.035, 0.031 to 0.039, 0
0.043, 0.039 to 0.047, 0
0.051, 0.047 to 0.055, 0
0.059, 0.055 to 0.063, 0
0.066, 0.063 to 0.070, 0
0.074, 0.070 to 0.078, 0
0.082, 0.078 to 0.086, 0
0.090, 0.086 to 0.094, 1
0.098, 0.094 to 0.102, 1
0.106, 0.102 to 0.109, 12
0.113, 0.109 to 0.117, 15
0.121, 0.117 to 0.125, 28
0.129, 0.125 to 0.133, 29
0.137, 0.133 to 0.141, 40
0.145, 0.141 to 0.148, 21
0.152, 0.148 to 0.156, 12
0.160, 0.156 to 0.164, 14
0.168, 0.164 to 0.172, 4
0.176, 0.172 to 0.180, 0
0.184, 0.180 to 0.188, 3
0.191, 0.188 to 0.195, 0
0.199, 0.195 to 0.203, 0
0.207, 0.203 to 0.211, 4
0.215, 0.211 to 0.219, 1
0.223, 0.219 to 0.227, 3
0.231, 0.227 to 0.234, 0
0.238, 0.234 to 0.242, 4
0.246, 0.242 to 0.250, 0
0.254, 0.250 to 0.258, 1
0.262, 0.258 to 0.266, 0
0.270, 0.266 to 0.274, 0
0.277, 0.274 to 0.281, 0
0.285, 0.281 to 0.289, 0
0.293, 0.289 to 0.297, 0
0.301, 0.297 to 0.305, 1
0.309, 0.305 to 0.313, 0
0.317, 0.313 to 0.320, 0
0.324, 0.320 to 0.328, 0
0.332, 0.328 to 0.336, 1
0.340, 0.336 to 0.344, 0
0.348, 0.344 to 0.352, 0
0.356, 0.352 to 0.360, 0
0.363, 0.360 to 0.367, 0
0.371, 0.367 to 0.375, 0
0.379, 0.375 to 0.383, 0
0.387, 0.383 to 0.391, 1


Plate, 3
Well, 3
Count, 184
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.021, 0
0.024, 0.021 to 0.028, 0
0.031, 0.028 to 0.035, 0
0.038, 0.035 to 0.042, 0
0.045, 0.042 to 0.049, 0
0.052, 0.049 to 0.056, 0
0.059, 0.056 to 0.063, 0
0.066, 0.063 to 0.070, 0
0.073, 0.070 to 0.076, 0
0.080, 0.076 to 0.083, 2
0.087, 0.083 to 0.090, 4
0.094, 0.090 to 0.097, 6
0.101, 0.097 to 0.104, 18
0.108, 0.104 to 0.111, 24
0.115, 0.111 to 0.118, 23
0.122, 0.118 to 0.125, 24
0.129, 0.125 to 0.132, 17
0.136, 0.132 to 0.139, 10
0.143, 0.139 to 0.146, 8
0.150, 0.146 to 0.153, 10
0.156, 0.153 to 0.160, 4
0.163, 0.160 to 0.167, 7
0.170, 0.167 to 0.174, 2
0.177, 0.174 to 0.181, 4
0.184, 0.181 to 0.188, 3
0.191, 0.188 to 0.195, 2
0.198, 0.195 to 0.202, 3
0.205, 0.202 to 0.209, 1
0.212, 0.209 to 0.216, 0
0.219, 0.216 to 0.223, 3
0.226, 0.223 to 0.229, 1
0.233, 0.229 to 0.236, 2
0.240, 0.236 to 0.243, 2
0.247, 0.243 to 0.250, 1
0.254, 0.250 to 0.257, 0
0.261, 0.257 to 0.264, 0
0.268, 0.264 to 0.271, 1
0.275, 0.271 to 0.278, 0
0.282, 0.278 to 0.285, 0
0.289, 0.285 to 0.292, 0
0.296, 0.292 to 0.299, 0
0.303, 0.299 to 0.306, 1
0.309, 0.306 to 0.313, 0
0.316, 0.313 to 0.320, 0
0.323, 0.320 to 0.327, 0
0.330, 0.327 to 0.334, 0
0.337, 0.334 to 0.341, 0
0.344, 0.341 to 0.348, 1


Plate, 3
Well, 4
Count, 205
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.021, 0
0.024, 0.021 to 0.028, 0
0.031, 0.028 to 0.034, 0
0.038, 0.034 to 0.041, 0
0.045, 0.041 to 0.048, 0
0.052, 0.048 to 0.055, 0
0.059, 0.055 to 0.062, 0
0.065, 0.062 to 0.069, 0
0.072, 0.069 to 0.076, 0
0.079, 0.076 to 0.083, 0
0.086, 0.083 to 0.090, 0
0.093, 0.090 to 0.096, 0
0.100, 0.096 to 0.103, 0
0.107, 0.103 to 0.110, 0
0.114, 0.110 to 0.117, 7
0.121, 0.117 to 0.124, 14
0.128, 0.124 to 0.131, 21
0.134, 0.131 to 0.138, 24
0.141, 0.138 to 0.145, 28
0.148, 0.145 to 0.152, 33
0.155, 0.152 to 0.159, 23
0.162, 0.159 to 0.165, 15
0.169, 0.165 to 0.172, 13
0.176, 0.172 to 0.179, 5
0.183, 0.179 to 0.186, 5
0.190, 0.186 to 0.193, 2
0.196, 0.193 to 0.200, 1
0.203, 0.200 to 0.207, 0
0.210, 0.207 to 0.214, 1
0.217, 0.214 to 0.221, 1
0.224, 0.221 to 0.227, 4
0.231, 0.227 to 0.234, 1
0.238, 0.234 to 0.241, 1
0.245, 0.241 to 0.248, 2
0.252, 0.248 to 0.255, 0
0.258, 0.255 to 0.262, 0
0.265, 0.262 to 0.269, 1
0.272, 0.269 to 0.276, 0
0.279, 0.276 to 0.283, 0
0.286, 0.283 to 0.289, 0
0.293, 0.289 to 0.296, 0
0.300, 0.296 to 0.303, 0
0.307, 0.303 to 0.310, 1
0.314, 0.310 to 0.317, 0
0.321, 0.317 to 0.324, 0
0.327, 0.324 to 0.331, 1
0.334, 0.331 to 0.338, 0
0.341, 0.338 to 0.345, 1


Plate, 3
Well, 5
Count, 154
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.010, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.023, 0.019 to 0.026, 0
0.029, 0.026 to 0.032, 0
0.036, 0.032 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.061, 0.058 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.074, 0.071 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.087, 0.084 to 0.091, 1
0.094, 0.091 to 0.097, 2
0.100, 0.097 to 0.104, 1
0.107, 0.104 to 0.110, 5
0.113, 0.110 to 0.116, 11
0.120, 0.116 to 0.123, 17
0.126, 0.123 to 0.129, 16
0.133, 0.129 to 0.136, 16
0.139, 0.136 to 0.142, 23
0.146, 0.142 to 0.149, 18
0.152, 0.149 to 0.155, 17
0.158, 0.155 to 0.162, 6
0.165, 0.162 to 0.168, 4
0.171, 0.168 to 0.175, 2
0.178, 0.175 to 0.181, 2
0.184, 0.181 to 0.188, 1
0.191, 0.188 to 0.194, 0
0.197, 0.194 to 0.201, 1
0.204, 0.201 to 0.207, 3
