Plate, 3
Well, 4
Count, 205

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
892.221, 625222.810, 0.162, 101243.837, 371891301.913, 883.946, 31242.000, 18203.333
682.658, 366013.301, 0.186, 68125.632, 166574723.718, 757.282, 6350.000, 9990.667
661.975, 344169.945, 0.175, 60109.797, 151887912.512, 798.744, 8636.000, 20150.667
734.438, 423643.430, 0.167, 70658.424, 207426630.887, 1556.578, 5757.333, 11430.000
544.124, 232533.288, 0.223, 51881.001, 84351245.170, 1232.765, 15832.667, 1354.667
871.853, 597002.722, 0.165, 98625.358, 346999034.958, 1176.227, 13800.667, 3386.667
615.575, 297612.699, 0.166, 49522.834, 122135239.455, 871.697, 16086.667, 29718.000
575.570, 260187.604, 0.180, 46736.295, 99837501.136, 1761.799, 14901.333, 8128.000
1009.567, 800497.381, 0.168, 134580.934, 538770332.892, 946.602, 19642.667, 1778.000
816.359, 523422.081, 0.150, 78397.009, 284866814.639, 871.697, 16848.667, 30141.333
749.363, 441036.501, 0.168, 73959.346, 220330998.155, 349.090, 17695.333, 4826.000
577.561, 261990.542, 0.155, 40589.929, 100877014.285, 1139.074, 27686.000, 30395.333
1200.886, 1132644.576, 0.244, 276447.566, 906784889.459, 1365.209, 1439.333, 14308.667
854.620, 573635.689, 0.142, 81216.587, 326827088.798, 1378.273, 6858.000, 6858.000
543.988, 232417.245, 0.182, 42375.187, 84288111.761, 1514.563, 27940.000, 27516.667
844.055, 559540.546, 0.145, 81321.524, 314855398.140, 900.019, 10668.000, 4572.000
832.107, 543811.541, 0.148, 80565.386, 301672992.007, 803.219, 34544.000, 21420.667
902.118, 639170.876, 0.133, 84922.096, 384405211.644, 728.330, 23622.000, 5842.000
539.476, 228578.005, 0.168, 38475.785, 82208260.124, 1981.996, 10668.000, 27855.333
513.088, 206763.192, 0.168, 34838.373, 70725111.840, 2608.228, 24892.000, 19388.667
855.040, 574199.225, 0.242, 138708.875, 327308816.279, 883.946, 10922.000, 2370.667
732.518, 421431.004, 0.161, 67907.199, 205803863.642, 2468.436, 13800.667, 30649.333
770.512, 466281.968, 0.145, 67796.309, 239517213.733, 2792.717, 20235.333, 16679.333
568.427, 253769.798, 0.164, 41744.098, 96166475.916, 1084.262, 28109.333, 6096.000
1209.702, 1149334.490, 0.145, 166698.776, 926901232.204, 1070.958, 28532.667, 31157.333
562.077, 248131.569, 0.145, 36001.973, 92979419.811, 883.946, 30988.000, 17356.667
870.206, 594749.197, 0.144, 85501.302, 345036147.946, 423.333, 32173.333, 24130.000
810.505, 515942.470, 0.145, 74926.822, 278782634.630, 1203.339, 22860.000, 1947.333
525.955, 217263.972, 0.148, 32191.789, 76180772.629, 431.717, 26585.333, 10922.000
920.118, 664930.951, 0.130, 86587.809, 407876443.665, 1047.269, 25654.000, 11599.333
538.809, 228013.132, 0.147, 33614.681, 81903712.958, 1100.667, 31411.333, 16340.667
523.062, 214880.154, 0.154, 33151.847, 74930435.844, 1070.958, 28871.333, 30141.333
838.793, 552584.840, 0.150, 83034.436, 309002681.929, 1879.905, 10498.667, 19896.667
1025.613, 826145.625, 0.137, 113398.886, 564870261.092, 850.889, 33443.333, 15324.667
919.087, 663442.452, 0.188, 124571.701, 406507616.005, 718.420, 13462.000, 1778.000
785.798, 484966.313, 0.138, 66708.189, 254056995.835, 4649.734, 20997.333, 23876.000
825.487, 535193.080, 0.145, 77379.712, 294529997.787, 661.268, 29633.333, 23198.667
540.314, 229288.652, 0.175, 40024.897, 82591935.190, 1365.209, 2116.667, 13123.333
498.066, 194833.342, 0.162, 31633.804, 64693212.950, 1556.578, 16256.000, 31580.667
796.319, 498039.741, 0.137, 68009.938, 264398994.007, 431.717, 7027.333, 8636.000
703.305, 388487.923, 0.141, 54592.945, 182150381.262, 682.604, 28617.333, 14308.667
883.805, 613483.188, 0.166, 102044.484, 361466288.015, 349.090, 17780.000, 5164.667
451.561, 160148.681, 0.156, 25034.131, 48211300.833, 1533.379, 26416.000, 27347.333
1107.430, 963212.576, 0.133, 128362.097, 711126751.334, 431.717, 26670.000, 11345.333
581.121, 265230.376, 0.163, 43278.004, 102753989.165, 1500.297, 1862.667, 16171.333
