Plate, 4
Well, 1
Count, 122
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
17.130, 0.000 to 34.260, 0
51.390, 34.260 to 68.520, 0
85.650, 68.520 to 102.780, 0
119.910, 102.780 to 137.040, 0
154.170, 137.040 to 171.300, 0
188.431, 171.300 to 205.561, 0
222.691, 205.561 to 239.821, 1
256.951, 239.821 to 274.081, 3
291.211, 274.081 to 308.341, 3
325.471, 308.341 to 342.601, 2
359.731, 342.601 to 376.861, 12
393.991, 376.861 to 411.121, 7
428.251, 411.121 to 445.381, 9
462.511, 445.381 to 479.641, 3
496.771, 479.641 to 513.901, 11
531.032, 513.901 to 548.162, 9
565.292, 548.162 to 582.422, 12
599.552, 582.422 to 616.682, 3
633.812, 616.682 to 650.942, 7
668.072, 650.942 to 685.202, 9
702.332, 685.202 to 719.462, 5
736.592, 719.462 to 753.722, 3
770.852, 753.722 to 787.982, 2
805.112, 787.982 to 822.242, 2
839.372, 822.242 to 856.502, 3
873.632, 856.502 to 890.763, 2
907.893, 890.763 to 925.023, 0
942.153, 925.023 to 959.283, 2
976.413, 959.283 to 993.543, 2
1010.673, 993.543 to 1027.803, 2
1044.933, 1027.803 to 1062.063, 3
1079.193, 1062.063 to 1096.323, 1
1113.453, 1096.323 to 1130.583, 0
1147.713, 1130.583 to 1164.843, 1
1181.973, 1164.843 to 1199.103, 0
1216.233, 1199.103 to 1233.364, 0
1250.494, 1233.364 to 1267.624, 0
1284.754, 1267.624 to 1301.884, 0
1319.014, 1301.884 to 1336.144, 0
1353.274, 1336.144 to 1370.404, 2
1387.534, 1370.404 to 1404.664, 0
1421.794, 1404.664 to 1438.924, 0
1456.054, 1438.924 to 1473.184, 0
1490.314, 1473.184 to 1507.444, 0
1524.574, 1507.444 to 1541.704, 0
1558.834, 1541.704 to 1575.964, 0
1593.095, 1575.964 to 1610.225, 0
1627.355, 1610.225 to 1644.485, 0
1661.615, 1644.485 to 1678.745, 0
1695.875, 1678.745 to 1713.005, 1


Plate, 4
Well, 2
Count, 130
CHARM Settings 1:		unsaved settings

Type 1 Histograms
