Plate, 4
Well, 1
Count, 122
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
58.518, 0.000 to 117.036, 0
175.554, 117.036 to 234.072, 0
292.590, 234.072 to 351.108, 4
409.627, 351.108 to 468.145, 0
526.663, 468.145 to 585.181, 6
643.699, 585.181 to 702.217, 4
760.735, 702.217 to 819.253, 11
877.771, 819.253 to 936.289, 6
994.807, 936.289 to 1053.325, 16
1111.844, 1053.325 to 1170.362, 14
1228.880, 1170.362 to 1287.398, 7
1345.916, 1287.398 to 1404.434, 2
1462.952, 1404.434 to 1521.470, 5
1579.988, 1521.470 to 1638.506, 7
1697.024, 1638.506 to 1755.542, 3
1814.061, 1755.542 to 1872.579, 5
1931.097, 1872.579 to 1989.615, 4
2048.133, 1989.615 to 2106.651, 0
2165.169, 2106.651 to 2223.687, 6
2282.205, 2223.687 to 2340.723, 1
2399.241, 2340.723 to 2457.759, 2
2516.278, 2457.759 to 2574.796, 1
2633.314, 2574.796 to 2691.832, 4
2750.350, 2691.832 to 2808.868, 2
2867.386, 2808.868 to 2925.904, 0
2984.422, 2925.904 to 3042.940, 4
3101.458, 3042.940 to 3159.976, 0
3218.495, 3159.976 to 3277.013, 1
3335.531, 3277.013 to 3394.049, 0
3452.567, 3394.049 to 3511.085, 0
3569.603, 3511.085 to 3628.121, 0
3686.639, 3628.121 to 3745.157, 0
3803.675, 3745.157 to 3862.193, 1
3920.711, 3862.193 to 3979.230, 1
4037.748, 3979.230 to 4096.266, 0
4154.784, 4096.266 to 4213.302, 0
4271.820, 4213.302 to 4330.338, 1
4388.856, 4330.338 to 4447.374, 0
4505.892, 4447.374 to 4564.410, 1
4622.928, 4564.410 to 4681.447, 0
4739.965, 4681.447 to 4798.483, 0
4857.001, 4798.483 to 4915.519, 2
4974.037, 4915.519 to 5032.555, 0
5091.073, 5032.555 to 5149.591, 0
5208.109, 5149.591 to 5266.627, 0
5325.145, 5266.627 to 5383.664, 0
5442.182, 5383.664 to 5500.700, 0
5559.218, 5500.700 to 5617.736, 0
5676.254, 5617.736 to 5734.772, 0
5793.290, 5734.772 to 5851.808, 1


Plate, 4
Well, 2
Count, 130
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
38.138, 0.000 to 76.275, 0
114.413, 76.275 to 152.550, 0
190.688, 152.550 to 228.826, 0
266.963, 228.826 to 305.101, 0
343.238, 305.101 to 381.376, 2
419.514, 381.376 to 457.651, 4
495.789, 457.651 to 533.927, 0
572.064, 533.927 to 610.202, 2
648.339, 610.202 to 686.477, 2
724.615, 686.477 to 762.752, 4
800.890, 762.752 to 839.027, 7
877.165, 839.027 to 915.303, 10
953.440, 915.303 to 991.578, 10
1029.715, 991.578 to 1067.853, 6
1105.991, 1067.853 to 1144.128, 10
1182.266, 1144.128 to 1220.404, 5
1258.541, 1220.404 to 1296.679, 9
1334.816, 1296.679 to 1372.954, 6
1411.092, 1372.954 to 1449.229, 1
1487.367, 1449.229 to 1525.504, 3
1563.642, 1525.504 to 1601.780, 10
1639.917, 1601.780 to 1678.055, 7
1716.192, 1678.055 to 1754.330, 7
1792.468, 1754.330 to 1830.605, 3
1868.743, 1830.605 to 1906.881, 0
1945.018, 1906.881 to 1983.156, 1
2021.293, 1983.156 to 2059.431, 0
2097.569, 2059.431 to 2135.706, 1
2173.844, 2135.706 to 2211.981, 4
2250.119, 2211.981 to 2288.257, 2
2326.394, 2288.257 to 2364.532, 3
2402.669, 2364.532 to 2440.807, 1
2478.945, 2440.807 to 2517.082, 0
2555.220, 2517.082 to 2593.358, 1
2631.495, 2593.358 to 2669.633, 2
2707.770, 2669.633 to 2745.908, 2
2784.046, 2745.908 to 2822.183, 0
2860.321, 2822.183 to 2898.458, 0
2936.596, 2898.458 to 2974.734, 0
3012.871, 2974.734 to 3051.009, 0
3089.146, 3051.009 to 3127.284, 0
3165.422, 3127.284 to 3203.559, 1
3241.697, 3203.559 to 3279.835, 0
3317.972, 3279.835 to 3356.110, 1
3394.247, 3356.110 to 3432.385, 0
3470.523, 3432.385 to 3508.660, 0
3546.798, 3508.660 to 3584.935, 0
3623.073, 3584.935 to 3661.211, 0
3699.348, 3661.211 to 3737.486, 1
3775.623, 3737.486 to 3813.761, 2


Plate, 4
Well, 3
Count, 71
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
56.784, 0.000 to 113.567, 0
170.351, 113.567 to 227.134, 0
283.918, 227.134 to 340.701, 2
397.485, 340.701 to 454.268, 0
511.052, 454.268 to 567.835, 6
624.619, 567.835 to 681.402, 2
738.186, 681.402 to 794.969, 8
851.753, 794.969 to 908.536, 0
965.320, 908.536 to 1022.103, 0
1078.887, 1022.103 to 1135.670, 8
1192.454, 1135.670 to 1249.237, 1
1306.021, 1249.237 to 1362.804, 4
1419.588, 1362.804 to 1476.371, 0
1533.155, 1476.371 to 1589.938, 3
1646.722, 1589.938 to 1703.505, 2
1760.289, 1703.505 to 1817.072, 6
1873.856, 1817.072 to 1930.639, 2
1987.423, 1930.639 to 2044.206, 3
2100.990, 2044.206 to 2157.773, 3
2214.557, 2157.773 to 2271.340, 4
2328.124, 2271.340 to 2384.907, 1
2441.691, 2384.907 to 2498.474, 1
2555.258, 2498.474 to 2612.041, 1
2668.825, 2612.041 to 2725.608, 3
2782.392, 2725.608 to 2839.175, 0
2895.959, 2839.175 to 2952.742, 1
3009.526, 2952.742 to 3066.309, 0
3123.093, 3066.309 to 3179.876, 2
3236.660, 3179.876 to 3293.443, 0
3350.227, 3293.443 to 3407.010, 0
3463.794, 3407.010 to 3520.577, 2
3577.361, 3520.577 to 3634.144, 0
3690.928, 3634.144 to 3747.711, 0
3804.495, 3747.711 to 3861.278, 0
3918.062, 3861.278 to 3974.845, 2
4031.629, 3974.845 to 4088.412, 1
4145.196, 4088.412 to 4201.979, 1
4258.763, 4201.979 to 4315.546, 0
4372.330, 4315.546 to 4429.113, 0
4485.897, 4429.113 to 4542.680, 1
4599.464, 4542.680 to 4656.247, 0
4713.031, 4656.247 to 4769.814, 0
4826.598, 4769.814 to 4883.381, 0
4940.165, 4883.381 to 4996.948, 0
5053.732, 4996.948 to 5110.515, 0
5167.299, 5110.515 to 5224.082, 0
5280.866, 5224.082 to 5337.649, 0
5394.433, 5337.649 to 5451.216, 0
5508.000, 5451.216 to 5564.783, 0
5621.567, 5564.783 to 5678.350, 1


Plate, 4
Well, 4
Count, 24
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
87.211, 0.000 to 174.422, 0
261.632, 174.422 to 348.843, 0
436.054, 348.843 to 523.265, 0
610.475, 523.265 to 697.686, 0
784.897, 697.686 to 872.108, 0
959.319, 872.108 to 1046.529, 0
1133.740, 1046.529 to 1220.951, 2
1308.162, 1220.951 to 1395.372, 0
1482.583, 1395.372 to 1569.794, 0
1657.005, 1569.794 to 1744.216, 2
1831.426, 1744.216 to 1918.637, 2
2005.848, 1918.637 to 2093.059, 2
2180.269, 2093.059 to 2267.480, 2
2354.691, 2267.480 to 2441.902, 0
2529.113, 2441.902 to 2616.323, 0
2703.534, 2616.323 to 2790.745, 1
2877.956, 2790.745 to 2965.166, 0
3052.377, 2965.166 to 3139.588, 2
3226.799, 3139.588 to 3314.010, 0
3401.220, 3314.010 to 3488.431, 0
3575.642, 3488.431 to 3662.853, 1
3750.063, 3662.853 to 3837.274, 0
3924.485, 3837.274 to 4011.696, 0
4098.907, 4011.696 to 4186.117, 2
4273.328, 4186.117 to 4360.539, 1
4447.750, 4360.539 to 4534.960, 0
4622.171, 4534.960 to 4709.382, 0
4796.593, 4709.382 to 4883.803, 1
4971.014, 4883.803 to 5058.225, 0
5145.436, 5058.225 to 5232.647, 0
5319.857, 5232.647 to 5407.068, 0
5494.279, 5407.068 to 5581.490, 0
5668.700, 5581.490 to 5755.911, 0
5843.122, 5755.911 to 5930.333, 0
6017.544, 5930.333 to 6104.754, 0
6191.965, 6104.754 to 6279.176, 0
6366.387, 6279.176 to 6453.597, 0
6540.808, 6453.597 to 6628.019, 0
6715.230, 6628.019 to 6802.441, 1
6889.651, 6802.441 to 6976.862, 0
7064.073, 6976.862 to 7151.284, 0
7238.494, 7151.284 to 7325.705, 1
7412.916, 7325.705 to 7500.127, 1
7587.338, 7500.127 to 7674.548, 0
7761.759, 7674.548 to 7848.970, 0
7936.181, 7848.970 to 8023.391, 0
8110.602, 8023.391 to 8197.813, 0
8285.024, 8197.813 to 8372.235, 0
8459.445, 8372.235 to 8546.656, 0
8633.867, 8546.656 to 8721.078, 3


Plate, 4
Well, 5
Count, 2
CHARM Settings 1:		unsaved settings
