Plate, 4
Well, 1
Count, 122
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3572.029, 0.000 to 7144.058, 1
10716.087, 7144.058 to 14288.115, 12
17860.144, 14288.115 to 21432.173, 20
25004.202, 21432.173 to 28576.231, 19
32148.260, 28576.231 to 35720.289, 13
39292.317, 35720.289 to 42864.346, 12
46436.375, 42864.346 to 50008.404, 10
53580.433, 50008.404 to 57152.462, 7
60724.491, 57152.462 to 64296.520, 4
67868.548, 64296.520 to 71440.577, 2
75012.606, 71440.577 to 78584.635, 3
82156.664, 78584.635 to 85728.693, 0
89300.722, 85728.693 to 92872.750, 1
96444.779, 92872.750 to 100016.808, 2
103588.837, 100016.808 to 107160.866, 2
110732.895, 107160.866 to 114304.924, 2
117876.952, 114304.924 to 121448.981, 1
125021.010, 121448.981 to 128593.039, 0
132165.068, 128593.039 to 135737.097, 2
139309.126, 135737.097 to 142881.155, 1
146453.183, 142881.155 to 150025.212, 2
153597.241, 150025.212 to 157169.270, 0
160741.299, 157169.270 to 164313.328, 1
167885.357, 164313.328 to 171457.385, 0
175029.414, 171457.385 to 178601.443, 0
182173.472, 178601.443 to 185745.501, 0
189317.530, 185745.501 to 192889.559, 1
196461.587, 192889.559 to 200033.616, 0
203605.645, 200033.616 to 207177.674, 0
210749.703, 207177.674 to 214321.732, 0
217893.761, 214321.732 to 221465.790, 0
225037.818, 221465.790 to 228609.847, 1
232181.876, 228609.847 to 235753.905, 0
239325.934, 235753.905 to 242897.963, 0
246469.992, 242897.963 to 250042.020, 0
253614.049, 250042.020 to 257186.078, 0
260758.107, 257186.078 to 264330.136, 0
267902.165, 264330.136 to 271474.194, 0
275046.222, 271474.194 to 278618.251, 0
282190.280, 278618.251 to 285762.309, 0
289334.338, 285762.309 to 292906.367, 0
296478.396, 292906.367 to 300050.425, 0
303622.453, 300050.425 to 307194.482, 0
310766.511, 307194.482 to 314338.540, 0
317910.569, 314338.540 to 321482.598, 0
325054.627, 321482.598 to 328626.655, 1
332198.684, 328626.655 to 335770.713, 0
339342.742, 335770.713 to 342914.771, 0
346486.800, 342914.771 to 350058.829, 1
353630.857, 350058.829 to 357202.886, 1


Plate, 4
Well, 2
Count, 130
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3008.810, 0.000 to 6017.620, 2
9026.431, 6017.620 to 12035.241, 9
15044.051, 12035.241 to 18052.861, 20
