,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,UWB1 TX,0.0,1,A01,2000,937.2061533387316,11685.233698450094,214,704.8334350585938,323.86431884765625,472557.0,458617.375,101127196.742453,0.1517963409423828,0.04543435946106911,32.484417082157115,77215.1484375,87716.7734375,16524042.164929401,318224000,493438176.0,68099935343.22799,1091.57080078125,592.5897216796875,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,1.049019607843137
1,1,UWB1 TX,0.00020322105370116345,2,A02,2000,937.2061533387316,11087.207036577012,203,722.5167846679688,362.148193359375,513007.78125,562294.0625,104140580.26244013,0.15215925872325897,0.04910055547952652,30.888328443489655,81801.9765625,93926.2109375,16605801.664192703,377617472,694246720.0,76656347233.80469,1118.1761474609375,571.5498657226562,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,0.9950980392156862
2,1,UWB1 TX,0.0006096631611034903,3,A03,2000,937.2061533387316,10349.29225958792,206,612.5062255859375,266.8882751464844,350596.4375,343398.4375,72222864.65282866,0.1459374874830246,0.07331354916095734,30.063122096748728,51108.3203125,54038.77734375,10528313.939032486,201719712,358462880.0,41554259811.2243,1163.266357421875,532.10009765625,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,1.0098039215686274
3,1,UWB1 TX,0.001828989483310471,4,B01,2000,937.2061533387316,12826.31160286079,168,647.7288818359375,293.6633605957031,397247.25,401167.375,66737537.739866994,0.16253171861171722,0.048637863248586655,27.305329855677048,69818.3125,84292.2421875,11729476.618735366,247213280,436044928.0,41531829781.67012,1227.53662109375,670.6060180664062,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,0.8235294117647057
4,1,UWB1 TX,0.0054869684499314125,5,B02,2000,937.2061533387316,11483.6130379009,138,561.159912109375,220.10841369628906,285373.0,235650.5,39381472.39416069,0.14277751743793488,0.04277903586626053,19.703298226236093,44804.51171875,50819.9296875,6183022.875630403,140502816,185011344.0,19389389036.89498,1279.591064453125,734.94189453125,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,0.676470588235294
5,1,UWB1 TX,0.016460905349794237,6,B03,2000,937.2061533387316,9556.411867321554,90,521.7315063476562,182.1495361328125,239846.625,178767.640625,21586196.18422963,0.12929975986480713,0.05433744937181473,11.636977947707031,31581.673828125,29203.470703125,2842350.6743952376,104751864,124391296.0,9427667854.796318,1662.0648193359375,883.777099609375,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate1\Plate1.ics,Olaparib,UWB1,TX,0.10200000000000001,0.4411764705882352
6,2,UWB1 TX,0.04938271604938271,1,A01,2000,937.2061533387316,9722.357963825923,43,523.1832275390625,256.2010498046875,266532.4375,295431.375,11460895.434110599,0.1365731805562973,0.04107560217380524,5.8726466558306365,40950.87109375,53235.203125,1760887.4023310964,141941184,258149776.0,6103471183.612585,2385.12646484375,1566.7984619140625,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate2\Plate2.ics,Olaparib,UWB1,TX,0.10200000000000001,0.21078431372549017
7,2,UWB1 TX,0.14814814814814814,2,A02,2000,937.2061533387316,10678.828666553778,34,498.531494140625,202.6388702392578,227448.296875,202537.640625,7733242.127162877,0.1219160184264183,0.025488222017884254,4.145144531523623,31114.34375,37474.28515625,1057887.670192916,102408912,145791968.0,3481902880.4518423,2652.13818359375,1199.781494140625,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate2\Plate2.ics,Olaparib,UWB1,TX,0.10200000000000001,0.16666666666666663
8,2,UWB1 TX,0.4444444444444444,3,A03,2000,937.2061533387316,10829.043298733359,13,382.5553283691406,186.2513885498047,142187.046875,154622.28125,1848431.5279772638,0.12281464040279388,0.024747319519519806,1.5965903650399975,20587.150390625,30661.330078125,267632.959914554,55050828,94363272.0,715660740.2461436,4325.12060546875,3277.39208984375,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate2\Plate2.ics,Olaparib,UWB1,TX,0.10200000000000001,0.06372549019607843
9,2,UWB1 TX,1.3333333333333333,4,B01,2000,937.2061533387316,11441.67413176372,1,431.79217529296875,0.0,146433.15625,0.0,146433.15294114713,0.18095152080059052,0.0,0.18095151874472828,26497.30078125,0.0,26497.301419279647,42152460,0.0,42152459.57473697,0.0,0.0,2020-01-03,16:44:50,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_16-27\Plate2\Plate2.ics,Olaparib,UWB1,TX,0.10200000000000001,0.0049019607843137246
