,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,UWB1 TX,0.0,1,A01,2000,937.2061533387316,11503.921827795728,214,786.267578125,344.5338439941406,578775.8125,526910.9375,123858021.91014798,0.14847338199615479,0.04078139364719391,31.77330367975471,95067.8125,105536.6953125,20344511.13486032,421016672.0,604797184,90097566139.79092,1197.2259521484375,583.9585571289062,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,1.0726817042606516
1,1,UWB1 TX,0.00020322105370116345,2,A02,2000,937.2061533387316,10596.645885246378,179,714.8524780273438,325.5954895019531,484611.4375,490620.875,86745448.7432294,0.1397395133972168,0.03921939432621002,25.013374150777185,72568.0546875,77751.7265625,12989681.348242892,333836640.0,569590272,59756759704.75511,1226.2354736328125,622.2974853515625,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,0.8972431077694235
2,1,UWB1 TX,0.0006096631611034903,3,A03,2000,937.2061533387316,10072.46239656474,170,679.3214111328125,306.1629638671875,436063.5,409217.875,74130795.97642608,0.1301744282245636,0.03648756444454193,22.129652065563338,62153.7265625,66645.2578125,10566133.760913944,278835968.0,413762400,47402113978.03587,1227.5380859375,614.4981079101562,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,0.8521303258145363
3,1,UWB1 TX,0.001828989483310471,4,B01,2000,937.2061533387316,11678.646703449956,106,575.2645263671875,244.5818634033203,306894.0,255844.484375,32530762.928283148,0.15147389471530914,0.043216291815042496,16.056233283339946,48940.02734375,47966.46484375,5187642.776147402,158591408.0,193908640,16810688759.827461,1427.134765625,826.622802734375,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,0.531328320802005
4,1,UWB1 TX,0.0054869684499314125,5,B02,2000,937.2061533387316,10515.003026188318,56,505.3935241699219,200.9350128173828,232318.796875,203225.953125,13009852.793111263,0.14239908754825592,0.04668241739273071,7.974349033944177,36563.82421875,45943.859375,2047574.0807305,104746344.0,152950464,5865795066.056341,2102.156494140625,1286.5841064453125,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,0.2807017543859649
5,1,UWB1 TX,0.016460905349794237,6,B03,2000,937.2061533387316,9271.489839260526,43,529.8847045898438,197.70004272460938,251219.875,193515.390625,10802454.69678218,0.1305938959121704,0.050571415573358536,5.61553743210738,36420.14453125,37340.28515625,1566066.2480475917,113825760.0,134101456,4894507795.857772,2409.667236328125,1466.4505615234375,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate1\Plate1.ics,Rucaparib,UWB1,TX,0.09975,0.21553884711779447
6,2,UWB1 TX,0.04938271604938271,1,A01,2000,937.2061533387316,9259.011343530185,23,456.5830383300781,170.43392944335938,186544.46875,130658.9296875,4290522.6502561,0.17060363292694092,0.0914062038064003,3.9238837273033886,34089.8671875,33840.69921875,784066.9723337789,71500888.0,68749680,1644520467.8135312,3320.085693359375,3074.457763671875,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.11528822055137844
7,2,UWB1 TX,0.14814814814814814,2,A02,2000,937.2061533387316,11334.957945686823,16,395.1125793457031,114.71935272216797,132947.859375,73760.6796875,2127165.8577162223,0.19094762206077576,0.12970326840877533,3.0551619816092423,24541.681640625,21051.220703125,392666.90994424926,40571696.0,33230460,649147112.0025853,4832.73681640625,2321.951904296875,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.08020050125313283
8,2,UWB1 TX,0.4444444444444444,3,A03,2000,937.2061533387316,9950.611768052679,8,456.81842041015625,278.7095642089844,224908.25,266378.65625,1799265.9458369566,0.18069079518318176,0.06183933466672897,1.4455263499805997,45679.96484375,55162.046875,365439.71002268814,117151456.0,187615680,937211639.101348,6047.3662109375,5602.34033203125,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.040100250626566414
9,2,UWB1 TX,1.3333333333333333,4,B01,2000,937.2061533387316,11537.80990824519,6,327.7019348144531,56.19392776489258,86822.875,26820.033203125,520937.2502667336,0.27774909138679504,0.10499057918787003,1.6664944797847503,25367.6875,15131.1123046875,152206.12533482577,19968380.0,8427753,119810279.15618595,4993.931640625,5080.7900390625,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.03007518796992481
10,2,UWB1 TX,4.0,5,B02,2000,937.2061533387316,11785.235197018003,1,229.362060546875,0.0,41317.40625,0.0,41317.404653824866,0.34374937415122986,0.0,0.34374937287625756,14202.83203125,0.0,14202.831938626863,6317763.5,0,6317763.298870669,0.0,0.0,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.005012531328320802
11,2,UWB1 TX,0.0,6,B03,2000,937.2061533387316,13632.287642744821,185,747.1621704101562,310.2445373535156,514045.46875,422323.4375,95098409.58182469,0.17895883321762085,0.05499045550823212,33.10738443144685,101939.0078125,104592.7578125,18858716.9912007,341352032.0,424083648,63150124394.335556,1226.13720703125,623.1227416992188,23-02-2020,17:03:45,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate2\Plate2.ics,Rucaparib,UWB1,TX,0.09975,0.9273182957393483
12,3,UWB1BRCA1 TX,0.0,1,A01,1000,937.2061533387316,13739.397261018781,239,874.9564819335938,336.4474182128906,690165.25,546834.6875,164949493.88138825,0.16668857634067535,0.03384283930063248,39.83857146790273,122199.9609375,115993.71875,29205790.901587985,521789056.0,668612672,124707586173.39824,1086.7974853515625,543.4987182617188,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,1.1353919239904988
13,3,UWB1BRCA1 TX,0.00020322105370116345,2,A02,1000,937.2061533387316,12660.070077501668,255,897.1549072265625,359.9342956542969,733907.1875,603189.625,187146326.4738397,0.15829536318778992,0.04292266070842743,40.36531656323868,124360.28125,124058.9609375,31711872.680805303,580068800.0,743833088,147917540973.27985,1083.8468017578125,509.65875244140625,23-02-2020,17:03:45,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_23-02-20_16-48\Plate3\Plate3.ics,Rucaparib,UWB1BRCA1,TX,0.2105,1.2114014251781473
