Plate, 1
Well, 3
Count, 163

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
1000.384, 786001.873, 0.196, 153964.928, 524202600.946, 1796.051, 8636.000, 31072.667
1138.941, 1018807.532, 0.179, 182149.715, 773574278.416, 1526.350, 20658.667, 34628.667
1014.255, 807949.388, 0.183, 147918.095, 546311112.793, 883.946, 28956.000, 21674.667
790.402, 490666.436, 0.193, 94848.781, 258549276.887, 1827.702, 7366.000, 6688.667
1292.310, 1311666.171, 0.212, 277743.221, 1130052906.988, 598.684, 1439.333, 19558.000
852.034, 570169.677, 0.165, 93875.715, 323869443.680, 1197.367, 20066.000, 25569.333
687.509, 371233.217, 0.226, 84077.218, 170150818.889, 1378.273, 31242.000, 27516.667
664.159, 346444.309, 0.246, 85058.855, 153395969.195, 911.888, 10329.333, 32258.000
655.607, 337580.245, 0.214, 72181.151, 147546643.972, 2608.228, 25738.667, 20658.667
659.445, 341543.791, 0.196, 66961.345, 150152785.012, 542.131, 7535.333, 18711.333
600.064, 282803.207, 0.228, 64453.811, 113133258.076, 838.157, 22098.000, 4064.000
955.148, 716525.091, 0.152, 108901.880, 456258433.382, 1441.821, 10414.000, 30818.667
684.287, 367761.715, 0.173, 63795.404, 167769717.901, 1823.776, 7027.333, 25484.667
739.017, 428942.250, 0.175, 74898.792, 211330430.796, 990.998, 2709.333, 23283.333
851.448, 569385.308, 0.158, 90009.188, 323201364.360, 1060.870, 28448.000, 22606.000
539.445, 228551.834, 0.206, 47027.807, 82194142.156, 1272.819, 26585.333, 7366.000
864.995, 587648.277, 0.175, 103108.394, 338875366.999, 478.947, 4402.667, 25315.333
1035.471, 842103.809, 0.153, 128929.876, 581315962.046, 2575.036, 14054.667, 30480.000
777.125, 474320.786, 0.148, 70046.265, 245737839.625, 780.588, 29802.667, 7958.667
730.670, 419306.786, 0.155, 64944.064, 204249798.415, 780.588, 25823.333, 28871.333
730.432, 419034.655, 0.161, 67386.214, 204050992.835, 1221.080, 31242.000, 25908.000
767.023, 462068.700, 0.157, 72632.877, 236278185.076, 567.961, 31411.333, 15663.333
1201.819, 1134404.950, 0.155, 175818.550, 908899719.514, 455.944, 1354.667, 18542.000
607.349, 289712.173, 0.215, 62288.816, 117304295.637, 3014.894, 14139.333, 16594.667
565.498, 251160.913, 0.196, 49301.537, 94687331.858, 1643.929, 29633.333, 27855.333
894.993, 629114.096, 0.158, 99694.953, 375368585.788, 1100.667, 3725.333, 12107.333
652.474, 334361.224, 0.190, 63574.207, 145441270.609, 883.946, 29802.667, 21928.667
721.826, 409218.167, 0.161, 65791.471, 196922870.682, 515.007, 23198.667, 4572.000
868.155, 591949.425, 0.159, 94223.341, 342602640.034, 1628.596, 11684.000, 11684.000
824.518, 533937.703, 0.155, 82509.798, 293494308.685, 567.961, 31665.333, 16171.333
961.327, 725825.238, 0.165, 120076.414, 465170213.835, 1545.022, 5588.000, 7620.000
513.088, 206763.192, 0.184, 38095.555, 70725111.840, 2176.773, 26331.333, 23198.667
533.880, 223860.189, 0.205, 45840.007, 79676289.418, 766.689, 17695.333, 8043.333
653.808, 335729.721, 0.144, 48282.647, 146335091.711, 1526.350, 2201.333, 21844.000
568.427, 253769.798, 0.162, 41198.393, 96166475.916, 946.602, 26331.333, 12869.333
505.531, 200717.562, 0.149, 29889.846, 67645959.539, 1378.273, 28363.333, 29972.000
814.830, 521462.902, 0.115, 59761.754, 283268919.881, 1135.923, 33274.000, 20743.333
1415.920, 1574588.532, 0.192, 302319.564, 1486327202.612, 455.944, 1524.000, 18965.333
702.445, 387538.602, 0.126, 48855.984, 181483126.716, 757.282, 29210.000, 8466.667
568.427, 253769.798, 0.168, 42518.295, 96166475.916, 987.375, 4995.333, 16510.000
691.982, 376079.486, 0.224, 84377.414, 173493523.499, 2575.036, 16340.667, 1439.333
915.677, 658527.981, 0.118, 77989.786, 401999163.665, 946.602, 32850.667, 14732.000
469.809, 173353.592, 0.154, 26744.595, 54295404.039, 1864.590, 22267.333, 13800.667
656.900, 338913.584, 0.131, 44480.891, 148421653.355, 1212.242, 33528.000, 21928.667
854.953, 574082.263, 0.262, 150451.959, 327208814.165, 1419.272, 35052.000, 19134.667
477.675, 179206.899, 0.207, 37117.379, 57068425.175, 1176.227, 13038.667, 26924.000
623.448, 305274.387, 0.164, 49938.262, 126881806.374, 780.588, 5503.333, 18118.667
998.481, 783014.476, 0.129, 100850.476, 521216897.722, 2116.667, 1947.333, 16510.000
560.602, 246830.977, 0.164, 40495.299, 92249345.450, 1270.000, 22182.667, 30226.000
1160.478, 1057703.006, 0.178, 188240.151, 818294077.714, 1212.242, 23368.000, 2116.667
642.567, 324285.018, 0.156, 50732.967, 138916594.107, 535.479, 8212.667, 27008.667
457.112, 164110.181, 0.180, 29512.885, 50011178.493, 515.007, 23029.333, 32850.667
450.313, 159264.582, 0.170, 27051.587, 47812627.589, 757.282, 28871.333, 7789.333
599.165, 281957.027, 0.132, 37219.394, 112625876.407, 946.602, 25400.000, 13038.667
770.604, 466393.201, 0.145, 67762.600, 239602925.436, 478.947, 4064.000, 24976.667
974.670, 746113.236, 0.252, 188214.224, 484809271.520, 610.540, 18880.667, 1016.000
500.120, 196443.612, 0.182, 35807.778, 65496888.382, 987.375, 16848.667, 14562.667
520.976, 213169.435, 0.131, 27859.454, 74037407.244, 911.888, 32173.333, 13462.000
607.034, 289411.897, 0.139, 40201.309, 117121970.167, 535.479, 7704.667, 27178.000
513.833, 207364.178, 0.169, 34975.141, 71033694.136, 592.667, 11176.000, 7450.667
722.687, 410195.093, 0.127, 52059.289, 197628462.193, 1030.014, 15748.000, 33612.667
550.416, 237942.188, 0.138, 32913.676, 87311404.835, 2091.112, 12276.667, 5672.667
598.663, 281484.731, 0.150, 42264.621, 112343012.022, 2390.241, 13292.667, 34036.000
683.393, 366800.966, 0.154, 56501.625, 167112719.683, 1478.640, 21844.000, 1693.333
528.650, 219495.767, 0.133, 29271.693, 77357606.585, 1070.958, 22436.667, 3048.000
467.711, 171808.713, 0.127, 21827.583, 53571225.044, 4321.319, 16848.667, 20066.000
467.711, 171808.713, 0.132, 22608.482, 53571225.044, 2591.685, 20404.667, 8466.667
333.908, 87567.765, 0.158, 13793.378, 19493068.153, 2552.668, 28702.000, 19134.667
558.755, 245207.007, 0.118, 29054.524, 91340443.137, 718.420, 25908.000, 27347.333
790.087, 490274.404, 0.152, 74535.145, 258239475.321, 850.889, 34036.000, 23537.333
460.415, 166490.035, 0.129, 21450.253, 51102973.001, 1232.765, 25315.333, 7281.333
431.031, 145917.069, 0.158, 22988.614, 41929815.131, 598.684, 3640.667, 13800.667
340.247, 90924.080, 0.153, 13931.866, 20624440.514, 1761.799, 15917.333, 12700.000
388.742, 118689.523, 0.166, 19760.666, 30759719.954, 987.375, 5842.000, 16002.000
787.449, 487006.689, 0.148, 72207.942, 255662004.349, 1378.273, 34628.667, 20489.333
510.529, 204706.022, 0.119, 24326.847, 69672232.597, 2372.178, 23283.333, 28024.667
485.977, 185490.252, 0.116, 21521.374, 60095981.998, 935.174, 25400.000, 16002.000
462.180, 167769.165, 0.147, 24627.071, 51693033.181, 592.667, 10583.333, 7450.667
831.784, 543389.842, 0.104, 56668.179, 301322160.768, 846.667, 23876.000, 5080.000
333.908, 87567.765, 0.148, 12945.536, 19493068.153, 1726.868, 13970.000, 7535.333
238.861, 44810.390, 0.139, 6218.874, 7135622.918, 1388.637, 22436.667, 6858.000
460.494, 166547.234, 0.126, 20984.739, 51129310.741, 780.588, 25230.667, 29379.333
933.484, 684389.513, 0.137, 93794.146, 425910963.765, 798.744, 4826.000, 25992.667
289.698, 65914.640, 0.147, 9691.910, 12730241.049, 1270.000, 21166.667, 29464.000
530.794, 221279.818, 0.115, 25528.774, 78302658.701, 698.179, 17695.333, 24553.333
377.262, 111783.229, 0.136, 15252.144, 28114397.055, 1019.522, 20828.000, 2794.000
349.174, 95757.880, 0.147, 14036.424, 22290796.335, 987.375, 17356.667, 13716.000
468.796, 172606.533, 0.131, 22667.077, 53944807.032, 1030.014, 4656.667, 27008.667
373.841, 109764.724, 0.123, 13527.290, 27356339.592, 718.420, 26416.000, 26839.333
931.295, 681183.249, 0.154, 105098.915, 422921476.107, 610.540, 19388.667, 1354.667
528.613, 219465.090, 0.104, 22754.223, 77341389.933, 1581.704, 26839.333, 25315.333
356.550, 99846.042, 0.118, 11734.659, 23733406.795, 1378.273, 27008.667, 29718.000
