Plate, 3
Well, 1
Count, 220
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
20604.560, 0.000 to 41209.120, 0
61813.680, 41209.120 to 82418.240, 7
103022.799, 82418.240 to 123627.359, 12
144231.919, 123627.359 to 164836.479, 14
185441.039, 164836.479 to 206045.599, 34
226650.159, 206045.599 to 247254.719, 31
267859.278, 247254.719 to 288463.838, 13
309068.398, 288463.838 to 329672.958, 11
350277.518, 329672.958 to 370882.078, 17
391486.638, 370882.078 to 412091.198, 10
432695.757, 412091.198 to 453300.317, 4
473904.877, 453300.317 to 494509.437, 5
515113.997, 494509.437 to 535718.557, 4
556323.117, 535718.557 to 576927.677, 7
597532.236, 576927.677 to 618136.796, 4
638741.356, 618136.796 to 659345.916, 3
679950.476, 659345.916 to 700555.036, 1
721159.596, 700555.036 to 741764.156, 4
762368.715, 741764.156 to 782973.275, 4
803577.835, 782973.275 to 824182.395, 4
844786.955, 824182.395 to 865391.515, 1
885996.075, 865391.515 to 906600.635, 2
927205.194, 906600.635 to 947809.754, 0
968414.314, 947809.754 to 989018.874, 3
1009623.434, 989018.874 to 1030227.994, 7
1050832.554, 1030227.994 to 1071437.114, 3
1092041.673, 1071437.114 to 1112646.233, 1
1133250.793, 1112646.233 to 1153855.353, 1
1174459.913, 1153855.353 to 1195064.473, 2
1215669.033, 1195064.473 to 1236273.593, 1
1256878.152, 1236273.593 to 1277482.712, 0
1298087.272, 1277482.712 to 1318691.832, 0
1339296.392, 1318691.832 to 1359900.952, 1
1380505.512, 1359900.952 to 1401110.072, 0
1421714.631, 1401110.072 to 1442319.191, 1
1462923.751, 1442319.191 to 1483528.311, 0
1504132.871, 1483528.311 to 1524737.431, 0
1545341.991, 1524737.431 to 1565946.551, 0
1586551.110, 1565946.551 to 1607155.670, 0
1627760.230, 1607155.670 to 1648364.790, 1
1668969.350, 1648364.790 to 1689573.910, 1
1710178.470, 1689573.910 to 1730783.030, 1
1751387.590, 1730783.030 to 1771992.149, 1
1792596.709, 1771992.149 to 1813201.269, 1
1833805.829, 1813201.269 to 1854410.389, 0
1875014.949, 1854410.389 to 1895619.509, 1
1916224.069, 1895619.509 to 1936828.628, 0
1957433.188, 1936828.628 to 1978037.748, 0
1998642.308, 1978037.748 to 2019246.868, 0
2039851.428, 2019246.868 to 2060455.988, 2


Plate, 3
Well, 2
Count, 244
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
25758.734, 0.000 to 51517.469, 3
77276.203, 51517.469 to 103034.938, 8
128793.672, 103034.938 to 154552.407, 27
180311.141, 154552.407 to 206069.876, 28
231828.610, 206069.876 to 257587.344, 31
283346.079, 257587.344 to 309104.813, 21
334863.548, 309104.813 to 360622.282, 15
386381.017, 360622.282 to 412139.751, 14
437898.485, 412139.751 to 463657.220, 12
489415.954, 463657.220 to 515174.689, 7
540933.423, 515174.689 to 566692.158, 9
592450.892, 566692.158 to 618209.627, 11
643968.361, 618209.627 to 669727.095, 11
695485.830, 669727.095 to 721244.564, 9
747003.299, 721244.564 to 772762.033, 3
798520.768, 772762.033 to 824279.502, 5
850038.237, 824279.502 to 875796.971, 1
901555.705, 875796.971 to 927314.440, 4
953073.174, 927314.440 to 978831.909, 3
1004590.643, 978831.909 to 1030349.378, 2
1056108.112, 1030349.378 to 1081866.846, 1
1107625.581, 1081866.846 to 1133384.315, 2
1159143.050, 1133384.315 to 1184901.784, 4
1210660.519, 1184901.784 to 1236419.253, 0
1262177.988, 1236419.253 to 1287936.722, 1
1313695.456, 1287936.722 to 1339454.191, 2
1365212.925, 1339454.191 to 1390971.660, 0
1416730.394, 1390971.660 to 1442489.129, 1
1468247.863, 1442489.129 to 1494006.598, 0
1519765.332, 1494006.598 to 1545524.066, 2
1571282.801, 1545524.066 to 1597041.535, 0
1622800.270, 1597041.535 to 1648559.004, 0
