Plate, 3
Well, 1
Count, 220
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
22248913.808, 0.000 to 44497827.617, 25
66746741.425, 44497827.617 to 88995655.234, 72
111244569.042, 88995655.234 to 133493482.851, 24
155742396.659, 133493482.851 to 177991310.468, 20
200240224.276, 177991310.468 to 222489138.085, 12
244738051.893, 222489138.085 to 266986965.702, 5
289235879.510, 266986965.702 to 311484793.319, 8
333733707.127, 311484793.319 to 355982620.936, 6
378231534.744, 355982620.936 to 400480448.553, 4
422729362.361, 400480448.553 to 444978276.170, 3
467227189.978, 444978276.170 to 489476103.787, 3
511725017.595, 489476103.787 to 533973931.404, 4
556222845.212, 533973931.404 to 578471759.021, 3
600720672.829, 578471759.021 to 622969586.638, 3
645218500.446, 622969586.638 to 667467414.255, 0
689716328.063, 667467414.255 to 711965241.872, 1
734214155.680, 711965241.872 to 756463069.489, 3
778711983.297, 756463069.489 to 800960897.106, 7
823209810.914, 800960897.106 to 845458724.723, 3
867707638.531, 845458724.723 to 889956552.340, 1
912205466.148, 889956552.340 to 934454379.957, 0
956703293.765, 934454379.957 to 978952207.574, 2
1001201121.382, 978952207.574 to 1023450035.191, 1
1045698948.999, 1023450035.191 to 1067947862.808, 0
1090196776.616, 1067947862.808 to 1112445690.425, 0
1134694604.233, 1112445690.425 to 1156943518.042, 1
1179192431.850, 1156943518.042 to 1201441345.659, 0
1223690259.467, 1201441345.659 to 1245939173.276, 0
1268188087.084, 1245939173.276 to 1290437000.892, 1
1312685914.701, 1290437000.892 to 1334934828.509, 0
1357183742.318, 1334934828.509 to 1379432656.126, 0
1401681569.935, 1379432656.126 to 1423930483.743, 0
1446179397.552, 1423930483.743 to 1468428311.360, 0
1490677225.169, 1468428311.360 to 1512926138.977, 0
1535175052.786, 1512926138.977 to 1557423966.594, 1
1579672880.403, 1557423966.594 to 1601921794.211, 0
1624170708.020, 1601921794.211 to 1646419621.828, 1
1668668535.637, 1646419621.828 to 1690917449.445, 0
1713166363.254, 1690917449.445 to 1735415277.062, 1
1757664190.871, 1735415277.062 to 1779913104.679, 1
1802162018.488, 1779913104.679 to 1824410932.296, 0
1846659846.105, 1824410932.296 to 1868908759.913, 1
1891157673.722, 1868908759.913 to 1913406587.530, 0
1935655501.339, 1913406587.530 to 1957904415.147, 1
1980153328.956, 1957904415.147 to 2002402242.764, 0
2024651156.573, 2002402242.764 to 2046900070.381, 0
