Plate, 4
Well, 1
Count, 179
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.022, 0.019 to 0.025, 0
0.028, 0.025 to 0.031, 0
0.034, 0.031 to 0.038, 0
0.041, 0.038 to 0.044, 0
0.047, 0.044 to 0.050, 0
0.053, 0.050 to 0.056, 0
0.059, 0.056 to 0.063, 0
0.066, 0.063 to 0.069, 0
0.072, 0.069 to 0.075, 0
0.078, 0.075 to 0.081, 0
0.084, 0.081 to 0.088, 0
0.091, 0.088 to 0.094, 0
0.097, 0.094 to 0.100, 0
0.103, 0.100 to 0.106, 0
0.109, 0.106 to 0.113, 0
0.116, 0.113 to 0.119, 0
0.122, 0.119 to 0.125, 0
0.128, 0.125 to 0.131, 4
0.134, 0.131 to 0.138, 8
0.141, 0.138 to 0.144, 11
0.147, 0.144 to 0.150, 13
0.153, 0.150 to 0.156, 28
0.159, 0.156 to 0.163, 14
0.166, 0.163 to 0.169, 18
0.172, 0.169 to 0.175, 12
0.178, 0.175 to 0.181, 10
0.184, 0.181 to 0.188, 13
0.191, 0.188 to 0.194, 9
0.197, 0.194 to 0.200, 3
0.203, 0.200 to 0.206, 3
0.209, 0.206 to 0.213, 13
0.216, 0.213 to 0.219, 4
0.222, 0.219 to 0.225, 3
0.228, 0.225 to 0.231, 2
0.234, 0.231 to 0.238, 1
0.241, 0.238 to 0.244, 3
0.247, 0.244 to 0.250, 2
0.253, 0.250 to 0.256, 1
0.259, 0.256 to 0.263, 0
0.266, 0.263 to 0.269, 0
0.272, 0.269 to 0.275, 0
0.278, 0.275 to 0.281, 1
0.284, 0.281 to 0.288, 1
0.291, 0.288 to 0.294, 0
0.297, 0.294 to 0.300, 1
0.303, 0.300 to 0.306, 0
0.310, 0.306 to 0.313, 1


Plate, 4
Well, 2
Count, 139
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.020, 0
0.024, 0.020 to 0.027, 0
0.031, 0.027 to 0.034, 0
0.037, 0.034 to 0.041, 0
0.044, 0.041 to 0.048, 0
0.051, 0.048 to 0.054, 0
0.058, 0.054 to 0.061, 0
0.065, 0.061 to 0.068, 0
0.071, 0.068 to 0.075, 0
0.078, 0.075 to 0.082, 0
0.085, 0.082 to 0.088, 0
0.092, 0.088 to 0.095, 0
0.099, 0.095 to 0.102, 0
0.105, 0.102 to 0.109, 0
0.112, 0.109 to 0.116, 0
0.119, 0.116 to 0.122, 0
0.126, 0.122 to 0.129, 0
0.133, 0.129 to 0.136, 2
0.139, 0.136 to 0.143, 1
0.146, 0.143 to 0.150, 5
0.153, 0.150 to 0.156, 9
0.160, 0.156 to 0.163, 21
0.167, 0.163 to 0.170, 22
0.173, 0.170 to 0.177, 10
0.180, 0.177 to 0.184, 16
0.187, 0.184 to 0.191, 10
0.194, 0.191 to 0.197, 11
0.201, 0.197 to 0.204, 6
0.208, 0.204 to 0.211, 4
0.214, 0.211 to 0.218, 4
0.221, 0.218 to 0.225, 8
0.228, 0.225 to 0.231, 4
0.235, 0.231 to 0.238, 2
0.242, 0.238 to 0.245, 1
0.248, 0.245 to 0.252, 0
0.255, 0.252 to 0.259, 1
0.262, 0.259 to 0.265, 1
0.269, 0.265 to 0.272, 0
0.276, 0.272 to 0.279, 0
0.282, 0.279 to 0.286, 0
0.289, 0.286 to 0.293, 0
0.296, 0.293 to 0.299, 0
0.303, 0.299 to 0.306, 0
0.310, 0.306 to 0.313, 0
0.316, 0.313 to 0.320, 0
0.323, 0.320 to 0.327, 0
0.330, 0.327 to 0.333, 0
0.337, 0.333 to 0.340, 1


Plate, 4
Well, 3
Count, 92
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.016, 0
0.018, 0.016 to 0.021, 0
0.024, 0.021 to 0.026, 0
0.029, 0.026 to 0.031, 0
0.034, 0.031 to 0.037, 0
0.039, 0.037 to 0.042, 0
0.044, 0.042 to 0.047, 0
0.050, 0.047 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.060, 0.058 to 0.063, 0
0.065, 0.063 to 0.068, 0
0.071, 0.068 to 0.073, 0
0.076, 0.073 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.086, 0.084 to 0.089, 0
0.092, 0.089 to 0.094, 0
0.097, 0.094 to 0.099, 0
0.102, 0.099 to 0.105, 0
0.107, 0.105 to 0.110, 0
0.112, 0.110 to 0.115, 0
0.118, 0.115 to 0.120, 0
0.123, 0.120 to 0.126, 0
0.128, 0.126 to 0.131, 0
0.133, 0.131 to 0.136, 1
0.139, 0.136 to 0.141, 1
0.144, 0.141 to 0.146, 4
0.149, 0.146 to 0.152, 7
0.154, 0.152 to 0.157, 8
0.160, 0.157 to 0.162, 5
0.165, 0.162 to 0.167, 5
0.170, 0.167 to 0.173, 14
0.175, 0.173 to 0.178, 8
0.180, 0.178 to 0.183, 6
0.186, 0.183 to 0.188, 12
0.191, 0.188 to 0.194, 5
0.196, 0.194 to 0.199, 2
0.201, 0.199 to 0.204, 7
0.207, 0.204 to 0.209, 1
0.212, 0.209 to 0.214, 2
0.217, 0.214 to 0.220, 0
0.222, 0.220 to 0.225, 1
0.228, 0.225 to 0.230, 1
0.233, 0.230 to 0.235, 0
0.238, 0.235 to 0.241, 0
0.243, 0.241 to 0.246, 0
0.248, 0.246 to 0.251, 0
0.254, 0.251 to 0.256, 1
0.259, 0.256 to 0.262, 1


Plate, 4
Well, 4
Count, 33
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.015, 0
0.017, 0.015 to 0.020, 0
0.022, 0.020 to 0.025, 0
0.027, 0.025 to 0.030, 0
0.032, 0.030 to 0.035, 0
0.037, 0.035 to 0.040, 0
0.042, 0.040 to 0.045, 0
0.047, 0.045 to 0.050, 0
0.052, 0.050 to 0.055, 0
0.057, 0.055 to 0.060, 0
0.062, 0.060 to 0.065, 0
0.067, 0.065 to 0.070, 0
0.072, 0.070 to 0.075, 0
0.077, 0.075 to 0.080, 0
0.082, 0.080 to 0.085, 0
0.087, 0.085 to 0.090, 0
0.092, 0.090 to 0.095, 0
0.097, 0.095 to 0.100, 0
0.102, 0.100 to 0.105, 0
0.107, 0.105 to 0.110, 0
0.112, 0.110 to 0.114, 0
0.117, 0.114 to 0.119, 0
0.122, 0.119 to 0.124, 0
0.127, 0.124 to 0.129, 0
0.132, 0.129 to 0.134, 1
0.137, 0.134 to 0.139, 3
0.142, 0.139 to 0.144, 2
0.147, 0.144 to 0.149, 5
0.152, 0.149 to 0.154, 3
0.157, 0.154 to 0.159, 2
0.162, 0.159 to 0.164, 2
0.167, 0.164 to 0.169, 7
0.172, 0.169 to 0.174, 1
0.177, 0.174 to 0.179, 3
0.182, 0.179 to 0.184, 2
0.187, 0.184 to 0.189, 0
0.192, 0.189 to 0.194, 0
0.197, 0.194 to 0.199, 0
0.202, 0.199 to 0.204, 1
0.207, 0.204 to 0.209, 0
0.212, 0.209 to 0.214, 0
0.217, 0.214 to 0.219, 0
0.222, 0.219 to 0.224, 0
0.226, 0.224 to 0.229, 0
0.231, 0.229 to 0.234, 0
0.236, 0.234 to 0.239, 0
0.241, 0.239 to 0.244, 0
0.246, 0.244 to 0.249, 1


Plate, 4
Well, 5
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.003, 0
0.005, 0.003 to 0.006, 0
0.008, 0.006 to 0.009, 0
0.011, 0.009 to 0.012, 0
0.014, 0.012 to 0.015, 0
0.017, 0.015 to 0.018, 0
0.020, 0.018 to 0.021, 0
0.023, 0.021 to 0.024, 0
0.026, 0.024 to 0.027, 0
0.029, 0.027 to 0.030, 0
0.032, 0.030 to 0.033, 0
0.035, 0.033 to 0.036, 0
0.038, 0.036 to 0.039, 0
0.041, 0.039 to 0.042, 0
0.044, 0.042 to 0.045, 0
0.047, 0.045 to 0.048, 0
0.050, 0.048 to 0.051, 0
0.053, 0.051 to 0.054, 0
0.056, 0.054 to 0.057, 0
0.059, 0.057 to 0.060, 0
0.062, 0.060 to 0.063, 0
0.065, 0.063 to 0.066, 0
0.068, 0.066 to 0.069, 0
0.071, 0.069 to 0.072, 0
0.074, 0.072 to 0.075, 0
0.077, 0.075 to 0.078, 0
0.080, 0.078 to 0.081, 0
0.083, 0.081 to 0.084, 0
0.086, 0.084 to 0.087, 0
0.089, 0.087 to 0.090, 0
0.092, 0.090 to 0.093, 0
0.095, 0.093 to 0.096, 0
