Plate, 4
Well, 1
Count, 179
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
16.102, 0.000 to 32.203, 0
48.305, 32.203 to 64.407, 0
80.508, 64.407 to 96.610, 0
112.712, 96.610 to 128.813, 0
144.915, 128.813 to 161.017, 0
177.118, 161.017 to 193.220, 0
209.322, 193.220 to 225.423, 0
241.525, 225.423 to 257.626, 2
273.728, 257.626 to 289.830, 4
305.931, 289.830 to 322.033, 1
338.135, 322.033 to 354.236, 8
370.338, 354.236 to 386.440, 8
402.541, 386.440 to 418.643, 11
434.745, 418.643 to 450.846, 9
466.948, 450.846 to 483.050, 13
499.151, 483.050 to 515.253, 15
531.355, 515.253 to 547.456, 15
563.558, 547.456 to 579.660, 12
595.761, 579.660 to 611.863, 10
627.965, 611.863 to 644.066, 6
660.168, 644.066 to 676.269, 10
692.371, 676.269 to 708.473, 8
724.574, 708.473 to 740.676, 4
756.778, 740.676 to 772.879, 4
788.981, 772.879 to 805.083, 7
821.184, 805.083 to 837.286, 2
853.388, 837.286 to 869.489, 3
885.591, 869.489 to 901.693, 4
917.794, 901.693 to 933.896, 3
949.998, 933.896 to 966.099, 0
982.201, 966.099 to 998.303, 5
1014.404, 998.303 to 1030.506, 4
1046.608, 1030.506 to 1062.709, 3
1078.811, 1062.709 to 1094.912, 3
1111.014, 1094.912 to 1127.116, 0
1143.217, 1127.116 to 1159.319, 2
1175.421, 1159.319 to 1191.522, 0
1207.624, 1191.522 to 1223.726, 0
1239.827, 1223.726 to 1255.929, 0
1272.031, 1255.929 to 1288.132, 0
1304.234, 1288.132 to 1320.336, 0
1336.437, 1320.336 to 1352.539, 0
1368.641, 1352.539 to 1384.742, 0
1400.844, 1384.742 to 1416.946, 1
1433.047, 1416.946 to 1449.149, 0
1465.251, 1449.149 to 1481.352, 1
1497.454, 1481.352 to 1513.555, 0
1529.657, 1513.555 to 1545.759, 0
1561.860, 1545.759 to 1577.962, 0
1594.064, 1577.962 to 1610.165, 1


Plate, 4
Well, 2
Count, 139
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
13.949, 0.000 to 27.899, 0
41.848, 27.899 to 55.797, 0
69.747, 55.797 to 83.696, 0
97.645, 83.696 to 111.595, 0
125.544, 111.595 to 139.493, 0
153.443, 139.493 to 167.392, 0
181.341, 167.392 to 195.291, 0
209.240, 195.291 to 223.190, 0
237.139, 223.190 to 251.088, 0
265.038, 251.088 to 278.987, 3
292.936, 278.987 to 306.886, 3
320.835, 306.886 to 334.784, 3
348.734, 334.784 to 362.683, 5
376.632, 362.683 to 390.582, 9
404.531, 390.582 to 418.480, 5
432.430, 418.480 to 446.379, 8
460.328, 446.379 to 474.278, 9
488.227, 474.278 to 502.176, 7
516.126, 502.176 to 530.075, 15
544.024, 530.075 to 557.974, 5
571.923, 557.974 to 585.872, 6
599.822, 585.872 to 613.771, 3
627.720, 613.771 to 641.670, 5
655.619, 641.670 to 669.569, 13
683.518, 669.569 to 697.467, 5
711.417, 697.467 to 725.366, 2
739.315, 725.366 to 753.265, 2
767.214, 753.265 to 781.163, 3
795.113, 781.163 to 809.062, 3
823.011, 809.062 to 836.961, 1
850.910, 836.961 to 864.859, 1
878.809, 864.859 to 892.758, 3
906.707, 892.758 to 920.657, 0
934.606, 920.657 to 948.555, 2
962.505, 948.555 to 976.454, 0
990.403, 976.454 to 1004.353, 3
1018.302, 1004.353 to 1032.251, 3
1046.201, 1032.251 to 1060.150, 2
1074.099, 1060.150 to 1088.049, 1
1101.998, 1088.049 to 1115.948, 1
1129.897, 1115.948 to 1143.846, 1
1157.796, 1143.846 to 1171.745, 2
1185.694, 1171.745 to 1199.644, 0
1213.593, 1199.644 to 1227.542, 0
1241.492, 1227.542 to 1255.441, 1
1269.390, 1255.441 to 1283.340, 0
1297.289, 1283.340 to 1311.238, 0
1325.188, 1311.238 to 1339.137, 1
1353.086, 1339.137 to 1367.036, 1
1380.985, 1367.036 to 1394.934, 2


Plate, 4
Well, 3
Count, 92
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
11.151, 0.000 to 22.302, 0
33.453, 22.302 to 44.604, 0
55.754, 44.604 to 66.905, 0
78.056, 66.905 to 89.207, 0
100.358, 89.207 to 111.509, 0
122.660, 111.509 to 133.811, 0
144.961, 133.811 to 156.112, 0
167.263, 156.112 to 178.414, 0
189.565, 178.414 to 200.716, 0
211.867, 200.716 to 223.018, 3
234.168, 223.018 to 245.319, 1
256.470, 245.319 to 267.621, 0
278.772, 267.621 to 289.923, 3
301.074, 289.923 to 312.225, 1
323.375, 312.225 to 334.526, 2
