Plate, 4
Well, 1
Count, 179
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
37.608, 0.000 to 75.215, 0
112.823, 75.215 to 150.431, 0
188.038, 150.431 to 225.646, 0
263.253, 225.646 to 300.861, 2
338.469, 300.861 to 376.076, 2
413.684, 376.076 to 451.292, 10
488.899, 451.292 to 526.507, 7
564.115, 526.507 to 601.722, 6
639.330, 601.722 to 676.937, 7
714.545, 676.937 to 752.153, 14
789.760, 752.153 to 827.368, 9
864.976, 827.368 to 902.583, 9
940.191, 902.583 to 977.798, 11
1015.406, 977.798 to 1053.014, 11
1090.621, 1053.014 to 1128.229, 12
1165.837, 1128.229 to 1203.444, 14
1241.052, 1203.444 to 1278.660, 5
1316.267, 1278.660 to 1353.875, 11
1391.482, 1353.875 to 1429.090, 1
1466.698, 1429.090 to 1504.305, 8
1541.913, 1504.305 to 1579.521, 6
1617.128, 1579.521 to 1654.736, 1
1692.344, 1654.736 to 1729.951, 2
1767.559, 1729.951 to 1805.166, 6
1842.774, 1805.166 to 1880.382, 5
1917.989, 1880.382 to 1955.597, 1
1993.205, 1955.597 to 2030.812, 2
2068.420, 2030.812 to 2106.027, 4
2143.635, 2106.027 to 2181.243, 3
2218.850, 2181.243 to 2256.458, 2
2294.066, 2256.458 to 2331.673, 2
2369.281, 2331.673 to 2406.889, 0
2444.496, 2406.889 to 2482.104, 2
2519.711, 2482.104 to 2557.319, 0
2594.927, 2557.319 to 2632.534, 0
2670.142, 2632.534 to 2707.750, 0
2745.357, 2707.750 to 2782.965, 0
2820.573, 2782.965 to 2858.180, 2
2895.788, 2858.180 to 2933.395, 1
2971.003, 2933.395 to 3008.611, 0
3046.218, 3008.611 to 3083.826, 0
3121.434, 3083.826 to 3159.041, 0
3196.649, 3159.041 to 3234.256, 0
3271.864, 3234.256 to 3309.472, 0
3347.079, 3309.472 to 3384.687, 0
3422.295, 3384.687 to 3459.902, 0
3497.510, 3459.902 to 3535.118, 0
3572.725, 3535.118 to 3610.333, 0
3647.940, 3610.333 to 3685.548, 0
3723.156, 3685.548 to 3760.763, 1


Plate, 4
Well, 2
Count, 139
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
47.481, 0.000 to 94.963, 0
142.444, 94.963 to 189.925, 2
237.407, 189.925 to 284.888, 2
332.369, 284.888 to 379.851, 3
427.332, 379.851 to 474.813, 6
522.295, 474.813 to 569.776, 9
617.257, 569.776 to 664.738, 6
712.220, 664.738 to 759.701, 5
807.182, 759.701 to 854.664, 8
902.145, 854.664 to 949.626, 8
997.108, 949.626 to 1044.589, 7
1092.070, 1044.589 to 1139.552, 8
1187.033, 1139.552 to 1234.514, 4
1281.996, 1234.514 to 1329.477, 14
1376.958, 1329.477 to 1424.440, 10
1471.921, 1424.440 to 1519.402, 4
1566.884, 1519.402 to 1614.365, 3
1661.846, 1614.365 to 1709.328, 4
1756.809, 1709.328 to 1804.290, 2
1851.771, 1804.290 to 1899.253, 3
1946.734, 1899.253 to 1994.215, 4
2041.697, 1994.215 to 2089.178, 2
2136.659, 2089.178 to 2184.141, 5
2231.622, 2184.141 to 2279.103, 4
2326.585, 2279.103 to 2374.066, 1
2421.547, 2374.066 to 2469.029, 1
2516.510, 2469.029 to 2563.991, 2
2611.473, 2563.991 to 2658.954, 1
2706.435, 2658.954 to 2753.917, 0
2801.398, 2753.917 to 2848.879, 2
2896.361, 2848.879 to 2943.842, 1
2991.323, 2943.842 to 3038.804, 1
3086.286, 3038.804 to 3133.767, 2
3181.248, 3133.767 to 3228.730, 0
3276.211, 3228.730 to 3323.692, 0
3371.174, 3323.692 to 3418.655, 1
3466.136, 3418.655 to 3513.618, 0
3561.099, 3513.618 to 3608.580, 1
3656.062, 3608.580 to 3703.543, 0
3751.024, 3703.543 to 3798.506, 1
3845.987, 3798.506 to 3893.468, 0
3940.950, 3893.468 to 3988.431, 0
4035.912, 3988.431 to 4083.394, 1
4130.875, 4083.394 to 4178.356, 0
4225.838, 4178.356 to 4273.319, 0
4320.800, 4273.319 to 4368.281, 0
4415.763, 4368.281 to 4463.244, 0
4510.725, 4463.244 to 4558.207, 0
4605.688, 4558.207 to 4653.169, 0
4700.651, 4653.169 to 4748.132, 1


Plate, 4
Well, 3
Count, 92
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
46.497, 0.000 to 92.995, 0
139.492, 92.995 to 185.989, 0
232.487, 185.989 to 278.984, 0
325.481, 278.984 to 371.979, 0
418.476, 371.979 to 464.973, 2
511.471, 464.973 to 557.968, 6
604.465, 557.968 to 650.963, 0
697.460, 650.963 to 743.957, 5
790.455, 743.957 to 836.952, 2
883.450, 836.952 to 929.947, 2
976.444, 929.947 to 1022.942, 11
1069.439, 1022.942 to 1115.936, 5
1162.434, 1115.936 to 1208.931, 5
1255.428, 1208.931 to 1301.926, 4
1348.423, 1301.926 to 1394.920, 5
1441.418, 1394.920 to 1487.915, 11
1534.412, 1487.915 to 1580.910, 4
1627.407, 1580.910 to 1673.904, 5
1720.402, 1673.904 to 1766.899, 4
1813.396, 1766.899 to 1859.894, 1
1906.391, 1859.894 to 1952.888, 0
1999.386, 1952.888 to 2045.883, 0
2092.380, 2045.883 to 2138.878, 1
2185.375, 2138.878 to 2231.872, 0
2278.370, 2231.872 to 2324.867, 1
2371.364, 2324.867 to 2417.862, 5
2464.359, 2417.862 to 2510.856, 1
2557.354, 2510.856 to 2603.851, 3
2650.349, 2603.851 to 2696.846, 0
2743.343, 2696.846 to 2789.841, 2
2836.338, 2789.841 to 2882.835, 0
2929.333, 2882.835 to 2975.830, 3
3022.327, 2975.830 to 3068.825, 0
3115.322, 3068.825 to 3161.819, 0
3208.317, 3161.819 to 3254.814, 0
3301.311, 3254.814 to 3347.809, 1
3394.306, 3347.809 to 3440.803, 1
3487.301, 3440.803 to 3533.798, 0
3580.295, 3533.798 to 3626.793, 0
3673.290, 3626.793 to 3719.787, 0
3766.285, 3719.787 to 3812.782, 0
3859.279, 3812.782 to 3905.777, 0
3952.274, 3905.777 to 3998.771, 1
4045.269, 3998.771 to 4091.766, 0
4138.263, 4091.766 to 4184.761, 0
4231.258, 4184.761 to 4277.755, 0
4324.253, 4277.755 to 4370.750, 0
4417.248, 4370.750 to 4463.745, 0
4510.242, 4463.745 to 4556.740, 0
4603.237, 4556.740 to 4649.734, 1


Plate, 4
Well, 4
Count, 33
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
58.915, 0.000 to 117.830, 0
176.745, 117.830 to 235.659, 0
294.574, 235.659 to 353.489, 0
412.404, 353.489 to 471.319, 0
530.234, 471.319 to 589.149, 0
648.063, 589.149 to 706.978, 2
765.893, 706.978 to 824.808, 0
883.723, 824.808 to 942.638, 2
1001.553, 942.638 to 1060.467, 0
1119.382, 1060.467 to 1178.297, 0
1237.212, 1178.297 to 1296.127, 2
1355.042, 1296.127 to 1413.957, 2
1472.872, 1413.957 to 1531.786, 0
1590.701, 1531.786 to 1649.616, 1
1708.531, 1649.616 to 1767.446, 2
1826.361, 1767.446 to 1885.276, 2
1944.190, 1885.276 to 2003.105, 0
2062.020, 2003.105 to 2120.935, 1
2179.850, 2120.935 to 2238.765, 3
2297.680, 2238.765 to 2356.594, 1
2415.509, 2356.594 to 2474.424, 1
2533.339, 2474.424 to 2592.254, 0
2651.169, 2592.254 to 2710.084, 0
2768.998, 2710.084 to 2827.913, 0
2886.828, 2827.913 to 2945.743, 0
3004.658, 2945.743 to 3063.573, 0
3122.488, 3063.573 to 3181.402, 1
3240.317, 3181.402 to 3299.232, 0
3358.147, 3299.232 to 3417.062, 2
3475.977, 3417.062 to 3534.892, 0
3593.806, 3534.892 to 3652.721, 0
3711.636, 3652.721 to 3770.551, 0
3829.466, 3770.551 to 3888.381, 2
3947.296, 3888.381 to 4006.211, 1
4065.125, 4006.211 to 4124.040, 0
4182.955, 4124.040 to 4241.870, 2
4300.785, 4241.870 to 4359.700, 1
4418.615, 4359.700 to 4477.529, 0
4536.444, 4477.529 to 4595.359, 0
4654.274, 4595.359 to 4713.189, 0
4772.104, 4713.189 to 4831.019, 0
4889.933, 4831.019 to 4948.848, 2
5007.763, 4948.848 to 5066.678, 1
5125.593, 5066.678 to 5184.508, 0
5243.423, 5184.508 to 5302.337, 0
5361.252, 5302.337 to 5420.167, 0
5479.082, 5420.167 to 5537.997, 0
5596.912, 5537.997 to 5655.827, 0
5714.741, 5655.827 to 5773.656, 1
5832.571, 5773.656 to 5891.486, 1


Plate, 4
Well, 5
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
0.000, 0.000 to 0.000, 200026776
176.745, 176.745 to 176.745, 199975384
294.574, 294.574 to 294.574, 1342273454
412.404, 412.404 to 412.404, 1084309420
530.234, 530.234 to 530.234, -1556108307
648.063, 648.063 to 648.063, 1085524627
765.893, 765.893 to 765.893, 627426970
883.723, 883.723 to 883.723, 1082997092
1001.553, 1001.553 to 1001.553, -748713921
1119.382, 1119.382 to 1119.382, 1083531091
1237.212, 1237.212 to 1237.212, 2116350359
1355.042, 1355.042 to 1355.042, 1084926475
1472.872, 1472.872 to 1472.872, 365420746
1590.701, 1590.701 to 1590.701, 1083953167
1708.531, 1708.531 to 1708.531, 365420746
1826.361, 1826.361 to 1826.361, 1083953167
1944.190, 1944.190 to 1944.190, -739092913
2062.020, 2062.020 to 2062.020, 1085164577
2179.850, 2179.850 to 2179.850, -748713921
2297.680, 2297.680 to 2297.680, 1083531091
2415.509, 2415.509 to 2415.509, -587395380
2533.339, 2533.339 to 2533.339, 1085317584
2651.169, 2651.169 to 2651.169, 644280858
2768.998, 2768.998 to 2768.998, 1085180602
2886.828, 2886.828 to 2886.828, 648403296
3004.658, 3004.658 to 3004.658, 1083798114
3122.488, 3122.488 to 3122.488, 551080637
3240.317, 3240.317 to 3240.317, 1085479847
3358.147, 3358.147 to 3358.147, 2105925406
3475.977, 3475.977 to 3475.977, 1084350242
3593.806, 3593.806 to 3593.806, -37359947
3711.636, 3711.636 to 3711.636, 1084227392
3829.466, 3829.466 to 3829.466, 121109335
3947.296, 3947.296 to 3947.296, 1084783519
4065.125, 4065.125 to 4065.125, 861840334
4182.955, 4182.955 to 4182.955, 1083885946
4300.785, 4300.785 to 4300.785, -1915975199
4418.615, 4418.615 to 4418.615, 1085298233
4536.444, 4536.444 to 4536.444, 1431655766
4654.274, 4654.274 to 4654.274, 1082295637
4772.104, 4772.104 to 4772.104, 1853127394
4889.933, 4889.933 to 4889.933, 1085735804
5007.763, 5007.763 to 5007.763, -1915975199
5125.593, 5125.593 to 5125.593, 1085298233
5243.423, 5243.423 to 5243.423, 1061637958
5361.252, 5361.252 to 5361.252, 1084418829
5479.082, 5479.082 to 5479.082, 1431655766
5596.912, 5596.912 to 5596.912, 1082295637
5714.741, 5714.741 to 5714.741, 1342273454
5832.571, 5832.571 to 5832.571, 1084309420


Plate, 4
Well, 6
Count, 190
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.933, 0.000 to 65.866, 0
98.799, 65.866 to 131.732, 0
164.665, 131.732 to 197.598, 2
230.531, 197.598 to 263.464, 0
296.397, 263.464 to 329.330, 2
362.264, 329.330 to 395.197, 6
428.130, 395.197 to 461.063, 5
493.996, 461.063 to 526.929, 6
559.862, 526.929 to 592.795, 2
625.728, 592.795 to 658.661, 8
691.594, 658.661 to 724.527, 17
