Plate, 4
Well, 1
Count, 179
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4305.528, 0.000 to 8611.056, 2
12916.584, 8611.056 to 17222.112, 16
21527.640, 17222.112 to 25833.168, 26
30138.696, 25833.168 to 34444.224, 26
38749.751, 34444.224 to 43055.279, 22
47360.807, 43055.279 to 51666.335, 19
55971.863, 51666.335 to 60277.391, 12
64582.919, 60277.391 to 68888.447, 7
73193.975, 68888.447 to 77499.503, 10
81805.031, 77499.503 to 86110.559, 6
90416.087, 86110.559 to 94721.615, 2
99027.143, 94721.615 to 103332.671, 5
107638.199, 103332.671 to 111943.726, 3
116249.254, 111943.726 to 120554.782, 1
124860.310, 120554.782 to 129165.838, 2
133471.366, 129165.838 to 137776.894, 1
142082.422, 137776.894 to 146387.950, 2
150693.478, 146387.950 to 154999.006, 4
159304.534, 154999.006 to 163610.062, 3
167915.590, 163610.062 to 172221.118, 1
176526.646, 172221.118 to 180832.174, 1
185137.701, 180832.174 to 189443.229, 1
193748.757, 189443.229 to 198054.285, 0
202359.813, 198054.285 to 206665.341, 0
210970.869, 206665.341 to 215276.397, 2
219581.925, 215276.397 to 223887.453, 0
228192.981, 223887.453 to 232498.509, 0
236804.037, 232498.509 to 241109.565, 0
245415.093, 241109.565 to 249720.621, 1
254026.149, 249720.621 to 258331.677, 1
262637.204, 258331.677 to 266942.732, 0
271248.260, 266942.732 to 275553.788, 0
279859.316, 275553.788 to 284164.844, 0
288470.372, 284164.844 to 292775.900, 0
297081.428, 292775.900 to 301386.956, 1
305692.484, 301386.956 to 309998.012, 1
314303.540, 309998.012 to 318609.068, 0
322914.596, 318609.068 to 327220.124, 0
331525.652, 327220.124 to 335831.179, 0
340136.707, 335831.179 to 344442.235, 0
348747.763, 344442.235 to 353053.291, 0
357358.819, 353053.291 to 361664.347, 0
365969.875, 361664.347 to 370275.403, 0
374580.931, 370275.403 to 378886.459, 0
383191.987, 378886.459 to 387497.515, 0
391803.043, 387497.515 to 396108.571, 0
400414.099, 396108.571 to 404719.627, 0
409025.154, 404719.627 to 413330.682, 0
417636.210, 413330.682 to 421941.738, 0
426247.266, 421941.738 to 430552.794, 1


Plate, 4
Well, 2
Count, 139
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3223.756, 0.000 to 6447.512, 0
9671.268, 6447.512 to 12895.023, 6
16118.779, 12895.023 to 19342.535, 11
22566.291, 19342.535 to 25790.047, 15
29013.803, 25790.047 to 32237.559, 16
35461.314, 32237.559 to 38685.070, 17
41908.826, 38685.070 to 45132.582, 11
48356.338, 45132.582 to 51580.094, 8
54803.849, 51580.094 to 58027.605, 7
61251.361, 58027.605 to 64475.117, 6
67698.873, 64475.117 to 70922.629, 3
74146.385, 70922.629 to 77370.140, 5
80593.896, 77370.140 to 83817.652, 3
87041.408, 83817.652 to 90265.164, 6
93488.920, 90265.164 to 96712.676, 1
99936.431, 96712.676 to 103160.187, 1
106383.943, 103160.187 to 109607.699, 1
112831.455, 109607.699 to 116055.211, 1
119278.967, 116055.211 to 122502.722, 1
125726.478, 122502.722 to 128950.234, 1
132173.990, 128950.234 to 135397.746, 1
138621.502, 135397.746 to 141845.257, 0
145069.013, 141845.257 to 148292.769, 3
151516.525, 148292.769 to 154740.281, 1
157964.037, 154740.281 to 161187.793, 0
164411.548, 161187.793 to 167635.304, 1
170859.060, 167635.304 to 174082.816, 4
177306.572, 174082.816 to 180530.328, 0
183754.084, 180530.328 to 186977.839, 0
190201.595, 186977.839 to 193425.351, 1
196649.107, 193425.351 to 199872.863, 0
203096.619, 199872.863 to 206320.375, 0
209544.130, 206320.375 to 212767.886, 2
215991.642, 212767.886 to 219215.398, 0
222439.154, 219215.398 to 225662.910, 0
228886.665, 225662.910 to 232110.421, 1
235334.177, 232110.421 to 238557.933, 1
241781.689, 238557.933 to 245005.445, 0
248229.201, 245005.445 to 251452.956, 0
254676.712, 251452.956 to 257900.468, 1
261124.224, 257900.468 to 264347.980, 1
267571.736, 264347.980 to 270795.492, 0
274019.247, 270795.492 to 277243.003, 0
280466.759, 277243.003 to 283690.515, 0
286914.271, 283690.515 to 290138.027, 0
293361.783, 290138.027 to 296585.538, 0
299809.294, 296585.538 to 303033.050, 1
306256.806, 303033.050 to 309480.562, 0
312704.318, 309480.562 to 315928.073, 0
319151.829, 315928.073 to 322375.585, 1


Plate, 4
Well, 3
Count, 92
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1799.592, 0.000 to 3599.183, 0
5398.775, 3599.183 to 7198.366, 3
8997.958, 7198.366 to 10797.549, 3
12597.141, 10797.549 to 14396.732, 4
16196.324, 14396.732 to 17995.915, 10
19795.507, 17995.915 to 21595.098, 4
23394.690, 21595.098 to 25194.281, 9
26993.873, 25194.281 to 28793.464, 3
30593.056, 28793.464 to 32392.647, 9
34192.239, 32392.647 to 35991.830, 6
37791.422, 35991.830 to 39591.013, 5
41390.605, 39591.013 to 43190.196, 4
44989.788, 43190.196 to 46789.379, 8
48588.971, 46789.379 to 50388.562, 3
52188.154, 50388.562 to 53987.745, 2
55787.337, 53987.745 to 57586.928, 1
59386.520, 57586.928 to 61186.111, 0
62985.703, 61186.111 to 64785.294, 0
66584.886, 64785.294 to 68384.477, 0
70184.069, 68384.477 to 71983.660, 0
73783.252, 71983.660 to 75582.843, 2
77382.435, 75582.843 to 79182.026, 3
80981.618, 79182.026 to 82781.209, 0
84580.801, 82781.209 to 86380.393, 2
88179.984, 86380.393 to 89979.576, 0
91779.167, 89979.576 to 93578.759, 2
95378.350, 93578.759 to 97177.942, 0
98977.533, 97177.942 to 100777.125, 0
102576.716, 100777.125 to 104376.308, 1
106175.899, 104376.308 to 107975.491, 0
109775.082, 107975.491 to 111574.674, 0
113374.265, 111574.674 to 115173.857, 0
116973.448, 115173.857 to 118773.040, 3
120572.631, 118773.040 to 122372.223, 1
124171.814, 122372.223 to 125971.406, 0
127770.997, 125971.406 to 129570.589, 0
131370.180, 129570.589 to 133169.772, 1
134969.363, 133169.772 to 136768.955, 0
138568.546, 136768.955 to 140368.138, 0
142167.729, 140368.138 to 143967.321, 0
145766.912, 143967.321 to 147566.504, 0
149366.095, 147566.504 to 151165.687, 0
152965.278, 151165.687 to 154764.870, 0
156564.461, 154764.870 to 158364.053, 1
160163.644, 158364.053 to 161963.236, 0
163762.827, 161963.236 to 165562.419, 1
167362.010, 165562.419 to 169161.602, 0
170961.194, 169161.602 to 172760.785, 0
174560.377, 172760.785 to 176359.968, 0
178159.560, 176359.968 to 179959.151, 1


Plate, 4
Well, 4
Count, 33
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1465.305, 0.000 to 2930.609, 0
4395.914, 2930.609 to 5861.219, 2
7326.523, 5861.219 to 8791.828, 0
10257.133, 8791.828 to 11722.437, 1
13187.742, 11722.437 to 14653.047, 6
16118.351, 14653.047 to 17583.656, 4
19048.961, 17583.656 to 20514.265, 2
21979.570, 20514.265 to 23444.875, 1
24910.179, 23444.875 to 26375.484, 2
27840.789, 26375.484 to 29306.093, 0
30771.398, 29306.093 to 32236.703, 3
33702.007, 32236.703 to 35167.312, 1
36632.617, 35167.312 to 38097.921, 0
39563.226, 38097.921 to 41028.531, 0
42493.835, 41028.531 to 43959.140, 3
45424.445, 43959.140 to 46889.749, 1
48355.054, 46889.749 to 49820.359, 0
51285.663, 49820.359 to 52750.968, 1
54216.273, 52750.968 to 55681.577, 0
57146.882, 55681.577 to 58612.187, 0
60077.491, 58612.187 to 61542.796, 0
63008.101, 61542.796 to 64473.405, 1
65938.710, 64473.405 to 67404.015, 1
68869.319, 67404.015 to 70334.624, 0
71799.929, 70334.624 to 73265.233, 2
74730.538, 73265.233 to 76195.843, 0
77661.147, 76195.843 to 79126.452, 0
80591.757, 79126.452 to 82057.061, 0
83522.366, 82057.061 to 84987.671, 0
86452.975, 84987.671 to 87918.280, 0
89383.585, 87918.280 to 90848.889, 1
92314.194, 90848.889 to 93779.499, 0
95244.803, 93779.499 to 96710.108, 0
98175.413, 96710.108 to 99640.717, 0
101106.022, 99640.717 to 102571.327, 0
104036.631, 102571.327 to 105501.936, 0
106967.241, 105501.936 to 108432.545, 0
109897.850, 108432.545 to 111363.155, 0
112828.459, 111363.155 to 114293.764, 0
115759.069, 114293.764 to 117224.373, 0
118689.678, 117224.373 to 120154.983, 0
121620.287, 120154.983 to 123085.592, 0
124550.897, 123085.592 to 126016.201, 0
