Plate, 1
Well, 1
Count, 190
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.020, 0.016 to 0.024, 0
0.028, 0.024 to 0.032, 0
0.036, 0.032 to 0.040, 0
0.044, 0.040 to 0.048, 0
0.052, 0.048 to 0.057, 0
0.061, 0.057 to 0.065, 0
0.069, 0.065 to 0.073, 0
0.077, 0.073 to 0.081, 0
0.085, 0.081 to 0.089, 0
0.093, 0.089 to 0.097, 0
0.101, 0.097 to 0.105, 0
0.109, 0.105 to 0.113, 0
0.117, 0.113 to 0.121, 6
0.125, 0.121 to 0.129, 10
0.133, 0.129 to 0.137, 15
0.141, 0.137 to 0.145, 25
0.149, 0.145 to 0.153, 17
0.157, 0.153 to 0.161, 16
0.165, 0.161 to 0.170, 15
0.174, 0.170 to 0.178, 16
0.182, 0.178 to 0.186, 9
0.190, 0.186 to 0.194, 10
0.198, 0.194 to 0.202, 8
0.206, 0.202 to 0.210, 8
0.214, 0.210 to 0.218, 4
0.222, 0.218 to 0.226, 6
0.230, 0.226 to 0.234, 3
0.238, 0.234 to 0.242, 3
0.246, 0.242 to 0.250, 4
0.254, 0.250 to 0.258, 3
0.262, 0.258 to 0.266, 3
0.270, 0.266 to 0.274, 1
0.279, 0.274 to 0.283, 2
0.287, 0.283 to 0.291, 0
0.295, 0.291 to 0.299, 0
0.303, 0.299 to 0.307, 0
0.311, 0.307 to 0.315, 0
0.319, 0.315 to 0.323, 1
0.327, 0.323 to 0.331, 1
0.335, 0.331 to 0.339, 3
0.343, 0.339 to 0.347, 0
0.351, 0.347 to 0.355, 0
0.359, 0.355 to 0.363, 0
0.367, 0.363 to 0.371, 0
0.375, 0.371 to 0.379, 0
0.383, 0.379 to 0.388, 0
0.392, 0.388 to 0.396, 0
0.400, 0.396 to 0.404, 1


Plate, 1
Well, 2
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.015, 0.012 to 0.018, 0
0.021, 0.018 to 0.024, 0
0.027, 0.024 to 0.030, 0
0.032, 0.030 to 0.035, 0
0.038, 0.035 to 0.041, 0
0.044, 0.041 to 0.047, 0
0.050, 0.047 to 0.053, 0
0.056, 0.053 to 0.059, 0
0.062, 0.059 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.074, 0.071 to 0.077, 0
0.080, 0.077 to 0.083, 0
0.086, 0.083 to 0.089, 0
0.091, 0.089 to 0.094, 0
0.097, 0.094 to 0.100, 0
0.103, 0.100 to 0.106, 3
0.109, 0.106 to 0.112, 3
0.115, 0.112 to 0.118, 20
0.121, 0.118 to 0.124, 16
0.127, 0.124 to 0.130, 21
0.133, 0.130 to 0.136, 8
0.139, 0.136 to 0.142, 18
0.145, 0.142 to 0.148, 11
0.151, 0.148 to 0.153, 12
0.156, 0.153 to 0.159, 8
0.162, 0.159 to 0.165, 14
0.168, 0.165 to 0.171, 6
0.174, 0.171 to 0.177, 6
0.180, 0.177 to 0.183, 5
0.186, 0.183 to 0.189, 9
0.192, 0.189 to 0.195, 3
0.198, 0.195 to 0.201, 9
0.204, 0.201 to 0.207, 3
0.210, 0.207 to 0.212, 10
0.215, 0.212 to 0.218, 8
0.221, 0.218 to 0.224, 4
0.227, 0.224 to 0.230, 5
0.233, 0.230 to 0.236, 1
0.239, 0.236 to 0.242, 6
0.245, 0.242 to 0.248, 4
0.251, 0.248 to 0.254, 2
0.257, 0.254 to 0.260, 0
0.263, 0.260 to 0.266, 0
0.269, 0.266 to 0.272, 2
0.274, 0.272 to 0.277, 1
0.280, 0.277 to 0.283, 0
0.286, 0.283 to 0.289, 0
0.292, 0.289 to 0.295, 1


Plate, 1
Well, 3
Count, 163
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.016, 0
0.018, 0.016 to 0.021, 0
0.024, 0.021 to 0.026, 0
0.029, 0.026 to 0.031, 0
0.034, 0.031 to 0.037, 0
0.039, 0.037 to 0.042, 0
0.045, 0.042 to 0.047, 0
0.050, 0.047 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.060, 0.058 to 0.063, 0
0.066, 0.063 to 0.068, 0
0.071, 0.068 to 0.073, 0
0.076, 0.073 to 0.079, 2
0.081, 0.079 to 0.084, 1
0.086, 0.084 to 0.089, 3
0.092, 0.089 to 0.094, 6
0.097, 0.094 to 0.100, 6
0.102, 0.100 to 0.105, 11
0.107, 0.105 to 0.110, 11
0.113, 0.110 to 0.115, 10
0.118, 0.115 to 0.121, 12
0.123, 0.121 to 0.126, 3
0.128, 0.126 to 0.131, 13
0.134, 0.131 to 0.136, 6
0.139, 0.136 to 0.142, 6
0.144, 0.142 to 0.147, 6
0.149, 0.147 to 0.152, 8
0.155, 0.152 to 0.157, 11
0.160, 0.157 to 0.162, 8
0.165, 0.162 to 0.168, 6
0.170, 0.168 to 0.173, 5
0.176, 0.173 to 0.178, 4
0.181, 0.178 to 0.183, 4
0.186, 0.183 to 0.189, 1
0.191, 0.189 to 0.194, 3
0.197, 0.194 to 0.199, 3
0.202, 0.199 to 0.204, 0
0.207, 0.204 to 0.210, 3
0.212, 0.210 to 0.215, 3
0.218, 0.215 to 0.220, 1
0.223, 0.220 to 0.225, 1
0.228, 0.225 to 0.231, 2
0.233, 0.231 to 0.236, 0
0.238, 0.236 to 0.241, 0
0.244, 0.241 to 0.246, 1
0.249, 0.246 to 0.252, 0
0.254, 0.252 to 0.257, 1
0.259, 0.257 to 0.262, 2


Plate, 1
Well, 4
Count, 174
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.009, 0
0.013, 0.009 to 0.018, 0
0.022, 0.018 to 0.027, 0
0.031, 0.027 to 0.036, 0
0.040, 0.036 to 0.044, 0
0.049, 0.044 to 0.053, 0
0.058, 0.053 to 0.062, 0
0.067, 0.062 to 0.071, 0
0.076, 0.071 to 0.080, 0
0.084, 0.080 to 0.089, 0
0.093, 0.089 to 0.098, 0
0.102, 0.098 to 0.107, 0
0.111, 0.107 to 0.116, 0
0.120, 0.116 to 0.124, 5
0.129, 0.124 to 0.133, 14
0.138, 0.133 to 0.142, 23
0.147, 0.142 to 0.151, 21
0.156, 0.151 to 0.160, 24
0.164, 0.160 to 0.169, 15
0.173, 0.169 to 0.178, 10
0.182, 0.178 to 0.187, 11
0.191, 0.187 to 0.196, 5
0.200, 0.196 to 0.204, 7
0.209, 0.204 to 0.213, 10
0.218, 0.213 to 0.222, 4
0.227, 0.222 to 0.231, 3
0.235, 0.231 to 0.240, 6
0.244, 0.240 to 0.249, 1
0.253, 0.249 to 0.258, 3
0.262, 0.258 to 0.267, 2
0.271, 0.267 to 0.275, 2
0.280, 0.275 to 0.284, 0
0.289, 0.284 to 0.293, 2
0.298, 0.293 to 0.302, 0
0.307, 0.302 to 0.311, 1
0.315, 0.311 to 0.320, 0
0.324, 0.320 to 0.329, 1
0.333, 0.329 to 0.338, 0
0.342, 0.338 to 0.347, 1
0.351, 0.347 to 0.355, 0
0.360, 0.355 to 0.364, 0
0.369, 0.364 to 0.373, 1
0.378, 0.373 to 0.382, 0
0.387, 0.382 to 0.391, 0
0.395, 0.391 to 0.400, 0
0.404, 0.400 to 0.409, 0
0.413, 0.409 to 0.418, 0
0.422, 0.418 to 0.427, 0
0.431, 0.427 to 0.435, 0
0.440, 0.435 to 0.444, 2


Plate, 1
Well, 5
Count, 123
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.015, 0
0.017, 0.015 to 0.020, 0
0.022, 0.020 to 0.024, 0
0.027, 0.024 to 0.029, 0
0.032, 0.029 to 0.034, 0
0.037, 0.034 to 0.039, 0
0.042, 0.039 to 0.044, 0
0.047, 0.044 to 0.049, 0
0.051, 0.049 to 0.054, 0
0.056, 0.054 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.066, 0.064 to 0.069, 0
0.071, 0.069 to 0.073, 0
0.076, 0.073 to 0.078, 0
0.081, 0.078 to 0.083, 0
0.086, 0.083 to 0.088, 0
0.091, 0.088 to 0.093, 0
0.095, 0.093 to 0.098, 0
0.100, 0.098 to 0.103, 2
0.105, 0.103 to 0.108, 0
0.110, 0.108 to 0.113, 2
0.115, 0.113 to 0.118, 6
0.120, 0.118 to 0.122, 8
0.125, 0.122 to 0.127, 11
0.130, 0.127 to 0.132, 10
0.135, 0.132 to 0.137, 12
0.140, 0.137 to 0.142, 14
0.144, 0.142 to 0.147, 7
0.149, 0.147 to 0.152, 6
0.154, 0.152 to 0.157, 2
0.159, 0.157 to 0.162, 2
0.164, 0.162 to 0.166, 3
0.169, 0.166 to 0.171, 1
0.174, 0.171 to 0.176, 3
0.179, 0.176 to 0.181, 3
0.184, 0.181 to 0.186, 6
0.189, 0.186 to 0.191, 3
0.193, 0.191 to 0.196, 4
0.198, 0.196 to 0.201, 2
0.203, 0.201 to 0.206, 3
0.208, 0.206 to 0.211, 2
0.213, 0.211 to 0.215, 2
0.218, 0.215 to 0.220, 2
0.223, 0.220 to 0.225, 2
0.228, 0.225 to 0.230, 1
0.233, 0.230 to 0.235, 1
0.237, 0.235 to 0.240, 0
0.242, 0.240 to 0.245, 3


Plate, 1
Well, 6
Count, 81
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.021, 0
0.024, 0.021 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.035, 0.032 to 0.037, 0
0.040, 0.037 to 0.043, 0
0.045, 0.043 to 0.048, 0
0.051, 0.048 to 0.053, 0
0.056, 0.053 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.067, 0.064 to 0.069, 1
0.072, 0.069 to 0.074, 0
0.077, 0.074 to 0.080, 0
0.082, 0.080 to 0.085, 2
0.088, 0.085 to 0.090, 3
0.093, 0.090 to 0.096, 2
0.098, 0.096 to 0.101, 10
0.104, 0.101 to 0.106, 12
0.109, 0.106 to 0.112, 11
0.114, 0.112 to 0.117, 6
0.120, 0.117 to 0.122, 6
0.125, 0.122 to 0.128, 7
0.130, 0.128 to 0.133, 2
0.136, 0.133 to 0.138, 4
0.141, 0.138 to 0.144, 0
0.146, 0.144 to 0.149, 6
0.152, 0.149 to 0.154, 1
0.157, 0.154 to 0.160, 1
0.162, 0.160 to 0.165, 0
0.168, 0.165 to 0.170, 3
0.173, 0.170 to 0.176, 0
0.178, 0.176 to 0.181, 1
0.184, 0.181 to 0.186, 1
0.189, 0.186 to 0.192, 0
0.194, 0.192 to 0.197, 0
0.200, 0.197 to 0.202, 0
0.205, 0.202 to 0.207, 0
0.210, 0.207 to 0.213, 0
0.215, 0.213 to 0.218, 0
0.221, 0.218 to 0.223, 0
0.226, 0.223 to 0.229, 0
0.231, 0.229 to 0.234, 0
0.237, 0.234 to 0.239, 1
0.242, 0.239 to 0.245, 0
0.247, 0.245 to 0.250, 0
0.253, 0.250 to 0.255, 0
0.258, 0.255 to 0.261, 0
0.263, 0.261 to 0.266, 1




ADDITIONAL INFO
Read-date:	01-03-2020
Read-time:	17:34:39
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Falcon 6 wells_mask.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-22\Plate1\Plate1.ics


