Plate, 1
Well, 1
Count, 190
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
15.965, 0.000 to 31.931, 0
47.896, 31.931 to 63.862, 0
79.827, 63.862 to 95.792, 0
111.758, 95.792 to 127.723, 0
143.689, 127.723 to 159.654, 0
175.620, 159.654 to 191.585, 0
207.550, 191.585 to 223.516, 1
239.481, 223.516 to 255.447, 1
271.412, 255.447 to 287.377, 5
303.343, 287.377 to 319.308, 5
335.274, 319.308 to 351.239, 7
367.204, 351.239 to 383.170, 16
399.135, 383.170 to 415.101, 5
431.066, 415.101 to 447.031, 10
462.997, 447.031 to 478.962, 9
494.928, 478.962 to 510.893, 7
526.859, 510.893 to 542.824, 18
558.789, 542.824 to 574.755, 11
590.720, 574.755 to 606.686, 8
622.651, 606.686 to 638.616, 8
654.582, 638.616 to 670.547, 11
686.513, 670.547 to 702.478, 8
718.443, 702.478 to 734.409, 3
750.374, 734.409 to 766.340, 4
782.305, 766.340 to 798.271, 5
814.236, 798.271 to 830.201, 6
846.167, 830.201 to 862.132, 3
878.098, 862.132 to 894.063, 4
910.028, 894.063 to 925.994, 5
941.959, 925.994 to 957.925, 2
973.890, 957.925 to 989.855, 3
1005.821, 989.855 to 1021.786, 4
1037.752, 1021.786 to 1053.717, 4
1069.682, 1053.717 to 1085.648, 2
1101.613, 1085.648 to 1117.579, 1
1133.544, 1117.579 to 1149.510, 5
1165.475, 1149.510 to 1181.440, 0
1197.406, 1181.440 to 1213.371, 1
1229.337, 1213.371 to 1245.302, 0
1261.267, 1245.302 to 1277.233, 1
1293.198, 1277.233 to 1309.164, 2
1325.129, 1309.164 to 1341.094, 0
1357.060, 1341.094 to 1373.025, 3
1388.991, 1373.025 to 1404.956, 0
1420.922, 1404.956 to 1436.887, 1
1452.852, 1436.887 to 1468.818, 0
1484.783, 1468.818 to 1500.749, 0
1516.714, 1500.749 to 1532.679, 0
1548.645, 1532.679 to 1564.610, 0
1580.576, 1564.610 to 1596.541, 1


Plate, 1
Well, 2
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
18.582, 0.000 to 37.164, 0
55.747, 37.164 to 74.329, 0
92.911, 74.329 to 111.493, 0
130.076, 111.493 to 148.658, 0
167.240, 148.658 to 185.822, 0
204.405, 185.822 to 222.987, 0
241.569, 222.987 to 260.151, 3
278.734, 260.151 to 297.316, 2
315.898, 297.316 to 334.480, 9
353.063, 334.480 to 371.645, 15
390.227, 371.645 to 408.809, 9
427.391, 408.809 to 445.974, 11
464.556, 445.974 to 483.138, 9
501.720, 483.138 to 520.303, 8
538.885, 520.303 to 557.467, 19
576.049, 557.467 to 594.632, 11
613.214, 594.632 to 631.796, 9
650.378, 631.796 to 668.961, 14
687.543, 668.961 to 706.125, 16
724.707, 706.125 to 743.289, 12
761.872, 743.289 to 780.454, 11
799.036, 780.454 to 817.618, 7
836.201, 817.618 to 854.783, 4
873.365, 854.783 to 891.947, 7
910.530, 891.947 to 929.112, 2
947.694, 929.112 to 966.276, 5
984.859, 966.276 to 1003.441, 1
1022.023, 1003.441 to 1040.605, 5
1059.188, 1040.605 to 1077.770, 3
1096.352, 1077.770 to 1114.934, 1
1133.516, 1114.934 to 1152.099, 1
1170.681, 1152.099 to 1189.263, 3
1207.845, 1189.263 to 1226.428, 3
1245.010, 1226.428 to 1263.592, 6
1282.174, 1263.592 to 1300.757, 1
1319.339, 1300.757 to 1337.921, 2
1356.503, 1337.921 to 1375.086, 1
1393.668, 1375.086 to 1412.250, 2
1430.832, 1412.250 to 1449.415, 0
1467.997, 1449.415 to 1486.579, 0
1505.161, 1486.579 to 1523.743, 2
1542.326, 1523.743 to 1560.908, 0
1579.490, 1560.908 to 1598.072, 1
1616.655, 1598.072 to 1635.237, 0
1653.819, 1635.237 to 1672.401, 1
1690.984, 1672.401 to 1709.566, 1
1728.148, 1709.566 to 1746.730, 1
1765.313, 1746.730 to 1783.895, 0
1802.477, 1783.895 to 1821.059, 0
1839.641, 1821.059 to 1858.224, 1


Plate, 1
Well, 3
