Plate, 1
Well, 1
Count, 190
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
40.330, 0.000 to 80.660, 0
120.990, 80.660 to 161.321, 0
201.651, 161.321 to 241.981, 0
282.311, 241.981 to 322.641, 0
362.971, 322.641 to 403.301, 0
443.632, 403.301 to 483.962, 0
524.292, 483.962 to 564.622, 10
604.952, 564.622 to 645.282, 20
685.612, 645.282 to 725.942, 5
766.273, 725.942 to 806.603, 22
846.933, 806.603 to 887.263, 13
927.593, 887.263 to 967.923, 14
1008.253, 967.923 to 1048.584, 15
1088.914, 1048.584 to 1129.244, 8
1169.574, 1129.244 to 1209.904, 11
1250.234, 1209.904 to 1290.564, 9
1330.895, 1290.564 to 1371.225, 7
1411.555, 1371.225 to 1451.885, 4
1492.215, 1451.885 to 1532.545, 6
1572.875, 1532.545 to 1613.206, 6
1653.536, 1613.206 to 1693.866, 8
1734.196, 1693.866 to 1774.526, 2
1814.856, 1774.526 to 1855.186, 4
1895.516, 1855.186 to 1935.847, 4
1976.177, 1935.847 to 2016.507, 4
2056.837, 2016.507 to 2097.167, 2
2137.497, 2097.167 to 2177.827, 4
2218.158, 2177.827 to 2258.488, 1
2298.818, 2258.488 to 2339.148, 0
2379.478, 2339.148 to 2419.808, 2
2460.138, 2419.808 to 2500.469, 1
2540.799, 2500.469 to 2581.129, 1
2621.459, 2581.129 to 2661.789, 2
2702.119, 2661.789 to 2742.449, 0
2782.780, 2742.449 to 2823.110, 1
2863.440, 2823.110 to 2903.770, 0
2944.100, 2903.770 to 2984.430, 0
3024.760, 2984.430 to 3065.091, 1
3105.421, 3065.091 to 3145.751, 1
3186.081, 3145.751 to 3226.411, 1
3266.741, 3226.411 to 3307.071, 0
3347.401, 3307.071 to 3387.732, 0
3428.062, 3387.732 to 3468.392, 0
3508.722, 3468.392 to 3549.052, 0
3589.382, 3549.052 to 3629.712, 0
3670.043, 3629.712 to 3710.373, 0
3750.703, 3710.373 to 3791.033, 0
3831.363, 3791.033 to 3871.693, 0
3912.023, 3871.693 to 3952.354, 0
3992.684, 3952.354 to 4033.014, 1


Plate, 1
Well, 2
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
44.392, 0.000 to 88.783, 0
133.175, 88.783 to 177.566, 0
221.958, 177.566 to 266.349, 2
310.741, 266.349 to 355.132, 2
399.524, 355.132 to 443.915, 2
488.307, 443.915 to 532.698, 10
577.090, 532.698 to 621.481, 19
665.873, 621.481 to 710.264, 12
754.656, 710.264 to 799.047, 23
843.439, 799.047 to 887.830, 16
932.222, 887.830 to 976.613, 18
1021.005, 976.613 to 1065.396, 14
1109.788, 1065.396 to 1154.179, 12
1198.571, 1154.179 to 1242.962, 5
1287.354, 1242.962 to 1331.745, 21
1376.137, 1331.745 to 1420.528, 15
1464.920, 1420.528 to 1509.311, 11
1553.703, 1509.311 to 1598.094, 7
1642.486, 1598.094 to 1686.877, 4
1731.269, 1686.877 to 1775.660, 2
1820.052, 1775.660 to 1864.443, 2
1908.835, 1864.443 to 1953.226, 2
1997.618, 1953.226 to 2042.009, 5
2086.401, 2042.009 to 2130.792, 4
2175.184, 2130.792 to 2219.575, 2
2263.967, 2219.575 to 2308.358, 1
2352.750, 2308.358 to 2397.141, 1
2441.533, 2397.141 to 2485.924, 2
2530.316, 2485.924 to 2574.707, 3
2619.099, 2574.707 to 2663.490, 1
2707.882, 2663.490 to 2752.273, 0
2796.665, 2752.273 to 2841.056, 0
2885.448, 2841.056 to 2929.839, 0
2974.231, 2929.839 to 3018.622, 0
3063.014, 3018.622 to 3107.405, 0
3151.797, 3107.405 to 3196.188, 0
3240.580, 3196.188 to 3284.971, 0
3329.363, 3284.971 to 3373.754, 0
3418.146, 3373.754 to 3462.537, 0
3506.929, 3462.537 to 3551.320, 0
3595.712, 3551.320 to 3640.103, 0
3684.495, 3640.103 to 3728.886, 0
