Plate, 3
Well, 1
Count, 220
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4723.793, 0.000 to 9447.586, 2
14171.379, 9447.586 to 18895.172, 11
23618.964, 18895.172 to 28342.757, 22
33066.550, 28342.757 to 37790.343, 34
42514.136, 37790.343 to 47237.929, 26
51961.722, 47237.929 to 56685.515, 24
61409.308, 56685.515 to 66133.100, 15
70856.893, 66133.100 to 75580.686, 7
80304.479, 75580.686 to 85028.272, 10
89752.065, 85028.272 to 94475.858, 6
99199.651, 94475.858 to 103923.444, 3
108647.236, 103923.444 to 113371.029, 8
118094.822, 113371.029 to 122818.615, 3
127542.408, 122818.615 to 132266.201, 2
136989.994, 132266.201 to 141713.787, 4
146437.579, 141713.787 to 151161.372, 1
155885.165, 151161.372 to 160608.958, 3
165332.751, 160608.958 to 170056.544, 2
174780.337, 170056.544 to 179504.130, 1
184227.923, 179504.130 to 188951.715, 5
193675.508, 188951.715 to 198399.301, 3
203123.094, 198399.301 to 207846.887, 1
212570.680, 207846.887 to 217294.473, 1
222018.266, 217294.473 to 226742.059, 2
231465.851, 226742.059 to 236189.644, 2
240913.437, 236189.644 to 245637.230, 3
250361.023, 245637.230 to 255084.816, 1
259808.609, 255084.816 to 264532.402, 3
269256.195, 264532.402 to 273979.987, 2
278703.780, 273979.987 to 283427.573, 1
288151.366, 283427.573 to 292875.159, 2
297598.952, 292875.159 to 302322.745, 1
307046.538, 302322.745 to 311770.331, 2
316494.123, 311770.331 to 321217.916, 2
325941.709, 321217.916 to 330665.502, 1
335389.295, 330665.502 to 340113.088, 0
344836.881, 340113.088 to 349560.674, 0
354284.467, 349560.674 to 359008.259, 0
363732.052, 359008.259 to 368455.845, 0
373179.638, 368455.845 to 377903.431, 0
382627.224, 377903.431 to 387351.017, 0
392074.810, 387351.017 to 396798.603, 0
401522.395, 396798.603 to 406246.188, 0
410969.981, 406246.188 to 415693.774, 1
420417.567, 415693.774 to 425141.360, 0
429865.153, 425141.360 to 434588.946, 0
439312.738, 434588.946 to 444036.531, 0
448760.324, 444036.531 to 453484.117, 0
458207.910, 453484.117 to 462931.703, 1
467655.496, 462931.703 to 472379.289, 2


Plate, 3
Well, 2
Count, 244
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4615.977, 0.000 to 9231.955, 3
13847.932, 9231.955 to 18463.910, 12
23079.887, 18463.910 to 27695.864, 31
32311.842, 27695.864 to 36927.819, 33
41543.797, 36927.819 to 46159.774, 27
50775.751, 46159.774 to 55391.729, 16
60007.706, 55391.729 to 64623.684, 12
69239.661, 64623.684 to 73855.638, 21
78471.616, 73855.638 to 83087.593, 3
87703.571, 83087.593 to 92319.548, 12
96935.525, 92319.548 to 101551.503, 11
106167.480, 101551.503 to 110783.457, 4
115399.435, 110783.457 to 120015.412, 9
124631.390, 120015.412 to 129247.367, 7
133863.344, 129247.367 to 138479.322, 4
143095.299, 138479.322 to 147711.277, 2
152327.254, 147711.277 to 156943.231, 4
161559.209, 156943.231 to 166175.186, 4
170791.164, 166175.186 to 175407.141, 0
180023.118, 175407.141 to 184639.096, 3
189255.073, 184639.096 to 193871.051, 2
198487.028, 193871.051 to 203103.005, 3
207718.983, 203103.005 to 212334.960, 2
216950.938, 212334.960 to 221566.915, 2
226182.892, 221566.915 to 230798.870, 0
235414.847, 230798.870 to 240030.825, 2
244646.802, 240030.825 to 249262.779, 0
253878.757, 249262.779 to 258494.734, 0
263110.712, 258494.734 to 267726.689, 1
272342.666, 267726.689 to 276958.644, 0
281574.621, 276958.644 to 286190.598, 2
290806.576, 286190.598 to 295422.553, 2
300038.531, 295422.553 to 304654.508, 1
309270.485, 304654.508 to 313886.463, 1
318502.440, 313886.463 to 323118.418, 0
327734.395, 323118.418 to 332350.372, 1
336966.350, 332350.372 to 341582.327, 4
346198.305, 341582.327 to 350814.282, 0
355430.259, 350814.282 to 360046.237, 0
364662.214, 360046.237 to 369278.192, 0
373894.169, 369278.192 to 378510.146, 1
383126.124, 378510.146 to 387742.101, 0
392358.079, 387742.101 to 396974.056, 0
401590.033, 396974.056 to 406206.011, 0
410821.988, 406206.011 to 415437.966, 0
420053.943, 415437.966 to 424669.920, 0
429285.898, 424669.920 to 433901.875, 0
438517.853, 433901.875 to 443133.830, 1
447749.807, 443133.830 to 452365.785, 0
456981.762, 452365.785 to 461597.740, 1


Plate, 3
Well, 3
Count, 226
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
5673.551, 0.000 to 11347.103, 8
17020.654, 11347.103 to 22694.205, 31
28367.757, 22694.205 to 34041.308, 38
39714.860, 34041.308 to 45388.411, 35
51061.962, 45388.411 to 56735.514, 30
62409.065, 56735.514 to 68082.616, 16
73756.168, 68082.616 to 79429.719, 13
85103.270, 79429.719 to 90776.822, 8
96450.373, 90776.822 to 102123.924, 6
107797.476, 102123.924 to 113471.027, 6
119144.579, 113471.027 to 124818.130, 4
130491.681, 124818.130 to 136165.233, 0
141838.784, 136165.233 to 147512.335, 3
153185.887, 147512.335 to 158859.438, 0
164532.989, 158859.438 to 170206.541, 4
175880.092, 170206.541 to 181553.644, 3
187227.195, 181553.644 to 192900.746, 3
198574.298, 192900.746 to 204247.849, 5
209921.400, 204247.849 to 215594.952, 2
221268.503, 215594.952 to 226942.054, 2
232615.606, 226942.054 to 238289.157, 1
243962.708, 238289.157 to 249636.260, 1
255309.811, 249636.260 to 260983.363, 0
266656.914, 260983.363 to 272330.465, 0
278004.017, 272330.465 to 283677.568, 1
289351.119, 283677.568 to 295024.671, 1
300698.222, 295024.671 to 306371.773, 0
312045.325, 306371.773 to 317718.876, 0
323392.428, 317718.876 to 329065.979, 0
334739.530, 329065.979 to 340413.082, 0
346086.633, 340413.082 to 351760.184, 0
357433.736, 351760.184 to 363107.287, 0
368780.838, 363107.287 to 374454.390, 1
380127.941, 374454.390 to 385801.493, 0
391475.044, 385801.493 to 397148.595, 0
402822.147, 397148.595 to 408495.698, 0
414169.249, 408495.698 to 419842.801, 0
425516.352, 419842.801 to 431189.903, 1
436863.455, 431189.903 to 442537.006, 0
448210.557, 442537.006 to 453884.109, 0
459557.660, 453884.109 to 465231.212, 0
470904.763, 465231.212 to 476578.314, 0
482251.866, 476578.314 to 487925.417, 0
493598.968, 487925.417 to 499272.520, 0
504946.071, 499272.520 to 510619.622, 0
516293.174, 510619.622 to 521966.725, 1
527640.277, 521966.725 to 533313.828, 1
538987.379, 533313.828 to 544660.931, 0
550334.482, 544660.931 to 556008.033, 0
561681.585, 556008.033 to 567355.136, 1


Plate, 3
Well, 4
Count, 216
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
6586.741, 0.000 to 13173.483, 6
19760.224, 13173.483 to 26346.965, 22
32933.707, 26346.965 to 39520.448, 30
46107.189, 39520.448 to 52693.931, 31
59280.672, 52693.931 to 65867.413, 21
72454.155, 65867.413 to 79040.896, 20
85627.637, 79040.896 to 92214.379, 6
98801.120, 92214.379 to 105387.861, 11
111974.603, 105387.861 to 118561.344, 9
125148.085, 118561.344 to 131734.827, 10
138321.568, 131734.827 to 144908.309, 1
151495.051, 144908.309 to 158081.792, 5
164668.533, 158081.792 to 171255.275, 9
177842.016, 171255.275 to 184428.757, 4
191015.499, 184428.757 to 197602.240, 2
204188.981, 197602.240 to 210775.723, 3
217362.464, 210775.723 to 223949.205, 2
230535.946, 223949.205 to 237122.688, 3
243709.429, 237122.688 to 250296.170, 2
256882.912, 250296.170 to 263469.653, 3
270056.394, 263469.653 to 276643.136, 3
283229.877, 276643.136 to 289816.618, 4
296403.360, 289816.618 to 302990.101, 0
309576.842, 302990.101 to 316163.584, 1
322750.325, 316163.584 to 329337.066, 0
335923.808, 329337.066 to 342510.549, 1
349097.290, 342510.549 to 355684.032, 0
362270.773, 355684.032 to 368857.514, 0
375444.256, 368857.514 to 382030.997, 1
388617.738, 382030.997 to 395204.480, 0
401791.221, 395204.480 to 408377.962, 0
414964.704, 408377.962 to 421551.445, 1
428138.186, 421551.445 to 434724.928, 1
441311.669, 434724.928 to 447898.410, 1
454485.152, 447898.410 to 461071.893, 1
467658.634, 461071.893 to 474245.376, 0
480832.117, 474245.376 to 487418.858, 0
494005.600, 487418.858 to 500592.341, 0
507179.082, 500592.341 to 513765.824, 0
