Plate, 3
Well, 4
Count, 216

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
1148.052, 1035172.745, 0.301, 311832.100, 792287937.641, 1019.522, 27093.333, 30988.000
1062.342, 886377.432, 0.232, 205979.433, 627757391.998, 850.889, 34120.667, 21674.667
1097.477, 945976.999, 0.198, 187182.916, 692125205.708, 1188.353, 3979.333, 9398.000
695.451, 379859.583, 0.274, 103930.841, 176115845.262, 965.349, 30395.333, 26162.000
1053.179, 871152.734, 0.227, 197940.386, 611653205.148, 1197.367, 27262.667, 4487.333
1523.629, 1823259.188, 0.238, 434094.722, 1851980529.757, 1317.104, 11006.667, 33104.667
965.045, 731450.461, 0.226, 165479.079, 470588356.250, 780.588, 5080.000, 26077.333
710.008, 395927.993, 0.258, 102257.636, 187407994.304, 965.349, 28786.667, 11599.333
529.925, 220555.993, 0.303, 66904.520, 77918771.276, 1232.765, 32850.667, 25738.667
872.261, 597562.026, 0.204, 122020.693, 347486780.026, 1446.785, 22352.000, 4656.667
1016.593, 811679.313, 0.244, 197674.221, 550098570.481, 1669.888, 15663.333, 34205.333
667.544, 349985.544, 0.215, 75258.256, 155753910.960, 1354.667, 22267.333, 25230.667
820.180, 528334.154, 0.226, 119463.096, 288886222.414, 2425.962, 19642.667, 31750.000
529.925, 220555.993, 0.294, 64763.491, 77918771.276, 915.810, 8382.000, 29633.333
834.748, 547268.264, 0.198, 108218.159, 304553921.760, 1446.785, 17102.667, 33358.667
843.631, 558978.285, 0.224, 125458.237, 314380937.863, 2215.939, 8636.000, 27432.000
851.125, 568953.805, 0.268, 152268.025, 322834031.382, 1669.888, 16933.333, 31157.333
643.391, 325117.356, 0.247, 80246.325, 139451770.065, 1669.888, 17780.000, 29718.000
855.948, 575419.611, 0.193, 110864.668, 328352848.990, 1456.660, 11430.000, 6350.000
642.409, 324125.752, 0.214, 69410.369, 138814267.455, 846.667, 24722.667, 24976.667
1186.703, 1106048.727, 0.151, 167309.379, 875034528.535, 757.282, 32258.000, 14562.667
741.483, 431809.479, 0.226, 97625.830, 213452899.167, 1497.906, 16933.333, 2540.000
944.557, 700723.283, 0.219, 153129.268, 441248886.565, 1456.660, 23791.333, 33612.667
1001.842, 788294.243, 0.209, 165067.692, 526497523.381, 871.697, 29125.333, 30226.000
705.005, 390367.906, 0.276, 107767.534, 183474180.992, 1212.242, 4148.667, 24807.333
550.416, 237942.188, 0.229, 54482.010, 87311404.835, 3191.608, 11599.333, 26246.667
691.943, 376036.776, 0.192, 72200.361, 173463970.087, 1325.243, 11006.667, 29972.000
686.424, 370062.531, 0.190, 70216.922, 169346596.127, 2201.333, 21759.333, 8382.000
