Plate, 4
Well, 1
Count, 179
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
20362.489, 0.000 to 40724.979, 0
61087.468, 40724.979 to 81449.957, 7
101812.447, 81449.957 to 122174.936, 20
142537.426, 122174.936 to 162899.915, 16
183262.404, 162899.915 to 203624.894, 25
223987.383, 203624.894 to 244349.872, 23
264712.362, 244349.872 to 285074.851, 10
305437.340, 285074.851 to 325799.830, 13
346162.319, 325799.830 to 366524.808, 15
386887.298, 366524.808 to 407249.787, 3
427612.277, 407249.787 to 447974.766, 7
468337.255, 447974.766 to 488699.745, 6
509062.234, 488699.745 to 529424.723, 2
549787.213, 529424.723 to 570149.702, 3
590512.191, 570149.702 to 610874.681, 4
631237.170, 610874.681 to 651599.660, 5
671962.149, 651599.660 to 692324.638, 0
712687.128, 692324.638 to 733049.617, 0
753412.106, 733049.617 to 773774.596, 4
794137.085, 773774.596 to 814499.574, 4
834862.064, 814499.574 to 855224.553, 3
875587.043, 855224.553 to 895949.532, 1
916312.021, 895949.532 to 936674.511, 2
957037.000, 936674.511 to 977399.489, 1
997761.979, 977399.489 to 1018124.468, 0
1038486.957, 1018124.468 to 1058849.447, 2
1079211.936, 1058849.447 to 1099574.425, 0
1119936.915, 1099574.425 to 1140299.404, 0
1160661.894, 1140299.404 to 1181024.383, 0
1201386.872, 1181024.383 to 1221749.362, 0
1242111.851, 1221749.362 to 1262474.340, 0
1282836.830, 1262474.340 to 1303199.319, 0
1323561.808, 1303199.319 to 1343924.298, 0
1364286.787, 1343924.298 to 1384649.277, 0
1405011.766, 1384649.277 to 1425374.255, 0
1445736.745, 1425374.255 to 1466099.234, 0
1486461.723, 1466099.234 to 1506824.213, 0
1527186.702, 1506824.213 to 1547549.191, 1
1567911.681, 1547549.191 to 1588274.170, 0
1608636.659, 1588274.170 to 1628999.149, 0
1649361.638, 1628999.149 to 1669724.128, 1
1690086.617, 1669724.128 to 1710449.106, 0
1730811.596, 1710449.106 to 1751174.085, 0
1771536.574, 1751174.085 to 1791899.064, 0
1812261.553, 1791899.064 to 1832624.042, 0
1852986.532, 1832624.042 to 1873349.021, 0
1893711.511, 1873349.021 to 1914074.000, 0
1934436.489, 1914074.000 to 1954798.979, 0
1975161.468, 1954798.979 to 1995523.957, 0
2015886.447, 1995523.957 to 2036248.936, 1


Plate, 4
Well, 2
Count, 139
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
15282.607, 0.000 to 30565.214, 0
45847.820, 30565.214 to 61130.427, 3
76413.034, 61130.427 to 91695.641, 6
106978.247, 91695.641 to 122260.854, 14
137543.461, 122260.854 to 152826.068, 13
168108.674, 152826.068 to 183391.281, 11
198673.888, 183391.281 to 213956.495, 15
229239.102, 213956.495 to 244521.708, 10
259804.315, 244521.708 to 275086.922, 6
290369.529, 275086.922 to 305652.135, 5
320934.742, 305652.135 to 336217.349, 5
351499.956, 336217.349 to 366782.562, 12
382065.169, 366782.562 to 397347.776, 5
412630.383, 397347.776 to 427912.990, 2
443195.596, 427912.990 to 458478.203, 2
473760.810, 458478.203 to 489043.417, 3
504326.023, 489043.417 to 519608.630, 2
534891.237, 519608.630 to 550173.844, 1
565456.450, 550173.844 to 580739.057, 1
596021.664, 580739.057 to 611304.271, 3
626586.878, 611304.271 to 641869.484, 0
657152.091, 641869.484 to 672434.698, 2
687717.305, 672434.698 to 702999.911, 0
718282.518, 702999.911 to 733565.125, 0
748847.732, 733565.125 to 764130.338, 2
779412.945, 764130.338 to 794695.552, 1
809978.159, 794695.552 to 825260.766, 2
