Plate, 2
Well, 1
Count, 49
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.016, 0
0.018, 0.016 to 0.021, 0
0.023, 0.021 to 0.026, 0
0.029, 0.026 to 0.031, 0
0.034, 0.031 to 0.036, 0
0.039, 0.036 to 0.042, 0
0.044, 0.042 to 0.047, 0
0.050, 0.047 to 0.052, 0
0.055, 0.052 to 0.057, 0
0.060, 0.057 to 0.063, 0
0.065, 0.063 to 0.068, 0
0.070, 0.068 to 0.073, 0
0.076, 0.073 to 0.078, 0
0.081, 0.078 to 0.083, 0
0.086, 0.083 to 0.089, 0
0.091, 0.089 to 0.094, 0
0.096, 0.094 to 0.099, 0
0.102, 0.099 to 0.104, 0
0.107, 0.104 to 0.109, 0
0.112, 0.109 to 0.115, 0
0.117, 0.115 to 0.120, 0
0.123, 0.120 to 0.125, 0
0.128, 0.125 to 0.130, 0
0.133, 0.130 to 0.136, 0
0.138, 0.136 to 0.141, 2
0.143, 0.141 to 0.146, 4
0.149, 0.146 to 0.151, 4
0.154, 0.151 to 0.156, 2
0.159, 0.156 to 0.162, 8
0.164, 0.162 to 0.167, 7
0.169, 0.167 to 0.172, 6
0.175, 0.172 to 0.177, 3
0.180, 0.177 to 0.182, 4
0.185, 0.182 to 0.188, 1
0.190, 0.188 to 0.193, 1
0.196, 0.193 to 0.198, 0
0.201, 0.198 to 0.203, 0
0.206, 0.203 to 0.209, 2
0.211, 0.209 to 0.214, 0
0.216, 0.214 to 0.219, 1
0.222, 0.219 to 0.224, 1
0.227, 0.224 to 0.229, 0
0.232, 0.229 to 0.235, 0
0.237, 0.235 to 0.240, 0
0.242, 0.240 to 0.245, 1
0.248, 0.245 to 0.250, 1
0.253, 0.250 to 0.255, 0
0.258, 0.255 to 0.261, 1


Plate, 2
Well, 2
Count, 18
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.009, 0
0.011, 0.009 to 0.013, 0
0.015, 0.013 to 0.017, 0
0.019, 0.017 to 0.022, 0
0.024, 0.022 to 0.026, 0
0.028, 0.026 to 0.030, 0
0.032, 0.030 to 0.035, 0
0.037, 0.035 to 0.039, 0
0.041, 0.039 to 0.043, 0
0.045, 0.043 to 0.047, 0
0.050, 0.047 to 0.052, 0
0.054, 0.052 to 0.056, 0
0.058, 0.056 to 0.060, 0
0.063, 0.060 to 0.065, 0
0.067, 0.065 to 0.069, 0
0.071, 0.069 to 0.073, 0
0.075, 0.073 to 0.078, 0
0.080, 0.078 to 0.082, 0
0.084, 0.082 to 0.086, 0
0.088, 0.086 to 0.091, 0
0.093, 0.091 to 0.095, 0
0.097, 0.095 to 0.099, 0
0.101, 0.099 to 0.104, 0
0.106, 0.104 to 0.108, 0
0.110, 0.108 to 0.112, 0
0.114, 0.112 to 0.116, 0
0.119, 0.116 to 0.121, 0
0.123, 0.121 to 0.125, 0
0.127, 0.125 to 0.129, 0
0.132, 0.129 to 0.134, 0
0.136, 0.134 to 0.138, 1
0.140, 0.138 to 0.142, 0
0.145, 0.142 to 0.147, 2
0.149, 0.147 to 0.151, 1
0.153, 0.151 to 0.155, 4
0.157, 0.155 to 0.160, 2
0.162, 0.160 to 0.164, 0
0.166, 0.164 to 0.168, 2
0.170, 0.168 to 0.173, 1
0.175, 0.173 to 0.177, 0
0.179, 0.177 to 0.181, 1
0.183, 0.181 to 0.185, 1
0.188, 0.185 to 0.190, 1
0.192, 0.190 to 0.194, 0
0.196, 0.194 to 0.198, 0
0.201, 0.198 to 0.203, 0
0.205, 0.203 to 0.207, 1
0.209, 0.207 to 0.211, 0
0.214, 0.211 to 0.216, 1


Plate, 2
Well, 3
Count, 5
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.008, 0
0.010, 0.008 to 0.012, 0
0.014, 0.012 to 0.016, 0
0.018, 0.016 to 0.020, 0
0.022, 0.020 to 0.024, 0
0.026, 0.024 to 0.028, 0
0.030, 0.028 to 0.032, 0
0.034, 0.032 to 0.036, 0
0.038, 0.036 to 0.040, 0
0.042, 0.040 to 0.044, 0
0.046, 0.044 to 0.048, 0
0.050, 0.048 to 0.052, 0
0.054, 0.052 to 0.056, 0
0.058, 0.056 to 0.060, 0
0.062, 0.060 to 0.064, 0
0.066, 0.064 to 0.068, 0
0.070, 0.068 to 0.072, 0
0.074, 0.072 to 0.076, 0
0.078, 0.076 to 0.081, 0
0.083, 0.081 to 0.085, 0
0.087, 0.085 to 0.089, 0
0.091, 0.089 to 0.093, 0
0.095, 0.093 to 0.097, 0
0.099, 0.097 to 0.101, 0
0.103, 0.101 to 0.105, 0
0.107, 0.105 to 0.109, 0
0.111, 0.109 to 0.113, 0
0.115, 0.113 to 0.117, 0
0.119, 0.117 to 0.121, 0
0.123, 0.121 to 0.125, 0
0.127, 0.125 to 0.129, 0
0.131, 0.129 to 0.133, 0
0.135, 0.133 to 0.137, 0
0.139, 0.137 to 0.141, 0
0.143, 0.141 to 0.145, 0
0.147, 0.145 to 0.149, 1
0.151, 0.149 to 0.153, 0
0.155, 0.153 to 0.157, 2
0.159, 0.157 to 0.161, 0
0.163, 0.161 to 0.165, 1
0.167, 0.165 to 0.169, 0
0.171, 0.169 to 0.173, 0
0.175, 0.173 to 0.177, 0
0.179, 0.177 to 0.181, 0
0.183, 0.181 to 0.185, 0
0.187, 0.185 to 0.189, 0
0.191, 0.189 to 0.193, 0
0.195, 0.193 to 0.197, 0
0.199, 0.197 to 0.201, 1


Plate, 2
Well, 4
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.003, 0
0.004, 0.003 to 0.006, 0
0.007, 0.006 to 0.009, 0
0.010, 0.009 to 0.012, 0
0.013, 0.012 to 0.015, 0
0.016, 0.015 to 0.018, 0
0.019, 0.018 to 0.020, 0
0.022, 0.020 to 0.023, 0
0.025, 0.023 to 0.026, 0
0.028, 0.026 to 0.029, 0
0.031, 0.029 to 0.032, 0
0.034, 0.032 to 0.035, 0
0.036, 0.035 to 0.038, 0
0.039, 0.038 to 0.041, 0
0.042, 0.041 to 0.044, 0
0.045, 0.044 to 0.047, 0
0.048, 0.047 to 0.050, 0
0.051, 0.050 to 0.053, 0
0.054, 0.053 to 0.055, 0
0.057, 0.055 to 0.058, 0
0.060, 0.058 to 0.061, 0
0.063, 0.061 to 0.064, 0
0.066, 0.064 to 0.067, 0
0.069, 0.067 to 0.070, 0
0.071, 0.070 to 0.073, 0
0.074, 0.073 to 0.076, 0
0.077, 0.076 to 0.079, 0
0.080, 0.079 to 0.082, 0
0.083, 0.082 to 0.085, 0
0.086, 0.085 to 0.088, 0
0.089, 0.088 to 0.090, 0
0.092, 0.090 to 0.093, 0
0.095, 0.093 to 0.096, 0
0.098, 0.096 to 0.099, 0
0.101, 0.099 to 0.102, 0
0.104, 0.102 to 0.105, 0
0.107, 0.105 to 0.108, 0
0.109, 0.108 to 0.111, 0
0.112, 0.111 to 0.114, 0
0.115, 0.114 to 0.117, 0
0.118, 0.117 to 0.120, 0
0.121, 0.120 to 0.123, 0
0.124, 0.123 to 0.125, 0
0.127, 0.125 to 0.128, 0
0.130, 0.128 to 0.131, 0
0.133, 0.131 to 0.134, 0
0.136, 0.134 to 0.137, 0
0.139, 0.137 to 0.140, 0
0.142, 0.140 to 0.143, 0
0.144, 0.143 to 0.146, 1


Plate, 2
Well, 5
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.003, 0
0.005, 0.003 to 0.006, 0
0.008, 0.006 to 0.009, 0
0.011, 0.009 to 0.012, 0
0.014, 0.012 to 0.015, 0
0.017, 0.015 to 0.018, 0
0.020, 0.018 to 0.021, 0
