Plate, 2
Well, 1
Count, 49
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.587, 0.000 to 19.174, 0
28.761, 19.174 to 38.348, 0
47.935, 38.348 to 57.521, 0
67.108, 57.521 to 76.695, 0
86.282, 76.695 to 95.869, 0
105.456, 95.869 to 115.043, 0
124.630, 115.043 to 134.217, 0
143.804, 134.217 to 153.390, 0
162.977, 153.390 to 172.564, 0
182.151, 172.564 to 191.738, 0
201.325, 191.738 to 210.912, 0
220.499, 210.912 to 230.086, 0
239.673, 230.086 to 249.259, 0
258.846, 249.259 to 268.433, 0
278.020, 268.433 to 287.607, 1
297.194, 287.607 to 306.781, 0
316.368, 306.781 to 325.955, 3
335.542, 325.955 to 345.128, 1
354.715, 345.128 to 364.302, 3
373.889, 364.302 to 383.476, 2
393.063, 383.476 to 402.650, 1
412.237, 402.650 to 421.824, 3
431.411, 421.824 to 440.997, 2
450.584, 440.997 to 460.171, 2
469.758, 460.171 to 479.345, 3
488.932, 479.345 to 498.519, 1
508.106, 498.519 to 517.693, 1
527.280, 517.693 to 536.866, 3
546.453, 536.866 to 556.040, 3
565.627, 556.040 to 575.214, 5
584.801, 575.214 to 594.388, 0
603.975, 594.388 to 613.562, 2
623.149, 613.562 to 632.736, 1
642.322, 632.736 to 651.909, 1
661.496, 651.909 to 671.083, 1
680.670, 671.083 to 690.257, 2
699.844, 690.257 to 709.431, 1
719.018, 709.431 to 728.605, 0
738.191, 728.605 to 747.778, 1
757.365, 747.778 to 766.952, 0
776.539, 766.952 to 786.126, 0
795.713, 786.126 to 805.300, 0
814.887, 805.300 to 824.474, 0
834.060, 824.474 to 843.647, 2
853.234, 843.647 to 862.821, 1
872.408, 862.821 to 881.995, 1
891.582, 881.995 to 901.169, 1
910.756, 901.169 to 920.343, 0
929.929, 920.343 to 939.516, 0
949.103, 939.516 to 958.690, 1


Plate, 2
Well, 2
Count, 18
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
6.794, 0.000 to 13.588, 0
20.381, 13.588 to 27.175, 0
33.969, 27.175 to 40.763, 0
47.557, 40.763 to 54.351, 0
61.144, 54.351 to 67.938, 0
74.732, 67.938 to 81.526, 0
88.320, 81.526 to 95.113, 0
101.907, 95.113 to 108.701, 0
115.495, 108.701 to 122.289, 0
129.082, 122.289 to 135.876, 0
142.670, 135.876 to 149.464, 0
156.258, 149.464 to 163.052, 0
169.845, 163.052 to 176.639, 0
183.433, 176.639 to 190.227, 0
197.021, 190.227 to 203.814, 0
210.608, 203.814 to 217.402, 0
224.196, 217.402 to 230.990, 0
237.784, 230.990 to 244.577, 0
251.371, 244.577 to 258.165, 0
264.959, 258.165 to 271.753, 0
278.546, 271.753 to 285.340, 0
292.134, 285.340 to 298.928, 0
305.722, 298.928 to 312.515, 1
319.309, 312.515 to 326.103, 2
332.897, 326.103 to 339.691, 0
346.485, 339.691 to 353.278, 1
360.072, 353.278 to 366.866, 0
373.660, 366.866 to 380.454, 1
387.247, 380.454 to 394.041, 0
400.835, 394.041 to 407.629, 1
414.423, 407.629 to 421.217, 1
428.010, 421.217 to 434.804, 0
441.598, 434.804 to 448.392, 1
455.186, 448.392 to 461.979, 0
468.773, 461.979 to 475.567, 0
482.361, 475.567 to 489.155, 0
495.948, 489.155 to 502.742, 1
509.536, 502.742 to 516.330, 1
523.124, 516.330 to 529.918, 2
536.711, 529.918 to 543.505, 0
550.299, 543.505 to 557.093, 2
563.887, 557.093 to 570.680, 1
577.474, 570.680 to 584.268, 0
591.062, 584.268 to 597.856, 1
604.649, 597.856 to 611.443, 1
618.237, 611.443 to 625.031, 0
631.825, 625.031 to 638.619, 0
645.412, 638.619 to 652.206, 0
659.000, 652.206 to 665.794, 0
672.588, 665.794 to 679.381, 1


Plate, 2
Well, 3
Count, 5
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
4.527, 0.000 to 9.054, 0
13.580, 9.054 to 18.107, 0
22.634, 18.107 to 27.161, 0
31.688, 27.161 to 36.215, 0
40.741, 36.215 to 45.268, 0
49.795, 45.268 to 54.322, 0
58.849, 54.322 to 63.376, 0
67.902, 63.376 to 72.429, 0
76.956, 72.429 to 81.483, 0
86.010, 81.483 to 90.537, 0
95.063, 90.537 to 99.590, 0
104.117, 99.590 to 108.644, 0
113.171, 108.644 to 117.698, 0
122.224, 117.698 to 126.751, 0
131.278, 126.751 to 135.805, 0
140.332, 135.805 to 144.859, 0
149.385, 144.859 to 153.912, 0
158.439, 153.912 to 162.966, 0
167.493, 162.966 to 172.020, 0
176.546, 172.020 to 181.073, 0
185.600, 181.073 to 190.127, 0
194.654, 190.127 to 199.180, 0
203.707, 199.180 to 208.234, 0
212.761, 208.234 to 217.288, 0
221.815, 217.288 to 226.341, 0
230.868, 226.341 to 235.395, 0
239.922, 235.395 to 244.449, 0
248.976, 244.449 to 253.502, 0
258.029, 253.502 to 262.556, 0
267.083, 262.556 to 271.610, 0
276.137, 271.610 to 280.663, 0
285.190, 280.663 to 289.717, 2
294.244, 289.717 to 298.771, 0
303.298, 298.771 to 307.824, 0
312.351, 307.824 to 316.878, 0
321.405, 316.878 to 325.932, 0
330.459, 325.932 to 334.985, 0
339.512, 334.985 to 344.039, 0
348.566, 344.039 to 353.093, 1
357.620, 353.093 to 362.146, 1
366.673, 362.146 to 371.200, 0
375.727, 371.200 to 380.254, 0
384.780, 380.254 to 389.307, 0
393.834, 389.307 to 398.361, 0
402.888, 398.361 to 407.415, 0
411.941, 407.415 to 416.468, 0
420.995, 416.468 to 425.522, 0
430.049, 425.522 to 434.576, 0
439.102, 434.576 to 443.629, 0
448.156, 443.629 to 452.683, 1


Plate, 2
Well, 4
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
4.053, 0.000 to 8.106, 0
12.159, 8.106 to 16.212, 0
20.265, 16.212 to 24.318, 0
28.371, 24.318 to 32.424, 0
36.477, 32.424 to 40.530, 0
44.582, 40.530 to 48.635, 0
52.688, 48.635 to 56.741, 0
60.794, 56.741 to 64.847, 0
68.900, 64.847 to 72.953, 0
77.006, 72.953 to 81.059, 0
85.112, 81.059 to 89.165, 0
93.218, 89.165 to 97.271, 0
101.324, 97.271 to 105.377, 0
109.430, 105.377 to 113.483, 0
117.536, 113.483 to 121.589, 0
125.642, 121.589 to 129.694, 0
133.747, 129.694 to 137.800, 0
141.853, 137.800 to 145.906, 0
149.959, 145.906 to 154.012, 0
158.065, 154.012 to 162.118, 0
166.171, 162.118 to 170.224, 0
174.277, 170.224 to 178.330, 0
182.383, 178.330 to 186.436, 0
190.489, 186.436 to 194.542, 0
198.595, 194.542 to 202.648, 0
206.701, 202.648 to 210.753, 0
214.806, 210.753 to 218.859, 0
222.912, 218.859 to 226.965, 0
231.018, 226.965 to 235.071, 0
239.124, 235.071 to 243.177, 0
247.230, 243.177 to 251.283, 0
255.336, 251.283 to 259.389, 0
263.442, 259.389 to 267.495, 0
271.548, 267.495 to 275.601, 0
279.654, 275.601 to 283.707, 0
287.760, 283.707 to 291.813, 0
295.865, 291.813 to 299.918, 0
303.971, 299.918 to 308.024, 0
312.077, 308.024 to 316.130, 0
320.183, 316.130 to 324.236, 0
328.289, 324.236 to 332.342, 0
336.395, 332.342 to 340.448, 0
344.501, 340.448 to 348.554, 0
352.607, 348.554 to 356.660, 0
360.713, 356.660 to 364.766, 0
368.819, 364.766 to 372.872, 0
376.925, 372.872 to 380.977, 0
385.030, 380.977 to 389.083, 0
393.136, 389.083 to 397.189, 0
401.242, 397.189 to 405.295, 1


Plate, 2
Well, 5
Count, 1
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Diameter (um), Range, frequency
2.858, 0.000 to 5.717, 0
8.575, 5.717 to 11.434, 0
14.292, 11.434 to 17.151, 0
20.009, 17.151 to 22.868, 0
25.726, 22.868 to 28.585, 0
31.443, 28.585 to 34.302, 0
37.160, 34.302 to 40.019, 0
42.877, 40.019 to 45.736, 0
48.594, 45.736 to 51.453, 0
54.311, 51.453 to 57.170, 0
60.028, 57.170 to 62.887, 0
65.745, 62.887 to 68.604, 0
