Plate, 3
Well, 1
Count, 225
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
26484290.047, 0.000 to 52968580.095, 46
79452870.142, 52968580.095 to 105937160.189, 50
132421450.236, 105937160.189 to 158905740.284, 26
185390030.331, 158905740.284 to 211874320.378, 18
238358610.425, 211874320.378 to 264842900.473, 16
291327190.520, 264842900.473 to 317811480.567, 12
344295770.614, 317811480.567 to 370780060.662, 9
397264350.709, 370780060.662 to 423748640.756, 6
450232930.803, 423748640.756 to 476717220.851, 3
503201510.898, 476717220.851 to 529685800.945, 5
556170090.992, 529685800.945 to 582654381.040, 6
609138671.087, 582654381.040 to 635622961.134, 2
662107251.181, 635622961.134 to 688591541.229, 3
715075831.276, 688591541.229 to 741560121.323, 1
768044411.370, 741560121.323 to 794528701.418, 4
821012991.465, 794528701.418 to 847497281.512, 1
873981571.559, 847497281.512 to 900465861.607, 2
926950151.654, 900465861.607 to 953434441.701, 1
979918731.748, 953434441.701 to 1006403021.796, 1
1032887311.843, 1006403021.796 to 1059371601.890, 1
1085855891.938, 1059371601.890 to 1112340181.985, 0
1138824472.032, 1112340181.985 to 1165308762.079, 0
1191793052.127, 1165308762.079 to 1218277342.174, 0
1244761632.221, 1218277342.174 to 1271245922.268, 1
1297730212.316, 1271245922.268 to 1324214502.363, 2
1350698792.410, 1324214502.363 to 1377183082.457, 1
1403667372.505, 1377183082.457 to 1430151662.552, 1
1456635952.599, 1430151662.552 to 1483120242.646, 1
1509604532.694, 1483120242.646 to 1536088822.741, 0
1562573112.788, 1536088822.741 to 1589057402.835, 0
1615541692.883, 1589057402.835 to 1642025982.930, 0
1668510272.977, 1642025982.930 to 1694994563.024, 0
1721478853.072, 1694994563.024 to 1747963143.119, 2
1774447433.166, 1747963143.119 to 1800931723.213, 0
1827416013.261, 1800931723.213 to 1853900303.308, 0
1880384593.355, 1853900303.308 to 1906868883.402, 1
1933353173.450, 1906868883.402 to 1959837463.497, 0
1986321753.544, 1959837463.497 to 2012806043.591, 1
2039290333.639, 2012806043.591 to 2065774623.686, 0
2092258913.733, 2065774623.686 to 2118743203.781, 0
2145227493.828, 2118743203.781 to 2171711783.875, 0
2198196073.922, 2171711783.875 to 2224680363.970, 1
2251164654.017, 2224680363.970 to 2277648944.064, 0
2304133234.111, 2277648944.064 to 2330617524.159, 0
2357101814.206, 2330617524.159 to 2383586104.253, 0
2410070394.300, 2383586104.253 to 2436554684.348, 0
2463038974.395, 2436554684.348 to 2489523264.442, 0
2516007554.489, 2489523264.442 to 2542491844.537, 0
2568976134.584, 2542491844.537 to 2595460424.631, 0
2621944714.678, 2595460424.631 to 2648429004.726, 1


Plate, 3
Well, 2
Count, 230
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
29551062.371, 0.000 to 59102124.742, 37
88653187.113, 59102124.742 to 118204249.483, 54
147755311.854, 118204249.483 to 177306374.225, 25
206857436.596, 177306374.225 to 236408498.967, 19
265959561.338, 236408498.967 to 295510623.708, 18
325061686.079, 295510623.708 to 354612748.450, 12
384163810.821, 354612748.450 to 413714873.192, 11
443265935.563, 413714873.192 to 472816997.934, 9
502368060.304, 472816997.934 to 531919122.675, 7
561470185.046, 531919122.675 to 591021247.417, 4
620572309.788, 591021247.417 to 650123372.159, 1
679674434.529, 650123372.159 to 709225496.900, 2
738776559.271, 709225496.900 to 768327621.642, 5
797878684.013, 768327621.642 to 827429746.384, 3
