,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,UWB1 TX,0.0,1,A01,2000,937.2061533387316,16602.617129521812,240,734.5206909179688,326.3059387207031,507364.25,485835.59375,121767418.35232894,0.19732163846492767,0.04038982093334198,47.3571919669633,107266.6875,119500.8203125,25744004.47782145,350884256,551685312,84212217783.36452,1075.943115234375,524.223876953125,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,1.095890410958904
1,1,UWB1 TX,1.953125e-05,2,A02,2000,937.2061533387316,14788.822354101296,212,791.0225219726562,325.076171875,574433.25,488217.53125,121779848.0545159,0.18207918107509613,0.0431910865008831,38.600786747136695,112476.4921875,113193.84375,23845015.722228177,405974336,543399424,86066557682.56245,1131.5782470703125,540.4859008789062,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,0.9680365296803652
2,1,UWB1 TX,3.90625e-05,3,A03,2000,937.2061533387316,11657.562504234038,200,721.8961791992188,278.4089660644531,470175.21875,357345.75,94035041.89524901,0.15902942419052124,0.047345831990242004,31.805884820446494,77611.03125,68913.0546875,15522206.978438029,291159936,334258752,58231986170.33072,1162.67431640625,674.081298828125,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,0.91324200913242
3,1,UWB1 TX,7.8125e-05,4,B01,2000,937.2061533387316,14478.575134527748,160,682.873046875,262.7699279785156,420473.625,321099.65625,67275779.65084887,0.18201301991939545,0.03586934134364128,29.122083857726153,80725.84375,72245.96875,12916134.429930136,246705568,279256512,39472891232.87005,1314.975341796875,713.5418701171875,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,0.730593607305936
4,1,UWB1 TX,0.00015625,5,B02,2000,937.2061533387316,12656.74544195623,170,671.0097045898438,298.70330810546875,423704.8125,409447.71875,72029818.80706374,0.16368573904037476,0.04544011875987053,27.826576763848433,72706.625,79294.15625,12360126.689886058,268704800,422719520,45679818089.55263,1201.8372802734375,669.9683227539062,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,0.776255707762557
5,1,UWB1 TX,0.0003125,6,B03,2000,937.2061533387316,9730.887665850676,82,579.8925170898438,220.00233459472656,302124.125,233572.984375,24774177.977100145,0.14535534381866455,0.03171151503920555,11.919138307936118,46471.8046875,42770.1796875,3810687.8675178727,150451152,176826192,12336994727.012768,1654.549072265625,894.4313354492188,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate1\Plate1.ics,Talazoparib,UWB1,TX,0.1095,0.3744292237442922
6,2,UWB1 TX,0.000625,1,A01,2000,937.2061533387316,14008.16657489087,49,537.982177734375,168.56846618652344,249631.046875,159654.53125,12231921.491189467,0.17142802476882935,0.027450524270534515,8.399972970393963,43559.78515625,29426.1171875,2134429.385455241,107240016,104563248,5254760702.455377,2215.2705078125,1189.2293701171875,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.2237442922374429
7,2,UWB1 TX,0.00125,2,A02,2000,937.2061533387316,14646.42212313811,18,474.82177734375,109.16089630126953,186431.40625,81298.65625,3355765.1833892493,0.16519242525100708,0.020640913397073746,2.973463632764784,30040.181640625,12013.3349609375,540723.2605651096,64896208,40323600,1168131770.521077,3632.700439453125,2809.457275390625,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.0821917808219178
8,2,UWB1 TX,0.0025,3,A03,2000,937.2061533387316,15005.194037683375,5,345.1446533203125,61.184906005859375,96500.640625,35387.61328125,482503.192359934,0.16448476910591125,0.01889348216354847,0.8224238578394751,15981.8251953125,6153.6513671875,79909.12542736468,23644226,13314763,118221128.91716197,10331.201171875,5063.1923828125,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.0228310502283105
9,2,UWB1 TX,0.005,4,B01,2000,937.2061533387316,12519.268151621314,1,405.295166015625,0.0,129012.78125,0.0,129012.78195318156,0.14589646458625793,0.0,0.14589646060822103,18822.5078125,0.0,18822.508260189363,34858840,0,34858838.361669,0.0,0.0,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.0045662100456621
10,2,UWB1 TX,0.01,5,B02,2000,937.2061533387316,13480.420542161793,1,285.8491516113281,0.0,64174.67578125,0.0,64174.6771795471,0.15138259530067444,0.0,0.15138259201879847,9714.9287109375,0.0,9714.928973409475,12229518,0,12229517.963824093,0.0,0.0,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.0045662100456621
11,2,UWB1 TX,0.0,6,B03,2000,937.2061533387316,15855.479385854424,198,758.92578125,291.2946472167969,519007.53125,404918.3125,102763488.31137013,0.19761192798614502,0.04369888827204704,39.12716317726337,109360.53125,97502.921875,21653384.787739582,339919104,400963424,67303983178.48468,1207.4654541015625,616.801025390625,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate2\Plate2.ics,Talazoparib,UWB1,TX,0.1095,0.9041095890410958
12,3,UWB1BRCA1 TX,0.0,1,A01,1000,960.317644468679,15413.019631115834,225,704.3700561523438,287.6381530761719,454645.71875,396859.90625,102295286.23657575,0.17793671786785126,0.048050686717033386,40.035760113278684,86302.6875,91357.390625,19418105.35663102,287749600,403199680,64743661843.579056,1076.7593994140625,470.5556945800781,2020-01-03,17:20:17,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate3\Plate3.ics,Talazoparib,UWB1BRCA1,TX,0.229,0.982532751091703
13,3,UWB1BRCA1 TX,1.953125e-05,2,A02,1000,937.2061533387316,13415.314514471247,230,741.6463012695312,295.571044921875,500613.96875,409217.875,115141215.18806677,0.16220508515834808,0.03020559437572956,37.30717043742707,83754.265625,75476.8203125,19263481.57307947,326048096,419921216,74991059862.48341,1082.1461181640625,463.5401916503906,2020-01-03,17:20:17,6-Well,300,unsaved settings,Falcon 6 wells_mask.mask,C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-11\Plate3\Plate3.ics,Talazoparib,UWB1BRCA1,TX,0.229,1.0043668122270741
