Plate, 1
Well, 1
Count, 216
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
8266.563, 0.000 to 16533.126, 16
24799.689, 16533.126 to 33066.252, 36
41332.815, 33066.252 to 49599.378, 45
57865.941, 49599.378 to 66132.504, 19
74399.067, 66132.504 to 82665.629, 22
90932.192, 82665.629 to 99198.755, 15
107465.318, 99198.755 to 115731.881, 11
123998.444, 115731.881 to 132265.007, 3
140531.570, 132265.007 to 148798.133, 10
157064.696, 148798.133 to 165331.259, 2
173597.822, 165331.259 to 181864.385, 1
190130.948, 181864.385 to 198397.511, 5
206664.074, 198397.511 to 214930.637, 5
223197.200, 214930.637 to 231463.763, 1
239730.326, 231463.763 to 247996.888, 1
256263.451, 247996.888 to 264530.014, 3
272796.577, 264530.014 to 281063.140, 1
289329.703, 281063.140 to 297596.266, 5
305862.829, 297596.266 to 314129.392, 0
322395.955, 314129.392 to 330662.518, 0
338929.081, 330662.518 to 347195.644, 3
355462.207, 347195.644 to 363728.770, 2
371995.333, 363728.770 to 380261.896, 2
388528.459, 380261.896 to 396795.022, 0
405061.585, 396795.022 to 413328.147, 2
421594.710, 413328.147 to 429861.273, 0
438127.836, 429861.273 to 446394.399, 1
454660.962, 446394.399 to 462927.525, 1
471194.088, 462927.525 to 479460.651, 0
487727.214, 479460.651 to 495993.777, 1
504260.340, 495993.777 to 512526.903, 0
520793.466, 512526.903 to 529060.029, 1
537326.592, 529060.029 to 545593.155, 0
553859.718, 545593.155 to 562126.281, 0
570392.844, 562126.281 to 578659.406, 0
586925.969, 578659.406 to 595192.532, 0
603459.095, 595192.532 to 611725.658, 0
619992.221, 611725.658 to 628258.784, 0
636525.347, 628258.784 to 644791.910, 0
653058.473, 644791.910 to 661325.036, 1
669591.599, 661325.036 to 677858.162, 0
686124.725, 677858.162 to 694391.288, 0
702657.851, 694391.288 to 710924.414, 0
719190.977, 710924.414 to 727457.540, 0
735724.103, 727457.540 to 743990.665, 0
752257.228, 743990.665 to 760523.791, 0
768790.354, 760523.791 to 777056.917, 0
785323.480, 777056.917 to 793590.043, 0
801856.606, 793590.043 to 810123.169, 0
818389.732, 810123.169 to 826656.295, 1


Plate, 1
Well, 2
Count, 195
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3642.056, 0.000 to 7284.112, 0
10926.168, 7284.112 to 14568.224, 17
18210.280, 14568.224 to 21852.336, 19
25494.392, 21852.336 to 29136.448, 20
32778.504, 29136.448 to 36420.560, 19
40062.616, 36420.560 to 43704.673, 21
47346.729, 43704.673 to 50988.785, 11
54630.841, 50988.785 to 58272.897, 5
61914.953, 58272.897 to 65557.009, 10
69199.065, 65557.009 to 72841.121, 10
76483.177, 72841.121 to 80125.233, 6
83767.289, 80125.233 to 87409.345, 7
91051.401, 87409.345 to 94693.457, 4
