Plate, 2
Well, 1
Count, 134
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
18828.620, 0.000 to 37657.239, 1
56485.859, 37657.239 to 75314.478, 8
94143.098, 75314.478 to 112971.717, 18
131800.337, 112971.717 to 150628.956, 13
169457.576, 150628.956 to 188286.195, 23
207114.815, 188286.195 to 225943.434, 18
244772.054, 225943.434 to 263600.673, 11
282429.293, 263600.673 to 301257.912, 4
320086.532, 301257.912 to 338915.152, 3
357743.771, 338915.152 to 376572.391, 4
395401.010, 376572.391 to 414229.630, 5
433058.249, 414229.630 to 451886.869, 6
470715.488, 451886.869 to 489544.108, 2
508372.727, 489544.108 to 527201.347, 2
546029.966, 527201.347 to 564858.586, 2
583687.205, 564858.586 to 602515.825, 1
621344.444, 602515.825 to 640173.064, 1
659001.683, 640173.064 to 677830.303, 2
696658.923, 677830.303 to 715487.542, 1
734316.162, 715487.542 to 753144.781, 2
771973.401, 753144.781 to 790802.020, 1
809630.640, 790802.020 to 828459.259, 0
847287.879, 828459.259 to 866116.498, 1
884945.118, 866116.498 to 903773.737, 0
922602.357, 903773.737 to 941430.976, 1
960259.596, 941430.976 to 979088.215, 0
997916.835, 979088.215 to 1016745.455, 1
1035574.074, 1016745.455 to 1054402.694, 0
1073231.313, 1054402.694 to 1092059.933, 0
1110888.552, 1092059.933 to 1129717.172, 0
1148545.791, 1129717.172 to 1167374.411, 0
1186203.030, 1167374.411 to 1205031.650, 0
1223860.269, 1205031.650 to 1242688.889, 0
1261517.508, 1242688.889 to 1280346.128, 1
1299174.747, 1280346.128 to 1318003.367, 0
1336831.986, 1318003.367 to 1355660.606, 0
1374489.226, 1355660.606 to 1393317.845, 0
1412146.465, 1393317.845 to 1430975.084, 0
1449803.704, 1430975.084 to 1468632.323, 0
1487460.943, 1468632.323 to 1506289.562, 0
1525118.182, 1506289.562 to 1543946.801, 0
1562775.421, 1543946.801 to 1581604.040, 0
1600432.660, 1581604.040 to 1619261.279, 1
1638089.899, 1619261.279 to 1656918.518, 0
1675747.138, 1656918.518 to 1694575.758, 0
1713404.377, 1694575.758 to 1732232.997, 0
1751061.616, 1732232.997 to 1769890.236, 0
1788718.855, 1769890.236 to 1807547.475, 0
1826376.094, 1807547.475 to 1845204.714, 0
1864033.333, 1845204.714 to 1882861.953, 1


Plate, 2
Well, 2
Count, 83
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
9564.774, 0.000 to 19129.549, 0
28694.323, 19129.549 to 38259.098, 0
47823.872, 38259.098 to 57388.647, 3
66953.421, 57388.647 to 76518.195, 3
86082.970, 76518.195 to 95647.744, 9
105212.519, 95647.744 to 114777.293, 9
124342.068, 114777.293 to 133906.842, 8
143471.616, 133906.842 to 153036.391, 3
162601.165, 153036.391 to 172165.940, 2
181730.714, 172165.940 to 191295.488, 7
200860.263, 191295.488 to 210425.037, 5
219989.812, 210425.037 to 229554.586, 5
239119.361, 229554.586 to 248684.135, 2
258248.909, 248684.135 to 267813.684, 3
277378.458, 267813.684 to 286943.233, 2
296508.007, 286943.233 to 306072.782, 1
315637.556, 306072.782 to 325202.330, 0
334767.105, 325202.330 to 344331.879, 4
353896.654, 344331.879 to 363461.428, 2
373026.203, 363461.428 to 382590.977, 1
392155.751, 382590.977 to 401720.526, 2
411285.300, 401720.526 to 420850.075, 1
430414.849, 420850.075 to 439979.624, 0
449544.398, 439979.624 to 459109.172, 1
468673.947, 459109.172 to 478238.721, 1
487803.496, 478238.721 to 497368.270, 0
506933.044, 497368.270 to 516497.819, 0
526062.593, 516497.819 to 535627.368, 1
545192.142, 535627.368 to 554756.917, 0
564321.691, 554756.917 to 573886.465, 0
583451.240, 573886.465 to 593016.014, 1
602580.789, 593016.014 to 612145.563, 1
621710.338, 612145.563 to 631275.112, 0
640839.886, 631275.112 to 650404.661, 0
659969.435, 650404.661 to 669534.210, 1
679098.984, 669534.210 to 688663.759, 0
698228.533, 688663.759 to 707793.307, 1
717358.082, 707793.307 to 726922.856, 0
736487.631, 726922.856 to 746052.405, 1
755617.179, 746052.405 to 765181.954, 0
774746.728, 765181.954 to 784311.503, 1
793876.277, 784311.503 to 803441.052, 0
813005.826, 803441.052 to 822570.600, 0
832135.375, 822570.600 to 841700.149, 0
851264.924, 841700.149 to 860829.698, 0
870394.473, 860829.698 to 879959.247, 0
889524.021, 879959.247 to 899088.796, 0
908653.570, 899088.796 to 918218.345, 0
927783.119, 918218.345 to 937347.894, 0
946912.668, 937347.894 to 956477.442, 2


Plate, 2
Well, 3
Count, 12
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
1816.687, 0.000 to 3633.374, 0
5450.061, 3633.374 to 7266.748, 0
9083.435, 7266.748 to 10900.122, 0
12716.809, 10900.122 to 14533.496, 0
16350.183, 14533.496 to 18166.870, 0
19983.557, 18166.870 to 21800.244, 0
23616.931, 21800.244 to 25433.618, 0
27250.305, 25433.618 to 29066.992, 0
30883.679, 29066.992 to 32700.366, 0
34517.053, 32700.366 to 36333.740, 0
38150.427, 36333.740 to 39967.114, 0
41783.801, 39967.114 to 43600.488, 1
45417.175, 43600.488 to 47233.862, 0
49050.549, 47233.862 to 50867.236, 0
52683.923, 50867.236 to 54500.610, 0
56317.297, 54500.610 to 58133.984, 0
59950.671, 58133.984 to 61767.358, 0
63584.045, 61767.358 to 65400.732, 1
67217.419, 65400.732 to 69034.106, 0
70850.793, 69034.106 to 72667.480, 3
74484.167, 72667.480 to 76300.854, 0
78117.541, 76300.854 to 79934.228, 2
81750.915, 79934.228 to 83567.602, 0
85384.289, 83567.602 to 87200.976, 1
89017.663, 87200.976 to 90834.350, 1
92651.037, 90834.350 to 94467.724, 0
96284.411, 94467.724 to 98101.098, 0
99917.785, 98101.098 to 101734.472, 0
103551.159, 101734.472 to 105367.846, 0
107184.533, 105367.846 to 109001.220, 1
110817.907, 109001.220 to 112634.594, 0
114451.281, 112634.594 to 116267.968, 0
118084.655, 116267.968 to 119901.342, 0
121718.029, 119901.342 to 123534.716, 0
125351.403, 123534.716 to 127168.090, 0
128984.777, 127168.090 to 130801.464, 0
132618.151, 130801.464 to 134434.838, 0
136251.525, 134434.838 to 138068.212, 1
139884.899, 138068.212 to 141701.586, 0
143518.273, 141701.586 to 145334.960, 0
147151.647, 145334.960 to 148968.334, 0
150785.021, 148968.334 to 152601.708, 0
154418.395, 152601.708 to 156235.082, 0
158051.769, 156235.082 to 159868.456, 0
161685.143, 159868.456 to 163501.830, 0
165318.517, 163501.830 to 167135.204, 0
168951.891, 167135.204 to 170768.578, 0
172585.265, 170768.578 to 174401.952, 0
176218.639, 174401.952 to 178035.326, 0
179852.013, 178035.326 to 181668.700, 1


Plate, 2
Well, 4
Count, 1
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4288.072, 0.000 to 8576.144, 0
12864.216, 8576.144 to 17152.288, 0
21440.360, 17152.288 to 25728.431, 0
30016.503, 25728.431 to 34304.575, 0
38592.647, 34304.575 to 42880.719, 0
47168.791, 42880.719 to 51456.863, 0
55744.935, 51456.863 to 60033.007, 0
64321.079, 60033.007 to 68609.150, 0
72897.222, 68609.150 to 77185.294, 0
81473.366, 77185.294 to 85761.438, 0
90049.510, 85761.438 to 94337.582, 0
98625.654, 94337.582 to 102913.726, 0
107201.798, 102913.726 to 111489.869, 0
115777.941, 111489.869 to 120066.013, 0
124354.085, 120066.013 to 128642.157, 0
132930.229, 128642.157 to 137218.301, 0
141506.373, 137218.301 to 145794.445, 0
150082.517, 145794.445 to 154370.589, 0
158658.660, 154370.589 to 162946.732, 0
167234.804, 162946.732 to 171522.876, 0
175810.948, 171522.876 to 180099.020, 0
184387.092, 180099.020 to 188675.164, 0
192963.236, 188675.164 to 197251.308, 0
201539.379, 197251.308 to 205827.451, 0
210115.523, 205827.451 to 214403.595, 0
218691.667, 214403.595 to 222979.739, 0
227267.811, 222979.739 to 231555.883, 0
235843.955, 231555.883 to 240132.027, 0
244420.098, 240132.027 to 248708.170, 0
252996.242, 248708.170 to 257284.314, 0
261572.386, 257284.314 to 265860.458, 0
270148.530, 265860.458 to 274436.602, 0
278724.674, 274436.602 to 283012.746, 0
287300.817, 283012.746 to 291588.889, 0
295876.961, 291588.889 to 300165.033, 0
304453.105, 300165.033 to 308741.177, 0
313029.249, 308741.177 to 317317.321, 0
321605.393, 317317.321 to 325893.465, 0
330181.537, 325893.465 to 334469.608, 0
338757.680, 334469.608 to 343045.752, 0
347333.824, 343045.752 to 351621.896, 0
355909.968, 351621.896 to 360198.040, 0
364486.112, 360198.040 to 368774.184, 0
373062.256, 368774.184 to 377350.327, 0
381638.399, 377350.327 to 385926.471, 0
390214.543, 385926.471 to 394502.615, 0
398790.687, 394502.615 to 403078.759, 0
407366.831, 403078.759 to 411654.903, 0
415942.975, 411654.903 to 420231.046, 0
424519.118, 420231.046 to 428807.190, 1


Plate, 2
Well, 5
Count, 0
CHARM Settings 1:		unsaved settings



Plate, 2
Well, 6
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
26256.687, 0.000 to 52513.374, 2
78770.061, 52513.374 to 105026.747, 17
131283.434, 105026.747 to 157540.121, 24
183796.808, 157540.121 to 210053.495, 44
236310.182, 210053.495 to 262566.868, 27
288823.555, 262566.868 to 315080.242, 12
341336.929, 315080.242 to 367593.616, 13
393850.303, 367593.616 to 420106.989, 12
446363.676, 420106.989 to 472620.363, 7
498877.050, 472620.363 to 525133.737, 7
551390.424, 525133.737 to 577647.110, 7
603903.797, 577647.110 to 630160.484, 7
656417.171, 630160.484 to 682673.858, 7
708930.545, 682673.858 to 735187.231, 2
761443.918, 735187.231 to 787700.605, 3
813957.292, 787700.605 to 840213.979, 3
866470.666, 840213.979 to 892727.352, 1
918984.039, 892727.352 to 945240.726, 0
971497.413, 945240.726 to 997754.100, 1
1024010.787, 997754.100 to 1050267.473, 1
1076524.160, 1050267.473 to 1102780.847, 1
1129037.534, 1102780.847 to 1155294.221, 2
1181550.908, 1155294.221 to 1207807.594, 1
1234064.281, 1207807.594 to 1260320.968, 2
1286577.655, 1260320.968 to 1312834.342, 0
1339091.029, 1312834.342 to 1365347.715, 1
1391604.402, 1365347.715 to 1417861.089, 0
1444117.776, 1417861.089 to 1470374.463, 1
1496631.150, 1470374.463 to 1522887.836, 0
1549144.523, 1522887.836 to 1575401.210, 1
1601657.897, 1575401.210 to 1627914.584, 0
1654171.271, 1627914.584 to 1680427.957, 0
1706684.644, 1680427.957 to 1732941.331, 0
1759198.018, 1732941.331 to 1785454.705, 0
1811711.392, 1785454.705 to 1837968.078, 0
1864224.765, 1837968.078 to 1890481.452, 0
1916738.139, 1890481.452 to 1942994.826, 0
1969251.513, 1942994.826 to 1995508.199, 0
2021764.886, 1995508.199 to 2048021.573, 0
2074278.260, 2048021.573 to 2100534.947, 0
2126791.634, 2100534.947 to 2153048.320, 0
2179305.007, 2153048.320 to 2205561.694, 0
2231818.381, 2205561.694 to 2258075.068, 1
2284331.755, 2258075.068 to 2310588.441, 0
2336845.128, 2310588.441 to 2363101.815, 0
2389358.502, 2363101.815 to 2415615.189, 0
2441871.876, 2415615.189 to 2468128.562, 0
2494385.249, 2468128.562 to 2520641.936, 1
2546898.623, 2520641.936 to 2573155.310, 0
2599411.997, 2573155.310 to 2625668.683, 1




ADDITIONAL INFO
Read-date:	01-03-2020
Read-time:	17:55:49
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Falcon 6 wells_mask.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_01-03-20_17-53\Plate2\Plate2.ics


