Plate, 3
Well, 2
Count, 199

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
673.378, 356129.646, 0.292, 104079.969, 159873319.331, 1135.923, 12107.333, 9821.333
985.177, 762286.902, 0.239, 182131.296, 500658376.228, 1500.297, 27601.333, 25230.667
1053.008, 870869.042, 0.192, 167417.019, 611354451.245, 1185.333, 32427.333, 10837.333
1016.162, 810991.112, 0.211, 171053.731, 549399097.834, 946.602, 8974.667, 31834.667
1123.366, 991133.554, 0.227, 225282.001, 742270274.360, 723.392, 6011.333, 23876.000
1009.567, 800497.381, 0.182, 145427.931, 538770332.892, 1033.488, 27093.333, 12700.000
971.747, 741645.471, 0.178, 131663.842, 480461201.960, 900.019, 28702.000, 28871.333
951.245, 710680.181, 0.204, 145070.025, 450687078.620, 1258.660, 30734.000, 21844.000
1274.671, 1276104.254, 0.176, 224824.332, 1084408804.049, 535.479, 8128.000, 31411.333
704.497, 389805.767, 0.204, 79426.729, 183078013.194, 423.333, 10583.333, 4064.000
515.839, 208986.398, 0.254, 53179.777, 71868872.486, 2757.847, 8212.667, 12446.000
1252.644, 1232380.653, 0.180, 222116.360, 1029155757.297, 723.392, 14224.000, 31919.333
650.217, 332052.269, 0.223, 74209.557, 143937341.892, 2096.248, 19219.333, 8974.667
712.555, 398774.048, 0.205, 81569.102, 189432342.711, 2279.720, 32596.667, 17356.667
655.607, 337580.245, 0.192, 64842.512, 147546643.972, 1500.297, 28024.667, 23791.333
1052.613, 870216.102, 0.187, 163109.143, 610667030.116, 598.684, 27686.000, 15494.000
640.459, 322160.275, 0.182, 58740.824, 137553542.963, 1232.765, 28617.333, 21251.333
607.967, 290301.916, 0.186, 54046.902, 117662657.911, 698.179, 29887.333, 25315.333
816.135, 523134.594, 0.196, 102478.666, 284632154.988, 1915.788, 22098.000, 6180.667
1022.678, 821424.715, 0.219, 179907.997, 560035359.923, 931.333, 22860.000, 3132.667
876.705, 603665.616, 0.173, 104701.864, 352824276.348, 1441.821, 6858.000, 17610.667
902.719, 640022.336, 0.181, 116143.668, 385173585.240, 900.019, 1608.667, 17018.000
1078.475, 913502.438, 0.216, 196907.263, 656792774.029, 682.604, 29294.667, 5672.667
648.961, 330770.377, 0.207, 68567.934, 143104639.295, 1151.591, 6350.000, 27516.667
545.865, 234024.015, 0.204, 47852.268, 85163684.006, 682.604, 26246.667, 12107.333
843.757, 559145.913, 0.175, 97726.372, 314522365.282, 1441.821, 8974.667, 8636.000
891.209, 623804.982, 0.154, 96365.751, 370627003.888, 850.889, 25484.667, 31242.000
686.917, 370593.628, 0.177, 65560.450, 169711284.953, 766.689, 19050.000, 33951.333
658.317, 340376.619, 0.182, 61980.348, 149383757.597, 1070.958, 3894.667, 23283.333
661.975, 344169.945, 0.188, 64661.031, 151887912.512, 1714.369, 7112.000, 21505.333
755.581, 448386.098, 0.183, 82165.036, 225861396.474, 728.330, 3640.667, 19896.667
575.570, 260187.604, 0.223, 57935.859, 99837501.136, 1100.667, 23368.000, 27940.000
845.513, 561474.714, 0.145, 81496.784, 316489352.400, 1139.074, 29548.667, 27940.000
616.305, 298319.395, 0.192, 57404.835, 122570521.930, 2131.852, 12954.000, 13546.667
763.741, 458122.735, 0.197, 90443.720, 233258010.938, 1831.620, 4656.667, 21420.667
774.052, 470576.942, 0.201, 94423.564, 242834151.771, 535.479, 5757.333, 23198.667
702.990, 388139.954, 0.158, 61242.771, 181905707.490, 1023.031, 30818.667, 28109.333
679.409, 362537.448, 0.181, 65635.104, 164207545.656, 846.667, 25061.333, 8551.333
639.640, 321337.706, 0.167, 53813.286, 137027058.154, 2236.867, 17864.667, 17187.333
684.004, 367457.176, 0.181, 66346.989, 167561369.087, 935.174, 15155.333, 32004.000
1026.602, 827739.909, 0.189, 156303.672, 566506168.102, 267.740, 10583.333, 27601.333
857.504, 577514.065, 0.182, 104988.792, 330147223.428, 863.434, 13123.333, 31072.667
651.216, 333073.299, 0.167, 55764.922, 144601743.117, 718.420, 31665.333, 9821.333
513.833, 207364.178, 0.173, 35916.632, 71033694.136, 359.210, 25823.333, 30141.333
673.082, 355816.280, 0.147, 52436.239, 159662351.887, 900.019, 28109.333, 29548.667
769.243, 464746.820, 0.164, 76428.181, 238335338.445, 1203.339, 13292.667, 32681.333
1005.943, 794760.831, 0.181, 143971.523, 532989290.631, 267.740, 10498.667, 27347.333
854.953, 574082.263, 0.209, 119701.597, 327208814.165, 723.392, 3132.667, 25061.333
969.456, 738152.765, 0.168, 124297.809, 477071174.128, 1060.870, 3132.667, 18118.667
520.375, 212677.993, 0.194, 41233.831, 73781525.363, 935.174, 13885.333, 3810.000
442.175, 153559.866, 0.209, 32063.337, 45266861.681, 1151.591, 6096.000, 7281.333
850.220, 567744.262, 0.170, 96410.582, 321805106.295, 1070.958, 7112.000, 30141.333
761.501, 455439.641, 0.178, 81175.790, 231211825.943, 931.333, 3810.000, 10160.000
500.421, 196680.157, 0.168, 33086.081, 65615224.835, 1250.088, 19134.667, 13038.667
723.726, 411375.651, 0.177, 72826.460, 198482249.713, 239.473, 13546.667, 25400.000
575.130, 259789.665, 0.167, 43310.210, 99608546.983, 833.870, 30649.333, 25654.000
520.143, 212488.555, 0.165, 35071.033, 73682968.590, 1712.277, 24045.333, 29548.667
1173.575, 1081712.477, 0.159, 171667.278, 846314065.449, 423.333, 10922.000, 4318.000
813.061, 519202.113, 0.162, 84193.809, 281428759.985, 846.667, 4402.667, 24553.333
995.574, 778461.212, 0.156, 121371.564, 516677164.106, 535.479, 27855.333, 31750.000
848.262, 565132.076, 0.152, 85769.877, 319586729.104, 1456.660, 24553.333, 13462.000
780.111, 477972.854, 0.182, 87096.011, 248581410.987, 535.479, 6265.333, 23029.333
416.567, 136288.507, 0.236, 32218.042, 37848846.593, 1441.821, 9906.000, 7535.333
627.990, 309738.821, 0.141, 43801.070, 129675299.870, 946.602, 31242.000, 26500.667
1275.547, 1277858.318, 0.171, 218817.791, 1086645426.847, 931.333, 22860.000, 2201.333
933.180, 683944.242, 0.176, 120623.848, 425495377.461, 239.473, 13716.000, 25569.333
882.337, 611447.041, 0.151, 92477.428, 359668224.960, 431.717, 27601.333, 5080.000
471.904, 174902.923, 0.207, 36164.707, 55024917.562, 1151.591, 6773.333, 29040.667
847.209, 563729.851, 0.177, 99753.168, 318398012.869, 1325.243, 31580.667, 8128.000
938.422, 691649.049, 0.185, 127867.897, 432705561.104, 900.019, 1016.000, 16340.667
378.072, 112263.422, 0.235, 26367.556, 28295750.275, 1103.918, 13462.000, 21590.000
658.028, 340078.369, 0.171, 58169.826, 149187458.008, 1232.765, 16848.667, 1947.333
388.717, 118674.251, 0.227, 26937.678, 30753783.321, 1441.821, 5926.667, 16510.000
540.314, 229288.652, 0.168, 38557.055, 82591935.190, 1250.088, 28786.667, 7112.000
454.943, 162556.249, 0.175, 28411.809, 49302541.166, 946.602, 27262.667, 6350.000
657.902, 339947.421, 0.152, 51696.708, 149101298.723, 1258.660, 28871.333, 15917.333
