Plate, 4
Well, 1
Count, 217
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
31.702, 0.000 to 63.404, 0
95.106, 63.404 to 126.808, 0
158.510, 126.808 to 190.212, 0
221.914, 190.212 to 253.616, 0
285.318, 253.616 to 317.020, 2
348.722, 317.020 to 380.424, 10
412.126, 380.424 to 443.828, 10
475.530, 443.828 to 507.232, 6
538.934, 507.232 to 570.636, 1
602.338, 570.636 to 634.040, 9
665.742, 634.040 to 697.444, 9
729.146, 697.444 to 760.848, 22
792.550, 760.848 to 824.252, 16
855.954, 824.252 to 887.656, 13
919.358, 887.656 to 951.060, 13
982.762, 951.060 to 1014.464, 9
1046.166, 1014.464 to 1077.868, 9
1109.570, 1077.868 to 1141.271, 9
1172.973, 1141.271 to 1204.675, 12
1236.377, 1204.675 to 1268.079, 5
1299.781, 1268.079 to 1331.483, 9
1363.185, 1331.483 to 1394.887, 2
1426.589, 1394.887 to 1458.291, 5
1489.993, 1458.291 to 1521.695, 1
1553.397, 1521.695 to 1585.099, 3
1616.801, 1585.099 to 1648.503, 6
1680.205, 1648.503 to 1711.907, 0
1743.609, 1711.907 to 1775.311, 1
1807.013, 1775.311 to 1838.715, 7
1870.417, 1838.715 to 1902.119, 5
1933.821, 1902.119 to 1965.523, 7
1997.225, 1965.523 to 2028.927, 1
2060.629, 2028.927 to 2092.331, 3
2124.033, 2092.331 to 2155.735, 0
2187.437, 2155.735 to 2219.139, 0
2250.841, 2219.139 to 2282.543, 3
2314.245, 2282.543 to 2345.947, 3
2377.649, 2345.947 to 2409.351, 0
2441.053, 2409.351 to 2472.755, 2
2504.457, 2472.755 to 2536.159, 1
2567.861, 2536.159 to 2599.563, 0
2631.265, 2599.563 to 2662.967, 1
2694.669, 2662.967 to 2726.371, 0
2758.073, 2726.371 to 2789.775, 0
2821.477, 2789.775 to 2853.179, 1
2884.881, 2853.179 to 2916.583, 0
2948.285, 2916.583 to 2979.987, 0
3011.689, 2979.987 to 3043.391, 0
3075.093, 3043.391 to 3106.795, 0
3138.497, 3106.795 to 3170.199, 1


Plate, 4
Well, 2
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
29.342, 0.000 to 58.683, 0
88.025, 58.683 to 117.366, 0
146.708, 117.366 to 176.050, 0
205.391, 176.050 to 234.733, 0
264.075, 234.733 to 293.416, 2
322.758, 293.416 to 352.099, 2
381.441, 352.099 to 410.783, 4
440.124, 410.783 to 469.466, 0
498.807, 469.466 to 528.149, 8
557.491, 528.149 to 586.832, 8
616.174, 586.832 to 645.515, 12
674.857, 645.515 to 704.199, 13
733.540, 704.199 to 762.882, 12
792.224, 762.882 to 821.565, 9
850.907, 821.565 to 880.248, 7
909.590, 880.248 to 938.932, 10
968.273, 938.932 to 997.615, 14
1026.956, 997.615 to 1056.298, 8
1085.640, 1056.298 to 1114.981, 3
1144.323, 1114.981 to 1173.664, 12
1203.006, 1173.664 to 1232.348, 10
1261.689, 1232.348 to 1291.031, 7
1320.373, 1291.031 to 1349.714, 6
1379.056, 1349.714 to 1408.397, 6
1437.739, 1408.397 to 1467.081, 4
1496.422, 1467.081 to 1525.764, 1
1555.105, 1525.764 to 1584.447, 5
1613.789, 1584.447 to 1643.130, 2
1672.472, 1643.130 to 1701.813, 2
1731.155, 1701.813 to 1760.497, 1
1789.838, 1760.497 to 1819.180, 5
1848.522, 1819.180 to 1877.863, 1
1907.205, 1877.863 to 1936.546, 7
1965.888, 1936.546 to 1995.230, 3
2024.571, 1995.230 to 2053.913, 4
2083.254, 2053.913 to 2112.596, 2
2141.938, 2112.596 to 2171.279, 1
2200.621, 2171.279 to 2229.962, 2
2259.304, 2229.962 to 2288.646, 1
2317.987, 2288.646 to 2347.329, 2
2376.671, 2347.329 to 2406.012, 0
2435.354, 2406.012 to 2464.695, 0
2494.037, 2464.695 to 2523.379, 3
2552.720, 2523.379 to 2582.062, 1
2611.403, 2582.062 to 2640.745, 1
2670.087, 2640.745 to 2699.428, 0
2728.770, 2699.428 to 2758.112, 0
2787.453, 2758.112 to 2816.795, 0
2846.136, 2816.795 to 2875.478, 0
2904.820, 2875.478 to 2934.161, 1


Plate, 4
Well, 3
Count, 149
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
48.997, 0.000 to 97.994, 0
146.991, 97.994 to 195.988, 2
244.985, 195.988 to 293.982, 2
342.979, 293.982 to 391.976, 4
440.974, 391.976 to 489.971, 4
538.968, 489.971 to 587.965, 8
636.962, 587.965 to 685.959, 8
734.956, 685.959 to 783.953, 10
832.950, 783.953 to 881.947, 7
930.944, 881.947 to 979.941, 12
1028.938, 979.941 to 1077.935, 10
1126.932, 1077.935 to 1175.929, 3
1224.927, 1175.929 to 1273.924, 14
1322.921, 1273.924 to 1371.918, 7
1420.915, 1371.918 to 1469.912, 5
1518.909, 1469.912 to 1567.906, 4
1616.903, 1567.906 to 1665.900, 4
1714.897, 1665.900 to 1763.894, 10
1812.891, 1763.894 to 1861.888, 4
1910.885, 1861.888 to 1959.882, 4
2008.880, 1959.882 to 2057.877, 7
2106.874, 2057.877 to 2155.871, 3
2204.868, 2155.871 to 2253.865, 2
2302.862, 2253.865 to 2351.859, 1
2400.856, 2351.859 to 2449.853, 1
2498.850, 2449.853 to 2547.847, 2
2596.844, 2547.847 to 2645.841, 1
2694.838, 2645.841 to 2743.835, 5
2792.833, 2743.835 to 2841.830, 0
2890.827, 2841.830 to 2939.824, 1
2988.821, 2939.824 to 3037.818, 0
3086.815, 3037.818 to 3135.812, 1
