Plate, 1
Well, 1
Count, 206
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
27.107, 0.000 to 54.213, 0
81.320, 54.213 to 108.426, 0
135.533, 108.426 to 162.639, 0
189.746, 162.639 to 216.852, 0
243.959, 216.852 to 271.066, 0
298.172, 271.066 to 325.279, 2
352.385, 325.279 to 379.492, 0
406.598, 379.492 to 433.705, 8
460.812, 433.705 to 487.918, 0
515.025, 487.918 to 542.131, 4
569.238, 542.131 to 596.344, 10
623.451, 596.344 to 650.557, 12
677.664, 650.557 to 704.771, 10
731.877, 704.771 to 758.984, 8
786.090, 758.984 to 813.197, 7
840.303, 813.197 to 867.410, 10
894.516, 867.410 to 921.623, 7
948.730, 921.623 to 975.836, 12
1002.943, 975.836 to 1030.049, 11
1057.156, 1030.049 to 1084.262, 14
1111.369, 1084.262 to 1138.475, 5
1165.582, 1138.475 to 1192.689, 12
1219.795, 1192.689 to 1246.902, 2
1274.008, 1246.902 to 1301.115, 6
1328.221, 1301.115 to 1355.328, 8
1382.435, 1355.328 to 1409.541, 9
1436.648, 1409.541 to 1463.754, 3
1490.861, 1463.754 to 1517.967, 6
1545.074, 1517.967 to 1572.180, 3
1599.287, 1572.180 to 1626.394, 4
1653.500, 1626.394 to 1680.607, 6
1707.713, 1680.607 to 1734.820, 3
1761.926, 1734.820 to 1789.033, 2
1816.139, 1789.033 to 1843.246, 1
1870.353, 1843.246 to 1897.459, 4
1924.566, 1897.459 to 1951.672, 0
1978.779, 1951.672 to 2005.885, 3
2032.992, 2005.885 to 2060.099, 4
2087.205, 2060.099 to 2114.312, 0
2141.418, 2114.312 to 2168.525, 0
2195.631, 2168.525 to 2222.738, 1
2249.844, 2222.738 to 2276.951, 1
2304.058, 2276.951 to 2331.164, 2
2358.271, 2331.164 to 2385.377, 0
2412.484, 2385.377 to 2439.590, 2
2466.697, 2439.590 to 2493.803, 0
2520.910, 2493.803 to 2548.017, 3
2575.123, 2548.017 to 2602.230, 0
2629.336, 2602.230 to 2656.443, 0
2683.549, 2656.443 to 2710.656, 1


Plate, 1
Well, 2
Count, 207
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.366, 0.000 to 66.731, 0
100.097, 66.731 to 133.462, 0
