Plate, 1
Well, 5
Count, 153

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
1423.123, 1590650.934, 0.262, 416549.617, 1509128175.305, 2060.029, 17864.667, 30056.667
974.967, 746568.200, 0.203, 151238.715, 485252778.907, 1135.923, 7450.667, 6519.333
864.574, 587075.429, 0.222, 130460.875, 338379976.983, 1745.448, 27178.000, 28363.333
857.102, 576972.298, 0.204, 117496.580, 329682764.918, 1974.749, 3894.667, 19388.667
1092.077, 936691.259, 0.215, 201184.783, 681959371.067, 946.602, 6096.000, 24214.667
693.510, 377742.571, 0.205, 77551.086, 174645619.595, 2082.525, 13462.000, 18118.667
825.136, 534738.367, 0.166, 88801.375, 294154717.959, 2537.176, 22606.000, 3810.000
767.759, 462956.567, 0.210, 97143.652, 236959526.670, 1084.262, 21251.333, 9567.333
791.538, 492077.260, 0.232, 114317.699, 259665196.168, 863.434, 33866.667, 17272.000
607.034, 289411.897, 0.187, 54132.465, 117121970.167, 1135.923, 30226.000, 11260.667
750.685, 442593.750, 0.206, 91384.878, 221498972.203, 863.434, 34713.333, 17102.667
663.856, 346129.076, 0.203, 70267.912, 153186652.379, 911.888, 22352.000, 31411.333
625.247, 307038.618, 0.205, 62863.166, 127983299.871, 1786.045, 5080.000, 14647.333
679.838, 362994.666, 0.185, 67004.911, 164518281.714, 1270.000, 30818.667, 13631.333
1213.179, 1155951.097, 0.178, 205808.666, 934916861.690, 677.333, 4910.667, 16425.333
1387.831, 1512735.850, 0.177, 268051.610, 1399614552.004, 1103.918, 1947.333, 20912.667
1597.099, 2003335.302, 0.184, 368523.536, 2133016752.075, 1367.832, 14393.333, 1524.000
730.436, 419039.034, 0.181, 75691.801, 204054191.313, 1436.841, 14901.333, 5080.000
921.879, 667479.629, 0.244, 162934.307, 410223772.090, 935.174, 32850.667, 25992.667
604.844, 287327.179, 0.189, 54175.125, 115858756.799, 1357.310, 7535.333, 13377.333
596.299, 279266.287, 0.175, 48814.330, 111017531.433, 1179.270, 13885.333, 2794.000
944.519, 700665.690, 0.163, 113995.744, 441194487.202, 946.602, 5672.667, 23368.000
716.068, 402715.964, 0.191, 76921.196, 192248105.399, 1212.242, 10244.667, 7196.667
1615.666, 2050184.004, 0.239, 489487.309, 2208274519.193, 780.588, 22436.667, 33951.333
680.302, 363491.038, 0.171, 62320.937, 164855849.762, 1270.000, 7620.000, 14732.000
997.575, 781593.693, 0.172, 134580.816, 519798915.884, 1113.616, 20320.000, 2116.667
661.975, 344169.945, 0.179, 61756.582, 151887912.512, 1796.051, 8128.000, 28532.667
667.544, 349985.544, 0.223, 78097.414, 155753910.960, 900.019, 28702.000, 30903.333
873.609, 599409.483, 0.225, 134820.959, 349099490.469, 2352.454, 14308.667, 34374.667
552.917, 240109.356, 0.179, 43006.125, 88506960.036, 1954.682, 20489.333, 28532.667
951.245, 710680.181, 0.177, 125886.797, 450687078.620, 757.282, 4572.000, 17102.667
700.215, 385081.367, 0.211, 81391.850, 179759792.163, 766.689, 26670.000, 32088.667
811.026, 516606.513, 0.164, 84884.415, 279321018.252, 1663.436, 5588.000, 9398.000
1268.313, 1263405.213, 0.271, 342589.377, 1068262041.471, 1185.333, 1270.000, 14816.667
1016.593, 811679.313, 0.138, 111942.777, 550098570.481, 1103.918, 10837.333, 3302.000
659.317, 341411.958, 0.175, 59577.117, 150065856.865, 1745.448, 3979.333, 23791.333
957.954, 720741.589, 0.141, 101386.932, 460291733.008, 1281.239, 28786.667, 22098.000
533.250, 223332.098, 0.202, 45099.217, 79394518.533, 1663.436, 7196.667, 9821.333
405.983, 129451.333, 0.244, 31644.880, 35036731.875, 1780.015, 7027.333, 19812.000
759.737, 453332.419, 0.160, 72681.610, 229609031.220, 1481.062, 5588.000, 18372.667
692.379, 376510.498, 0.179, 67306.976, 173791861.190, 2039.043, 23198.667, 15832.667
889.252, 621068.587, 0.161, 99733.402, 368190980.771, 677.333, 4233.333, 16425.333
891.951, 624844.553, 0.175, 109587.478, 371553864.373, 682.604, 8974.667, 7281.333
693.030, 377219.126, 0.152, 57373.787, 174282731.003, 1033.488, 14732.000, 13970.000
802.243, 505477.135, 0.171, 86564.098, 270343587.956, 1033.488, 13885.333, 13377.333
