Plate, 2
Well, 1
Count, 61
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.015, 0
0.018, 0.015 to 0.020, 0
0.023, 0.020 to 0.025, 0
0.028, 0.025 to 0.030, 0
0.033, 0.030 to 0.036, 0
0.038, 0.036 to 0.041, 0
0.043, 0.041 to 0.046, 0
0.048, 0.046 to 0.051, 0
0.053, 0.051 to 0.056, 0
0.058, 0.056 to 0.061, 0
0.063, 0.061 to 0.066, 0
0.068, 0.066 to 0.071, 0
0.074, 0.071 to 0.076, 0
0.079, 0.076 to 0.081, 0
0.084, 0.081 to 0.086, 0
0.089, 0.086 to 0.091, 0
0.094, 0.091 to 0.096, 0
0.099, 0.096 to 0.101, 0
0.104, 0.101 to 0.107, 0
0.109, 0.107 to 0.112, 0
0.114, 0.112 to 0.117, 1
0.119, 0.117 to 0.122, 1
0.124, 0.122 to 0.127, 2
0.129, 0.127 to 0.132, 2
0.134, 0.132 to 0.137, 3
0.139, 0.137 to 0.142, 2
0.145, 0.142 to 0.147, 10
0.150, 0.147 to 0.152, 12
0.155, 0.152 to 0.157, 6
0.160, 0.157 to 0.162, 0
0.165, 0.162 to 0.167, 1
0.170, 0.167 to 0.172, 2
0.175, 0.172 to 0.178, 3
0.180, 0.178 to 0.183, 2
0.185, 0.183 to 0.188, 2
0.190, 0.188 to 0.193, 2
0.195, 0.193 to 0.198, 2
0.200, 0.198 to 0.203, 2
0.205, 0.203 to 0.208, 1
0.211, 0.208 to 0.213, 0
0.216, 0.213 to 0.218, 2
0.221, 0.218 to 0.223, 0
0.226, 0.223 to 0.228, 0
0.231, 0.228 to 0.233, 0
0.236, 0.233 to 0.238, 1
0.241, 0.238 to 0.243, 0
0.246, 0.243 to 0.249, 0
0.251, 0.249 to 0.254, 2


Plate, 2
Well, 2
Count, 42
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.014, 0
0.017, 0.014 to 0.019, 0
0.022, 0.019 to 0.024, 0
0.026, 0.024 to 0.029, 0
0.031, 0.029 to 0.034, 0
0.036, 0.034 to 0.038, 0
0.041, 0.038 to 0.043, 0
0.046, 0.043 to 0.048, 0
0.050, 0.048 to 0.053, 0
0.055, 0.053 to 0.057, 0
0.060, 0.057 to 0.062, 0
0.065, 0.062 to 0.067, 0
0.069, 0.067 to 0.072, 0
0.074, 0.072 to 0.077, 0
0.079, 0.077 to 0.081, 0
0.084, 0.081 to 0.086, 0
0.089, 0.086 to 0.091, 0
0.093, 0.091 to 0.096, 0
0.098, 0.096 to 0.101, 0
0.103, 0.101 to 0.105, 0
0.108, 0.105 to 0.110, 0
0.113, 0.110 to 0.115, 0
0.117, 0.115 to 0.120, 0
0.122, 0.120 to 0.125, 0
0.127, 0.125 to 0.129, 0
0.132, 0.129 to 0.134, 0
0.137, 0.134 to 0.139, 3
0.141, 0.139 to 0.144, 3
0.146, 0.144 to 0.149, 5
0.151, 0.149 to 0.153, 8
0.156, 0.153 to 0.158, 3
0.160, 0.158 to 0.163, 4
0.165, 0.163 to 0.168, 3
0.170, 0.168 to 0.172, 3
0.175, 0.172 to 0.177, 2
0.180, 0.177 to 0.182, 3
0.184, 0.182 to 0.187, 1
0.189, 0.187 to 0.192, 1
0.194, 0.192 to 0.196, 0
0.199, 0.196 to 0.201, 0
0.204, 0.201 to 0.206, 1
0.208, 0.206 to 0.211, 1
0.213, 0.211 to 0.216, 0
0.218, 0.216 to 0.220, 0
0.223, 0.220 to 0.225, 0
0.228, 0.225 to 0.230, 0
0.232, 0.230 to 0.235, 0
0.237, 0.235 to 0.240, 1


Plate, 2
Well, 3
Count, 9
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.013, 0
0.016, 0.013 to 0.020, 0
0.023, 0.020 to 0.026, 0
0.029, 0.026 to 0.033, 0
0.036, 0.033 to 0.039, 0
0.042, 0.039 to 0.046, 0
0.049, 0.046 to 0.052, 0
0.056, 0.052 to 0.059, 0
0.062, 0.059 to 0.065, 0
0.069, 0.065 to 0.072, 0
0.075, 0.072 to 0.078, 0
0.082, 0.078 to 0.085, 0
0.088, 0.085 to 0.092, 0
0.095, 0.092 to 0.098, 0
0.101, 0.098 to 0.105, 0
0.108, 0.105 to 0.111, 0
0.114, 0.111 to 0.118, 0
0.121, 0.118 to 0.124, 0
0.127, 0.124 to 0.131, 0
0.134, 0.131 to 0.137, 0
0.141, 0.137 to 0.144, 1
0.147, 0.144 to 0.150, 1
0.154, 0.150 to 0.157, 0
0.160, 0.157 to 0.163, 2
0.167, 0.163 to 0.170, 1
0.173, 0.170 to 0.176, 2
0.180, 0.176 to 0.183, 1
0.186, 0.183 to 0.190, 0
0.193, 0.190 to 0.196, 0
0.199, 0.196 to 0.203, 0
0.206, 0.203 to 0.209, 0
0.212, 0.209 to 0.216, 0
0.219, 0.216 to 0.222, 0
0.225, 0.222 to 0.229, 0
0.232, 0.229 to 0.235, 0
0.239, 0.235 to 0.242, 0
0.245, 0.242 to 0.248, 0
0.252, 0.248 to 0.255, 0
0.258, 0.255 to 0.261, 0
0.265, 0.261 to 0.268, 0
0.271, 0.268 to 0.275, 0
0.278, 0.275 to 0.281, 0
0.284, 0.281 to 0.288, 0
0.291, 0.288 to 0.294, 0
0.297, 0.294 to 0.301, 0
0.304, 0.301 to 0.307, 0
0.310, 0.307 to 0.314, 0
0.317, 0.314 to 0.320, 0
0.324, 0.320 to 0.327, 1


Plate, 2
Well, 4
Count, 1
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.003, 0
0.004, 0.003 to 0.006, 0
0.007, 0.006 to 0.008, 0
0.010, 0.008 to 0.011, 0
0.012, 0.011 to 0.014, 0
0.015, 0.014 to 0.017, 0
0.018, 0.017 to 0.019, 0
0.021, 0.019 to 0.022, 0
0.023, 0.022 to 0.025, 0
0.026, 0.025 to 0.028, 0
0.029, 0.028 to 0.030, 0
0.032, 0.030 to 0.033, 0
0.034, 0.033 to 0.036, 0
0.037, 0.036 to 0.039, 0
0.040, 0.039 to 0.041, 0
0.043, 0.041 to 0.044, 0
0.045, 0.044 to 0.047, 0
0.048, 0.047 to 0.050, 0
0.051, 0.050 to 0.052, 0
0.054, 0.052 to 0.055, 0
0.056, 0.055 to 0.058, 0
0.059, 0.058 to 0.061, 0
0.062, 0.061 to 0.063, 0
0.065, 0.063 to 0.066, 0
0.067, 0.066 to 0.069, 0
0.070, 0.069 to 0.072, 0
0.073, 0.072 to 0.074, 0
0.076, 0.074 to 0.077, 0
0.078, 0.077 to 0.080, 0
0.081, 0.080 to 0.083, 0
0.084, 0.083 to 0.085, 0
0.087, 0.085 to 0.088, 0
0.090, 0.088 to 0.091, 0
0.092, 0.091 to 0.094, 0
0.095, 0.094 to 0.096, 0
0.098, 0.096 to 0.099, 0
0.101, 0.099 to 0.102, 0
0.103, 0.102 to 0.105, 0
0.106, 0.105 to 0.107, 0
0.109, 0.107 to 0.110, 0
0.112, 0.110 to 0.113, 0
0.114, 0.113 to 0.116, 0
0.117, 0.116 to 0.118, 0
0.120, 0.118 to 0.121, 0
0.123, 0.121 to 0.124, 0
0.125, 0.124 to 0.127, 0
0.128, 0.127 to 0.129, 0
0.131, 0.129 to 0.132, 0
0.134, 0.132 to 0.135, 0
0.136, 0.135 to 0.138, 1


Plate, 2
Well, 5
Count, 2
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.003, 0
0.005, 0.003 to 0.006, 0
0.008, 0.006 to 0.009, 0
0.011, 0.009 to 0.013, 0
0.014, 0.013 to 0.016, 0
0.017, 0.016 to 0.019, 0
0.020, 0.019 to 0.022, 0
0.024, 0.022 to 0.025, 0
0.027, 0.025 to 0.028, 0
0.030, 0.028 to 0.031, 0
0.033, 0.031 to 0.035, 0
