Plate, 4
Well, 1
Count, 170
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
14.883, 0.000 to 29.766, 0
44.649, 29.766 to 59.532, 0
74.416, 59.532 to 89.299, 0
104.182, 89.299 to 119.065, 0
133.948, 119.065 to 148.831, 0
163.714, 148.831 to 178.597, 0
193.481, 178.597 to 208.364, 0
223.247, 208.364 to 238.130, 2
253.013, 238.130 to 267.896, 0
282.779, 267.896 to 297.662, 1
312.545, 297.662 to 327.429, 3
342.312, 327.429 to 357.195, 2
372.078, 357.195 to 386.961, 8
401.844, 386.961 to 416.727, 4
431.610, 416.727 to 446.494, 4
461.377, 446.494 to 476.260, 8
491.143, 476.260 to 506.026, 12
520.909, 506.026 to 535.792, 14
550.675, 535.792 to 565.558, 10
580.442, 565.558 to 595.325, 10
610.208, 595.325 to 625.091, 5
639.974, 625.091 to 654.857, 7
669.740, 654.857 to 684.623, 6
699.507, 684.623 to 714.390, 3
729.273, 714.390 to 744.156, 9
759.039, 744.156 to 773.922, 7
788.805, 773.922 to 803.688, 3
818.571, 803.688 to 833.455, 3
848.338, 833.455 to 863.221, 4
878.104, 863.221 to 892.987, 5
907.870, 892.987 to 922.753, 6
937.636, 922.753 to 952.520, 5
967.403, 952.520 to 982.286, 4
997.169, 982.286 to 1012.052, 5
1026.935, 1012.052 to 1041.818, 1
1056.701, 1041.818 to 1071.584, 2
1086.468, 1071.584 to 1101.351, 0
1116.234, 1101.351 to 1131.117, 2
1146.000, 1131.117 to 1160.883, 1
1175.766, 1160.883 to 1190.649, 2
1205.533, 1190.649 to 1220.416, 2
1235.299, 1220.416 to 1250.182, 2
1265.065, 1250.182 to 1279.948, 2
1294.831, 1279.948 to 1309.714, 2
1324.597, 1309.714 to 1339.481, 0
1354.364, 1339.481 to 1369.247, 0
1384.130, 1369.247 to 1399.013, 0
1413.896, 1399.013 to 1428.779, 2
1443.662, 1428.779 to 1458.546, 0
1473.429, 1458.546 to 1488.312, 2


Plate, 4
Well, 2
Count, 198
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
17.106, 0.000 to 34.213, 0
51.319, 34.213 to 68.426, 0
85.532, 68.426 to 102.638, 0
119.745, 102.638 to 136.851, 0
153.957, 136.851 to 171.064, 0
188.170, 171.064 to 205.277, 0
222.383, 205.277 to 239.489, 1
256.596, 239.489 to 273.702, 1
290.809, 273.702 to 307.915, 2
325.021, 307.915 to 342.128, 2
359.234, 342.128 to 376.340, 5
393.447, 376.340 to 410.553, 3
427.660, 410.553 to 444.766, 5
461.872, 444.766 to 478.979, 8
496.085, 478.979 to 513.192, 7
530.298, 513.192 to 547.404, 17
564.511, 547.404 to 581.617, 12
598.723, 581.617 to 615.830, 6
632.936, 615.830 to 650.043, 5
667.149, 650.043 to 684.255, 7
701.362, 684.255 to 718.468, 11
735.575, 718.468 to 752.681, 5
769.787, 752.681 to 786.894, 9
804.000, 786.894 to 821.107, 10
838.213, 821.107 to 855.319, 9
872.426, 855.319 to 889.532, 8
906.638, 889.532 to 923.745, 4
940.851, 923.745 to 957.958, 4
975.064, 957.958 to 992.170, 11
1009.277, 992.170 to 1026.383, 6
1043.490, 1026.383 to 1060.596, 6
1077.702, 1060.596 to 1094.809, 2
1111.915, 1094.809 to 1129.021, 4
1146.128, 1129.021 to 1163.234, 3
1180.341, 1163.234 to 1197.447, 4
1214.553, 1197.447 to 1231.660, 2
1248.766, 1231.660 to 1265.873, 5
1282.979, 1265.873 to 1300.085, 4
1317.192, 1300.085 to 1334.298, 4
1351.404, 1334.298 to 1368.511, 3
1385.617, 1368.511 to 1402.724, 0
1419.830, 1402.724 to 1436.936, 0
