Plate, 4
Well, 1
Count, 170
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
5864.739, 0.000 to 11729.478, 3
17594.217, 11729.478 to 23458.955, 17
29323.694, 23458.955 to 35188.433, 27
41053.172, 35188.433 to 46917.911, 30
52782.650, 46917.911 to 58647.389, 7
64512.128, 58647.389 to 70376.866, 12
76241.605, 70376.866 to 82106.344, 13
87971.083, 82106.344 to 93835.822, 9
99700.561, 93835.822 to 105565.300, 3
111430.038, 105565.300 to 117294.777, 10
123159.516, 117294.777 to 129024.255, 5
134888.994, 129024.255 to 140753.733, 10
146618.472, 140753.733 to 152483.211, 1
158347.949, 152483.211 to 164212.688, 2
170077.427, 164212.688 to 175942.166, 0
181806.905, 175942.166 to 187671.644, 2
193536.383, 187671.644 to 199401.121, 1
205265.860, 199401.121 to 211130.599, 0
216995.338, 211130.599 to 222860.077, 3
228724.816, 222860.077 to 234589.555, 1
240454.294, 234589.555 to 246319.032, 4
252183.771, 246319.032 to 258048.510, 1
263913.249, 258048.510 to 269777.988, 1
275642.727, 269777.988 to 281507.466, 0
287372.204, 281507.466 to 293236.943, 2
299101.682, 293236.943 to 304966.421, 2
310831.160, 304966.421 to 316695.899, 1
322560.638, 316695.899 to 328425.376, 1
334290.115, 328425.376 to 340154.854, 0
346019.593, 340154.854 to 351884.332, 0
357749.071, 351884.332 to 363613.810, 0
369478.549, 363613.810 to 375343.287, 0
381208.026, 375343.287 to 387072.765, 0
392937.504, 387072.765 to 398802.243, 0
404666.982, 398802.243 to 410531.721, 0
416396.459, 410531.721 to 422261.198, 0
428125.937, 422261.198 to 433990.676, 0
439855.415, 433990.676 to 445720.154, 0
451584.893, 445720.154 to 457449.632, 0
463314.370, 457449.632 to 469179.109, 0
475043.848, 469179.109 to 480908.587, 0
486773.326, 480908.587 to 492638.065, 0
498502.804, 492638.065 to 504367.542, 0
510232.281, 504367.542 to 516097.020, 0
521961.759, 516097.020 to 527826.498, 0
533691.237, 527826.498 to 539555.976, 0
545420.715, 539555.976 to 551285.453, 0
557150.192, 551285.453 to 563014.931, 0
568879.670, 563014.931 to 574744.409, 0
580609.148, 574744.409 to 586473.887, 2


Plate, 4
Well, 2
Count, 198
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4484.362, 0.000 to 8968.724, 2
13453.087, 8968.724 to 17937.449, 6
22421.811, 17937.449 to 26906.173, 9
31390.536, 26906.173 to 35874.898, 13
40359.260, 35874.898 to 44843.622, 21
49327.985, 44843.622 to 53812.347, 14
58296.709, 53812.347 to 62781.071, 10
67265.434, 62781.071 to 71749.796, 13
76234.158, 71749.796 to 80718.520, 10
85202.882, 80718.520 to 89687.245, 10
94171.607, 89687.245 to 98655.969, 6
103140.331, 98655.969 to 107624.694, 8
112109.056, 107624.694 to 116593.418, 1
121077.780, 116593.418 to 125562.143, 10
130046.505, 125562.143 to 134530.867, 6
139015.229, 134530.867 to 143499.592, 5
147983.954, 143499.592 to 152468.316, 6
156952.678, 152468.316 to 161437.041, 4
165921.403, 161437.041 to 170405.765, 8
174890.127, 170405.765 to 179374.489, 3
183858.852, 179374.489 to 188343.214, 5
192827.576, 188343.214 to 197311.938, 0
201796.301, 197311.938 to 206280.663, 3
210765.025, 206280.663 to 215249.387, 1
219733.750, 215249.387 to 224218.112, 0
228702.474, 224218.112 to 233186.836, 2
237671.199, 233186.836 to 242155.561, 5
246639.923, 242155.561 to 251124.285, 3
255608.647, 251124.285 to 260093.010, 1
264577.372, 260093.010 to 269061.734, 3
273546.096, 269061.734 to 278030.459, 2
282514.821, 278030.459 to 286999.183, 1
291483.545, 286999.183 to 295967.908, 0
300452.270, 295967.908 to 304936.632, 2
309420.994, 304936.632 to 313905.357, 2
318389.719, 313905.357 to 322874.081, 1
327358.443, 322874.081 to 331842.806, 0
336327.168, 331842.806 to 340811.530, 0
345295.892, 340811.530 to 349780.254, 0
354264.617, 349780.254 to 358748.979, 0
363233.341, 358748.979 to 367717.703, 0
372202.066, 367717.703 to 376686.428, 0
381170.790, 376686.428 to 385655.152, 0
390139.515, 385655.152 to 394623.877, 0
399108.239, 394623.877 to 403592.601, 0
408076.964, 403592.601 to 412561.326, 0
417045.688, 412561.326 to 421530.050, 1
426014.412, 421530.050 to 430498.775, 0
434983.137, 430498.775 to 439467.499, 0
443951.861, 439467.499 to 448436.224, 1


Plate, 4
Well, 3
Count, 148
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
5492.294, 0.000 to 10984.587, 0
16476.881, 10984.587 to 21969.174, 17
27461.468, 21969.174 to 32953.761, 18
38446.055, 32953.761 to 43938.349, 22
49430.642, 43938.349 to 54922.936, 19
60415.229, 54922.936 to 65907.523, 14
71399.816, 65907.523 to 76892.110, 8
82384.404, 76892.110 to 87876.697, 12
93368.991, 87876.697 to 98861.284, 4
104353.578, 98861.284 to 109845.871, 3
115338.165, 109845.871 to 120830.459, 5
126322.752, 120830.459 to 131815.046, 3
137307.339, 131815.046 to 142799.633, 3
148291.926, 142799.633 to 153784.220, 4
159276.514, 153784.220 to 164768.807, 1
170261.101, 164768.807 to 175753.394, 1
181245.688, 175753.394 to 186737.981, 4
192230.275, 186737.981 to 197722.569, 1
203214.862, 197722.569 to 208707.156, 1
214199.449, 208707.156 to 219691.743, 1
225184.036, 219691.743 to 230676.330, 0
236168.624, 230676.330 to 241660.917, 2
247153.211, 241660.917 to 252645.504, 0
258137.798, 252645.504 to 263630.091, 2
269122.385, 263630.091 to 274614.679, 0
280106.972, 274614.679 to 285599.266, 0
291091.559, 285599.266 to 296583.853, 0
302076.146, 296583.853 to 307568.440, 0
313060.734, 307568.440 to 318553.027, 2
324045.321, 318553.027 to 329537.614, 0
335029.908, 329537.614 to 340522.202, 0
346014.495, 340522.202 to 351506.789, 0
356999.082, 351506.789 to 362491.376, 0
367983.669, 362491.376 to 373475.963, 0
378968.257, 373475.963 to 384460.550, 0
389952.844, 384460.550 to 395445.137, 0
400937.431, 395445.137 to 406429.724, 0
411922.018, 406429.724 to 417414.312, 0
422906.605, 417414.312 to 428398.899, 0
433891.192, 428398.899 to 439383.486, 0
444875.779, 439383.486 to 450368.073, 0
455860.367, 450368.073 to 461352.660, 0
466844.954, 461352.660 to 472337.247, 0
477829.541, 472337.247 to 483321.834, 0
488814.128, 483321.834 to 494306.422, 0
499798.715, 494306.422 to 505291.009, 0
510783.302, 505291.009 to 516275.596, 0
521767.889, 516275.596 to 527260.183, 0
532752.477, 527260.183 to 538244.770, 0
543737.064, 538244.770 to 549229.357, 1


Plate, 4
Well, 4
Count, 57
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2553.300, 0.000 to 5106.600, 0
7659.900, 5106.600 to 10213.200, 3
12766.500, 10213.200 to 15319.800, 5
17873.101, 15319.800 to 20426.401, 7
22979.701, 20426.401 to 25533.001, 10
28086.301, 25533.001 to 30639.601, 4
33192.901, 30639.601 to 35746.201, 2
38299.501, 35746.201 to 40852.801, 1
43406.101, 40852.801 to 45959.401, 2
48512.702, 45959.401 to 51066.002, 4
53619.302, 51066.002 to 56172.602, 1
58725.902, 56172.602 to 61279.202, 4
63832.502, 61279.202 to 66385.802, 2
68939.102, 66385.802 to 71492.402, 1
74045.702, 71492.402 to 76599.002, 5
79152.302, 76599.002 to 81705.603, 0
84258.903, 81705.603 to 86812.203, 0
89365.503, 86812.203 to 91918.803, 1
94472.103, 91918.803 to 97025.403, 0
99578.703, 97025.403 to 102132.003, 0
104685.303, 102132.003 to 107238.603, 1
109791.903, 107238.603 to 112345.203, 1
114898.504, 112345.203 to 117451.804, 0
120005.104, 117451.804 to 122558.404, 0
125111.704, 122558.404 to 127665.004, 0
130218.304, 127665.004 to 132771.604, 0
135324.904, 132771.604 to 137878.204, 0
140431.504, 137878.204 to 142984.804, 0
145538.105, 142984.804 to 148091.405, 0
150644.705, 148091.405 to 153198.005, 0
155751.305, 153198.005 to 158304.605, 0
160857.905, 158304.605 to 163411.205, 0
165964.505, 163411.205 to 168517.805, 1
171071.105, 168517.805 to 173624.405, 0
176177.705, 173624.405 to 178731.006, 1
181284.306, 178731.006 to 183837.606, 0
186390.906, 183837.606 to 188944.206, 0
191497.506, 188944.206 to 194050.806, 0
196604.106, 194050.806 to 199157.406, 0
201710.706, 199157.406 to 204264.006, 0
206817.306, 204264.006 to 209370.606, 0
211923.907, 209370.606 to 214477.207, 0
217030.507, 214477.207 to 219583.807, 0
222137.107, 219583.807 to 224690.407, 0
227243.707, 224690.407 to 229797.007, 0
232350.307, 229797.007 to 234903.607, 0
237456.907, 234903.607 to 240010.207, 0
242563.508, 240010.207 to 245116.808, 0
247670.108, 245116.808 to 250223.408, 0
252776.708, 250223.408 to 255330.008, 1


Plate, 4
Well, 5
Count, 8
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
750.928, 0.000 to 1501.857, 0
2252.785, 1501.857 to 3003.713, 0
3754.641, 3003.713 to 4505.570, 0
5256.498, 4505.570 to 6007.426, 0
6758.354, 6007.426 to 7509.283, 0
8260.211, 7509.283 to 9011.139, 0
9762.068, 9011.139 to 10512.996, 0
11263.924, 10512.996 to 12014.852, 1
12765.781, 12014.852 to 13516.709, 0
14267.637, 13516.709 to 15018.566, 0
15769.494, 15018.566 to 16520.422, 1
17271.350, 16520.422 to 18022.279, 1
18773.207, 18022.279 to 19524.135, 0
20275.063, 19524.135 to 21025.992, 0
21776.920, 21025.992 to 22527.848, 0
23278.777, 22527.848 to 24029.705, 0
24780.633, 24029.705 to 25531.561, 0
26282.490, 25531.561 to 27033.418, 1
27784.346, 27033.418 to 28535.275, 0
