Plate, 4
Well, 1
Count, 230
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
27101.168, 0.000 to 54202.335, 4
81303.503, 54202.335 to 108404.670, 7
135505.838, 108404.670 to 162607.005, 16
189708.173, 162607.005 to 216809.340, 19
243910.508, 216809.340 to 271011.675, 27
298112.843, 271011.675 to 325214.011, 18
352315.178, 325214.011 to 379416.346, 11
406517.513, 379416.346 to 433618.681, 4
460719.848, 433618.681 to 487821.016, 6
514922.183, 487821.016 to 542023.351, 11
569124.518, 542023.351 to 596225.686, 10
623326.854, 596225.686 to 650428.021, 13
677529.189, 650428.021 to 704630.356, 10
731731.524, 704630.356 to 758832.691, 14
785933.859, 758832.691 to 813035.026, 8
840136.194, 813035.026 to 867237.361, 8
894338.529, 867237.361 to 921439.697, 6
948540.864, 921439.697 to 975642.032, 5
1002743.199, 975642.032 to 1029844.367, 4
1056945.534, 1029844.367 to 1084046.702, 5
1111147.869, 1084046.702 to 1138249.037, 4
1165350.204, 1138249.037 to 1192451.372, 5
1219552.540, 1192451.372 to 1246653.707, 2
1273754.875, 1246653.707 to 1300856.042, 4
1327957.210, 1300856.042 to 1355058.377, 1
1382159.545, 1355058.377 to 1409260.712, 1
1436361.880, 1409260.712 to 1463463.047, 1
1490564.215, 1463463.047 to 1517665.383, 2
1544766.550, 1517665.383 to 1571867.718, 0
1598968.885, 1571867.718 to 1626070.053, 0
1653171.220, 1626070.053 to 1680272.388, 0
1707373.555, 1680272.388 to 1734474.723, 0
1761575.890, 1734474.723 to 1788677.058, 0
1815778.226, 1788677.058 to 1842879.393, 0
1869980.561, 1842879.393 to 1897081.728, 1
1924182.896, 1897081.728 to 1951284.063, 0
1978385.231, 1951284.063 to 2005486.398, 0
2032587.566, 2005486.398 to 2059688.734, 0
2086789.901, 2059688.734 to 2113891.069, 0
2140992.236, 2113891.069 to 2168093.404, 1
2195194.571, 2168093.404 to 2222295.739, 0
2249396.906, 2222295.739 to 2276498.074, 0
2303599.241, 2276498.074 to 2330700.409, 1
2357801.577, 2330700.409 to 2384902.744, 0
2412003.912, 2384902.744 to 2439105.079, 0
2466206.247, 2439105.079 to 2493307.414, 0
2520408.582, 2493307.414 to 2547509.749, 0
2574610.917, 2547509.749 to 2601712.084, 0
2628813.252, 2601712.084 to 2655914.420, 0
2683015.587, 2655914.420 to 2710116.755, 1


Plate, 4
Well, 2
Count, 159
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
29112.392, 0.000 to 58224.785, 4
87337.177, 58224.785 to 116449.569, 13
145561.962, 116449.569 to 174674.354, 8
203786.746, 174674.354 to 232899.139, 24
262011.531, 232899.139 to 291123.924, 14
320236.316, 291123.924 to 349348.708, 11
378461.101, 349348.708 to 407573.493, 13
436685.885, 407573.493 to 465798.278, 6
494910.670, 465798.278 to 524023.062, 7
553135.455, 524023.062 to 582247.847, 9
611360.239, 582247.847 to 640472.632, 6
669585.024, 640472.632 to 698697.416, 7
727809.809, 698697.416 to 756922.201, 4
786034.594, 756922.201 to 815146.986, 11
844259.378, 815146.986 to 873371.771, 4
902484.163, 873371.771 to 931596.555, 1
960708.948, 931596.555 to 989821.340, 2
1018933.732, 989821.340 to 1048046.125, 2
1077158.517, 1048046.125 to 1106270.909, 1
1135383.302, 1106270.909 to 1164495.694, 2
1193608.086, 1164495.694 to 1222720.479, 2
1251832.871, 1222720.479 to 1280945.264, 1
1310057.656, 1280945.264 to 1339170.048, 0
1368282.441, 1339170.048 to 1397394.833, 1
1426507.225, 1397394.833 to 1455619.618, 1
1484732.010, 1455619.618 to 1513844.402, 0
1542956.795, 1513844.402 to 1572069.187, 1
1601181.579, 1572069.187 to 1630293.972, 1
1659406.364, 1630293.972 to 1688518.756, 0
1717631.149, 1688518.756 to 1746743.541, 1
1775855.933, 1746743.541 to 1804968.326, 0
1834080.718, 1804968.326 to 1863193.111, 1
1892305.503, 1863193.111 to 1921417.895, 0
1950530.288, 1921417.895 to 1979642.680, 0
2008755.072, 1979642.680 to 2037867.465, 0
2066979.857, 2037867.465 to 2096092.249, 0
2125204.642, 2096092.249 to 2154317.034, 0
2183429.426, 2154317.034 to 2212541.819, 0
2241654.211, 2212541.819 to 2270766.603, 0
2299878.996, 2270766.603 to 2328991.388, 0
2358103.781, 2328991.388 to 2387216.173, 0
2416328.565, 2387216.173 to 2445440.958, 0
2474553.350, 2445440.958 to 2503665.742, 0
2532778.135, 2503665.742 to 2561890.527, 0
2591002.919, 2561890.527 to 2620115.312, 0
2649227.704, 2620115.312 to 2678340.096, 0
2707452.489, 2678340.096 to 2736564.881, 0
2765677.273, 2736564.881 to 2794789.666, 0
2823902.058, 2794789.666 to 2853014.451, 0
2882126.843, 2853014.451 to 2911239.235, 1


Plate, 4
Well, 3
Count, 67
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Area (um^2), Range, frequency
7866.740, 0.000 to 15733.481, 0
23600.221, 15733.481 to 31466.962, 0
39333.702, 31466.962 to 47200.443, 0
55067.183, 47200.443 to 62933.924, 1
70800.664, 62933.924 to 78667.405, 0
86534.145, 78667.405 to 94400.886, 4
102267.626, 94400.886 to 110134.367, 3
118001.107, 110134.367 to 125867.848, 2
133734.588, 125867.848 to 141601.329, 2
149468.069, 141601.329 to 157334.810, 1
165201.550, 157334.810 to 173068.291, 4
180935.031, 173068.291 to 188801.772, 3
196668.512, 188801.772 to 204535.253, 3
212401.993, 204535.253 to 220268.734, 4
228135.474, 220268.734 to 236002.215, 4
243868.955, 236002.215 to 251735.695, 2
259602.436, 251735.695 to 267469.176, 4
275335.917, 267469.176 to 283202.657, 2
291069.398, 283202.657 to 298936.138, 1
306802.879, 298936.138 to 314669.619, 3
322536.360, 314669.619 to 330403.100, 1
338269.841, 330403.100 to 346136.581, 2
354003.322, 346136.581 to 361870.062, 0
369736.803, 361870.062 to 377603.543, 2
385470.284, 377603.543 to 393337.024, 0
401203.765, 393337.024 to 409070.505, 0
416937.246, 409070.505 to 424803.986, 5
432670.727, 424803.986 to 440537.467, 0
448404.208, 440537.467 to 456270.948, 0
464137.689, 456270.948 to 472004.429, 0
479871.169, 472004.429 to 487737.910, 0
495604.650, 487737.910 to 503471.391, 0
511338.131, 503471.391 to 519204.872, 0
527071.612, 519204.872 to 534938.353, 1
542805.093, 534938.353 to 550671.834, 1
558538.574, 550671.834 to 566405.315, 3
574272.055, 566405.315 to 582138.796, 1
590005.536, 582138.796 to 597872.277, 1
605739.017, 597872.277 to 613605.758, 1
621472.498, 613605.758 to 629339.239, 0
637205.979, 629339.239 to 645072.720, 1
652939.460, 645072.720 to 660806.201, 1
668672.941, 660806.201 to 676539.682, 0
684406.422, 676539.682 to 692273.163, 0
700139.903, 692273.163 to 708006.644, 0
715873.384, 708006.644 to 723740.124, 1
731606.865, 723740.124 to 739473.605, 1
747340.346, 739473.605 to 755207.086, 0
