Plate, 4
Well, 1
Count, 230
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
33561843.038, 0.000 to 67123686.076, 43
100685529.114, 67123686.076 to 134247372.152, 46
167809215.190, 134247372.152 to 201371058.228, 17
234932901.266, 201371058.228 to 268494744.304, 7
302056587.342, 268494744.304 to 335618430.380, 19
369180273.418, 335618430.380 to 402742116.456, 14
436303959.494, 402742116.456 to 469865802.532, 15
503427645.570, 469865802.532 to 536989488.607, 14
570551331.645, 536989488.607 to 604113174.683, 11
637675017.721, 604113174.683 to 671236860.759, 7
704798703.797, 671236860.759 to 738360546.835, 5
771922389.873, 738360546.835 to 805484232.911, 4
839046075.949, 805484232.911 to 872607918.987, 4
906169762.025, 872607918.987 to 939731605.063, 7
973293448.101, 939731605.063 to 1006855291.139, 3
1040417134.177, 1006855291.139 to 1073978977.215, 3
1107540820.253, 1073978977.215 to 1141102663.291, 2
1174664506.329, 1141102663.291 to 1208226349.367, 1
1241788192.405, 1208226349.367 to 1275350035.443, 1
1308911878.481, 1275350035.443 to 1342473721.519, 1
1376035564.557, 1342473721.519 to 1409597407.595, 2
1443159250.633, 1409597407.595 to 1476721093.671, 0
1510282936.709, 1476721093.671 to 1543844779.746, 0
1577406622.784, 1543844779.746 to 1610968465.822, 0
1644530308.860, 1610968465.822 to 1678092151.898, 0
1711653994.936, 1678092151.898 to 1745215837.974, 0
1778777681.012, 1745215837.974 to 1812339524.050, 0
1845901367.088, 1812339524.050 to 1879463210.126, 0
1913025053.164, 1879463210.126 to 1946586896.202, 1
1980148739.240, 1946586896.202 to 2013710582.278, 0
2047272425.316, 2013710582.278 to 2080834268.354, 0
2114396111.392, 2080834268.354 to 2147957954.430, 0
2181519797.468, 2147957954.430 to 2215081640.506, 0
2248643483.544, 2215081640.506 to 2282205326.582, 0
2315767169.620, 2282205326.582 to 2349329012.658, 1
2382890855.696, 2349329012.658 to 2416452698.734, 0
2450014541.772, 2416452698.734 to 2483576384.810, 0
2517138227.848, 2483576384.810 to 2550700070.885, 0
2584261913.923, 2550700070.885 to 2617823756.961, 1
2651385599.999, 2617823756.961 to 2684947443.037, 0
2718509286.075, 2684947443.037 to 2752071129.113, 0
2785632972.151, 2752071129.113 to 2819194815.189, 0
2852756658.227, 2819194815.189 to 2886318501.265, 0
2919880344.303, 2886318501.265 to 2953442187.341, 0
2987004030.379, 2953442187.341 to 3020565873.417, 0
3054127716.455, 3020565873.417 to 3087689559.493, 0
3121251402.531, 3087689559.493 to 3154813245.569, 0
3188375088.607, 3154813245.569 to 3221936931.645, 0
3255498774.683, 3221936931.645 to 3289060617.721, 0
3322622460.759, 3289060617.721 to 3356184303.797, 1


Plate, 4
Well, 2
Count, 159
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
37366347.107, 0.000 to 74732694.213, 40
112099041.320, 74732694.213 to 149465388.427, 30
186831735.533, 149465388.427 to 224198082.640, 20
261564429.747, 224198082.640 to 298930776.854, 14
336297123.960, 298930776.854 to 373663471.067, 10
411029818.174, 373663471.067 to 448396165.280, 8
485762512.387, 448396165.280 to 523128859.494, 9
560495206.600, 523128859.494 to 597861553.707, 7
635227900.814, 597861553.707 to 672594247.921, 4
709960595.027, 672594247.921 to 747326942.134, 4
784693289.241, 747326942.134 to 822059636.347, 0
859425983.454, 822059636.347 to 896792330.561, 1
934158677.667, 896792330.561 to 971525024.774, 3
1008891371.881, 971525024.774 to 1046257718.988, 1
1083624066.094, 1046257718.988 to 1120990413.201, 1
1158356760.308, 1120990413.201 to 1195723107.414, 0
1233089454.521, 1195723107.414 to 1270455801.628, 1
1307822148.734, 1270455801.628 to 1345188495.841, 1
1382554842.948, 1345188495.841 to 1419921190.054, 0
1457287537.161, 1419921190.054 to 1494653884.268, 1
1532020231.375, 1494653884.268 to 1569386578.481, 1
1606752925.588, 1569386578.481 to 1644119272.695, 0
1681485619.801, 1644119272.695 to 1718851966.908, 1
1756218314.015, 1718851966.908 to 1793584661.121, 0
1830951008.228, 1793584661.121 to 1868317355.335, 0
1905683702.442, 1868317355.335 to 1943050049.548, 1
1980416396.655, 1943050049.548 to 2017782743.762, 0
2055149090.868, 2017782743.762 to 2092515437.975, 0
2129881785.082, 2092515437.975 to 2167248132.188, 0
2204614479.295, 2167248132.188 to 2241980826.402, 0
2279347173.508, 2241980826.402 to 2316713520.615, 0
2354079867.722, 2316713520.615 to 2391446214.829, 0
2428812561.935, 2391446214.829 to 2466178909.042, 0
2503545256.149, 2466178909.042 to 2540911603.255, 0
2578277950.362, 2540911603.255 to 2615644297.469, 0
2653010644.575, 2615644297.469 to 2690376991.682, 0
2727743338.789, 2690376991.682 to 2765109685.896, 0
2802476033.002, 2765109685.896 to 2839842380.109, 0
2877208727.216, 2839842380.109 to 2914575074.322, 0
2951941421.429, 2914575074.322 to 2989307768.536, 0
3026674115.642, 2989307768.536 to 3064040462.749, 0
3101406809.856, 3064040462.749 to 3138773156.963, 0
3176139504.069, 3138773156.963 to 3213505851.176, 0
3250872198.283, 3213505851.176 to 3288238545.389, 0
3325604892.496, 3288238545.389 to 3362971239.603, 0
3400337586.709, 3362971239.603 to 3437703933.816, 0
3475070280.923, 3437703933.816 to 3512436628.029, 0
3549802975.136, 3512436628.029 to 3587169322.243, 0
3624535669.350, 3587169322.243 to 3661902016.456, 0
3699268363.563, 3661902016.456 to 3736634710.670, 1


Plate, 4
Well, 3
Count, 67
CHARM Settings 1:		UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
5248751.786, 0.000 to 10497503.572, 1
15746255.357, 10497503.572 to 20995007.143, 2
26243758.929, 20995007.143 to 31492510.715, 6
36741262.500, 31492510.715 to 41990014.286, 3
47238766.072, 41990014.286 to 52487517.858, 3
57736269.644, 52487517.858 to 62985021.429, 5
68233773.215, 62985021.429 to 73482525.001, 6
78731276.787, 73482525.001 to 83980028.573, 5
89228780.358, 83980028.573 to 94477532.144, 2
99726283.930, 94477532.144 to 104975035.716, 5
110223787.501, 104975035.716 to 115472539.287, 1
120721291.073, 115472539.287 to 125970042.859, 2
131218794.645, 125970042.859 to 136467546.430, 2
141716298.216, 136467546.430 to 146965050.002, 2
152213801.788, 146965050.002 to 157462553.573, 1
162711305.359, 157462553.573 to 167960057.145, 0
173208808.931, 167960057.145 to 178457560.717, 2
183706312.502, 178457560.717 to 188955064.288, 0
194203816.074, 188955064.288 to 199452567.860, 2
