,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,UWB1 TX,0,1,A01,2000,937.2061533,14366.273,209,858.0967407,314.1914063,655843.8125,472298.75,137071357.5,0.177088842,0.034375146,37.01156653,122257.9453,100983.0938,25551910.48,471698272,521002784,98584941076,1091.444824,604.4251099,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.985849057
1,1,UWB1 TX,0.003048316,2,A02,2000,928.0403781,12619.43586,197,854.3696289,344.8781433,666715.4375,581203.625,131342937.4,0.159972712,0.030691979,31.51462475,113766.0547,113895.6797,22411912.4,509227296,739324032,1.00318E+11,1101.233887,597.0609741,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.929245283
2,1,UWB1 TX,0.009144947,3,A03,2000,928.0403781,9833.082234,160,722.9970703,297.4299316,480026.9688,430681.875,76804313.33,0.13445349,0.029988717,21.51255749,70692.48438,83716.77344,11310797.44,314396896,467686208,50303501782,1210.228149,613.6471558,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.754716981
3,1,UWB1 TX,0.027434842,4,B01,2000,928.0403781,12899.16639,113,650.1741333,248.6145325,380553.3438,297931.2813,43002527.12,0.154194579,0.021322923,17.42398741,59775.53906,47933.39063,6754635.946,213243456,259011264,24096510811,1451.90918,858.8977661,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.533018868
4,1,UWB1 TX,0.082304527,5,B02,2000,928.0403781,11417.72284,94,607.2495728,230.3388977,331287.2813,258190.4688,31141005.32,0.140654698,0.023200268,13.22154181,47984.52734,43184.40625,4510545.641,172798720,210830576,16243079902,1497.141479,930.31073,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.443396226
5,1,UWB1 TX,0.24691358,6,B03,2000,928.0403781,8913.598083,44,590.7460327,217.068924,311096.0625,231464.9063,13688226.2,0.119500294,0.016248316,5.25801309,37017.82422,27739.31836,1628784.344,155241152,178520336,6830610728,1933.109375,1311.823486,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate1\Plate1.ics,Veliparib,UWB1,TX,0.106,0.20754717
6,2,UWB1 TX,0.740740741,1,A01,2000,928.0403781,11874.71842,32,539.0975952,269.3213196,285225.3438,313677.8438,9127210.91,0.151753306,0.028380677,4.856105663,49197.12109,65391.6875,1574307.828,157680368,267229152,5045771883,2305.672607,1355.886841,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate2\Plate2.ics,Veliparib,UWB1,TX,0.106,0.150943396
7,2,UWB1 TX,2.222222222,2,A02,2000,928.0403781,12418.71701,7,532.4292603,91.9364624,229283.8281,77926.40625,1604986.769,0.152757972,0.012915392,1.069305819,35843.03125,14870.26758,250901.2154,86133960,43524308,602937718.3,10119.65527,3094.176514,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate2\Plate2.ics,Veliparib,UWB1,TX,0.106,0.033018868
8,2,UWB1 TX,6.666666667,3,A03,2000,928.0403781,12578.32146,1,651.697998,0,333566.6875,0,333566.6781,0.16476582,0,0.164765826,54960.39063,0,54960.38935,144923152,0,144923158.4,0,0,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate2\Plate2.ics,Veliparib,UWB1,TX,0.106,0.004716981
9,2,UWB1 TX,20,4,B01,2000,928.0403781,11129.31792,0,,,,,,,,,,,,0,0,0,,,16/02/2020,17:13:29,6-Well,300,UWB1&UWB1BRCA1_300charm.charm,Tao_UWB1.mask,C:\Users\Public\Documents\GelCount\Data\Data_16-02-20_16-49\Plate2\Plate2.ics,Veliparib,UWB1,TX,0.106,0
