 ,Drug,Cell_line,Treatment,Cells Plated,Count,PE,SF,directory
0,Talazoparib,PEO1,0,750,298,0.368666667,1.077757685,Tala 07112019/
1,Talazoparib,PEO1,0.00078125,750,205,0.368666667,0.741410488,Tala 07112019/
2,Talazoparib,PEO1,0.0015625,750,118,0.368666667,0.42676311,Tala 07112019/
3,Talazoparib,PEO1,0.003125,750,74,0.368666667,0.267631103,Tala 07112019/
4,Talazoparib,PEO1,0.00625,750,27,0.368666667,0.097649186,Tala 07112019/
5,Talazoparib,PEO1,0.0125,750,12,0.368666667,0.043399638,Tala 07112019/
6,Talazoparib,PEO1,0.025,750,1,0.368666667,0.003616637,Tala 07112019/
7,Talazoparib,PEO1,0.05,750,1,0.368666667,0.003616637,Tala 07112019/
8,Talazoparib,PEO1,0.1,750,0,0.368666667,0,Tala 07112019/
9,Talazoparib,PEO1,0.2,750,2,0.368666667,0.007233273,Tala 07112019/
10,Talazoparib,PEO1,0.4,750,0,0.368666667,0,Tala 07112019/
11,Talazoparib,PEO1,0,750,255,0.368666667,0.922242315,Tala 07112019/
12,Talazoparib,PEO4,0,1500,275,0.176333333,1.039697543,Tala 07112019/
13,Talazoparib,PEO4,0.00078125,1500,153,0.176333333,0.578449905,Tala 07112019/
14,Talazoparib,PEO4,0.0015625,1500,96,0.176333333,0.36294896,Tala 07112019/
15,Talazoparib,PEO4,0.003125,1500,48,0.176333333,0.18147448,Tala 07112019/
16,Talazoparib,PEO4,0.00625,1500,28,0.176333333,0.105860113,Tala 07112019/
17,Talazoparib,PEO4,0.0125,1500,15,0.176333333,0.056710775,Tala 07112019/
18,Talazoparib,PEO4,0.025,1500,9,0.176333333,0.034026465,Tala 07112019/
19,Talazoparib,PEO4,0.05,1500,8,0.176333333,0.030245747,Tala 07112019/
20,Talazoparib,PEO4,0.1,1500,2,0.176333333,0.007561437,Tala 07112019/
21,Talazoparib,PEO4,0.2,1500,1,0.176333333,0.003780718,Tala 07112019/
22,Talazoparib,PEO4,0.4,1500,0,0.176333333,0,Tala 07112019/
23,Talazoparib,PEO4,0,1500,254,0.176333333,0.960302457,Tala 07112019/
0,Olaparib,PEO1,0,750,212,0.282,1.002364066,Ola 07112019/
1,Olaparib,PEO1,0.0078125,750,236,0.282,1.115839243,Ola 07112019/
2,Olaparib,PEO1,0.015625,750,230,0.282,1.087470449,Ola 07112019/
3,Olaparib,PEO1,0.03125,750,148,0.282,0.699763593,Ola 07112019/
4,Olaparib,PEO1,0.0625,750,162,0.282,0.765957447,Ola 07112019/
5,Olaparib,PEO1,0.125,750,129,0.282,0.609929078,Ola 07112019/
6,Olaparib,PEO1,0.25,750,92,0.282,0.43498818,Ola 07112019/
7,Olaparib,PEO1,0.5,750,60,0.282,0.283687943,Ola 07112019/
8,Olaparib,PEO1,1,750,18,0.282,0.085106383,Ola 07112019/
9,Olaparib,PEO1,2,750,6,0.282,0.028368794,Ola 07112019/
10,Olaparib,PEO1,4,750,1,0.282,0.004728132,Ola 07112019/
11,Olaparib,PEO1,0,750,211,0.282,0.997635934,Ola 07112019/
12,Olaparib,PEO4,0,1500,250,0.088666667,1.879699248,Ola 07112019/
13,Olaparib,PEO4,0.0078125,1500,251,0.088666667,1.887218045,Ola 07112019/
14,Olaparib,PEO4,0.015625,1500,203,0.088666667,1.526315789,Ola 07112019/
15,Olaparib,PEO4,0.03125,1500,151,0.088666667,1.135338346,Ola 07112019/
16,Olaparib,PEO4,0.0625,1500,174,0.088666667,1.308270677,Ola 07112019/
17,Olaparib,PEO4,0.125,1500,139,0.088666667,1.045112782,Ola 07112019/
18,Olaparib,PEO4,0.25,1500,40,0.088666667,0.30075188,Ola 07112019/
19,Olaparib,PEO4,0.5,1500,2,0.088666667,0.015037594,Ola 07112019/
20,Olaparib,PEO4,1,1500,16,0.088666667,0.120300752,Ola 07112019/
