,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,13783.643027586804,201,377.4506530761719,158.09808349609375,131525.921875,148523.71875,26436710.047561735,0.15904469788074493,0.04664535075426102,31.96798301182481,21554.125,25944.982421875,4332379.290365971,48218504,107926912,9691919295.689472,1106.9969482421875,644.7230834960938,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,1.1754385964912282
1,1,PEO1 TX,0.015625,2,A02,750,941.8059312323173,12118.716811062912,201,375.044921875,140.6151123046875,126002.453125,139914.765625,25326492.755281348,0.1380442976951599,0.03929689899086952,27.746904854750653,18142.85546875,21685.404296875,3646713.8522518226,44082368,111777768,8860556280.457554,1004.3553466796875,560.6830444335938,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,1.1754385964912282
2,1,PEO1 TX,0.03125,3,A03,750,941.8059312323173,9288.552949773468,162,377.7846984863281,128.3611297607422,125033.7109375,105061.5390625,20255460.598565247,0.11593664437532425,0.034870970994234085,18.7817358391515,14968.166015625,14967.138671875,2424842.8401452997,40235268,64036396,6518113658.030768,1205.8228759765625,800.923095703125,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,0.9473684210526315
3,1,PEO1 TX,0.0625,4,B01,750,941.8059312323173,13797.542700946551,143,355.8191223144531,148.22076416015625,116691.8203125,183139.46875,16686930.821965953,0.1608630120754242,0.05994856730103493,23.003410047288742,20365.71484375,41895.09765625,2912297.1080177384,44556704,195025024,6371608765.1517515,1301.6041259765625,901.7916870117188,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,0.8362573099415205
4,1,PEO1 TX,0.125,5,B02,750,941.8059312323173,11945.451668825608,157,362.68035888671875,125.59164428710938,115697.234375,110004.5546875,18164465.712395873,0.13917472958564758,0.03722665086388588,21.8504318278815,16439.7734375,15780.724609375,2581044.5783666475,36726088,79580440,5765995956.501406,1210.684326171875,681.9242553710938,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,0.9181286549707602
5,1,PEO1 TX,0.25,6,B03,750,941.8059312323173,9132.96078726902,111,330.5664367675781,109.38710021972656,95221.4453125,78144.9140625,10569580.09775611,0.11119172722101212,0.027700228616595268,12.342281633370778,11159.380859375,11867.2666015625,1238691.321771258,26503788,42722024,2941920462.493229,1262.7913818359375,788.4789428710938,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate1\Plate1.ics,Niraparib,PEO1,TX,0.228,0.6491228070175439
6,2,PEO1 TX,0.5,1,A01,750,941.8059312323173,11814.789828041987,42,322.8648681640625,123.18147277832031,93788.6328125,106465.109375,3939122.6673008646,0.12302140891551971,0.025990601629018784,5.166899084357011,12820.296875,22107.966796875,538452.4818097139,28639390,70024808,1202854381.8623261,2376.7373046875,1668.668212890625,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate2\Plate2.ics,Niraparib,PEO1,TX,0.228,0.24561403508771928
7,2,PEO1 TX,1.0,2,A02,750,941.8059312323173,13460.589647774495,37,414.0201721191406,194.29208374023438,164275.53125,173250.6875,6078194.692185796,0.15943880379199982,0.025935625657439232,5.899235481526336,28326.07421875,33420.390625,1048064.7177367599,67128896,117585560,2483769197.608907,1669.095947265625,1594.18798828125,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate2\Plate2.ics,Niraparib,PEO1,TX,0.228,0.21637426900584794
8,2,PEO1 TX,2.0,3,A03,750,941.8059312323173,13978.362578413045,13,324.58489990234375,105.2940444946289,91453.484375,73376.4609375,1188895.3172311904,0.15568901598453522,0.0318974107503891,2.0239572221074824,14770.0068359375,14092.9482421875,192010.0873191366,24884828,35293700,323502761.5369645,3867.25146484375,3986.387451171875,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate2\Plate2.ics,Niraparib,PEO1,TX,0.228,0.07602339181286549
9,2,PEO1 TX,4.0,4,B01,750,941.8059312323173,11704.489025649831,11,349.1431884765625,95.37029266357422,102884.3828125,52837.4765625,1131728.1686905373,0.12276551127433777,0.020130541175603867,1.3504206506286052,12926.0263671875,8077.2490234375,142186.29241499337,27275254,19909222,300027789.55551755,2507.417724609375,1256.680908203125,2020-07-02,17:32:09,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate2\Plate2.ics,Niraparib,PEO1,TX,0.228,0.06432748538011696
