,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,11237.609591982036,212,495.2449035644531,158.5347137451172,212372.265625,132213.96875,45022921.06144985,0.13740871846675873,0.04528952017426491,29.130648483695364,29983.09765625,22815.32421875,6356416.905715229,83803592,78646248.0,17766360684.302544,1075.9315185546875,582.2549438476562,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,1.054726368159204
1,1,PEO1 TX,0.0078125,2,A02,750,941.8059312323173,10253.473722630704,173,455.7547607421875,151.65858459472656,181201.359375,121553.296875,31347835.867358826,0.11914417147636414,0.029183605685830116,20.61194174788758,22420.3203125,19438.95703125,3878715.2471952722,67081480,70220320.0,11605096089.094221,1054.1732177734375,625.8836669921875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,0.8606965174129353
2,1,PEO1 TX,0.015625,3,A03,750,941.8059312323173,8812.620042309944,146,416.1474609375,137.28915405273438,150817.671875,106846.5234375,22019380.026186727,0.10967648029327393,0.03673485293984413,16.01276581890005,16815.095703125,13807.0556640625,2455003.862922084,51305732,63382488.0,7490636639.071206,1252.01416015625,838.8558349609375,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,0.7263681592039801
3,1,PEO1 TX,0.03125,4,B01,750,941.8059312323173,12315.276229320858,161,439.17022705078125,131.26702880859375,165013.34375,97325.3203125,26567148.65814309,0.1464441418647766,0.043612729758024216,23.577506313520004,23577.15234375,14854.3984375,3795921.48549535,56671768,51217520.0,9124154522.963207,1081.209716796875,601.2612915039062,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,0.8009950248756219
4,1,PEO1 TX,0.0625,5,B02,750,941.8059312323173,11336.45618348118,155,457.8952941894531,191.3657684326172,193434.90625,221708.640625,29982409.62311243,0.13899007439613342,0.046232059597969055,21.543460635991522,27666.7421875,35595.01171875,4288344.929458488,85059488,236480640.0,13184220243.036667,1191.3150634765625,809.9158935546875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,0.7711442786069652
5,1,PEO1 TX,0.125,6,B03,750,941.8059312323173,9260.993269614513,122,428.2611999511719,141.9153594970703,159865.921875,108511.0390625,19503642.27120479,0.12275786697864532,0.05760681629180908,14.976459787339653,19408.64453125,15806.525390625,2367854.5780605045,55683060,59952368.0,6793333090.584735,1273.2510986328125,919.5327758789062,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate1\Plate1.ics,Olaparib,PEO1,TX,0.268,0.6069651741293532
6,2,PEO1 TX,0.25,1,A01,750,941.8059312323173,9670.349141314737,70,395.7513427734375,147.51904296875,140100.109375,110704.703125,9807007.847378496,0.1212821751832962,0.03439239785075188,8.489752414085544,18126.2578125,18494.142578125,1268838.0887799896,47598404,60770880.0,3331888236.3950915,1523.875244140625,898.80712890625,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate2\Plate2.ics,Olaparib,PEO1,TX,0.268,0.3482587064676617
7,2,PEO1 TX,0.5,2,A02,750,941.8059312323173,10649.601838170795,45,372.51025390625,120.30718994140625,120352.6171875,80741.28125,5415867.679801031,0.1205357238650322,0.02920406498014927,5.424107440261003,14855.2509765625,12019.3154296875,668486.3101405601,36255032,38170436.0,1631476466.2782507,1747.84375,1203.1715087890625,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate2\Plate2.ics,Olaparib,PEO1,TX,0.268,0.22388059701492538
8,2,PEO1 TX,1.0,3,A03,750,941.8059312323173,10974.019999364495,15,363.9290771484375,197.98521423339844,134807.71875,164508.1875,2022115.8593439988,0.16363561153411865,0.07611538469791412,2.454534198893594,22632.173828125,31606.2734375,339482.6066336051,54116296,98273544.0,811744454.1531887,3840.871826171875,3677.676513671875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate2\Plate2.ics,Olaparib,PEO1,TX,0.268,0.07462686567164178
9,2,PEO1 TX,2.0,4,B01,750,941.8059312323173,10826.16291865366,6,558.872314453125,279.09466552734375,306487.5625,274635.59375,1838925.4199355347,0.175665944814682,0.05774952843785286,1.0539956806102866,61589.05078125,58526.95703125,369534.2943829897,164842128,189386992.0,989052733.5028472,8186.2451171875,9482.3935546875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate2\Plate2.ics,Olaparib,PEO1,TX,0.268,0.029850746268656716
