,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,12820.494780367482,212,486.14404296875,168.30137634277344,207864.578125,150515.671875,44067289.501688726,0.1490609049797058,0.04633847624063492,31.60091340597589,31539.517578125,27107.408203125,6686377.8887383025,83781976,100629272.0,17761779661.892735,1093.3619384765625,677.0081787109375,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,1.0216867469879518
1,1,PEO1 TX,0.0078125,2,A02,750,941.8059312323173,11070.53058653175,117,404.8587646484375,128.2816162109375,141659.75,90400.6328125,16574190.68494376,0.12309031188488007,0.030136441811919212,14.401566281632254,18307.939453125,15717.609375,2142028.811028337,45835532,45060632.0,5362757060.119621,1407.6163330078125,821.5744018554688,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.563855421686747
2,1,PEO1 TX,0.015625,3,A03,750,941.8059312323173,8867.365025627916,98,399.8216552734375,147.15548706054688,142559.28125,111750.6640625,13970808.97329516,0.12126041948795319,0.05008600279688835,11.883521072070916,19801.72265625,25343.09375,1940568.890358805,48710672,61727568.0,4773645758.998823,1320.4093017578125,963.9012451171875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.472289156626506
3,1,PEO1 TX,0.03125,4,B01,750,941.8059312323173,12155.039558813942,29,300.02642822265625,96.77120971679688,78053.2734375,57148.6640625,2263544.989072027,0.21012817323207855,0.10582994669675827,6.09371712754823,15443.533203125,10280.4794921875,447862.47337276465,19249454,23594834.0,558234157.7050254,1769.70263671875,1525.7900390625,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.13975903614457832
4,1,PEO1 TX,0.0625,5,B02,750,941.8059312323173,10863.211412377374,56,392.7835998535156,142.73141479492188,137170.75,123388.2421875,7681561.996946632,0.14719657599925995,0.05254807695746422,8.243007856671902,22028.640625,27021.857421875,1233603.8247708248,47387200,77286320.0,2653683120.6271358,1919.293212890625,1722.005126953125,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.26987951807228916
5,1,PEO1 TX,0.125,6,B03,750,941.8059312323173,8903.65118659214,64,367.0794677734375,136.7856903076172,120525.3671875,95876.3359375,7713623.535282552,0.13833342492580414,0.06049991026520729,8.853339225214347,17947.1328125,19735.638671875,1148616.5248873287,38077172,48074052.0,2436939018.309497,1551.5709228515625,1437.5399169921875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate3\Plate3.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.30843373493975906
6,2,PEO1 TX,0.25,1,A01,750,941.8059312323173,11557.025106103496,34,383.5656433105469,128.4146728515625,128501.2890625,89010.234375,4369043.8230285905,0.15305455029010773,0.06334535032510757,5.203854791533292,19594.111328125,17167.974609375,666199.7875111405,40340668,43802276.0,1371582664.40119,2670.107177734375,2406.321533203125,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.163855421686747
7,2,PEO1 TX,0.5,2,A02,750,941.8059312323173,12655.021321420443,32,360.2768859863281,141.55673217773438,117682.2890625,100521.9375,3765833.323935369,0.146809920668602,0.05074744671583176,4.697917694111243,17501.873046875,16089.66015625,560059.9387796583,37547896,52203788.0,1201532656.2782712,2223.94775390625,1562.0557861328125,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.15421686746987953
8,2,PEO1 TX,1.0,3,A03,750,941.8059312323173,12759.490862606819,21,376.611328125,138.4425506591797,126451.015625,97536.9453125,2655471.2798425867,0.16740278899669647,0.05161524936556816,3.515458516439146,22800.6328125,21217.4140625,478813.2773528,40652188,47511140.0,853695928.9765122,4283.3291015625,2734.57958984375,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.10120481927710843
9,2,PEO1 TX,2.0,4,B01,750,941.8059312323173,11409.915747272706,11,339.4417419433594,99.21775817871094,98225.7109375,55343.72265625,1080482.82621759,0.2562792897224426,0.10536841303110123,2.819072210488705,24112.130859375,14260.9384765625,265233.43198367936,25865194,20764946.0,284517133.0516639,2763.537841796875,2909.827392578125,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.05301204819277108
10,2,PEO1 TX,4.0,5,B02,750,941.8059312323173,12681.554942544315,8,320.88555908203125,176.03724670410156,105209.3125,127957.734375,841674.517572052,0.1382136195898056,0.029577400535345078,1.1057090101611338,18034.755859375,28120.25,144278.0515044291,37406948,65904860.0,299255588.78534895,6152.26513671875,2936.58935546875,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.03855421686746988
11,2,PEO1 TX,0.0,6,B03,750,941.8059312323173,13447.304743973036,203,435.45068359375,141.29989624023438,164606.078125,111284.7265625,33415032.69374041,0.15791496634483337,0.046113163232803345,32.05673814498251,26342.6953125,21060.978515625,5347567.24859372,57938408,66447248.0,11761496587.885736,1159.9420166015625,749.5330200195312,2020-07-02,16:44:00,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_15-56\Plate4\Plate4.ics,Rucaparib,PEO1,TX,0.27666666666666667,0.9783132530120482
12,3,PEO4 TX,0.0,1,A01,1500,905.3229927372973,11089.890665819103,220,420.6593322753906,117.5849838256836,149838.65625,93224.03125,32964504.588011518,0.14508181810379028,0.04407566785812378,31.91800079322657,22681.30859375,18222.751953125,4989888.020171577,49194344,52422656.0,10822755445.94162,954.8114624023438,528.15576171875,2020-08-02,19:50:15,6-Well,300,unsaved settings,Not specified,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_19-14\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.104,1.4102564102564104
