Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
14594.580, 0.000 to 29189.160, 3
43783.740, 29189.160 to 58378.321, 26
72972.901, 58378.321 to 87567.481, 18
102162.061, 87567.481 to 116756.641, 20
131351.221, 116756.641 to 145945.801, 28
160540.382, 145945.801 to 175134.962, 26
189729.542, 175134.962 to 204324.122, 20
218918.702, 204324.122 to 233513.282, 21
248107.862, 233513.282 to 262702.443, 17
277297.023, 262702.443 to 291891.603, 4
306486.183, 291891.603 to 321080.763, 8
335675.343, 321080.763 to 350269.923, 5
364864.504, 350269.923 to 379459.084, 5
394053.664, 379459.084 to 408648.244, 5
423242.824, 408648.244 to 437837.404, 3
452431.984, 437837.404 to 467026.565, 5
481621.145, 467026.565 to 496215.725, 4
510810.305, 496215.725 to 525404.885, 0
539999.465, 525404.885 to 554594.045, 0
569188.626, 554594.045 to 583783.206, 2
598377.786, 583783.206 to 612972.366, 2
627566.946, 612972.366 to 642161.526, 0
656756.106, 642161.526 to 671350.687, 0
685945.267, 671350.687 to 700539.847, 1
715134.427, 700539.847 to 729729.007, 0
744323.587, 729729.007 to 758918.167, 1
773512.748, 758918.167 to 788107.328, 0
802701.908, 788107.328 to 817296.488, 0
831891.068, 817296.488 to 846485.648, 1
861080.228, 846485.648 to 875674.809, 1
890269.389, 875674.809 to 904863.969, 1
919458.549, 904863.969 to 934053.129, 1
948647.709, 934053.129 to 963242.289, 1
977836.870, 963242.289 to 992431.450, 0
1007026.030, 992431.450 to 1021620.610, 0
1036215.190, 1021620.610 to 1050809.770, 1
1065404.350, 1050809.770 to 1079998.931, 0
1094593.511, 1079998.931 to 1109188.091, 0
1123782.671, 1109188.091 to 1138377.251, 0
1152971.831, 1138377.251 to 1167566.411, 0
1182160.991, 1167566.411 to 1196755.572, 0
1211350.152, 1196755.572 to 1225944.732, 0
1240539.312, 1225944.732 to 1255133.892, 0
1269728.472, 1255133.892 to 1284323.052, 0
1298917.633, 1284323.052 to 1313512.213, 0
1328106.793, 1313512.213 to 1342701.373, 0
1357295.953, 1342701.373 to 1371890.533, 0
1386485.113, 1371890.533 to 1401079.694, 0
1415674.274, 1401079.694 to 1430268.854, 0
1444863.434, 1430268.854 to 1459458.014, 1


Plate, 1
Well, 2
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10155.656, 0.000 to 20311.313, 0
30466.969, 20311.313 to 40622.626, 13
50778.282, 40622.626 to 60933.939, 12
71089.595, 60933.939 to 81245.252, 5
91400.908, 81245.252 to 101556.565, 11
111712.221, 101556.565 to 121867.878, 15
132023.534, 121867.878 to 142179.191, 9
152334.847, 142179.191 to 162490.504, 22
172646.160, 162490.504 to 182801.817, 15
192957.473, 182801.817 to 203113.130, 19
213268.786, 203113.130 to 223424.443, 14
233580.099, 223424.443 to 243735.756, 15
253891.412, 243735.756 to 264047.068, 7
274202.725, 264047.068 to 284358.381, 9
294514.038, 284358.381 to 304669.694, 8
314825.351, 304669.694 to 324981.007, 7
335136.664, 324981.007 to 345292.320, 6
355447.977, 345292.320 to 365603.633, 5
375759.290, 365603.633 to 385914.946, 3
396070.603, 385914.946 to 406226.259, 5
416381.916, 406226.259 to 426537.572, 1
436693.229, 426537.572 to 446848.885, 6
457004.542, 446848.885 to 467160.198, 6
477315.855, 467160.198 to 487471.511, 1
497627.167, 487471.511 to 507782.824, 3
517938.480, 507782.824 to 528094.137, 3
538249.793, 528094.137 to 548405.450, 0
558561.106, 548405.450 to 568716.763, 1
578872.419, 568716.763 to 589028.076, 2
599183.732, 589028.076 to 609339.389, 3
619495.045, 609339.389 to 629650.702, 0
639806.358, 629650.702 to 649962.015, 0
660117.671, 649962.015 to 670273.328, 1
680428.984, 670273.328 to 690584.641, 0
700740.297, 690584.641 to 710895.954, 0
721051.610, 710895.954 to 731207.267, 1
741362.923, 731207.267 to 751518.579, 0
761674.236, 751518.579 to 771829.892, 0
