Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.015, 0
0.019, 0.015 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.035, 0.031 to 0.038, 0
0.042, 0.038 to 0.046, 0
0.050, 0.046 to 0.054, 0
0.058, 0.054 to 0.061, 0
0.065, 0.061 to 0.069, 0
0.073, 0.069 to 0.077, 0
0.081, 0.077 to 0.084, 0
0.088, 0.084 to 0.092, 0
0.096, 0.092 to 0.100, 0
0.104, 0.100 to 0.108, 1
0.111, 0.108 to 0.115, 7
0.119, 0.115 to 0.123, 13
0.127, 0.123 to 0.131, 18
0.134, 0.131 to 0.138, 23
0.142, 0.138 to 0.146, 14
0.150, 0.146 to 0.154, 15
0.157, 0.154 to 0.161, 15
0.165, 0.161 to 0.169, 16
0.173, 0.169 to 0.177, 14
0.180, 0.177 to 0.184, 10
0.188, 0.184 to 0.192, 9
0.196, 0.192 to 0.200, 13
0.204, 0.200 to 0.207, 5
0.211, 0.207 to 0.215, 7
0.219, 0.215 to 0.223, 7
0.227, 0.223 to 0.230, 5
0.234, 0.230 to 0.238, 7
0.242, 0.238 to 0.246, 4
0.250, 0.246 to 0.253, 8
0.257, 0.253 to 0.261, 2
0.265, 0.261 to 0.269, 5
0.273, 0.269 to 0.276, 4
0.280, 0.276 to 0.284, 3
0.288, 0.284 to 0.292, 0
0.296, 0.292 to 0.300, 1
0.303, 0.300 to 0.307, 0
0.311, 0.307 to 0.315, 3
0.319, 0.315 to 0.323, 0
0.326, 0.323 to 0.330, 0
0.334, 0.330 to 0.338, 0
0.342, 0.338 to 0.346, 0
0.349, 0.346 to 0.353, 0
0.357, 0.353 to 0.361, 1
0.365, 0.361 to 0.369, 0
0.372, 0.369 to 0.376, 0
0.380, 0.376 to 0.384, 1


Plate, 1
Well, 2
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.019, 0.015 to 0.022, 0
0.026, 0.022 to 0.030, 0
0.034, 0.030 to 0.037, 0
0.041, 0.037 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.056, 0.052 to 0.060, 0
0.064, 0.060 to 0.067, 0
0.071, 0.067 to 0.075, 0
0.078, 0.075 to 0.082, 0
0.086, 0.082 to 0.090, 0
0.093, 0.090 to 0.097, 3
0.101, 0.097 to 0.105, 6
0.108, 0.105 to 0.112, 12
0.116, 0.112 to 0.120, 16
0.123, 0.120 to 0.127, 18
0.131, 0.127 to 0.134, 10
0.138, 0.134 to 0.142, 9
0.146, 0.142 to 0.149, 13
0.153, 0.149 to 0.157, 20
0.161, 0.157 to 0.164, 16
0.168, 0.164 to 0.172, 18
0.176, 0.172 to 0.179, 13
0.183, 0.179 to 0.187, 10
0.191, 0.187 to 0.194, 5
0.198, 0.194 to 0.202, 6
0.205, 0.202 to 0.209, 11
0.213, 0.209 to 0.217, 5
0.220, 0.217 to 0.224, 8
0.228, 0.224 to 0.232, 5
0.235, 0.232 to 0.239, 7
0.243, 0.239 to 0.247, 2
0.250, 0.247 to 0.254, 2
0.258, 0.254 to 0.262, 8
0.265, 0.262 to 0.269, 4
0.273, 0.269 to 0.276, 2
0.280, 0.276 to 0.284, 0
0.288, 0.284 to 0.291, 0
0.295, 0.291 to 0.299, 0
0.303, 0.299 to 0.306, 0
0.310, 0.306 to 0.314, 0
0.318, 0.314 to 0.321, 1
0.325, 0.321 to 0.329, 0
0.333, 0.329 to 0.336, 0
0.340, 0.336 to 0.344, 0
0.347, 0.344 to 0.351, 0
0.355, 0.351 to 0.359, 0
0.362, 0.359 to 0.366, 0
0.370, 0.366 to 0.374, 1


Plate, 1
Well, 3
Count, 224
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.021, 0
0.025, 0.021 to 0.028, 0
0.032, 0.028 to 0.035, 0
0.039, 0.035 to 0.042, 0
0.046, 0.042 to 0.049, 0
0.053, 0.049 to 0.056, 0
0.060, 0.056 to 0.063, 0
0.067, 0.063 to 0.070, 0
0.074, 0.070 to 0.077, 0
0.081, 0.077 to 0.084, 1
0.088, 0.084 to 0.091, 6
0.095, 0.091 to 0.098, 3
0.102, 0.098 to 0.105, 22
0.109, 0.105 to 0.112, 18
0.116, 0.112 to 0.119, 16
0.123, 0.119 to 0.126, 14
0.130, 0.126 to 0.133, 15
0.137, 0.133 to 0.140, 12
0.144, 0.140 to 0.147, 19
0.151, 0.147 to 0.155, 13
0.158, 0.155 to 0.162, 11
0.165, 0.162 to 0.169, 11
0.172, 0.169 to 0.176, 10
0.179, 0.176 to 0.183, 2
0.186, 0.183 to 0.190, 8
0.193, 0.190 to 0.197, 3
0.200, 0.197 to 0.204, 7
0.207, 0.204 to 0.211, 6
0.214, 0.211 to 0.218, 3
0.221, 0.218 to 0.225, 4
0.228, 0.225 to 0.232, 2
0.235, 0.232 to 0.239, 5
0.242, 0.239 to 0.246, 3
0.249, 0.246 to 0.253, 1
0.256, 0.253 to 0.260, 2
0.263, 0.260 to 0.267, 2
0.270, 0.267 to 0.274, 2
0.277, 0.274 to 0.281, 0
0.284, 0.281 to 0.288, 1
0.291, 0.288 to 0.295, 1
0.298, 0.295 to 0.302, 0
0.306, 0.302 to 0.309, 0
0.313, 0.309 to 0.316, 0
0.320, 0.316 to 0.323, 0
0.327, 0.323 to 0.330, 0
0.334, 0.330 to 0.337, 0
0.341, 0.337 to 0.344, 0
0.348, 0.344 to 0.351, 1


Plate, 1
Well, 4
Count, 158
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.021, 0.016 to 0.025, 0
0.029, 0.025 to 0.033, 0
0.037, 0.033 to 0.041, 0
0.045, 0.041 to 0.049, 0
0.054, 0.049 to 0.058, 0
0.062, 0.058 to 0.066, 0
0.070, 0.066 to 0.074, 0
0.078, 0.074 to 0.082, 0
0.086, 0.082 to 0.091, 0
0.095, 0.091 to 0.099, 0
0.103, 0.099 to 0.107, 0
0.111, 0.107 to 0.115, 1
0.119, 0.115 to 0.124, 5
0.128, 0.124 to 0.132, 10
0.136, 0.132 to 0.140, 10
0.144, 0.140 to 0.148, 15
0.152, 0.148 to 0.157, 9
0.161, 0.157 to 0.165, 12
0.169, 0.165 to 0.173, 11
0.177, 0.173 to 0.181, 10
0.185, 0.181 to 0.189, 9
0.194, 0.189 to 0.198, 12
0.202, 0.198 to 0.206, 12
0.210, 0.206 to 0.214, 6
0.218, 0.214 to 0.222, 9
0.227, 0.222 to 0.231, 3
0.235, 0.231 to 0.239, 4
0.243, 0.239 to 0.247, 3
0.251, 0.247 to 0.255, 1
0.259, 0.255 to 0.264, 2
0.268, 0.264 to 0.272, 2
0.276, 0.272 to 0.280, 1
0.284, 0.280 to 0.288, 2
0.292, 0.288 to 0.297, 1
0.301, 0.297 to 0.305, 1
0.309, 0.305 to 0.313, 1
0.317, 0.313 to 0.321, 1
0.325, 0.321 to 0.330, 0
0.334, 0.330 to 0.338, 2
0.342, 0.338 to 0.346, 0
0.350, 0.346 to 0.354, 0
0.358, 0.354 to 0.362, 1
0.367, 0.362 to 0.371, 0
0.375, 0.371 to 0.379, 0
0.383, 0.379 to 0.387, 0
0.391, 0.387 to 0.395, 0
0.400, 0.395 to 0.404, 0
0.408, 0.404 to 0.412, 2


Plate, 1
Well, 5
Count, 181
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.021, 0
0.025, 0.021 to 0.028, 0
0.032, 0.028 to 0.035, 0
0.039, 0.035 to 0.042, 0
0.046, 0.042 to 0.049, 0
0.053, 0.049 to 0.057, 0
0.060, 0.057 to 0.064, 0
0.067, 0.064 to 0.071, 0
0.074, 0.071 to 0.078, 0
0.081, 0.078 to 0.085, 0
0.088, 0.085 to 0.092, 0
0.095, 0.092 to 0.099, 0
0.102, 0.099 to 0.106, 4
0.109, 0.106 to 0.113, 8
0.117, 0.113 to 0.120, 5
0.124, 0.120 to 0.127, 6
0.131, 0.127 to 0.134, 11
0.138, 0.134 to 0.141, 13
0.145, 0.141 to 0.148, 11
0.152, 0.148 to 0.155, 14
0.159, 0.155 to 0.162, 21
0.166, 0.162 to 0.170, 11
0.173, 0.170 to 0.177, 11
0.180, 0.177 to 0.184, 15
0.187, 0.184 to 0.191, 11
0.194, 0.191 to 0.198, 5
0.201, 0.198 to 0.205, 3
0.208, 0.205 to 0.212, 6
0.215, 0.212 to 0.219, 3
0.223, 0.219 to 0.226, 4
0.230, 0.226 to 0.233, 2
0.237, 0.233 to 0.240, 4
0.244, 0.240 to 0.247, 2
0.251, 0.247 to 0.254, 2
0.258, 0.254 to 0.261, 1
0.265, 0.261 to 0.268, 1
0.272, 0.268 to 0.276, 1
0.279, 0.276 to 0.283, 2
0.286, 0.283 to 0.290, 0
0.293, 0.290 to 0.297, 1
0.300, 0.297 to 0.304, 0
0.307, 0.304 to 0.311, 0
0.314, 0.311 to 0.318, 0
0.321, 0.318 to 0.325, 0
0.328, 0.325 to 0.332, 1
0.336, 0.332 to 0.339, 0
0.343, 0.339 to 0.346, 1
0.350, 0.346 to 0.353, 1


Plate, 1
Well, 6
Count, 188
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.014, 0.011 to 0.016, 0
0.019, 0.016 to 0.022, 0
0.025, 0.022 to 0.027, 0
0.030, 0.027 to 0.033, 0
0.036, 0.033 to 0.038, 0
0.041, 0.038 to 0.044, 0
0.046, 0.044 to 0.049, 0
0.052, 0.049 to 0.055, 0
0.057, 0.055 to 0.060, 0
0.063, 0.060 to 0.066, 0
0.068, 0.066 to 0.071, 0
0.074, 0.071 to 0.077, 1
0.079, 0.077 to 0.082, 2
0.085, 0.082 to 0.087, 0
0.090, 0.087 to 0.093, 4
0.096, 0.093 to 0.098, 3
0.101, 0.098 to 0.104, 2
0.107, 0.104 to 0.109, 21
0.112, 0.109 to 0.115, 12
0.117, 0.115 to 0.120, 18
0.123, 0.120 to 0.126, 15
0.128, 0.126 to 0.131, 17
0.134, 0.131 to 0.137, 8
0.139, 0.137 to 0.142, 10
0.145, 0.142 to 0.148, 7
0.150, 0.148 to 0.153, 11
0.156, 0.153 to 0.158, 12
0.161, 0.158 to 0.164, 3
0.167, 0.164 to 0.169, 7
0.172, 0.169 to 0.175, 2
0.178, 0.175 to 0.180, 1
0.183, 0.180 to 0.186, 6
0.189, 0.186 to 0.191, 3
0.194, 0.191 to 0.197, 2
0.199, 0.197 to 0.202, 4
0.205, 0.202 to 0.208, 2
0.210, 0.208 to 0.213, 3
0.216, 0.213 to 0.219, 3
0.221, 0.219 to 0.224, 1
0.227, 0.224 to 0.230, 0
0.232, 0.230 to 0.235, 2
0.238, 0.235 to 0.240, 1
0.243, 0.240 to 0.246, 1
0.249, 0.246 to 0.251, 1
0.254, 0.251 to 0.257, 0
0.260, 0.257 to 0.262, 1
0.265, 0.262 to 0.268, 1
0.270, 0.268 to 0.273, 1




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	20:07:25
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_19-56\Plate1\Plate1.ics


