Plate, 2
Well, 1
Count, 182
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
46.250, 0.000 to 92.500, 0
138.750, 92.500 to 185.000, 0
231.250, 185.000 to 277.500, 0
323.750, 277.500 to 370.000, 5
416.250, 370.000 to 462.500, 8
508.750, 462.500 to 555.000, 19
601.250, 555.000 to 647.500, 19
693.750, 647.500 to 740.000, 9
786.250, 740.000 to 832.500, 14
878.750, 832.500 to 925.000, 18
971.250, 925.000 to 1017.500, 12
1063.750, 1017.500 to 1110.000, 12
1156.250, 1110.000 to 1202.500, 6
1248.750, 1202.500 to 1295.000, 8
1341.250, 1295.000 to 1387.500, 4
1433.750, 1387.500 to 1480.000, 5
1526.250, 1480.000 to 1572.500, 8
1618.751, 1572.500 to 1665.001, 3
1711.251, 1665.001 to 1757.501, 3
1803.751, 1757.501 to 1850.001, 6
1896.251, 1850.001 to 1942.501, 0
1988.751, 1942.501 to 2035.001, 2
2081.251, 2035.001 to 2127.501, 6
2173.751, 2127.501 to 2220.001, 2
2266.251, 2220.001 to 2312.501, 0
2358.751, 2312.501 to 2405.001, 2
2451.251, 2405.001 to 2497.501, 2
2543.751, 2497.501 to 2590.001, 1
2636.251, 2590.001 to 2682.501, 0
2728.751, 2682.501 to 2775.001, 1
2821.251, 2775.001 to 2867.501, 0
2913.751, 2867.501 to 2960.001, 0
3006.251, 2960.001 to 3052.501, 0
3098.751, 3052.501 to 3145.001, 0
3191.251, 3145.001 to 3237.501, 2
3283.751, 3237.501 to 3330.001, 1
3376.251, 3330.001 to 3422.501, 0
3468.751, 3422.501 to 3515.001, 0
3561.251, 3515.001 to 3607.501, 0
3653.751, 3607.501 to 3700.001, 0
3746.251, 3700.001 to 3792.501, 0
3838.751, 3792.501 to 3885.001, 0
3931.251, 3885.001 to 3977.501, 1
4023.751, 3977.501 to 4070.001, 0
4116.251, 4070.001 to 4162.501, 2
4208.751, 4162.501 to 4255.001, 0
4301.251, 4255.001 to 4347.501, 0
4393.751, 4347.501 to 4440.001, 0
4486.251, 4440.001 to 4532.501, 0
4578.751, 4532.501 to 4625.001, 1


Plate, 2
Well, 2
Count, 137
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
61.160, 0.000 to 122.319, 0
183.479, 122.319 to 244.638, 0
305.798, 244.638 to 366.957, 0
428.117, 366.957 to 489.277, 0
550.436, 489.277 to 611.596, 17
672.755, 611.596 to 733.915, 17
795.075, 733.915 to 856.234, 17
917.394, 856.234 to 978.553, 9
1039.713, 978.553 to 1100.872, 9
1162.032, 1100.872 to 1223.192, 21
1284.351, 1223.192 to 1345.511, 10
1406.670, 1345.511 to 1467.830, 9
1528.990, 1467.830 to 1590.149, 6
1651.309, 1590.149 to 1712.468, 9
1773.628, 1712.468 to 1834.787, 0
1895.947, 1834.787 to 1957.107, 0
2018.266, 1957.107 to 2079.426, 2
2140.585, 2079.426 to 2201.745, 0
2262.904, 2201.745 to 2324.064, 0
2385.224, 2324.064 to 2446.383, 1
2507.543, 2446.383 to 2568.702, 0
2629.862, 2568.702 to 2691.022, 1
2752.181, 2691.022 to 2813.341, 2
2874.500, 2813.341 to 2935.660, 2
2996.819, 2935.660 to 3057.979, 2
3119.139, 3057.979 to 3180.298, 1
3241.458, 3180.298 to 3302.617, 0
3363.777, 3302.617 to 3424.937, 0
3486.096, 3424.937 to 3547.256, 0
3608.415, 3547.256 to 3669.575, 1
3730.734, 3669.575 to 3791.894, 0
3853.054, 3791.894 to 3914.213, 0
3975.373, 3914.213 to 4036.532, 0
4097.692, 4036.532 to 4158.851, 0
4220.011, 4158.851 to 4281.171, 0
4342.330, 4281.171 to 4403.490, 0
4464.649, 4403.490 to 4525.809, 0
4586.969, 4525.809 to 4648.128, 0
4709.288, 4648.128 to 4770.447, 0
4831.607, 4770.447 to 4892.766, 0
4953.926, 4892.766 to 5015.086, 0
5076.245, 5015.086 to 5137.405, 0
5198.564, 5137.405 to 5259.724, 0
5320.884, 5259.724 to 5382.043, 0
5443.203, 5382.043 to 5504.362, 0
5565.522, 5504.362 to 5626.681, 0
5687.841, 5626.681 to 5749.001, 0
5810.160, 5749.001 to 5871.320, 0
5932.479, 5871.320 to 5993.639, 0
6054.798, 5993.639 to 6115.958, 1


Plate, 2
Well, 3
Count, 81
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
46.628, 0.000 to 93.256, 0
139.885, 93.256 to 186.513, 0
233.141, 186.513 to 279.769, 0
326.397, 279.769 to 373.026, 0
419.654, 373.026 to 466.282, 2
512.910, 466.282 to 559.538, 4
606.167, 559.538 to 652.795, 0
699.423, 652.795 to 746.051, 8
792.679, 746.051 to 839.308, 8
885.936, 839.308 to 932.564, 5
979.192, 932.564 to 1025.820, 6
1072.449, 1025.820 to 1119.077, 5
1165.705, 1119.077 to 1212.333, 2
1258.961, 1212.333 to 1305.590, 2
1352.218, 1305.590 to 1398.846, 5
1445.474, 1398.846 to 1492.102, 0
1538.731, 1492.102 to 1585.359, 4
1631.987, 1585.359 to 1678.615, 3
1725.243, 1678.615 to 1771.872, 4
1818.500, 1771.872 to 1865.128, 0
1911.756, 1865.128 to 1958.384, 4
2005.013, 1958.384 to 2051.641, 1
2098.269, 2051.641 to 2144.897, 3
2191.525, 2144.897 to 2238.154, 0
2284.782, 2238.154 to 2331.410, 2
2378.038, 2331.410 to 2424.666, 0
2471.295, 2424.666 to 2517.923, 0
2564.551, 2517.923 to 2611.179, 0
2657.808, 2611.179 to 2704.436, 0
2751.064, 2704.436 to 2797.692, 2
2844.320, 2797.692 to 2890.949, 1
2937.577, 2890.949 to 2984.205, 4
3030.833, 2984.205 to 3077.461, 0
3124.090, 3077.461 to 3170.718, 1
3217.346, 3170.718 to 3263.974, 0
