Plate, 2
Well, 3
Count, 81

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
737.866, 427606.494, 0.223, 95310.741, 210344053.406, 846.667, 10752.667, 30734.000
587.802, 271364.130, 0.241, 65408.369, 106338972.670, 2123.429, 20320.000, 6688.667
797.503, 499522.242, 0.195, 97337.802, 265580415.838, 846.667, 6773.333, 27770.667
540.707, 229622.430, 0.207, 47485.409, 82772345.676, 682.604, 8466.667, 28871.333
567.143, 252624.045, 0.210, 53166.286, 95515934.291, 2303.182, 31665.333, 19642.667
669.026, 351541.150, 0.170, 59886.272, 156793499.854, 431.717, 16340.667, 5164.667
390.180, 119569.376, 0.303, 36215.048, 31102388.624, 946.602, 22182.667, 11430.000
562.760, 248735.017, 0.195, 48387.483, 93318810.630, 1270.000, 11345.333, 32088.667
539.371, 228489.110, 0.211, 48255.565, 82160308.378, 677.333, 12107.333, 31072.667
530.794, 221279.818, 0.192, 42457.602, 78302658.701, 1643.929, 27093.333, 9567.333
515.839, 208986.398, 0.171, 35797.778, 71868872.486, 4488.132, 14224.000, 15748.000
500.424, 196682.354, 0.181, 35535.057, 65616323.834, 833.870, 19219.333, 31834.667
500.907, 197062.716, 0.185, 36552.848, 65806758.017, 3480.614, 24468.667, 27601.333
524.611, 216154.494, 0.172, 37195.682, 75597982.344, 698.179, 10244.667, 30056.667
434.395, 148203.736, 0.203, 30021.181, 42919290.067, 1712.277, 14478.000, 30818.667
447.330, 157161.553, 0.163, 25654.097, 46868739.007, 946.602, 21251.333, 3894.667
552.968, 240153.606, 0.174, 41890.922, 88531427.647, 1322.536, 9652.000, 32004.000
392.581, 121045.735, 0.200, 24160.965, 31680209.050, 1879.905, 17780.000, 3640.667
541.202, 230043.219, 0.170, 39063.872, 82999973.619, 1135.923, 15324.667, 5672.667
483.940, 183938.957, 0.160, 29521.155, 59343666.986, 946.602, 23114.000, 11260.667
357.775, 100533.374, 0.211, 21209.786, 23978896.302, 946.602, 22098.000, 3471.333
230.496, 41726.781, 0.202, 8433.763, 6411890.847, 1338.698, 8636.000, 12869.333
343.401, 92617.270, 0.177, 16421.918, 21203217.340, 2962.124, 8974.667, 19812.000
1183.493, 1100071.544, 0.110, 121052.965, 867950977.403, 542.131, 7704.667, 28109.333
545.865, 234024.015, 0.162, 37890.749, 85163684.006, 1879.905, 32342.667, 21844.000
434.511, 148283.217, 0.145, 21522.591, 42953820.691, 682.604, 5334.000, 12954.000
385.121, 116488.857, 0.163, 18942.211, 29908206.756, 1561.176, 31580.667, 24892.000
394.810, 122423.844, 0.181, 22186.983, 32222765.863, 1047.269, 4656.667, 21590.000
631.981, 313688.098, 0.132, 41455.506, 132163296.262, 542.131, 7281.333, 28448.000
234.185, 43073.471, 0.131, 5624.936, 6724788.086, 542.131, 6265.333, 26924.000
606.615, 289012.484, 0.116, 33608.269, 116879596.407, 682.604, 7789.333, 28956.000
348.176, 95211.014, 0.165, 15713.734, 22100117.800, 431.717, 16256.000, 4741.333
364.917, 104587.300, 0.184, 19203.871, 25443814.797, 2819.540, 10498.667, 8382.000
461.251, 167095.629, 0.159, 26598.409, 51382050.821, 900.019, 25146.000, 9313.333
228.036, 40840.903, 0.177, 7226.538, 6208787.681, 698.179, 10414.000, 29379.333
217.621, 37195.693, 0.187, 6945.287, 5396383.125, 1514.563, 7704.667, 7874.000
223.867, 39361.483, 0.148, 5835.820, 5874500.904, 1626.394, 28363.333, 7704.667
506.458, 201454.290, 0.136, 27302.111, 68018739.793, 1761.799, 27093.333, 29887.333
480.206, 181111.018, 0.130, 23570.185, 57980386.589, 1047.269, 4402.667, 22606.000
309.989, 75471.588, 0.162, 12190.269, 15596926.871, 863.434, 6773.333, 25654.000
436.646, 149743.830, 0.135, 20170.280, 43590033.789, 833.870, 18457.333, 32173.333
410.371, 132264.683, 0.156, 20675.009, 36185089.036, 900.019, 25738.667, 8636.000
278.954, 61116.192, 0.157, 9598.337, 11365753.528, 1714.369, 8636.000, 26670.000
405.983, 129451.333, 0.163, 21075.684, 35036731.875, 1270.000, 21420.667, 31580.667
390.156, 119554.485, 0.131, 15677.518, 31096578.849, 1954.682, 13377.333, 5842.000
334.052, 87642.966, 0.145, 12670.016, 19518183.521, 3413.022, 29972.000, 15917.333
477.515, 179086.649, 0.124, 22212.907, 57010994.272, 542.131, 6604.000, 26500.667
199.033, 31112.848, 0.165, 5138.589, 4128320.906, 1325.243, 7450.667, 22352.000
568.427, 253769.798, 0.127, 32145.154, 96166475.916, 677.333, 12784.667, 31072.667
500.699, 196898.588, 0.127, 25100.201, 65724562.306, 798.744, 6265.333, 22944.667
335.825, 88575.776, 0.147, 12985.328, 19830618.006, 1030.014, 5418.667, 20404.667
230.188, 41615.342, 0.152, 6317.382, 6386221.979, 798.744, 8636.000, 31157.333
473.940, 176415.094, 0.130, 22903.983, 55740057.104, 1030.014, 5588.000, 19388.667
248.783, 48610.682, 0.168, 8163.512, 8062344.890, 1325.243, 24553.333, 8043.333
217.621, 37195.693, 0.169, 6280.597, 5396383.125, 2141.916, 14054.667, 7874.000
223.867, 39361.483, 0.166, 6533.649, 5874500.904, 1514.563, 8382.000, 6519.333
444.616, 155260.425, 0.116, 18032.656, 46020884.078, 798.744, 5588.000, 22521.333
229.362, 41317.405, 0.159, 6562.840, 6317763.299, 780.588, 8466.667, 11260.667
354.291, 98585.034, 0.145, 14251.849, 23285216.858, 1019.522, 23198.667, 31665.333
276.439, 60018.821, 0.143, 8607.394, 11061015.112, 1367.832, 5080.000, 18118.667
427.948, 143837.281, 0.213, 30653.842, 41036564.619, 3081.913, 35221.333, 20743.333
201.581, 31914.603, 0.152, 4861.913, 4288920.269, 2259.188, 29040.667, 22860.000
299.092, 70258.695, 0.154, 10789.742, 14009218.867, 1761.799, 28532.667, 30903.333
419.371, 138129.594, 0.127, 17520.605, 38618366.664, 780.588, 7874.000, 11768.667
367.089, 105835.697, 0.123, 12995.223, 25900733.274, 1047.269, 18203.333, 33189.333
217.621, 37195.693, 0.160, 5958.963, 5396383.125, 2909.628, 10668.000, 23876.000
333.582, 87396.479, 0.131, 11483.325, 19435902.181, 1019.522, 22436.667, 32342.667
390.855, 119983.642, 0.133, 16005.813, 31264166.984, 682.604, 6011.333, 13038.667
478.058, 179494.508, 0.118, 21269.465, 57205863.775, 1561.176, 31242.000, 23368.000
356.289, 99699.954, 0.127, 12703.872, 23681338.171, 798.744, 9059.333, 30480.000
399.318, 125235.327, 0.124, 15469.296, 33339116.258, 1197.367, 6434.667, 24130.000
563.786, 249642.399, 0.226, 56532.373, 93829914.659, 4662.820, 1016.000, 15832.667
478.532, 179850.215, 0.130, 23304.273, 57375996.435, 1893.204, 12192.000, 33782.000
180.620, 25622.527, 0.128, 3280.724, 3085295.267, 2123.429, 18372.667, 7535.333
257.278, 51986.950, 0.142, 7396.048, 8916723.733, 3985.633, 17526.000, 11430.000
404.726, 128650.800, 0.126, 16146.552, 34712231.877, 1963.829, 10583.333, 13123.333
231.907, 42239.383, 0.155, 6542.963, 6530405.526, 2909.628, 13546.667, 23452.667
176.648, 24507.929, 0.134, 3288.544, 2886182.041, 2898.520, 26162.000, 23198.667
212.390, 35428.770, 0.128, 4537.449, 5016466.464, 1626.394, 27093.333, 6688.667
296.609, 69096.796, 0.127, 8769.537, 13663144.506, 2773.399, 33104.667, 17272.000
174.808, 23999.998, 0.140, 3358.937, 2796923.708, 2757.847, 30988.000, 6858.000



ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	20:07:25
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_19-56\Plate2\Plate2.ics
