Plate, 1
Well, 1
Count, 239
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
10941.133, 0.000 to 21882.267, 0
32823.400, 21882.267 to 43764.533, 12
54705.666, 43764.533 to 65646.800, 10
76587.933, 65646.800 to 87529.066, 13
98470.199, 87529.066 to 109411.333, 22
120352.466, 109411.333 to 131293.599, 18
142234.733, 131293.599 to 153175.866, 15
164116.999, 153175.866 to 175058.132, 28
185999.266, 175058.132 to 196940.399, 20
207881.532, 196940.399 to 218822.665, 21
229763.799, 218822.665 to 240704.932, 19
251646.065, 240704.932 to 262587.199, 9
273528.332, 262587.199 to 284469.465, 4
295410.598, 284469.465 to 306351.732, 6
317292.865, 306351.732 to 328233.998, 5
339175.131, 328233.998 to 350116.265, 4
361057.398, 350116.265 to 371998.531, 5
382939.665, 371998.531 to 393880.798, 6
404821.931, 393880.798 to 415763.064, 1
426704.198, 415763.064 to 437645.331, 2
448586.464, 437645.331 to 459527.597, 0
470468.731, 459527.597 to 481409.864, 2
492350.997, 481409.864 to 503292.131, 1
514233.264, 503292.131 to 525174.397, 2
536115.530, 525174.397 to 547056.664, 0
557997.797, 547056.664 to 568938.930, 1
579880.063, 568938.930 to 590821.197, 0
601762.330, 590821.197 to 612703.463, 3
623644.597, 612703.463 to 634585.730, 0
645526.863, 634585.730 to 656467.996, 1
667409.130, 656467.996 to 678350.263, 0
689291.396, 678350.263 to 700232.529, 0
711173.663, 700232.529 to 722114.796, 2
733055.929, 722114.796 to 743997.063, 0
754938.196, 743997.063 to 765879.329, 1
776820.462, 765879.329 to 787761.596, 1
798702.729, 787761.596 to 809643.862, 0
820584.995, 809643.862 to 831526.129, 0
842467.262, 831526.129 to 853408.395, 1
864349.529, 853408.395 to 875290.662, 1
886231.795, 875290.662 to 897172.928, 0
908114.062, 897172.928 to 919055.195, 0
929996.328, 919055.195 to 940937.461, 1
951878.595, 940937.461 to 962819.728, 0
973760.861, 962819.728 to 984701.995, 0
995643.128, 984701.995 to 1006584.261, 0
1017525.394, 1006584.261 to 1028466.528, 1
1039407.661, 1028466.528 to 1050348.794, 0
1061289.927, 1050348.794 to 1072231.061, 0
1083172.194, 1072231.061 to 1094113.327, 1


Plate, 1
Well, 2
Count, 200
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
10902.791, 0.000 to 21805.582, 0
32708.373, 21805.582 to 43611.164, 15
54513.955, 43611.164 to 65416.746, 13
76319.537, 65416.746 to 87222.328, 13
98125.119, 87222.328 to 109027.910, 15
119930.701, 109027.910 to 130833.492, 16
141736.282, 130833.492 to 152639.073, 23
163541.864, 152639.073 to 174444.655, 11
185347.446, 174444.655 to 196250.237, 11
207153.028, 196250.237 to 218055.819, 15
228958.610, 218055.819 to 239861.401, 16
250764.192, 239861.401 to 261666.983, 10
272569.774, 261666.983 to 283472.565, 8
294375.356, 283472.565 to 305278.147, 4
316180.938, 305278.147 to 327083.729, 6
337986.520, 327083.729 to 348889.311, 3
359792.102, 348889.311 to 370694.893, 3
381597.684, 370694.893 to 392500.475, 2
403403.265, 392500.475 to 414306.056, 3
425208.847, 414306.056 to 436111.638, 0
447014.429, 436111.638 to 457917.220, 1
468820.011, 457917.220 to 479722.802, 0
490625.593, 479722.802 to 501528.384, 1
512431.175, 501528.384 to 523333.966, 1
534236.757, 523333.966 to 545139.548, 2
556042.339, 545139.548 to 566945.130, 1
577847.921, 566945.130 to 588750.712, 1
599653.503, 588750.712 to 610556.294, 1
621459.085, 610556.294 to 632361.876, 0
643264.667, 632361.876 to 654167.458, 1
665070.248, 654167.458 to 675973.039, 0
686875.830, 675973.039 to 697778.621, 0
708681.412, 697778.621 to 719584.203, 0
730486.994, 719584.203 to 741389.785, 2
752292.576, 741389.785 to 763195.367, 0
774098.158, 763195.367 to 785000.949, 0
795903.740, 785000.949 to 806806.531, 1
817709.322, 806806.531 to 828612.113, 0
839514.904, 828612.113 to 850417.695, 0
861320.486, 850417.695 to 872223.277, 0
883126.068, 872223.277 to 894028.859, 0
904931.650, 894028.859 to 915834.441, 0
926737.231, 915834.441 to 937640.022, 0
948542.813, 937640.022 to 959445.604, 0
970348.395, 959445.604 to 981251.186, 0
992153.977, 981251.186 to 1003056.768, 0
1013959.559, 1003056.768 to 1024862.350, 0
1035765.141, 1024862.350 to 1046667.932, 0
1057570.723, 1046667.932 to 1068473.514, 0
1079376.305, 1068473.514 to 1090279.096, 1


Plate, 1
Well, 3
Count, 187
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
16661.633, 0.000 to 33323.267, 1
49984.900, 33323.267 to 66646.533, 24
83308.167, 66646.533 to 99969.800, 26
116631.434, 99969.800 to 133293.067, 32
149954.700, 133293.067 to 166616.334, 37
183277.967, 166616.334 to 199939.600, 11
216601.234, 199939.600 to 233262.867, 20
249924.500, 233262.867 to 266586.134, 10
283247.767, 266586.134 to 299909.400, 8
316571.034, 299909.400 to 333232.667, 2
349894.301, 333232.667 to 366555.934, 5
383217.567, 366555.934 to 399879.201, 2
416540.834, 399879.201 to 433202.467, 0
449864.101, 433202.467 to 466525.734, 1
483187.367, 466525.734 to 499849.001, 1
516510.634, 499849.001 to 533172.267, 0
549833.901, 533172.267 to 566495.534, 0
583157.168, 566495.534 to 599818.801, 1
616480.434, 599818.801 to 633142.068, 1
