Plate, 1
Well, 1
Count, 239
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
11.803, 0.000 to 23.606, 0
35.408, 23.606 to 47.211, 0
59.014, 47.211 to 70.817, 0
82.620, 70.817 to 94.423, 0
106.225, 94.423 to 118.028, 0
129.831, 118.028 to 141.634, 0
153.437, 141.634 to 165.240, 0
177.042, 165.240 to 188.845, 0
200.648, 188.845 to 212.451, 2
224.254, 212.451 to 236.057, 10
247.859, 236.057 to 259.662, 3
271.465, 259.662 to 283.268, 7
295.071, 283.268 to 306.874, 7
318.676, 306.874 to 330.479, 4
342.282, 330.479 to 354.085, 17
365.888, 354.085 to 377.691, 8
389.493, 377.691 to 401.296, 10
413.099, 401.296 to 424.902, 13
436.705, 424.902 to 448.508, 12
460.310, 448.508 to 472.113, 25
483.916, 472.113 to 495.719, 17
507.522, 495.719 to 519.325, 18
531.127, 519.325 to 542.930, 18
554.733, 542.930 to 566.536, 13
578.339, 566.536 to 590.142, 4
601.944, 590.142 to 613.747, 7
625.550, 613.747 to 637.353, 5
649.156, 637.353 to 660.959, 4
672.761, 660.959 to 684.564, 6
696.367, 684.564 to 708.170, 7
719.973, 708.170 to 731.776, 2
743.578, 731.776 to 755.381, 1
767.184, 755.381 to 778.987, 0
790.790, 778.987 to 802.593, 3
814.395, 802.593 to 826.198, 2
838.001, 826.198 to 849.804, 1
861.607, 849.804 to 873.410, 1
885.212, 873.410 to 897.015, 2
908.818, 897.015 to 920.621, 1
932.424, 920.621 to 944.227, 0
956.029, 944.227 to 967.832, 2
979.635, 967.832 to 991.438, 1
1003.241, 991.438 to 1015.044, 1
1026.846, 1015.044 to 1038.649, 0
1050.452, 1038.649 to 1062.255, 2
1074.058, 1062.255 to 1085.861, 0
1097.663, 1085.861 to 1109.466, 1
1121.269, 1109.466 to 1133.072, 0
1144.875, 1133.072 to 1156.678, 1
1168.480, 1156.678 to 1180.283, 1


Plate, 1
Well, 2
Count, 200
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
11.782, 0.000 to 23.564, 0
35.346, 23.564 to 47.129, 0
58.911, 47.129 to 70.693, 0
82.475, 70.693 to 94.257, 0
106.039, 94.257 to 117.821, 0
129.603, 117.821 to 141.386, 0
153.168, 141.386 to 164.950, 0
176.732, 164.950 to 188.514, 0
200.296, 188.514 to 212.078, 2
223.861, 212.078 to 235.643, 13
247.425, 235.643 to 259.207, 3
270.989, 259.207 to 282.771, 7
294.553, 282.771 to 306.335, 7
318.118, 306.335 to 329.900, 8
341.682, 329.900 to 353.464, 9
365.246, 353.464 to 377.028, 8
388.810, 377.028 to 400.593, 13
412.375, 400.593 to 424.157, 10
435.939, 424.157 to 447.721, 17
459.503, 447.721 to 471.285, 9
483.067, 471.285 to 494.850, 10
506.632, 494.850 to 518.414, 11
530.196, 518.414 to 541.978, 16
553.760, 541.978 to 565.542, 10
577.324, 565.542 to 589.107, 7
600.889, 589.107 to 612.671, 7
624.453, 612.671 to 636.235, 5
648.017, 636.235 to 659.799, 7
671.582, 659.799 to 683.364, 2
695.146, 683.364 to 706.928, 3
718.710, 706.928 to 730.492, 3
742.274, 730.492 to 754.056, 0
765.839, 754.056 to 777.621, 1
789.403, 777.621 to 801.185, 1
812.967, 801.185 to 824.749, 3
836.531, 824.749 to 848.314, 1
860.096, 848.314 to 871.878, 1
883.660, 871.878 to 895.442, 1
907.224, 895.442 to 919.006, 1
930.788, 919.006 to 942.571, 0
954.353, 942.571 to 966.135, 1
977.917, 966.135 to 989.699, 1
1001.481, 989.699 to 1013.263, 1
1025.046, 1013.263 to 1036.828, 0
1048.610, 1036.828 to 1060.392, 0
1072.174, 1060.392 to 1083.956, 0
1095.738, 1083.956 to 1107.520, 0
1119.303, 1107.520 to 1131.085, 0
1142.867, 1131.085 to 1154.649, 0
1166.431, 1154.649 to 1178.213, 1


Plate, 1
Well, 3
Count, 187
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
14.565, 0.000 to 29.130, 0
43.695, 29.130 to 58.260, 0
72.826, 58.260 to 87.391, 0
101.956, 87.391 to 116.521, 0
131.086, 116.521 to 145.651, 0
160.216, 145.651 to 174.781, 0
189.346, 174.781 to 203.912, 0
218.477, 203.912 to 233.042, 17
247.607, 233.042 to 262.172, 4
276.737, 262.172 to 291.302, 4
305.867, 291.302 to 320.432, 13
334.998, 320.432 to 349.563, 11
364.128, 349.563 to 378.693, 17
393.258, 378.693 to 407.823, 14
422.388, 407.823 to 436.953, 21
451.518, 436.953 to 466.084, 21
480.649, 466.084 to 495.214, 7
509.779, 495.214 to 524.344, 11
538.909, 524.344 to 553.474, 15
568.039, 553.474 to 582.605, 6
597.170, 582.605 to 611.735, 6
626.300, 611.735 to 640.865, 3
655.430, 640.865 to 669.995, 5
684.560, 669.995 to 699.125, 1
713.691, 699.125 to 728.256, 2
742.821, 728.256 to 757.386, 1
771.951, 757.386 to 786.516, 0
801.081, 786.516 to 815.646, 1
830.211, 815.646 to 844.777, 0
859.342, 844.777 to 873.907, 1
888.472, 873.907 to 903.037, 1
917.602, 903.037 to 932.167, 1
946.732, 932.167 to 961.297, 0
975.863, 961.297 to 990.428, 1
1004.993, 990.428 to 1019.558, 0
1034.123, 1019.558 to 1048.688, 0
1063.253, 1048.688 to 1077.818, 1
1092.383, 1077.818 to 1106.949, 0
1121.514, 1106.949 to 1136.079, 0
1150.644, 1136.079 to 1165.209, 0
1179.774, 1165.209 to 1194.339, 0
1208.904, 1194.339 to 1223.469, 0
1238.035, 1223.469 to 1252.600, 1
1267.165, 1252.600 to 1281.730, 0
1296.295, 1281.730 to 1310.860, 0
1325.425, 1310.860 to 1339.990, 0
1354.555, 1339.990 to 1369.121, 0
1383.686, 1369.121 to 1398.251, 0
1412.816, 1398.251 to 1427.381, 0
1441.946, 1427.381 to 1456.511, 1


Plate, 1
Well, 4
Count, 188
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.885, 0.000 to 19.770, 0
