Plate, 1
Well, 1
Count, 239
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
35.721, 0.000 to 71.442, 0
107.163, 71.442 to 142.884, 0
178.605, 142.884 to 214.325, 2
250.046, 214.325 to 285.767, 2
321.488, 285.767 to 357.209, 3
392.930, 357.209 to 428.651, 10
464.372, 428.651 to 500.093, 10
535.814, 500.093 to 571.534, 16
607.255, 571.534 to 642.976, 20
678.697, 642.976 to 714.418, 28
750.139, 714.418 to 785.860, 15
821.581, 785.860 to 857.302, 9
893.023, 857.302 to 928.744, 17
964.464, 928.744 to 1000.185, 13
1035.906, 1000.185 to 1071.627, 10
1107.348, 1071.627 to 1143.069, 14
1178.790, 1143.069 to 1214.511, 8
1250.232, 1214.511 to 1285.953, 8
1321.674, 1285.953 to 1357.394, 7
1393.115, 1357.394 to 1428.836, 3
1464.557, 1428.836 to 1500.278, 4
1535.999, 1500.278 to 1571.720, 3
1607.441, 1571.720 to 1643.162, 5
1678.883, 1643.162 to 1714.603, 4
1750.324, 1714.603 to 1786.045, 2
1821.766, 1786.045 to 1857.487, 6
1893.208, 1857.487 to 1928.929, 1
1964.650, 1928.929 to 2000.371, 2
2036.092, 2000.371 to 2071.813, 1
2107.533, 2071.813 to 2143.254, 3
2178.975, 2143.254 to 2214.696, 0
2250.417, 2214.696 to 2286.138, 2
2321.859, 2286.138 to 2357.580, 5
2393.301, 2357.580 to 2429.022, 1
2464.743, 2429.022 to 2500.463, 0
2536.184, 2500.463 to 2571.905, 0
2607.626, 2571.905 to 2643.347, 0
2679.068, 2643.347 to 2714.789, 0
2750.510, 2714.789 to 2786.231, 1
2821.952, 2786.231 to 2857.672, 0
2893.393, 2857.672 to 2929.114, 1
2964.835, 2929.114 to 3000.556, 1
3036.277, 3000.556 to 3071.998, 0
3107.719, 3071.998 to 3143.440, 0
3179.161, 3143.440 to 3214.882, 0
3250.602, 3214.882 to 3286.323, 0
3322.044, 3286.323 to 3357.765, 1
3393.486, 3357.765 to 3429.207, 0
3464.928, 3429.207 to 3500.649, 0
3536.370, 3500.649 to 3572.091, 1


Plate, 1
Well, 2
Count, 200
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.240, 0.000 to 64.480, 0
96.720, 64.480 to 128.960, 0
161.201, 128.960 to 193.441, 0
225.681, 193.441 to 257.921, 0
290.161, 257.921 to 322.401, 0
354.641, 322.401 to 386.881, 8
419.121, 386.881 to 451.361, 1
483.602, 451.361 to 515.842, 16
548.082, 515.842 to 580.322, 11
612.562, 580.322 to 644.802, 8
677.042, 644.802 to 709.282, 16
741.522, 709.282 to 773.763, 13
806.003, 773.763 to 838.243, 14
870.483, 838.243 to 902.723, 12
934.963, 902.723 to 967.203, 15
999.443, 967.203 to 1031.683, 5
1063.924, 1031.683 to 1096.164, 11
1128.404, 1096.164 to 1160.644, 9
1192.884, 1160.644 to 1225.124, 5
1257.364, 1225.124 to 1289.604, 4
1321.844, 1289.604 to 1354.084, 3
1386.325, 1354.084 to 1418.565, 1
1450.805, 1418.565 to 1483.045, 6
1515.285, 1483.045 to 1547.525, 4
1579.765, 1547.525 to 1612.005, 4
1644.245, 1612.005 to 1676.486, 6
1708.726, 1676.486 to 1740.966, 1
