Plate, 2
Well, 1
Count, 172
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.019, 0.015 to 0.022, 0
0.026, 0.022 to 0.030, 0
0.034, 0.030 to 0.037, 0
0.041, 0.037 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.056, 0.052 to 0.060, 0
0.064, 0.060 to 0.067, 0
0.071, 0.067 to 0.075, 0
0.079, 0.075 to 0.082, 0
0.086, 0.082 to 0.090, 0
0.094, 0.090 to 0.097, 1
0.101, 0.097 to 0.105, 4
0.109, 0.105 to 0.112, 13
0.116, 0.112 to 0.120, 28
0.124, 0.120 to 0.127, 14
0.131, 0.127 to 0.135, 19
0.139, 0.135 to 0.142, 17
0.146, 0.142 to 0.150, 12
0.154, 0.150 to 0.157, 11
0.161, 0.157 to 0.165, 9
0.169, 0.165 to 0.172, 10
0.176, 0.172 to 0.180, 6
0.184, 0.180 to 0.187, 8
0.191, 0.187 to 0.195, 5
0.199, 0.195 to 0.202, 4
0.206, 0.202 to 0.210, 0
0.214, 0.210 to 0.217, 1
0.221, 0.217 to 0.225, 3
0.229, 0.225 to 0.232, 1
0.236, 0.232 to 0.240, 0
0.244, 0.240 to 0.247, 0
0.251, 0.247 to 0.255, 0
0.259, 0.255 to 0.262, 3
0.266, 0.262 to 0.270, 1
0.274, 0.270 to 0.277, 0
0.281, 0.277 to 0.285, 1
0.289, 0.285 to 0.292, 0
0.296, 0.292 to 0.300, 0
0.304, 0.300 to 0.307, 0
0.311, 0.307 to 0.315, 0
0.319, 0.315 to 0.322, 0
0.326, 0.322 to 0.330, 0
0.334, 0.330 to 0.337, 0
0.341, 0.337 to 0.345, 0
0.349, 0.345 to 0.352, 0
0.356, 0.352 to 0.360, 0
0.364, 0.360 to 0.367, 0
0.371, 0.367 to 0.375, 1


Plate, 2
Well, 2
Count, 140
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.021, 0
0.024, 0.021 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.035, 0.032 to 0.037, 0
0.040, 0.037 to 0.043, 0
0.045, 0.043 to 0.048, 0
0.051, 0.048 to 0.053, 0
0.056, 0.053 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.067, 0.064 to 0.069, 0
0.072, 0.069 to 0.075, 0
0.077, 0.075 to 0.080, 0
0.083, 0.080 to 0.085, 0
0.088, 0.085 to 0.091, 0
0.093, 0.091 to 0.096, 0
0.099, 0.096 to 0.102, 0
0.104, 0.102 to 0.107, 0
0.110, 0.107 to 0.112, 0
0.115, 0.112 to 0.118, 2
0.120, 0.118 to 0.123, 2
0.126, 0.123 to 0.128, 9
0.131, 0.128 to 0.134, 9
0.136, 0.134 to 0.139, 17
0.142, 0.139 to 0.144, 13
0.147, 0.144 to 0.150, 11
0.152, 0.150 to 0.155, 12
0.158, 0.155 to 0.160, 11
0.163, 0.160 to 0.166, 5
0.168, 0.166 to 0.171, 7
0.174, 0.171 to 0.176, 4
0.179, 0.176 to 0.182, 7
0.184, 0.182 to 0.187, 3
0.190, 0.187 to 0.192, 5
0.195, 0.192 to 0.198, 2
0.200, 0.198 to 0.203, 4
0.206, 0.203 to 0.208, 4
0.211, 0.208 to 0.214, 1
0.216, 0.214 to 0.219, 1
0.222, 0.219 to 0.224, 2
0.227, 0.224 to 0.230, 2
0.232, 0.230 to 0.235, 3
0.238, 0.235 to 0.240, 1
0.243, 0.240 to 0.246, 0
0.248, 0.246 to 0.251, 0
0.254, 0.251 to 0.256, 1
0.259, 0.256 to 0.262, 0
0.264, 0.262 to 0.267, 2


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.019, 0.015 to 0.022, 0
0.026, 0.022 to 0.030, 0
0.033, 0.030 to 0.037, 0
0.041, 0.037 to 0.045, 0
0.048, 0.045 to 0.052, 0
0.056, 0.052 to 0.059, 0
0.063, 0.059 to 0.067, 0
0.071, 0.067 to 0.074, 0
0.078, 0.074 to 0.082, 0
0.085, 0.082 to 0.089, 0
0.093, 0.089 to 0.097, 0
0.100, 0.097 to 0.104, 0
