Plate, 2
Well, 1
Count, 172
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
5424152.479, 0.000 to 10848304.958, 23
16272457.437, 10848304.958 to 21696609.916, 22
27120762.395, 21696609.916 to 32544914.874, 18
37969067.353, 32544914.874 to 43393219.832, 12
48817372.311, 43393219.832 to 54241524.790, 24
59665677.269, 54241524.790 to 65089829.748, 15
70513982.227, 65089829.748 to 75938134.706, 9
81362287.185, 75938134.706 to 86786439.664, 7
92210592.143, 86786439.664 to 97634744.622, 8
103058897.102, 97634744.622 to 108483049.581, 5
113907202.060, 108483049.581 to 119331354.539, 2
124755507.018, 119331354.539 to 130179659.497, 3
135603811.976, 130179659.497 to 141027964.455, 1
146452116.934, 141027964.455 to 151876269.413, 1
157300421.892, 151876269.413 to 162724574.371, 4
168148726.850, 162724574.371 to 173572879.329, 2
178997031.808, 173572879.329 to 184421184.287, 3
189845336.766, 184421184.287 to 195269489.245, 4
200693641.724, 195269489.245 to 206117794.203, 0
211541946.682, 206117794.203 to 216966099.161, 1
222390251.640, 216966099.161 to 227814404.119, 1
233238556.598, 227814404.119 to 238662709.077, 0
244086861.556, 238662709.077 to 249511014.035, 0
254935166.514, 249511014.035 to 260359318.993, 0
265783471.472, 260359318.993 to 271207623.951, 0
276631776.430, 271207623.951 to 282055928.909, 1
287480081.388, 282055928.909 to 292904233.867, 1
298328386.346, 292904233.867 to 303752538.825, 0
309176691.305, 303752538.825 to 314600843.784, 0
320024996.263, 314600843.784 to 325449148.742, 0
330873301.221, 325449148.742 to 336297453.700, 0
341721606.179, 336297453.700 to 347145758.658, 1
352569911.137, 347145758.658 to 357994063.616, 1
363418216.095, 357994063.616 to 368842368.574, 0
374266521.053, 368842368.574 to 379690673.532, 1
385114826.011, 379690673.532 to 390538978.490, 0
395963130.969, 390538978.490 to 401387283.448, 0
406811435.927, 401387283.448 to 412235588.406, 0
417659740.885, 412235588.406 to 423083893.364, 0
428508045.843, 423083893.364 to 433932198.322, 0
439356350.801, 433932198.322 to 444780503.280, 0
450204655.759, 444780503.280 to 455628808.238, 0
461052960.717, 455628808.238 to 466477113.196, 0
471901265.675, 466477113.196 to 477325418.154, 0
482749570.633, 477325418.154 to 488173723.112, 0
493597875.591, 488173723.112 to 499022028.070, 0
504446180.549, 499022028.070 to 509870333.028, 1
515294485.508, 509870333.028 to 520718637.987, 0
526142790.466, 520718637.987 to 531566942.945, 0
536991095.424, 531566942.945 to 542415247.903, 1


Plate, 2
Well, 2
Count, 140
