Plate, 2
Well, 1
Count, 172
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1585.664, 0.000 to 3171.327, 0
4756.991, 3171.327 to 6342.655, 16
7928.318, 6342.655 to 9513.982, 13
11099.646, 9513.982 to 12685.309, 13
14270.973, 12685.309 to 15856.637, 14
17442.300, 15856.637 to 19027.964, 16
20613.628, 19027.964 to 22199.291, 13
23784.955, 22199.291 to 25370.619, 18
26956.282, 25370.619 to 28541.946, 8
30127.610, 28541.946 to 31713.274, 8
33298.937, 31713.274 to 34884.601, 8
36470.265, 34884.601 to 38055.928, 8
39641.592, 38055.928 to 41227.256, 4
42812.919, 41227.256 to 44398.583, 7
45984.247, 44398.583 to 47569.910, 2
49155.574, 47569.910 to 50741.238, 1
52326.901, 50741.238 to 53912.565, 2
55498.229, 53912.565 to 57083.892, 3
58669.556, 57083.892 to 60255.220, 1
61840.883, 60255.220 to 63426.547, 2
65012.211, 63426.547 to 66597.874, 1
68183.538, 66597.874 to 69769.202, 0
71354.865, 69769.202 to 72940.529, 2
74526.193, 72940.529 to 76111.856, 2
77697.520, 76111.856 to 79283.184, 2
80868.847, 79283.184 to 82454.511, 0
84040.175, 82454.511 to 85625.838, 2
87211.502, 85625.838 to 88797.166, 1
90382.830, 88797.166 to 91968.493, 1
93554.157, 91968.493 to 95139.821, 1
96725.484, 95139.821 to 98311.148, 0
99896.812, 98311.148 to 101482.475, 0
103068.139, 101482.475 to 104653.803, 0
106239.466, 104653.803 to 107825.130, 0
109410.794, 107825.130 to 110996.457, 0
112582.121, 110996.457 to 114167.785, 0
115753.448, 114167.785 to 117339.112, 1
118924.776, 117339.112 to 120510.439, 0
122096.103, 120510.439 to 123681.767, 0
125267.430, 123681.767 to 126853.094, 0
128438.758, 126853.094 to 130024.421, 0
131610.085, 130024.421 to 133195.749, 0
134781.412, 133195.749 to 136367.076, 0
137952.740, 136367.076 to 139538.403, 0
141124.067, 139538.403 to 142709.731, 0
144295.394, 142709.731 to 145881.058, 0
147466.722, 145881.058 to 149052.386, 0
150638.049, 149052.386 to 152223.713, 1
153809.377, 152223.713 to 155395.040, 0
156980.704, 155395.040 to 158566.368, 1


Plate, 2
Well, 2
Count, 140
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1582.580, 0.000 to 3165.159, 0
4747.739, 3165.159 to 6330.319, 9
7912.898, 6330.319 to 9495.478, 10
11078.058, 9495.478 to 12660.638, 9
14243.217, 12660.638 to 15825.797, 10
17408.377, 15825.797 to 18990.956, 17
20573.536, 18990.956 to 22156.116, 15
23738.695, 22156.116 to 25321.275, 16
26903.855, 25321.275 to 28486.434, 8
30069.014, 28486.434 to 31651.594, 6
33234.174, 31651.594 to 34816.753, 2
36399.333, 34816.753 to 37981.913, 5
39564.492, 37981.913 to 41147.072, 5
42729.652, 41147.072 to 44312.231, 5
45894.811, 44312.231 to 47477.391, 2
49059.970, 47477.391 to 50642.550, 1
52225.130, 50642.550 to 53807.710, 2
55390.289, 53807.710 to 56972.869, 3
58555.449, 56972.869 to 60138.028, 0
61720.608, 60138.028 to 63303.188, 2
64885.767, 63303.188 to 66468.347, 1
68050.927, 66468.347 to 69633.506, 2
71216.086, 69633.506 to 72798.666, 0
74381.246, 72798.666 to 75963.825, 1
77546.405, 75963.825 to 79128.985, 0
80711.564, 79128.985 to 82294.144, 0
83876.724, 82294.144 to 85459.303, 1
87041.883, 85459.303 to 88624.463, 0
90207.042, 88624.463 to 91789.622, 1
93372.202, 91789.622 to 94954.782, 0
96537.361, 94954.782 to 98119.941, 1
99702.521, 98119.941 to 101285.100, 1
102867.680, 101285.100 to 104450.260, 0
106032.839, 104450.260 to 107615.419, 0
109197.999, 107615.419 to 110780.578, 0
112363.158, 110780.578 to 113945.738, 0
115528.318, 113945.738 to 117110.897, 0
118693.477, 117110.897 to 120276.057, 0
121858.636, 120276.057 to 123441.216, 0
125023.796, 123441.216 to 126606.375, 0
128188.955, 126606.375 to 129771.535, 2
131354.114, 129771.535 to 132936.694, 0
134519.274, 132936.694 to 136101.854, 0
137684.433, 136101.854 to 139267.013, 1
140849.593, 139267.013 to 142432.172, 1
144014.752, 142432.172 to 145597.332, 0
147179.911, 145597.332 to 148762.491, 0
150345.071, 148762.491 to 151927.650, 0
153510.230, 151927.650 to 155092.810, 0
156675.390, 155092.810 to 158257.969, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1090.456, 0.000 to 2180.912, 0
3271.368, 2180.912 to 4361.824, 0
5452.280, 4361.824 to 6542.736, 18
7633.192, 6542.736 to 8723.648, 5
9814.104, 8723.648 to 10904.560, 7
11995.016, 10904.560 to 13085.472, 9
14175.928, 13085.472 to 15266.384, 6
16356.840, 15266.384 to 17447.296, 10
18537.752, 17447.296 to 19628.208, 7
20718.664, 19628.208 to 21809.120, 3
22899.576, 21809.120 to 23990.032, 9
25080.488, 23990.032 to 26170.944, 7
27261.400, 26170.944 to 28351.856, 2
29442.312, 28351.856 to 30532.768, 4
31623.224, 30532.768 to 32713.680, 1
33804.136, 32713.680 to 34894.592, 1
35985.048, 34894.592 to 37075.504, 1
38165.960, 37075.504 to 39256.416, 0
40346.872, 39256.416 to 41437.328, 1
42527.784, 41437.328 to 43618.240, 0
44708.696, 43618.240 to 45799.152, 1
46889.608, 45799.152 to 47980.064, 2
49070.520, 47980.064 to 50160.976, 0
51251.432, 50160.976 to 52341.888, 3
53432.344, 52341.888 to 54522.800, 0
55613.256, 54522.800 to 56703.712, 2
57794.168, 56703.712 to 58884.624, 0
59975.080, 58884.624 to 61065.536, 0
62155.992, 61065.536 to 63246.448, 1
64336.905, 63246.448 to 65427.361, 0
66517.817, 65427.361 to 67608.273, 0
68698.729, 67608.273 to 69789.185, 1
70879.641, 69789.185 to 71970.097, 1
73060.553, 71970.097 to 74151.009, 0
75241.465, 74151.009 to 76331.921, 0
77422.377, 76331.921 to 78512.833, 1
79603.289, 78512.833 to 80693.745, 0
81784.201, 80693.745 to 82874.657, 0
83965.113, 82874.657 to 85055.569, 0
86146.025, 85055.569 to 87236.481, 0
88326.937, 87236.481 to 89417.393, 0
90507.849, 89417.393 to 91598.305, 0
92688.761, 91598.305 to 93779.217, 0
94869.673, 93779.217 to 95960.129, 0
97050.585, 95960.129 to 98141.041, 0
