Plate, 2
Well, 5
Count, 15

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
476.413, 178260.950, 0.155, 27583.672, 56617165.620, 1188.353, 31580.667, 26500.667
356.550, 99846.042, 0.143, 14263.683, 23733406.795, 1188.353, 30395.333, 26416.000
197.535, 30646.385, 0.178, 5455.408, 4035828.327, 5997.006, 17102.667, 35390.667
467.469, 171631.248, 0.231, 39727.034, 53488244.020, 2846.110, 11260.667, 34036.000
315.392, 78125.263, 0.126, 9881.470, 16426727.039, 4526.302, 32173.333, 22013.333
356.921, 100053.661, 0.118, 11853.348, 23807471.743, 2303.182, 6265.333, 27178.000
416.382, 136167.335, 0.119, 16241.504, 37798381.726, 7762.137, 16086.667, 1439.333
406.909, 130042.351, 0.128, 16641.452, 35276949.147, 2303.182, 4402.667, 28532.667
448.152, 157739.810, 0.156, 24532.811, 47127648.693, 2846.110, 8805.333, 32596.667
324.750, 82830.240, 0.113, 9370.170, 17932761.672, 9012.925, 12869.333, 18711.333
199.361, 31215.544, 0.157, 4898.787, 4148777.575, 6097.176, 23452.667, 34205.333
328.298, 84649.722, 0.115, 9700.919, 18526872.288, 7762.137, 12615.333, 8382.000
421.526, 139552.559, 0.106, 14843.381, 39216651.373, 2730.418, 8974.667, 26839.333
547.991, 235850.705, 0.172, 40518.677, 86162753.585, 5361.479, 28956.000, 31580.667
378.594, 112574.006, 0.197, 22232.423, 28413254.358, 11703.923, 762.000, 16848.667



ADDITIONAL INFO
Read-date:	07-02-2020
Read-time:	17:47:52
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		PEO1_300.charm
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate2\Plate2.ics
