,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,15584.223485900413,239,495.948974609375,177.55099487304688,217939.921875,171858.265625,52087642.94026192,0.172096386551857,0.0418730154633522,41.131037068063996,39059.171875,36451.27734375,9335141.9175087,91828232,123030024,21946947899.1299,1015.935302734375,568.1297607421875,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.9835390946502058
1,1,PEO1 TX,0.003048315805517451,2,A02,750,941.8059312323173,13396.21995754937,200,473.32427978515625,168.9189453125,198367.625,150915.359375,39673523.468108684,0.1518777757883072,0.036437295377254486,30.37555379023929,31421.26953125,28898.5,6284254.0535732275,79082664,101218928,15816532562.583511,1077.5997314453125,596.6105346679688,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.8230452674897121
2,1,PEO1 TX,0.009144947416552354,3,A03,750,941.8059312323173,10274.878429389262,187,448.93316650390625,173.8748779296875,182034.4375,180517.640625,34040441.15081151,0.12066889554262161,0.030299101024866104,22.565084012303927,22711.734375,25842.5546875,4247094.2030170895,74388328,152440672,13910616700.703102,1117.779052734375,610.1216430664062,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.7695473251028807
3,1,PEO1 TX,0.027434842249657063,4,B01,750,941.8059312323173,14139.72224972398,188,448.6448059082031,153.97303771972656,176706.625,123591.1875,33220845.367889278,0.15724536776542664,0.045120589435100555,29.562130117123946,28382.33984375,22837.275390625,5335879.886628413,65222280,72953496,12261788931.628212,1109.6151123046875,624.8088989257812,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.7736625514403294
4,1,PEO1 TX,0.0823045267489712,5,B02,750,941.8059312323173,12348.762316564964,168,453.50372314453125,153.65170288085938,180071.765625,123124.484375,30252055.565146945,0.140817791223526,0.031990401446819305,23.65739006913077,26503.548828125,22227.37890625,4452596.135191029,66786692,71204224,11220164022.81179,1097.025390625,574.703125,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.6913580246913581
5,1,PEO1 TX,0.2469135802469136,6,B03,750,941.8059312323173,9725.022919140245,188,440.7423095703125,158.58042907714844,172317.5625,132635.4375,32395700.533232413,0.11777263134717941,0.03386027365922928,22.141255144423774,21562.201171875,22326.3515625,4053693.8568481375,64283668,82174216,12085329233.998604,1147.6422119140625,678.5458984375,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.32399999999999995,0.7736625514403294
6,2,PEO1 TX,0.7407407407407408,1,A01,750,941.8059312323173,13500.071107076721,172,459.9947814941406,160.6987762451172,186468.6875,134755.734375,32072613.263567895,0.1479007601737976,0.03874210640788078,25.438930236308316,28744.056640625,24801.943359375,4943977.710596658,71258864,82813856,12256524859.934025,1152.2628173828125,700.9158935546875,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.32399999999999995,0.7078189300411524
7,2,PEO1 TX,2.2222222222222223,2,A02,750,941.8059312323173,15113.005167491649,140,451.6231994628906,160.48419189453125,180420.625,140607.4375,25258888.27294125,0.1616514027118683,0.03196818754076958,22.63119573611934,30620.1953125,27971.041015625,4286827.347520172,68964120,90474072,9654976844.696543,1115.56591796875,749.1278686523438,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.32399999999999995,0.5761316872427984
8,2,PEO1 TX,6.666666666666667,3,A03,750,941.8059312323173,15670.711792080265,105,375.4715881347656,124.00723266601562,122802.265625,83339.734375,12894237.995222723,0.17313551902770996,0.04784673452377319,18.179229210739003,22296.392578125,19200.64453125,2341121.1621593046,37500984,39917748,3937603473.5661416,1431.540283203125,970.8037109375,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.32399999999999995,0.4320987654320988
9,2,PEO1 TX,20.0,4,B01,750,941.8059312323173,11746.531463065172,50,358.2436828613281,102.37284851074219,109027.9765625,61209.12890625,5451398.708728439,0.13175363838672638,0.05061399191617966,6.5876821094621105,14861.111328125,12574.0908203125,743055.5865888271,30157686,25475730,1507884256.8798497,2007.1976318359375,1207.6072998046875,2020-07-02,17:47:52,6-Well,300,PEO1_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.32399999999999995,0.20576131687242802
