Plate, 3
Well, 1
Count, 214
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.184, 0.000 to 64.369, 0
96.553, 64.369 to 128.738, 0
160.922, 128.738 to 193.107, 0
225.291, 193.107 to 257.476, 0
289.660, 257.476 to 321.845, 2
354.029, 321.845 to 386.214, 4
418.398, 386.214 to 450.583, 8
482.767, 450.583 to 514.952, 7
547.136, 514.952 to 579.320, 11
611.505, 579.320 to 643.689, 11
675.874, 643.689 to 708.058, 14
740.243, 708.058 to 772.427, 8
804.612, 772.427 to 836.796, 8
868.981, 836.796 to 901.165, 20
933.350, 901.165 to 965.534, 15
997.719, 965.534 to 1029.903, 3
1062.088, 1029.903 to 1094.272, 5
1126.457, 1094.272 to 1158.641, 5
1190.825, 1158.641 to 1223.010, 13
1255.194, 1223.010 to 1287.379, 8
1319.563, 1287.379 to 1351.748, 6
1383.932, 1351.748 to 1416.117, 6
1448.301, 1416.117 to 1480.486, 10
1512.670, 1480.486 to 1544.855, 8
1577.039, 1544.855 to 1609.224, 8
1641.408, 1609.224 to 1673.593, 4
1705.777, 1673.593 to 1737.961, 2
1770.146, 1737.961 to 1802.330, 2
1834.515, 1802.330 to 1866.699, 2
1898.884, 1866.699 to 1931.068, 4
1963.253, 1931.068 to 1995.437, 4
2027.622, 1995.437 to 2059.806, 1
2091.991, 2059.806 to 2124.175, 1
2156.360, 2124.175 to 2188.544, 3
2220.729, 2188.544 to 2252.913, 2
2285.097, 2252.913 to 2317.282, 0
2349.466, 2317.282 to 2381.651, 0
2413.835, 2381.651 to 2446.020, 1
2478.204, 2446.020 to 2510.389, 2
2542.573, 2510.389 to 2574.758, 0
2606.942, 2574.758 to 2639.127, 1
2671.311, 2639.127 to 2703.496, 2
2735.680, 2703.496 to 2767.865, 1
2800.049, 2767.865 to 2832.234, 0
2864.418, 2832.234 to 2896.602, 1
2928.787, 2896.602 to 2960.971, 0
2993.156, 2960.971 to 3025.340, 0
3057.525, 3025.340 to 3089.709, 0
3121.894, 3089.709 to 3154.078, 0
3186.263, 3154.078 to 3218.447, 1


Plate, 3
Well, 2
Count, 152
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
41.201, 0.000 to 82.401, 0
123.602, 82.401 to 164.802, 0
206.003, 164.802 to 247.203, 0
288.404, 247.203 to 329.605, 0
370.805, 329.605 to 412.006, 2
453.206, 412.006 to 494.407, 10
535.608, 494.407 to 576.808, 3
618.009, 576.808 to 659.209, 12
700.410, 659.209 to 741.610, 8
782.811, 741.610 to 824.012, 1
865.212, 824.012 to 906.413, 21
947.613, 906.413 to 988.814, 5
1030.014, 988.814 to 1071.215, 10
1112.416, 1071.215 to 1153.616, 10
