Plate, 3
Well, 4
Count, 138

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
686.905, 370580.988, 0.201, 74358.398, 169702602.378, 1176.227, 18796.000, 1778.000
604.844, 287327.179, 0.174, 49875.888, 115858756.799, 1879.905, 24638.000, 9059.333
512.161, 206016.621, 0.220, 45302.583, 70342401.482, 616.383, 12107.333, 33189.333
428.036, 143896.853, 0.223, 32100.211, 41062061.034, 1533.379, 10160.000, 24553.333
438.006, 150678.292, 0.177, 26689.367, 43998698.937, 1212.242, 16340.667, 4064.000
350.632, 96559.222, 0.244, 23536.141, 22571188.861, 2945.135, 5080.000, 17949.333
453.573, 161578.855, 0.295, 47745.860, 48858551.863, 682.604, 9736.667, 11345.333
376.574, 111375.729, 0.208, 23202.139, 27960803.090, 1500.297, 21844.000, 6604.000
283.083, 62938.460, 0.207, 13031.993, 11877853.505, 2292.263, 11514.667, 28278.667
346.089, 94072.996, 0.217, 20439.915, 21705073.514, 965.349, 9398.000, 18626.667
401.253, 126452.155, 0.178, 22562.866, 33826195.349, 535.479, 26500.667, 8805.333
444.640, 155277.179, 0.147, 22900.643, 46028333.291, 682.604, 10075.333, 11938.000
412.259, 133484.183, 0.223, 29704.308, 36686688.377, 762.000, 8297.333, 6519.333
320.309, 80580.261, 0.192, 15487.609, 17207065.273, 2047.813, 19981.333, 22690.667
324.459, 82681.780, 0.171, 14159.441, 17884571.035, 1129.594, 6265.333, 28448.000
292.949, 67402.307, 0.224, 15070.272, 13163638.302, 871.697, 12022.667, 31242.000
262.421, 54086.440, 0.177, 9556.056, 9462293.074, 682.604, 16171.333, 1947.333
376.037, 111058.279, 0.239, 26554.007, 27841344.813, 2714.620, 12954.000, 18288.000
335.987, 88661.601, 0.158, 14007.034, 19859447.038, 2372.178, 1947.333, 22098.000
350.632, 96559.222, 0.152, 14672.907, 22571188.861, 592.667, 27178.000, 27770.667
433.352, 147493.136, 0.144, 21308.936, 42610979.337, 1533.379, 8636.000, 24384.000
357.765, 100527.835, 0.197, 19795.732, 23976914.426, 1617.554, 6011.333, 15155.333
304.860, 72994.472, 0.166, 12081.734, 14835382.682, 2012.504, 26331.333, 20066.000
427.616, 143614.122, 0.150, 21527.820, 40941101.465, 946.602, 27855.333, 11684.000
417.498, 136898.362, 0.142, 19423.848, 38103176.046, 766.689, 18796.000, 7196.667
361.354, 102554.956, 0.174, 17841.237, 24705791.804, 780.588, 12107.333, 22521.333
316.543, 78696.400, 0.166, 13082.538, 16607187.735, 567.961, 8636.000, 9906.000
341.858, 91786.864, 0.174, 16006.849, 20918695.644, 1934.406, 29887.333, 13462.000
404.289, 128373.056, 0.150, 19319.665, 34599882.244, 1396.358, 4656.667, 23706.667
329.198, 85114.456, 0.180, 15327.705, 18679652.555, 1295.151, 7874.000, 28532.667
370.835, 108007.054, 0.161, 17338.835, 26701888.782, 1396.358, 3302.000, 24045.333
340.078, 90833.579, 0.164, 14905.192, 20593655.406, 2103.076, 17526.000, 23368.000
366.305, 105384.426, 0.142, 14985.103, 25735253.646, 616.383, 26416.000, 31834.667
332.416, 86786.730, 0.142, 12358.190, 19232856.262, 1258.660, 28109.333, 14224.000
372.133, 108764.263, 0.185, 20084.046, 26983179.943, 698.179, 13377.333, 33189.333
454.026, 161901.903, 0.193, 31262.648, 49005150.897, 915.810, 3302.000, 9059.333
322.822, 81849.388, 0.195, 15962.201, 17615174.555, 1910.167, 8890.000, 16510.000
341.858, 91786.864, 0.166, 15203.070, 20918695.644, 3287.859, 16171.333, 17610.667
650.101, 331934.308, 0.216, 71858.520, 143860648.741, 493.687, 17272.000, 762.000
353.309, 98039.285, 0.178, 17455.821, 23092130.382, 1103.918, 24976.667, 6180.667
394.812, 122424.852, 0.143, 17495.015, 32223164.140, 2061.768, 30903.333, 27601.333
297.849, 69675.641, 0.141, 9796.387, 13835194.224, 762.000, 7535.333, 6519.333
327.185, 84076.886, 0.146, 12276.445, 18339129.998, 946.602, 11430.000, 8551.333
438.405, 150952.627, 0.129, 19491.307, 44118914.114, 616.383, 12700.000, 33358.667
278.616, 60968.140, 0.132, 8024.202, 11324478.703, 1796.051, 28448.000, 29040.667
266.932, 55961.618, 0.145, 8111.798, 9958620.682, 677.333, 15155.333, 30903.333
368.315, 106544.180, 0.122, 12995.631, 26161244.171, 567.961, 27686.000, 13038.667
329.198, 85114.456, 0.167, 14199.108, 18679652.555, 2537.176, 25484.667, 24299.333
293.947, 67862.251, 0.141, 9561.589, 13298608.191, 493.687, 17695.333, 1016.000
156.349, 19199.078, 0.141, 2715.905, 2001171.746, 567.961, 18203.333, 762.000
241.525, 45815.847, 0.245, 11232.771, 7377128.936, 2376.707, 20235.333, 25230.667
256.392, 51629.504, 0.148, 7619.046, 8824918.989, 1446.785, 19134.667, 33697.333
317.312, 79079.118, 0.140, 11056.513, 16728481.659, 1292.381, 24214.667, 11684.000
104.893, 8641.386, 0.168, 1451.686, 604280.947, 863.434, 16340.667, 1100.667
282.848, 62834.099, 0.129, 8118.410, 11848323.104, 757.282, 34120.667, 17102.667
281.631, 62294.725, 0.121, 7529.920, 11696090.106, 567.961, 8382.000, 9398.000
239.307, 44977.928, 0.148, 6655.058, 7175678.387, 1388.637, 17949.333, 3640.667
237.746, 44393.041, 0.149, 6596.587, 7036167.192, 965.349, 14393.333, 5672.667
274.075, 58996.653, 0.130, 7667.734, 10779654.958, 1761.799, 27262.667, 22013.333
364.918, 104587.670, 0.114, 11924.905, 25443949.742, 1060.870, 17526.000, 6350.000
259.096, 52724.161, 0.132, 6969.600, 9107062.540, 2060.029, 24638.000, 17102.667
278.616, 60968.140, 0.131, 7984.062, 11324478.703, 1436.841, 3132.667, 12446.000
