Plate, 4
Well, 1
Count, 31
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.008, 0
0.010, 0.008 to 0.012, 0
0.014, 0.012 to 0.016, 0
0.018, 0.016 to 0.021, 0
0.023, 0.021 to 0.025, 0
0.027, 0.025 to 0.029, 0
0.031, 0.029 to 0.033, 0
0.035, 0.033 to 0.037, 0
0.039, 0.037 to 0.041, 0
0.043, 0.041 to 0.045, 0
0.047, 0.045 to 0.049, 0
0.051, 0.049 to 0.053, 0
0.055, 0.053 to 0.058, 0
0.060, 0.058 to 0.062, 0
0.064, 0.062 to 0.066, 0
0.068, 0.066 to 0.070, 0
0.072, 0.070 to 0.074, 0
0.076, 0.074 to 0.078, 0
0.080, 0.078 to 0.082, 0
0.084, 0.082 to 0.086, 0
0.088, 0.086 to 0.090, 2
0.092, 0.090 to 0.094, 1
0.097, 0.094 to 0.099, 2
0.101, 0.099 to 0.103, 2
0.105, 0.103 to 0.107, 4
0.109, 0.107 to 0.111, 3
0.113, 0.111 to 0.115, 2
0.117, 0.115 to 0.119, 1
0.121, 0.119 to 0.123, 4
0.125, 0.123 to 0.127, 1
0.129, 0.127 to 0.131, 2
0.133, 0.131 to 0.136, 1
0.138, 0.136 to 0.140, 1
0.142, 0.140 to 0.144, 0
0.146, 0.144 to 0.148, 2
0.150, 0.148 to 0.152, 0
0.154, 0.152 to 0.156, 0
0.158, 0.156 to 0.160, 0
0.162, 0.160 to 0.164, 0
0.166, 0.164 to 0.168, 0
0.170, 0.168 to 0.173, 1
0.175, 0.173 to 0.177, 0
0.179, 0.177 to 0.181, 0
0.183, 0.181 to 0.185, 0
0.187, 0.185 to 0.189, 0
0.191, 0.189 to 0.193, 0
0.195, 0.193 to 0.197, 1
0.199, 0.197 to 0.201, 0
0.203, 0.201 to 0.205, 1


Plate, 4
Well, 2
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.003, 0
0.005, 0.003 to 0.007, 0
0.009, 0.007 to 0.010, 0
0.012, 0.010 to 0.014, 0
0.016, 0.014 to 0.017, 0
0.019, 0.017 to 0.021, 0
0.022, 0.021 to 0.024, 0
0.026, 0.024 to 0.028, 0
0.029, 0.028 to 0.031, 0
0.033, 0.031 to 0.034, 0
0.036, 0.034 to 0.038, 0
0.040, 0.038 to 0.041, 0
0.043, 0.041 to 0.045, 0
0.047, 0.045 to 0.048, 0
0.050, 0.048 to 0.052, 0
0.053, 0.052 to 0.055, 0
0.057, 0.055 to 0.059, 0
0.060, 0.059 to 0.062, 0
0.064, 0.062 to 0.066, 0
0.067, 0.066 to 0.069, 0
0.071, 0.069 to 0.072, 0
0.074, 0.072 to 0.076, 0
0.078, 0.076 to 0.079, 0
0.081, 0.079 to 0.083, 0
0.085, 0.083 to 0.086, 0
0.088, 0.086 to 0.090, 0
0.091, 0.090 to 0.093, 0
0.095, 0.093 to 0.097, 0
0.098, 0.097 to 0.100, 0
0.102, 0.100 to 0.103, 3
0.105, 0.103 to 0.107, 0
0.109, 0.107 to 0.110, 0
0.112, 0.110 to 0.114, 2
0.116, 0.114 to 0.117, 1
0.119, 0.117 to 0.121, 1
0.122, 0.121 to 0.124, 1
0.126, 0.124 to 0.128, 0
0.129, 0.128 to 0.131, 1
0.133, 0.131 to 0.135, 0
0.136, 0.135 to 0.138, 1
0.140, 0.138 to 0.141, 0
0.143, 0.141 to 0.145, 1
0.147, 0.145 to 0.148, 0
0.150, 0.148 to 0.152, 0
0.153, 0.152 to 0.155, 2
0.157, 0.155 to 0.159, 0
0.160, 0.159 to 0.162, 0
0.164, 0.162 to 0.166, 0
0.167, 0.166 to 0.169, 0
0.171, 0.169 to 0.172, 2


Plate, 4
Well, 3
Count, 19
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.008, 0
0.010, 0.008 to 0.012, 0
0.014, 0.012 to 0.016, 0
0.018, 0.016 to 0.020, 0
0.022, 0.020 to 0.024, 0
0.025, 0.024 to 0.027, 0
0.029, 0.027 to 0.031, 0
0.033, 0.031 to 0.035, 0
0.037, 0.035 to 0.039, 0
0.041, 0.039 to 0.043, 0
0.045, 0.043 to 0.047, 0
0.049, 0.047 to 0.051, 0
