Plate, 4
Well, 1
Count, 31
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
457371.172, 0.000 to 914742.345, 1
1372113.517, 914742.345 to 1829484.690, 0
2286855.862, 1829484.690 to 2744227.035, 1
3201598.207, 2744227.035 to 3658969.379, 3
4116340.552, 3658969.379 to 4573711.724, 1
5031082.897, 4573711.724 to 5488454.069, 3
5945825.242, 5488454.069 to 6403196.414, 5
6860567.586, 6403196.414 to 7317938.759, 0
7775309.931, 7317938.759 to 8232681.104, 1
8690052.276, 8232681.104 to 9147423.449, 1
9604794.621, 9147423.449 to 10062165.793, 1
10519536.966, 10062165.793 to 10976908.138, 1
11434279.311, 10976908.138 to 11891650.483, 0
12349021.656, 11891650.483 to 12806392.828, 1
13263764.000, 12806392.828 to 13721135.173, 0
14178506.345, 13721135.173 to 14635877.518, 0
15093248.690, 14635877.518 to 15550619.863, 2
16007991.035, 15550619.863 to 16465362.207, 1
16922733.380, 16465362.207 to 17380104.552, 0
17837475.725, 17380104.552 to 18294846.897, 1
18752218.070, 18294846.897 to 19209589.242, 0
19666960.414, 19209589.242 to 20124331.587, 1
20581702.759, 20124331.587 to 21039073.932, 0
21496445.104, 21039073.932 to 21953816.276, 1
22411187.449, 21953816.276 to 22868558.621, 0
23325929.794, 22868558.621 to 23783300.966, 0
24240672.139, 23783300.966 to 24698043.311, 0
25155414.483, 24698043.311 to 25612785.656, 0
26070156.828, 25612785.656 to 26527528.001, 0
26984899.173, 26527528.001 to 27442270.346, 1
27899641.518, 27442270.346 to 28357012.690, 0
28814383.863, 28357012.690 to 29271755.035, 0
29729126.208, 29271755.035 to 30186497.380, 0
30643868.553, 30186497.380 to 31101239.725, 1
31558610.897, 31101239.725 to 32015982.070, 1
32473353.242, 32015982.070 to 32930724.415, 1
33388095.587, 32930724.415 to 33845466.760, 0
34302837.932, 33845466.760 to 34760209.104, 0
35217580.277, 34760209.104 to 35674951.449, 0
36132322.622, 35674951.449 to 36589693.794, 0
37047064.967, 36589693.794 to 37504436.139, 0
37961807.311, 37504436.139 to 38419178.484, 0
38876549.656, 38419178.484 to 39333920.829, 0
39791292.001, 39333920.829 to 40248663.174, 0
40706034.346, 40248663.174 to 41163405.518, 1
41620776.691, 41163405.518 to 42078147.863, 0
42535519.036, 42078147.863 to 42992890.208, 0
43450261.381, 42992890.208 to 43907632.553, 0
44365003.725, 43907632.553 to 44822374.898, 0
45279746.070, 44822374.898 to 45737117.243, 1


Plate, 4
Well, 2
Count, 15
