Plate, 4
Well, 1
Count, 31
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
295.176, 0.000 to 590.353, 1
885.529, 590.353 to 1180.705, 0
1475.882, 1180.705 to 1771.058, 0
2066.234, 1771.058 to 2361.411, 1
2656.587, 2361.411 to 2951.763, 1
3246.940, 2951.763 to 3542.116, 4
3837.292, 3542.116 to 4132.469, 3
4427.645, 4132.469 to 4722.821, 3
5017.998, 4722.821 to 5313.174, 1
5608.350, 5313.174 to 5903.527, 1
6198.703, 5903.527 to 6493.880, 2
6789.056, 6493.880 to 7084.232, 1
7379.409, 7084.232 to 7674.585, 1
7969.761, 7674.585 to 8264.938, 1
8560.114, 8264.938 to 8855.290, 1
9150.467, 8855.290 to 9445.643, 2
9740.819, 9445.643 to 10035.996, 0
10331.172, 10035.996 to 10626.348, 2
10921.525, 10626.348 to 11216.701, 1
11511.877, 11216.701 to 11807.054, 0
12102.230, 11807.054 to 12397.406, 0
12692.583, 12397.406 to 12987.759, 0
13282.935, 12987.759 to 13578.112, 0
13873.288, 13578.112 to 14168.464, 0
14463.641, 14168.464 to 14758.817, 1
15053.993, 14758.817 to 15349.170, 0
15644.346, 15349.170 to 15939.522, 1
16234.699, 15939.522 to 16529.875, 0
16825.051, 16529.875 to 17120.228, 0
17415.404, 17120.228 to 17710.581, 0
18005.757, 17710.581 to 18300.933, 0
18596.110, 18300.933 to 18891.286, 0
19186.462, 18891.286 to 19481.639, 0
19776.815, 19481.639 to 20071.991, 0
20367.168, 20071.991 to 20662.344, 0
20957.520, 20662.344 to 21252.697, 0
21547.873, 21252.697 to 21843.049, 0
22138.226, 21843.049 to 22433.402, 0
22728.578, 22433.402 to 23023.755, 0
23318.931, 23023.755 to 23614.107, 0
23909.284, 23614.107 to 24204.460, 0
24499.636, 24204.460 to 24794.813, 1
25089.989, 24794.813 to 25385.165, 0
25680.342, 25385.165 to 25975.518, 0
26270.694, 25975.518 to 26565.871, 1
26861.047, 26565.871 to 27156.223, 0
27451.400, 27156.223 to 27746.576, 0
28041.752, 27746.576 to 28336.929, 0
28632.105, 28336.929 to 28927.281, 0
29222.458, 28927.281 to 29517.634, 1


Plate, 4
Well, 2
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
518.933, 0.000 to 1037.867, 0
1556.800, 1037.867 to 2075.733, 1
2594.667, 2075.733 to 3113.600, 1
3632.533, 3113.600 to 4151.467, 2
4670.400, 4151.467 to 5189.333, 1
5708.267, 5189.333 to 6227.200, 1
6746.133, 6227.200 to 7265.067, 4
7784.000, 7265.067 to 8302.933, 2
8821.867, 8302.933 to 9340.800, 0
9859.733, 9340.800 to 10378.667, 0
10897.600, 10378.667 to 11416.533, 0
11935.467, 11416.533 to 12454.400, 0
12973.333, 12454.400 to 13492.267, 1
14011.200, 13492.267 to 14530.133, 0
15049.067, 14530.133 to 15568.000, 0
16086.933, 15568.000 to 16605.867, 0
17124.800, 16605.867 to 17643.733, 0
18162.667, 17643.733 to 18681.600, 0
19200.533, 18681.600 to 19719.467, 0
20238.400, 19719.467 to 20757.333, 0
21276.267, 20757.333 to 21795.200, 0
22314.133, 21795.200 to 22833.067, 0
23352.000, 22833.067 to 23870.933, 0
24389.867, 23870.933 to 24908.800, 0
25427.734, 24908.800 to 25946.667, 0
26465.600, 25946.667 to 26984.534, 0
27503.467, 26984.534 to 28022.400, 0
28541.334, 28022.400 to 29060.267, 0
29579.200, 29060.267 to 30098.134, 0
30617.067, 30098.134 to 31136.000, 0
31654.934, 31136.000 to 32173.867, 0
32692.800, 32173.867 to 33211.734, 0
33730.667, 33211.734 to 34249.600, 1
34768.534, 34249.600 to 35287.467, 0
35806.400, 35287.467 to 36325.334, 0
36844.267, 36325.334 to 37363.200, 0
37882.134, 37363.200 to 38401.067, 0
38920.000, 38401.067 to 39438.934, 0
39957.867, 39438.934 to 40476.800, 0
40995.734, 40476.800 to 41514.667, 0
42033.600, 41514.667 to 42552.534, 0
43071.467, 42552.534 to 43590.400, 0
44109.334, 43590.400 to 44628.267, 0
45147.200, 44628.267 to 45666.134, 0
46185.067, 45666.134 to 46704.000, 0
47222.934, 46704.000 to 47741.867, 0
48260.800, 47741.867 to 48779.734, 0
49298.667, 48779.734 to 49817.600, 0
50336.534, 49817.600 to 50855.467, 0
51374.400, 50855.467 to 51893.334, 1


Plate, 4
Well, 3
Count, 19
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
717.871, 0.000 to 1435.741, 2
2153.612, 1435.741 to 2871.482, 1
3589.353, 2871.482 to 4307.223, 2
5025.094, 4307.223 to 5742.965, 3
6460.835, 5742.965 to 7178.706, 2
7896.576, 7178.706 to 8614.447, 1
9332.317, 8614.447 to 10050.188, 0
10768.059, 10050.188 to 11485.929, 3
12203.800, 11485.929 to 12921.670, 1
13639.541, 12921.670 to 14357.411, 0
15075.282, 14357.411 to 15793.152, 1
16511.023, 15793.152 to 17228.894, 0
17946.764, 17228.894 to 18664.635, 0
19382.505, 18664.635 to 20100.376, 0
20818.246, 20100.376 to 21536.117, 1
22253.988, 21536.117 to 22971.858, 0
23689.729, 22971.858 to 24407.599, 0
25125.470, 24407.599 to 25843.340, 0
26561.211, 25843.340 to 27279.082, 0
27996.952, 27279.082 to 28714.823, 0
29432.693, 28714.823 to 30150.564, 1
30868.434, 30150.564 to 31586.305, 0
32304.176, 31586.305 to 33022.046, 0
33739.917, 33022.046 to 34457.787, 0
35175.658, 34457.787 to 35893.528, 0
36611.399, 35893.528 to 37329.269, 0
38047.140, 37329.269 to 38765.011, 0
39482.881, 38765.011 to 40200.752, 0
40918.622, 40200.752 to 41636.493, 0
42354.363, 41636.493 to 43072.234, 0
43790.105, 43072.234 to 44507.975, 0
45225.846, 44507.975 to 45943.716, 0
46661.587, 45943.716 to 47379.457, 0
48097.328, 47379.457 to 48815.199, 0
49533.069, 48815.199 to 50250.940, 0
50968.810, 50250.940 to 51686.681, 0
52404.551, 51686.681 to 53122.422, 0
53840.293, 53122.422 to 54558.163, 0
55276.034, 54558.163 to 55993.904, 0
56711.775, 55993.904 to 57429.645, 0
58147.516, 57429.645 to 58865.386, 0
59583.257, 58865.386 to 60301.128, 0
61018.998, 60301.128 to 61736.869, 0
62454.739, 61736.869 to 63172.610, 0
63890.480, 63172.610 to 64608.351, 0
65326.222, 64608.351 to 66044.092, 0
66761.963, 66044.092 to 67479.833, 0
68197.704, 67479.833 to 68915.574, 0
69633.445, 68915.574 to 70351.316, 0
71069.186, 70351.316 to 71787.057, 1


Plate, 4
Well, 4
Count, 8
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
550.227, 0.000 to 1100.454, 0
1650.681, 1100.454 to 2200.908, 0
2751.134, 2200.908 to 3301.361, 0
3851.588, 3301.361 to 4401.815, 0
4952.042, 4401.815 to 5502.269, 1
6052.496, 5502.269 to 6602.723, 1
7152.949, 6602.723 to 7703.176, 1
8253.403, 7703.176 to 8803.630, 0
9353.857, 8803.630 to 9904.084, 0
10454.311, 9904.084 to 11004.538, 0
11554.764, 11004.538 to 12104.991, 0
12655.218, 12104.991 to 13205.445, 1
13755.672, 13205.445 to 14305.899, 0
14856.126, 14305.899 to 15406.353, 1
15956.579, 15406.353 to 16506.806, 0
17057.033, 16506.806 to 17607.260, 0
18157.487, 17607.260 to 18707.714, 0
